"","Tour","Tournament.Year","Tournament.Number","Permanent.Tournament.Number","Team.ID","Team.Number","Player.Number","Player.Name","Player.Age..years..months.days.","Event.Name","Official.Event.Y.N.","FedExCup.Points","Money","Finish.Position.numeric.","Finish.Position.text.","Round.1.Score","Round.1.Pos","Round.2.Score","Round.2.Pos","Round.3.Score","Round.3.Pos","Round.4.Score","Round.4.Pos","Round.5.Score","Round.5.Pos","Round.6.Score","Round.6.Pos","Lowest.Round","Total.Strokes","Total.Rounds.","Stroke.Average..Rank.","Scoring.Avg.Total.Adjustment.","Scoring.Avg.Total.Adjustment...Rank.","Eagles","Eagles..Rank.","Birdies","Birdies..Rank.","Pars","Bogeys","Bogeys..Rank.","Doubles","Others","Total.Holes.Over.Par","Bogey.Avoidance.Rank","Birdie.or.Better.Conv.....Birdies.","Birdie.or.Better.Conv.....Greens.Hit.","Longest.Drive","Longest.Drive..Rank.","Driving.Distance.Total.Distance.","Driving.Distance.Total.Drives.","Driving.Distance..Rank.","Driving.Dist....All.Drives.Tot..Dist..","Driving.Dist....All.Drives.Rank.","Drives.Over.300.Yards....of.Drives.","Driving.Acc....Fairways.Hit.","Driving.Acc....Possible.Fairways.","Driving.Accuracy.Rank","Total.Driving..Rank.","Left.Rough.Tendency.Total.Left.Rough.","Right.Rough.Tendency.Total.Right.Rough.","App..50.75.yds.ft.","App..50.75.yds.attempts.","App..75.100.yds.ft.","App..75.100.yds.attempts.","App..100.125.yds.ft.","App..100.125.yds.attempts.","App..50.125.Yards.ft.","App...50.125.Yards.attempts.","Approaches..125.150.Yards.ft.","Approaches...125.150.Yards.attempts.","Approaches...150.175.Yards.ft.","Approaches...150.175.Yards.attempts.","Approaches...175.200.Yards.ft.","Approaches...175.200.Yards.attempts.","Approaches....200.Yards.ft.","Approaches....200.Yards.attempts.","App..50.75.yds.ft....Rough","App..50.75.yds.attempts....Rough","App..75.100.yds.ft....Rough","App..75.100.yds.attempts....Rough","App..100.125.yds.ft....Rough","App..100.125.yds.attempts....Rough","Approaches.50.125.Yards.ft....Rough","Approaches.50.125.Yards.attempts....Rough","Approaches.125.150.Yards.ft....Rough","Approaches.125.150.Yards.attempts....Rough","Approaches.150.175.Yards.ft....Rough","Approaches.150.175.Yards.attempts....Rough","Approaches.175.200.Yards.ft....Rough","Approaches.175.200.Yards.attempts....Rough","Approaches..200.Yards.ft....Rough","Approaches....200.Yards.attempts....Rough","Total.Holes.Played","Total.Greens.in.Regulation","GIR.Rank","Total.Distance.ft..Prox.to.Hole","X..of.Attempts.Prox.to.Hole","Proximity.to.Hole..Rank.","Fairway.Prox.attempts.","Fairway.Prox.distance.in.ft.","Fairway.Prox..Rank.","Rough.Prox.attempts.","Rough.Prox.distance.in.ft.","Rough.Prox..Rank.","Left.Rough.Prox.attempts.","Left.Rough.Prox.distance.in.ft.","Right.Rough.Prox.attempts.","Right.Rough.Prox.distance.in.ft.","Going.for.Green.attempts.","Going.for.Green.non.attempts.","Going.for.the.Green.successes.","Scrambling.Par.or.Better","Scrambling.Missed.GIR","Scrambling..Rank.","Scrambling.Proximity..Total.Distance.","Scrambling.Proximity....of.shots.","Scrambling.Proximity..rank.","Scrambling.from.the.Rough.successes.","Scrambling.from.the.Rough.attempts.","Scrambling.from.the.Fringe.successes.","Scrambling.from.the.Fringe.attempts.","Scrambling....30.Yards.successes.","Scrambling....30.Yards.attempts.","Scrambling.20.30.Yards.successes.","Scrambling...20.30.Yards.attempts.","Scrambling.10.20.Yards.successes.","Scrambling.10.20.Yards.attempts.","Scrambling...10.Yards.successes.","Scrambling....10.Yards.attempts.","Sand.Save.....Saves.","Sand.Save.....Bunkers.","Sand.Save..Rank.","Prox.to.Hole.from.Sand.Total.Distance.","Prox.to.Hole.from.Sand...of.Shots.","Total.Hole.Outs","Longest.Hole.Out.yards.","Overall.Putting.Avg...of.Putts.","Putting.Avg.GIR.Putts.","One.Putt.....of.One.Putts.","X3.Putt.Avoid.Total.3.Putts.","Approach.Putt.Performance.attempts.","Approach.Putt.Performance.ft..","Avg.Distance.of.Putts.Made.Total.Distance.of.Putts.","Total.Rounds.Played","Putting.3..attempts.","Putting.3..putts.made.","Putting...4..attempts.","Putting.4..putts.made.","Putting.5..attempts.","Putting.5..putts.made.","Putting.6..attempts.","Putting.6..putts.made.","Putting.7..attempts.","Putting.7..putts.made.","Putting.8..attempts.","Putting.8..putts.made.","Putting.9..attempts.","Putting.9..putts.made.","Putting.10..attempts.","Putting.10..putts.made.","Putting.Inside.5...putts.made.","Putting.Inside.5...attempts.","Putting.Inside.5.Feet..Rank.","Putting.5....10...putts.made.","Putting.5....10...attempts.","Putting.5....10...Rank.","Putting.4..8..attempts.","Putting.4..8..putts.made.","Putting.4....8...Rank.","Putting.Inside.10..attempts.","Putting.Inside.10..putts.made.","Putting.Inside.10..rank.","Putting.10..15..attempts.","Putting...10..15..putts.made.","Putting.10..15..rank.","Putting.15.20..attempts.","Putting.15..20..putts.made.","Putting.15..20..rank.","Putting.20..25..attempts.","Putting.20..25..putts.made.","Putting.20..25..rank.","Putting..25..attempts.","Putting..25..putts.made.","Putting..25..rank.","Putting...10...putts.made.","Putting...10...attempts.","Putting...10...rank.","Total.Putts.Gained","Total.Rounds.Played.Putts.Gained.","Putts.Gained.Rank","TTL.SG.T2G","SG..T2G.Rank","TTL.SG.Total","SG..Total.Rank","OTT.SG.Avg.","OTT.SG.Rank","APP.SG.Avg.","APP.SG.Rank","ARG.SG.Avg.","ARG.SG.Rank","X"
"5","R",2015,400,32,NA,0,22371,"Baddeley, Aaron","34 04 09","RBC Canadian Open","Y ",0,"",999," CUT",73,109,72,108,0,0,0,0,0,0,0,0,72,145,2,999,"      1.638",999,0,999,5,999,26,4,999,1,NA,5,999,5,23,351,167,1210,4,999,8386,999,14,13,28,999,999,3,5,NA,0,14.25,2,NA,0,14.25,2,220.5,8,120.417,8,57.75,2,"        107.167",3,NA,NA,NA,NA,44.417,1,44.417,1,52.917,2,75.167,2,NA,NA,72.833,1,36,23,999,"      1,064.500",36,999,24,"    524.500",999,6,"    245.333",999,3,108.583,3,"    136.750",5,3,1,10,13,999,79.083,12,999,5,7,4,4,0,0,1,1,5,7,4,4,2,2,999,16.167,2,0,NA,58,44,16,2,20,37.5,1439,2,27,27,3,1,2,1,5,3,1,0,2,0,0,0,2,0,32,29,999,10,3,999,10,4,999,42,32,999,3,3,999,5,1,999,1,0,999,7,0,999,4,16,999," 3.506-",2,999,"  .140-",999," 2.638-",999,-0.14,999,0.954,999,-0.379,999,NA
"8","R",2015,400,32,NA,0,24846,"Barnes, Ricky","34 05 20","RBC Canadian Open","Y ",59.571," 115,171.43",11," T11",68,17,70,22,68,11,71,11,0,0,0,0,68,277,4,11,"      3.108",11,2,5,17,35,43,10,43,NA,NA,10,29,17,46,364,52,2412,8,40,16443,58,19,34,56,11,17,10,6,NA,0,72.417,3,130.667,6,203.083,9,394.75,17,291.5,12,186.667,6,"        499.083",9,NA,NA,NA,NA,11.417,1,11.417,1,71.5,3,138,4,266.167,4,142.583,2,72,47,36,"      2,424.417",72,65,53,"  1,575.083",74,14,"    629.667",60,8,417.5,6,"    212.167",12,4,5,16,25,37,168.5,23,37,9,13,1,1,1,2,1,3,12,18,2,2,6,10,31,93.417,10,2,160,113,80,29,2,41,83.583,3566,4,43,43,7,7,6,3,2,2,5,4,3,1,1,1,5,2,56,53,70,16,10,32,16,10,62,72,63,51,16,3,60,7,3,8,3,0,37,15,1,28,7,41,34,"   .373",4,48,"   .402",7,"  7.892",11,0.402,31,0.743,27,0.735,13,NA
"11","R",2015,400,32,NA,0,40058,"Blair, Zac","24 11 06","RBC Canadian Open","Y ",0.99,"  11,542.00",70," T70",69,33,70,33,71,38,76,70,0,0,0,0,69,286,4,70,"      3.108",70,0,37,16,49,44,10,43,2,NA,12,52,13,43,333,662,2184,8,76,15929,76,17,31,56,25,61,9,6,13.083,1,43.417,3,123.167,9,179.667,13,280.667,14,273.667,8,192.417,8,"        525.167",10,16.083,1,NA,NA,25.25,1,41.333,2,48.833,2,65.5,3,177.917,4,43.5,2,72,43,69,"      2,184.750",71,37,53,"  1,451.583",59,13,"    377.083",4,9,284.75,4,"     92.333",9,7,2,18,29,44,188.417,24,45,7,13,4,4,3,5,2,6,5,8,8,9,6,13,51,101.917,12,0,NA,108,76,29,1,39,71,2929,4,43,43,8,8,4,4,2,0,2,2,3,1,3,1,2,1,55,55,1,12,5,77,11,7,57,67,60,30,19,6,37,8,2,23,4,0,37,10,0,45,8,41,24,"  .779-",4,60,"  .886-",58," 1.108-",70,-0.886,73,-0.013,55,0.816,10,NA
"12","R",2015,400,32,NA,0,27895,"Blixt, Jonas","31 03 02","RBC Canadian Open","Y ",43.5,"  46,206.66",22," T22",69,33,69,22,69,16,72,22,0,0,0,0,69,279,4,22,"      3.108",22,0,37,15,55,51,6,5,NA,NA,6,2,14,43,366,45,2380,8,45,16796,39,21,27,56,47,55,13,10,24.833,1,33.917,4,141.25,9,200,14,248.833,12,219,8,255.75,8,"        136.083",5,NA,NA,NA,NA,66.25,2,66.25,2,211.333,7,223.167,5,130.583,2,187.583,4,72,43,69,"      2,026.417",72,11,48,"  1,070.917",2,20,"    818.917",46,11,430.167,9,"    388.750",9,7,5,23,29,2,102.25,26,1,9,13,6,6,2,2,2,2,9,13,10,11,5,8,24,57.167,8,1,17,110,77,32,0,39,73.5,3232,4,46,46,8,8,3,2,4,2,5,3,2,1,1,0,2,1,57,56,24,14,7,60,14,8,69,71,63,35,15,5,30,7,2,20,3,1,8,14,0,45,8,39,21,"   .801",4,43,"   .175",28,"  5.892",22,0.175,40,0.089,50,1.008,5,NA
"13","R",2015,400,32,NA,0,20848,"Cabrera, Angel","45 10 14","RBC Canadian Open","Y ",5,"  12,064.00",63," T63",73,109,69,72,72,70,71,63,0,0,0,0,69,285,4,63,"      3.108",63,0,37,18,24,41,11,58,2,NA,13,65,16,46,362,58,2520,8,9,17070,16,33,25,56,61,37,10,13,NA,0,18.667,2,75.75,5,94.417,7,306.5,15,111.5,7,282.75,7,"        343.750",6,38.5,1,64.5,2,211.5,6,314.5,9,161.417,5,143.333,4,92.417,1,365.583,6,72,46,43,"      2,337.667",72,56,42,"  1,138.917",51,26,"  1,087.917",50,13,449.333,13,"    638.583",11,5,2,15,26,56,206.75,23,57,9,18,2,2,0,2,2,3,5,11,8,9,4,6,14,30.833,5,0,NA,110,80,32,2,38,84.083,3805,4,44,44,7,6,4,4,4,2,3,1,1,1,3,2,1,0,55,54,28,12,6,60,12,8,45,67,60,30,15,5,30,11,2,43,4,1,19,13,2,6,10,43,13,"  1.102",4,40,"  .350-",62,"  .108-",63,-0.35,60,0.512,39,-0.465,69,NA
"14","R",2015,400,32,NA,0,12510,"Campbell, Chad","41 01 26","RBC Canadian Open","Y ",59.571," 115,171.43",11," T11",67,8,63,1,75,6,72,11,0,0,0,0,63,277,4,11,"      3.108",11,0,37,20,16,45,6,5,NA,1,7,6,18,49,352,151,2344,8,55,16803,36,28,30,56,31,49,10,8,NA,0,107.917,5,101.333,7,209.25,12,285.333,13,183.333,9,441.583,11,"        235.583",8,NA,NA,11.417,1,31,2,42.417,3,103.583,5,162,5,NA,NA,41.083,1,72,49,24,"      2,090.583",72,20,53,"  1,355.083",32,14,"    349.083",1,7,162.25,7,"    186.833",10,6,4,17,23,5,98.25,20,2,13,15,2,2,0,3,1,2,7,8,9,9,3,4,8,15.917,4,2,9,112,85,29,1,41,64.667,2844,4,50,50,3,3,5,5,9,4,0,0,1,1,2,2,1,0,58,58,1,13,7,55,15,10,45,71,65,15,13,3,52,6,1,45,7,0,37,15,1,28,5,41,55,"  .617-",4,59,"   .001",5,"  7.892",11,0.001,47,0.75,25,1.376,1,NA
"15","R",2015,400,32,NA,0,32200,"Castro, Roberto","30 01 03","RBC Canadian Open","Y ",19.5,"  14,282.50",48," T48",69,33,72,56,67,20,74,48,0,0,0,0,67,282,4,48,"      3.108",48,0,37,17,35,45,9,32,1,NA,10,29,16,46,341,381,2291,8,64,16484,55,22,28,56,43,65,12,7,4.917,1,38.333,3,110,10,153.25,14,324.5,14,330.417,11,217,7,"        205.750",7,NA,NA,21.583,1,48.417,2,70,3,170.25,4,89.917,3,66.25,1,126.75,2,72,46,43,"      1,947.583",72,4,53,"  1,230.917",6,13,"    523.167",43,10,370.083,3,"    153.083",9,7,2,16,26,47,176.833,22,48,7,12,3,3,1,4,2,3,8,10,5,9,5,8,24,57,8,0,NA,110,78,30,0,40,72,3079,4,46,46,5,5,5,5,4,2,9,3,4,4,5,1,3,1,56,56,1,25,11,75,22,14,57,81,67,77,5,1,54,7,0,65,5,2,4,12,0,45,3,29,65,"  .848-",4,61,"  .413-",35,"  2.892",48,-0.413,62,1.081,15,0.266,36,NA
"16","R",2015,400,32,NA,0,20472,"Cejka, Alex","44 07 24","RBC Canadian Open","Y ",27,"  20,300.00",41," T41",72,88,70,72,70,57,69,41,0,0,0,0,69,281,4,41,"      3.108",41,0,37,15,55,50,6,5,1,NA,7,6,15,46,352,151,2330,8,59,16365,62,21,29,56,38,57,12,8,23.25,1,25.25,2,94.417,7,142.917,10,235.333,16,269.667,7,176.25,6,"        361.000",9,NA,NA,20.833,3,NA,NA,20.833,3,136.667,6,199.667,4,119.417,3,350.75,5,72,46,43,"      2,156.583",72,31,48,"  1,185.167",20,21,"    827.333",39,12,434.583,9,"    392.750",10,6,1,19,26,6,126.75,23,5,12,16,5,5,1,4,1,2,9,10,8,9,2,8,74,42.5,5,0,NA,108,78,37,1,35,68.333,3761,4,43,43,7,6,7,4,2,1,4,4,4,2,7,5,1,1,57,53,74,18,13,11,17,11,52,75,66,42,11,2,62,7,1,51,8,3,6,7,0,45,6,33,30,"  1.755",4,35,"  .416-",49,"  3.892",41,-0.416,63,0.979,18,-0.03,51,NA
"17","R",2015,400,32,NA,0,32366,"Chappell, Kevin","29 00 18","RBC Canadian Open","Y ",0,"",999," CUT",75,138,74,135,0,0,0,0,0,0,0,0,74,149,2,999,"      1.638",999,0,999,4,999,25,5,999,2,NA,7,999,4,18,337,514,1170,4,999,8335,999,15,12,28,999,999,4,8,NA,0,21.917,2,67.333,3,89.25,5,52.167,3,193.583,6,148.917,4,"        122.500",3,NA,NA,5.5,1,NA,NA,5.5,1,104.583,4,125.833,2,110.75,3,159.667,2,36,18,999,"      1,185.333",36,999,21,"    606.417",999,12,"    506.333",999,4,214.167,8,"    292.167",5,3,1,11,18,999,154.667,17,999,7,10,1,1,1,1,1,2,5,9,4,5,3,8,999,76.583,7,0,NA,56,33,16,0,20,38.333,1284,2,26,26,3,3,2,2,2,2,1,0,1,1,3,1,1,0,31,31,999,8,4,999,6,5,999,39,35,999,8,1,999,3,0,999,2,0,999,4,0,999,1,17,999," 1.926-",2,999,"  .132-",999," 6.638-",999,-0.132,999,-1.681,999,-0.542,999,NA
"19","R",2015,400,32,NA,0,24357,"Choi, K.J.","45 02 07","RBC Canadian Open","Y ",0.86,"  10,788.00",76," T76",69,33,72,56,73,70,75,76,0,0,0,0,69,289,4,76,"      3.108",76,1,17,12,74,46,11,58,2,NA,13,65,13,41,345,281,2313,8,60,16204,68,18,26,56,53,68,9,14,4.583,1,40.667,3,111,7,156.25,11,263.333,11,240.833,10,252.583,7,"        304.083",6,16.75,1,8.833,1,48.833,3,74.417,5,207.667,6,224.167,4,259.667,5,56.5,2,72,41,74,"      2,272.333",72,47,45,"  1,217.083",51,23,"    839.667",23,6,273.75,17,"    565.917",7,9,3,18,31,54,172.5,25,24,8,19,3,3,1,7,8,8,5,11,4,5,4,6,14,54.667,6,0,NA,112,71,32,0,40,45.833,2704,4,50,50,5,5,4,3,3,2,1,1,3,3,7,4,4,1,59,58,21,18,11,38,11,9,10,77,69,28,13,2,66,10,1,61,1,0,37,11,0,45,3,35,74,"  .235-",4,56," 1.184-",74," 4.108-",76,-1.184,75,0.002,54,0.213,39,NA
