"","FGCanadaHistory5Yr$Player.Name","FGCanadaHistory5Yr$CourseHistoryPts"
"1","Aiken, Thomas",7
"2","Baddeley, Aaron",10
"3","Barnes, Ricky",9
"4","Blair, Zac",2
"5","Blixt, Jonas",5
"6","Bohn, Jason",10
"7","Bowditch, Steven",0
"8","Bradley, Keegan",5
"9","Brown, Scott",7
"10","Cabrera, Angel",2
"11","Campbell, Chad",15
"12","Casey, Paul",0
"13","Castro, Roberto",14
"14","Cejka, Alex",2
"15","Chalmers, Greg",9
"16","Chappell, Kevin",9
"17","Choi, K.J.",4
"18","Cink, Stewart",12
"19","Clark, Tim",17
"20","Compton, Erik",5
"21","Curran, Jon",2
"22","Davis, Brian",7
"23","Day, Jason",10
"24","de Jonge, Brendon",2
"25","Donald, Luke",7
"26","Els, Ernie",15
"27","English, Harris",0
"28","Every, Matt",7
"29","Fathauer, Derek",2
"30","Finau, Tony",5
"31","Furyk, Jim",32
"32","Glover, Lucas",4
"33","Gomez, Fabian",7
"34","Goosen, Retief",17
"35","Gore, Jason",0
"36","Grillo, Emiliano",5
"37","Hadley, Chesson",2
"38","Hadwin, Adam",22
"39","Hahn, James",9
"40","Harman, Brian",7
"41","Hearn, David",18
"42","Henry, J.J.",8
"43","Herman, Jim",7
"44","Hoffman, Charley",15
"45","Hoffmann, Morgan",9
"46","Hoge, Tom",10
"47","Holmes, J.B.",7
"48","Horschel, Billy",4
"49","Huh, John",2
"50","Ishikawa, Ryo",6
"51","Johnson, Dustin",10
"52","Jones, Matt",0
"53","Karlsson, Robert",0
"54","Kelly, Jerry",6
"55","Kirk, Chris",15
"56","Kisner, Kevin",22
"57","Knost, Colt",6
"58","Knox, Russell",7
"59","Koepka, Brooks",5
"60","Kokrak, Jason",4
"61","Kuchar, Matt",32
"62","Laird, Martin",5
"63","Lee, Danny",2
"64","Levin, Spencer",12
"65","Lingmerth, David",5
"66","Loupe, Andrew",0
"67","Love III, Davis",0
"68","Lovemark, Jamie",5
"69","Mahan, Hunter",6
"70","Malnati, Peter",0
"71","Martin, Ben",2
"72","Matsuyama, Hideki",5
"73","McDowell, Graeme",12
"74","McGirt, William",29
"75","McNeill, George",0
"76","Merritt, Troy",2
"77","Molder, Bryce",0
"78","Moore, Ryan",5
"79","Na, Kevin",2
"80","O'Hair, Sean",12
"81","Ogilvy, Geoff",12
"82","Oosthuizen, Louis",0
"83","Ortiz, Carlos",2
"84","Owen, Greg",7
"85","Palmer, Ryan",9
"86","Pampling, Rod",0
"87","Perez, Pat",7
"88","Pettersson, Carl",0
"89","Piercy, Scott",29
"90","Piller, Martin",2
"91","Pinckney, Scott",2
"92","Reavie, Chez",11
"93","Reed, Patrick",10
"94","Reifers, Kyle",0
"95","Rodgers, Patrick",2
"96","Romero, Andres",22
"97","Sabbatini, Rory",10
"98","Saunders, Sam",5
"99","Schwartzel, Charl",19
"100","Senden, John",0
"101","Siem, Marcel",5
"102","Singh, Vijay",14
"103","Snedeker, Brandt",17
"104","Stallings, Scott",15
"105","Steele, Brendan",2
"106","Streb, Robert",0
"107","Streelman, Kevin",4
"108","Stricker, Steve",2
"109","Stroud, Chris",4
"110","Summerhays, Daniel",7
"111","Swafford, Hudson",2
"112","Todd, Brendon",5
"113","Tringale, Cameron",12
"114","Vegas, Jhonattan",7
"115","Villegas, Camilo",9
"116","Wagner, Johnson",7
"117","Walker, Jimmy",7
"118","Watney, Nick",7
"119","Watson, Bubba",15
"120","Wilcox, Will",5
"121","Woodland, Gary",2
