"","Tour","Tournament.Year","Tournament.Number","Permanent.Tournament.Number","Team.ID","Team.Number","Player.Number","Player.Name","Player.Age..years..months.days.","Event.Name","Official.Event.Y.N.","FedExCup.Points","Money","Finish.Position.numeric.","Finish.Position.text.","Round.1.Score","Round.1.Pos","Round.2.Score","Round.2.Pos","Round.3.Score","Round.3.Pos","Round.4.Score","Round.4.Pos","Round.5.Score","Round.5.Pos","Round.6.Score","Round.6.Pos","Lowest.Round","Total.Strokes","Total.Rounds.","Stroke.Average..Rank.","Scoring.Avg.Total.Adjustment.","Scoring.Avg.Total.Adjustment...Rank.","Eagles","Eagles..Rank.","Birdies","Birdies..Rank.","Pars","Bogeys","Bogeys..Rank.","Doubles","Others","Total.Holes.Over.Par","Bogey.Avoidance.Rank","Birdie.or.Better.Conv.....Birdies.","Birdie.or.Better.Conv.....Greens.Hit.","Longest.Drive","Longest.Drive..Rank.","Driving.Distance.Total.Distance.","Driving.Distance.Total.Drives.","Driving.Distance..Rank.","Driving.Dist....All.Drives.Tot..Dist..","Driving.Dist....All.Drives.Rank.","Drives.Over.300.Yards....of.Drives.","Driving.Acc....Fairways.Hit.","Driving.Acc....Possible.Fairways.","Driving.Accuracy.Rank","Total.Driving..Rank.","Left.Rough.Tendency.Total.Left.Rough.","Right.Rough.Tendency.Total.Right.Rough.","App..50.75.yds.ft.","App..50.75.yds.attempts.","App..75.100.yds.ft.","App..75.100.yds.attempts.","App..100.125.yds.ft.","App..100.125.yds.attempts.","App..50.125.Yards.ft.","App...50.125.Yards.attempts.","Approaches..125.150.Yards.ft.","Approaches...125.150.Yards.attempts.","Approaches...150.175.Yards.ft.","Approaches...150.175.Yards.attempts.","Approaches...175.200.Yards.ft.","Approaches...175.200.Yards.attempts.","Approaches....200.Yards.ft.","Approaches....200.Yards.attempts.","App..50.75.yds.ft....Rough","App..50.75.yds.attempts....Rough","App..75.100.yds.ft....Rough","App..75.100.yds.attempts....Rough","App..100.125.yds.ft....Rough","App..100.125.yds.attempts....Rough","Approaches.50.125.Yards.ft....Rough","Approaches.50.125.Yards.attempts....Rough","Approaches.125.150.Yards.ft....Rough","Approaches.125.150.Yards.attempts....Rough","Approaches.150.175.Yards.ft....Rough","Approaches.150.175.Yards.attempts....Rough","Approaches.175.200.Yards.ft....Rough","Approaches.175.200.Yards.attempts....Rough","Approaches..200.Yards.ft....Rough","Approaches....200.Yards.attempts....Rough","Total.Holes.Played","Total.Greens.in.Regulation","GIR.Rank","Total.Distance.ft..Prox.to.Hole","X..of.Attempts.Prox.to.Hole","Proximity.to.Hole..Rank.","Fairway.Prox.attempts.","Fairway.Prox.distance.in.ft.","Fairway.Prox..Rank.","Rough.Prox.attempts.","Rough.Prox.distance.in.ft.","Rough.Prox..Rank.","Left.Rough.Prox.attempts.","Left.Rough.Prox.distance.in.ft.","Right.Rough.Prox.attempts.","Right.Rough.Prox.distance.in.ft.","Going.for.Green.attempts.","Going.for.Green.non.attempts.","Going.for.the.Green.successes.","Scrambling.Par.or.Better","Scrambling.Missed.GIR","Scrambling..Rank.","Scrambling.Proximity..Total.Distance.","Scrambling.Proximity....of.shots.","Scrambling.Proximity..rank.","Scrambling.from.the.Rough.successes.","Scrambling.from.the.Rough.attempts.","Scrambling.from.the.Fringe.successes.","Scrambling.from.the.Fringe.attempts.","Scrambling....30.Yards.successes.","Scrambling....30.Yards.attempts.","Scrambling.20.30.Yards.successes.","Scrambling...20.30.Yards.attempts.","Scrambling.10.20.Yards.successes.","Scrambling.10.20.Yards.attempts.","Scrambling...10.Yards.successes.","Scrambling....10.Yards.attempts.","Sand.Save.....Saves.","Sand.Save.....Bunkers.","Sand.Save..Rank.","Prox.to.Hole.from.Sand.Total.Distance.","Prox.to.Hole.from.Sand...of.Shots.","Total.Hole.Outs","Longest.Hole.Out.yards.","Overall.Putting.Avg...of.Putts.","Putting.Avg.GIR.Putts.","One.Putt.....of.One.Putts.","X3.Putt.Avoid.Total.3.Putts.","Approach.Putt.Performance.attempts.","Approach.Putt.Performance.ft..","Avg.Distance.of.Putts.Made.Total.Distance.of.Putts.","Total.Rounds.Played","Putting.3..attempts.","Putting.3..putts.made.","Putting...4..attempts.","Putting.4..putts.made.","Putting.5..attempts.","Putting.5..putts.made.","Putting.6..attempts.","Putting.6..putts.made.","Putting.7..attempts.","Putting.7..putts.made.","Putting.8..attempts.","Putting.8..putts.made.","Putting.9..attempts.","Putting.9..putts.made.","Putting.10..attempts.","Putting.10..putts.made.","Putting.Inside.5...putts.made.","Putting.Inside.5...attempts.","Putting.Inside.5.Feet..Rank.","Putting.5....10...putts.made.","Putting.5....10...attempts.","Putting.5....10...Rank.","Putting.4..8..attempts.","Putting.4..8..putts.made.","Putting.4....8...Rank.","Putting.Inside.10..attempts.","Putting.Inside.10..putts.made.","Putting.Inside.10..rank.","Putting.10..15..attempts.","Putting...10..15..putts.made.","Putting.10..15..rank.","Putting.15.20..attempts.","Putting.15..20..putts.made.","Putting.15..20..rank.","Putting.20..25..attempts.","Putting.20..25..putts.made.","Putting.20..25..rank.","Putting..25..attempts.","Putting..25..putts.made.","Putting..25..rank.","Putting...10...putts.made.","Putting...10...attempts.","Putting...10...rank.","Total.Putts.Gained","Total.Rounds.Played.Putts.Gained.","Putts.Gained.Rank","TTL.SG.T2G","SG..T2G.Rank","TTL.SG.Total","SG..Total.Rank","OTT.SG.Avg.","OTT.SG.Rank","APP.SG.Avg.","APP.SG.Rank","ARG.SG.Avg.","ARG.SG.Rank","X"
"1","R",2015,400,32,NA,0,20771,"Alker, Steven","43 11 28","RBC Canadian Open","Y ",0.64,"   9,802.00",87," T87",71,69,69,44,77,87,0,0,0,0,0,0,69,217,3,999,"      2.351",999,1,999,6,999,39,7,999,1,NA,8,999,5,31,333,662,1753,6,999,12092,999,12,22,42,999,999,9,6,6.333,1,41.583,3,107.75,5,155.667,9,214.583,10,275.333,9,174.083,6,"        152.167",4,NA,NA,NA,NA,62.417,2,62.417,2,106.917,4,235.583,4,32.417,1,105.583,1,54,31,999,"      1,657.250",54,999,38,"    971.833",999,12,"    542.917",999,8,433.167,4,"    109.750",5,7,2,15,23,999,107.833,20,999,10,13,4,5,0,3,1,2,5,7,9,10,1,4,999,16.917,2,1,17,83,58,21,0,31,55.667,1537,3,37,37,5,5,5,4,2,2,6,3,1,0,0,0,1,0,47,46,999,10,5,999,14,9,999,57,51,999,4,1,999,5,0,999,4,0,999,13,0,999,1,26,999," 2.701-",3,999,"  .629-",999," 3.352-",999,-0.629,999,-0.392,999,0.804,999,NA
"2","R",2015,400,32,NA,0,10885,"Allenby, Robert","44 00 14","RBC Canadian Open","Y ",0,"",999," W/D",81,155,0,0,0,0,0,0,0,0,0,0,81,81,1,999,"       .871",999,0,999,4,999,5,7,999,NA,2,9,999,3,7,355,120,636,2,999,4252,999,6,5,14,999,999,6,1,NA,0,46.083,2,NA,0,46.083,2,196,7,NA,0,68.833,2,"",0,NA,NA,31.417,1,12,1,43.417,2,48.667,2,55.417,1,119.333,2,NA,NA,18,7,999,"        577.750",18,999,11,"    310.917",999,7,"    266.833",999,5,223.417,2,"     43.417",2,2,0,3,11,999,61.25,8,999,1,4,2,2,0,2,0,1,1,5,2,2,0,3,999,28.583,2,0,NA,30,12,5,1,12,42.833,844,1,9,9,3,3,1,0,0,0,0,0,4,2,0,0,1,0,13,12,999,5,2,999,5,2,999,18,14,999,7,3,999,2,0,999,0,0,NA,3,0,999,3,12,999," 2.134-",1,999,"  .675-",999," 9.872-",999,-0.675,999,-4.045,999,-3.018,999,NA
"3","R",2015,400,32,NA,0,19803,"Armour, Ryan","39 04 29","RBC Canadian Open","Y ",0,"",999," CUT",72,88,74,119,0,0,0,0,0,0,0,0,72,146,2,999,"      1.638",999,1,999,7,999,21,5,999,1,1,7,999,8,22,331,749,1116,4,999,8006,999,10,14,28,999,999,3,6,NA,0,27.333,3,16.333,1,43.667,4,121.917,6,190.917,6,156.333,5,"        177.250",4,23.25,1,NA,NA,NA,NA,23.25,1,33.5,3,134.25,2,75.833,1,101.583,1,36,22,999,"      1,158.250",36,999,25,"    690.083",999,8,"    368.417",999,3,94.917,5,"    273.500",4,4,1,7,14,999,101.833,13,999,6,11,0,0,0,0,2,4,3,5,2,4,1,3,999,11.417,2,0,NA,59,36,15,1,21,38.917,2068,2,26,24,2,2,4,3,1,0,2,1,3,1,0,0,2,1,32,29,999,8,3,999,10,5,999,40,32,999,5,1,999,7,1,999,3,1,999,4,1,999,4,19,999," 2.476-",2,999,"  .451-",999," 3.638-",999,-0.451,999,-0.049,999,-0.08,999,NA
"4","R",2015,400,32,NA,0,23048,"Axley, Eric","41 03 04","RBC Canadian Open","Y ",11,"  12,760.00",58," T58",67,8,68,6,75,38,74,58,0,0,0,0,67,284,4,58,"      3.108",58,3,1,10,77,49,8,21,2,NA,10,29,11,38,352,151,2178,8,77,16390,60,19,22,56,70,77,15,13,57.083,2,84.083,3,158,10,299.167,15,157.083,7,276.583,9,305,7,"        321.333",7,8.667,1,21.833,1,108.417,4,138.917,6,103.583,4,123.667,3,396,6,259.667,5,72,39,76,"      2,449.333",72,70,45,"  1,359.167",77,25,"  1,029.917",48,11,496.833,14,"    533.083",10,6,4,23,33,17,173.75,28,13,8,12,6,6,2,6,1,2,11,16,9,9,9,13,13,81.5,10,2,117,106,67,32,0,37,71.583,3721,4,43,43,5,5,5,4,4,3,1,1,2,1,8,2,3,1,53,52,34,18,8,74,12,9,26,71,60,74,10,5,7,7,2,20,5,0,37,13,2,6,9,35,8,"  2.190",4,27,"  .019-",64,"   .892",58,-0.019,50,-0.252,66,-0.053,52,NA
"5","R",2015,400,32,NA,0,22371,"Baddeley, Aaron","34 04 09","RBC Canadian Open","Y ",0,"",999," CUT",73,109,72,108,0,0,0,0,0,0,0,0,72,145,2,999,"      1.638",999,0,999,5,999,26,4,999,1,NA,5,999,5,23,351,167,1210,4,999,8386,999,14,13,28,999,999,3,5,NA,0,14.25,2,NA,0,14.25,2,220.5,8,120.417,8,57.75,2,"        107.167",3,NA,NA,NA,NA,44.417,1,44.417,1,52.917,2,75.167,2,NA,NA,72.833,1,36,23,999,"      1,064.500",36,999,24,"    524.500",999,6,"    245.333",999,3,108.583,3,"    136.750",5,3,1,10,13,999,79.083,12,999,5,7,4,4,0,0,1,1,5,7,4,4,2,2,999,16.167,2,0,NA,58,44,16,2,20,37.5,1439,2,27,27,3,1,2,1,5,3,1,0,2,0,0,0,2,0,32,29,999,10,3,999,10,4,999,42,32,999,3,3,999,5,1,999,1,0,999,7,0,999,4,16,999," 3.506-",2,999,"  .140-",999," 2.638-",999,-0.14,999,0.954,999,-0.379,999,NA
"6","R",2015,400,32,NA,0,28259,"Bae, Sangmoon","29 01 05","RBC Canadian Open","Y ",0,"",999," CUT",73,109,72,108,0,0,0,0,0,0,0,0,72,145,2,999,"      1.638",999,0,999,5,999,25,6,999,NA,NA,6,999,5,18,363,54,1113,4,999,8326,999,11,7,28,999,999,4,10,NA,0,29.917,2,89.417,4,119.333,6,108.667,5,135.333,4,213.333,3,"        118.583",2,105.583,1,NA,NA,94.167,5,199.75,6,79.25,3,77.667,2,NA,NA,45.917,1,36,18,999,"      1,222.583",36,999,20,"    695.250",999,12,"    402.583",999,2,60,10,"    342.583",5,3,0,12,18,999,133.083,15,999,6,8,1,1,1,4,0,2,5,6,6,6,4,5,999,13.667,4,0,NA,54,31,18,0,18,30.417,1251,2,19,19,6,6,5,5,3,3,2,2,1,0,1,1,0,0,30,30,999,7,6,999,11,10,999,37,36,999,3,0,999,3,0,999,3,0,999,8,0,999,NA,17,999,"  1.320",2,999,"  .358-",999," 2.638-",999,-0.358,999,-2.321,999,0.7,999,NA
"7","R",2015,400,32,NA,0,35545,"Barber, Blayne","25 07 01","RBC Canadian Open","Y ",0.58,"   9,512.00",91,"  91",68,17,74,72,79,91,0,0,0,0,0,0,68,221,3,999,"      2.351",999,0,999,17,999,19,14,999,4,NA,18,999,16,30,345,281,1814,6,999,12617,999,24,22,42,999,999,10,8,NA,0,62.167,4,138,5,200.167,9,189.75,10,279.667,10,7.917,2,"        275.500",4,14.667,1,NA,NA,91.833,4,106.5,5,158.333,5,81.5,1,154.167,3,98.667,2,54,30,999,"      1,663.167",54,999,35,"    953.000",999,16,"    599.167",999,10,406.417,6,"    192.750",8,4,1,11,24,999,227.25,19,999,5,10,2,2,1,3,0,4,6,9,4,6,3,8,999,65.25,6,1,6,84,50,28,6,25,75.917,3160,3,27,26,6,6,7,5,3,0,3,2,4,4,5,4,2,1,40,37,999,17,11,999,17,11,999,57,48,999,8,2,999,6,2,999,1,0,999,12,1,999,5,27,999,"   .217",3,999,"   .343",999," 7.352-",999,0.343,999,-1.537,999,-1.329,999,NA
"8","R",2015,400,32,NA,0,24846,"Barnes, Ricky","34 05 20","RBC Canadian Open","Y ",59.571," 115,171.43",11," T11",68,17,70,22,68,11,71,11,0,0,0,0,68,277,4,11,"      3.108",11,2,5,17,35,43,10,43,NA,NA,10,29,17,46,364,52,2412,8,40,16443,58,19,34,56,11,17,10,6,NA,0,72.417,3,130.667,6,203.083,9,394.75,17,291.5,12,186.667,6,"        499.083",9,NA,NA,NA,NA,11.417,1,11.417,1,71.5,3,138,4,266.167,4,142.583,2,72,47,36,"      2,424.417",72,65,53,"  1,575.083",74,14,"    629.667",60,8,417.5,6,"    212.167",12,4,5,16,25,37,168.5,23,37,9,13,1,1,1,2,1,3,12,18,2,2,6,10,31,93.417,10,2,160,113,80,29,2,41,83.583,3566,4,43,43,7,7,6,3,2,2,5,4,3,1,1,1,5,2,56,53,70,16,10,32,16,10,62,72,63,51,16,3,60,7,3,8,3,0,37,15,1,28,7,41,34,"   .373",4,48,"   .402",7,"  7.892",11,0.402,31,0.743,27,0.735,13,NA
"9","R",2015,400,32,NA,0,47516,"Beale, James","","RBC Canadian Open","Y ",0,"",999," CUT",75,138,75,141,0,0,0,0,0,0,0,0,75,150,2,999,"      1.638",999,0,999,4,999,23,8,999,1,NA,9,999,3,19,345,281,1087,4,999,8200,999,9,15,28,999,999,6,3,34.167,1,27,2,35.75,3,96.917,6,166.417,7,98.333,4,242.417,4,"        276.167",4,18.667,2,6.75,1,54.75,2,80.167,5,65.667,2,54.75,2,NA,NA,57.917,1,36,19,999,"      1,138.750",35,999,25,"    880.250",999,10,"    258.500",999,6,181.583,4,"     76.917",4,4,1,8,17,999,118.333,13,999,6,12,0,0,2,4,0,0,1,5,5,6,1,4,999,35.167,3,1,9,60,36,11,1,24,56.167,1592,2,21,21,6,6,0,0,3,2,3,0,0,0,0,0,4,2,27,27,999,10,4,999,6,2,999,37,31,999,10,3,999,6,1,999,1,0,999,6,0,999,4,23,999," 2.504-",2,999,"  .040-",999," 7.638-",999,-0.04,999,-2.312,999,-0.215,999,NA
"10","R",2015,400,32,NA,0,32334,"Beljan, Charlie","30 09 16","RBC Canadian Open","Y ",0,"",999," CUT",74,123,72,119,0,0,0,0,0,0,0,0,72,146,2,999,"      1.638",999,1,999,8,999,17,8,999,2,NA,10,999,8,20,370,37,1253,4,999,8876,999,22,17,28,999,999,5,3,NA,0,130.75,5,96.917,4,227.667,9,309,10,126.5,4,70.917,3,"          3.250",1,NA,NA,16.083,1,24,1,40.083,2,111.667,3,NA,NA,NA,NA,130.417,2,36,20,999,"      1,137.333",36,999,27,"    737.333",999,7,"    282.167",999,4,197.083,3,"     85.083",5,3,2,8,16,999,158.917,14,999,3,5,1,1,0,1,1,1,6,10,1,3,4,9,999,53.333,7,0,NA,56,36,17,2,18,39.5,1998,2,13,11,10,10,4,1,6,6,0,0,1,0,1,0,0,0,27,22,999,8,6,999,11,7,999,35,28,999,7,7,999,4,0,999,4,0,999,6,0,999,7,21,999,"   .058",2,999,"  1.454",999," 3.638-",999,1.454,999,-2.967,999,-0.335,999,NA
