"","Tour","Tournament.Year","Tournament.Number","Permanent.Tournament.Number","Team.ID","Team.Number","Player.Number","Player.Name","Player.Age..years..months.days.","Event.Name","Official.Event.Y.N.","FedExCup.Points","Money","Finish.Position.numeric.","Finish.Position.text.","Round.1.Score","Round.1.Pos","Round.2.Score","Round.2.Pos","Round.3.Score","Round.3.Pos","Round.4.Score","Round.4.Pos","Round.5.Score","Round.5.Pos","Round.6.Score","Round.6.Pos","Lowest.Round","Total.Strokes","Total.Rounds.","Stroke.Average..Rank.","Scoring.Avg.Total.Adjustment.","Scoring.Avg.Total.Adjustment...Rank.","Eagles","Eagles..Rank.","Birdies","Birdies..Rank.","Pars","Bogeys","Bogeys..Rank.","Doubles","Others","Total.Holes.Over.Par","Bogey.Avoidance.Rank","Birdie.or.Better.Conv.....Birdies.","Birdie.or.Better.Conv.....Greens.Hit.","Longest.Drive","Longest.Drive..Rank.","Driving.Distance.Total.Distance.","Driving.Distance.Total.Drives.","Driving.Distance..Rank.","Driving.Dist....All.Drives.Tot..Dist..","Driving.Dist....All.Drives.Rank.","Drives.Over.300.Yards....of.Drives.","Driving.Acc....Fairways.Hit.","Driving.Acc....Possible.Fairways.","Driving.Accuracy.Rank","Total.Driving..Rank.","Left.Rough.Tendency.Total.Left.Rough.","Right.Rough.Tendency.Total.Right.Rough.","App..50.75.yds.ft.","App..50.75.yds.attempts.","App..75.100.yds.ft.","App..75.100.yds.attempts.","App..100.125.yds.ft.","App..100.125.yds.attempts.","App..50.125.Yards.ft.","App...50.125.Yards.attempts.","Approaches..125.150.Yards.ft.","Approaches...125.150.Yards.attempts.","Approaches...150.175.Yards.ft.","Approaches...150.175.Yards.attempts.","Approaches...175.200.Yards.ft.","Approaches...175.200.Yards.attempts.","Approaches....200.Yards.ft.","Approaches....200.Yards.attempts.","App..50.75.yds.ft....Rough","App..50.75.yds.attempts....Rough","App..75.100.yds.ft....Rough","App..75.100.yds.attempts....Rough","App..100.125.yds.ft....Rough","App..100.125.yds.attempts....Rough","Approaches.50.125.Yards.ft....Rough","Approaches.50.125.Yards.attempts....Rough","Approaches.125.150.Yards.ft....Rough","Approaches.125.150.Yards.attempts....Rough","Approaches.150.175.Yards.ft....Rough","Approaches.150.175.Yards.attempts....Rough","Approaches.175.200.Yards.ft....Rough","Approaches.175.200.Yards.attempts....Rough","Approaches..200.Yards.ft....Rough","Approaches....200.Yards.attempts....Rough","Total.Holes.Played","Total.Greens.in.Regulation","GIR.Rank","Total.Distance.ft..Prox.to.Hole","X..of.Attempts.Prox.to.Hole","Proximity.to.Hole..Rank.","Fairway.Prox.attempts.","Fairway.Prox.distance.in.ft.","Fairway.Prox..Rank.","Rough.Prox.attempts.","Rough.Prox.distance.in.ft.","Rough.Prox..Rank.","Left.Rough.Prox.attempts.","Left.Rough.Prox.distance.in.ft.","Right.Rough.Prox.attempts.","Right.Rough.Prox.distance.in.ft.","Going.for.Green.attempts.","Going.for.Green.non.attempts.","Going.for.the.Green.successes.","Scrambling.Par.or.Better","Scrambling.Missed.GIR","Scrambling..Rank.","Scrambling.Proximity..Total.Distance.","Scrambling.Proximity....of.shots.","Scrambling.Proximity..rank.","Scrambling.from.the.Rough.successes.","Scrambling.from.the.Rough.attempts.","Scrambling.from.the.Fringe.successes.","Scrambling.from.the.Fringe.attempts.","Scrambling....30.Yards.successes.","Scrambling....30.Yards.attempts.","Scrambling.20.30.Yards.successes.","Scrambling...20.30.Yards.attempts.","Scrambling.10.20.Yards.successes.","Scrambling.10.20.Yards.attempts.","Scrambling...10.Yards.successes.","Scrambling....10.Yards.attempts.","Sand.Save.....Saves.","Sand.Save.....Bunkers.","Sand.Save..Rank.","Prox.to.Hole.from.Sand.Total.Distance.","Prox.to.Hole.from.Sand...of.Shots.","Total.Hole.Outs","Longest.Hole.Out.yards.","Overall.Putting.Avg...of.Putts.","Putting.Avg.GIR.Putts.","One.Putt.....of.One.Putts.","X3.Putt.Avoid.Total.3.Putts.","Approach.Putt.Performance.attempts.","Approach.Putt.Performance.ft..","Avg.Distance.of.Putts.Made.Total.Distance.of.Putts.","Total.Rounds.Played","Putting.3..attempts.","Putting.3..putts.made.","Putting...4..attempts.","Putting.4..putts.made.","Putting.5..attempts.","Putting.5..putts.made.","Putting.6..attempts.","Putting.6..putts.made.","Putting.7..attempts.","Putting.7..putts.made.","Putting.8..attempts.","Putting.8..putts.made.","Putting.9..attempts.","Putting.9..putts.made.","Putting.10..attempts.","Putting.10..putts.made.","Putting.Inside.5...putts.made.","Putting.Inside.5...attempts.","Putting.Inside.5.Feet..Rank.","Putting.5....10...putts.made.","Putting.5....10...attempts.","Putting.5....10...Rank.","Putting.4..8..attempts.","Putting.4..8..putts.made.","Putting.4....8...Rank.","Putting.Inside.10..attempts.","Putting.Inside.10..putts.made.","Putting.Inside.10..rank.","Putting.10..15..attempts.","Putting...10..15..putts.made.","Putting.10..15..rank.","Putting.15.20..attempts.","Putting.15..20..putts.made.","Putting.15..20..rank.","Putting.20..25..attempts.","Putting.20..25..putts.made.","Putting.20..25..rank.","Putting..25..attempts.","Putting..25..putts.made.","Putting..25..rank.","Putting...10...putts.made.","Putting...10...attempts.","Putting...10...rank.","Total.Putts.Gained","Total.Rounds.Played.Putts.Gained.","Putts.Gained.Rank","TTL.SG.T2G","SG..T2G.Rank","TTL.SG.Total","SG..Total.Rank","OTT.SG.Avg.","OTT.SG.Rank","APP.SG.Avg.","APP.SG.Rank","ARG.SG.Avg.","ARG.SG.Rank","X"
"4","R",2015,250,12,NA,0,22371,"Baddeley, Aaron","34 01 02","RBC Heritage","Y ",4,"  12,272.00",66," T66",70,22,67,12,76,66,72,66,0,0,0,0,67,285,4,66,"      2.567",66,0,16,16,29,44,8,28,3,1,12,56,14,42,331,8,2207,8,49,14902,36,3,31,56,67,69,5,7,NA,0,NA,0,192.083,7,192.083,7,146.667,7,258.083,10,"        590.250",16,371.333,7,8.417,1,NA,NA,113.917,4,122.333,5,72.583,5,91.333,2,66.917,2,243.5,2,72,42,58,"      2,609.000",72,68,47,"  1,558.417",70,16,"    596.667",30,7,213.417,9,383.25,7,7,1,19,30,54,113.583,24,12,10,14,2,3,3,7,4,7,7,11,5,5,5,6,7,27.75,6,1,9,111,72,32,3,38,75.25,3634,4,45,44,6,4,4,4,5,3,8,4,3,1,4,1,2,2,55,52,62,22,11,53,20,12,59,77,63,71,9,3,27,11,2,38,4,0,43,10,2,7,7,34,22," 2.008-",4,58,"  .656-",60," 3.566-",66,-0.656,68,-0.452,58,0.719,9,NA
"6","R",2015,250,12,NA,0,24846,"Barnes, Ricky","34 02 13","RBC Heritage","Y ",31,"  25,370.00",37," T37",69,9,72,48,70,54,68,37,0,0,0,0,68,279,4,37,"      2.567",37,0,16,13,56,51,8,28,NA,NA,8,20,13,44,288,763,2113,8,72,14339,74,0,33,56,59,75,2,14,NA,0,45.167,5,53.5,4,98.667,9,92,7,243.75,10,"        795.000",21,402.75,7,NA,NA,NA,NA,142.917,3,142.917,3,NA,NA,137.167,4,173.5,3,121.5,3,72,44,48,"      2,506.833",72,62,54,"  1,632.167",42,13,"    575.083",60,1,67.25,12,507.833,6,8,2,21,28,18,236.083,26,69,7,8,1,1,1,4,10,10,7,11,3,3,4,7,35,63.417,7,1,7,110,78,33,1,38,59.333,3050,4,51,51,5,4,4,3,2,1,2,1,2,1,3,3,0,0,60,58,40,9,6,18,10,6,59,69,64,12,14,4,40,10,2,32,7,0,43,10,1,24,7,41,38,"  1.365",4,37,"  .556-",42,"  2.434",37,-0.556,64,0.639,31,0.184,34,NA
"8","R",2015,250,12,NA,0,40026,"Berger, Daniel","22 00 12","RBC Heritage","Y ",0.95,"  11,623.00",72," T72",72,55,68,40,75,71,72,72,0,0,0,0,68,287,4,72,"      2.567",72,1,5,8,76,51,11,55,1,NA,12,56,8,44,318,33,2363,8,2,15000,23,7,37,56,32,5,4,8,NA,0,29.833,1,134.25,7,164.083,8,171.417,6,480.667,15,"        514.000",17,408.667,7,56.083,1,7.917,1,16.917,1,80.917,3,101.583,3,58.25,2,NA,NA,149.917,2,72,45,40,"      2,637.583",71,73,53,"  1,738.833",67,10,"    390.667",40,4,98.417,6,292.25,8,6,1,17,27,56,241.917,24,72,4,4,0,0,1,4,2,5,9,12,5,5,1,6,66,38.25,4,1,39,115,83,29,2,42,86.917,2259,4,52,52,9,9,4,2,6,5,0,0,2,1,2,0,2,1,65,63,37,12,7,44,12,8,46,77,70,22,7,0,72,8,1,47,9,0,43,14,0,56,1,38,76," 4.303-",4,71,"   .572",58," 5.566-",72,0.572,12,-1.287,73,0.399,21,NA
"9","R",2015,250,12,NA,0,40058,"Blair, Zac","24 07 30","RBC Heritage","Y ",24,"  17,413.43",44," T44",70,22,69,29,71,43,70,44,0,0,0,0,69,280,4,44,"      2.567",44,0,16,15,39,46,11,55,NA,NA,11,50,14,42,308,87,2167,8,62,14518,65,1,32,56,62,74,4,12,NA,0,71.667,5,51.833,3,123.5,8,257.583,10,273.083,9,"        756.000",18,233,4,NA,NA,50.25,1,81.75,2,132,3,6.25,1,79.583,2,76.167,4,350.5,6,72,42,58,"      2,698.833",72,74,49,"  1,643.167",73,16,"    644.500",47,4,236.667,12,407.833,6,8,1,21,30,32,185.583,28,41,6,7,1,1,1,5,6,9,10,12,4,4,5,8,28,60.25,7,1,16,107,73,37,2,34,82.25,3573,4,39,39,8,7,7,6,6,6,3,2,4,3,1,0,2,2,54,52,49,16,13,3,20,17,7,70,65,10,9,4,9,11,1,55,6,0,43,11,1,27,6,37,41,"  3.111",4,22,"  .792-",61,"  1.434",44,-0.792,72,-0.024,47,0.397,22,NA
"10","R",2015,250,12,NA,0,27895,"Blixt, Jonas","30 11 26","RBC Heritage","Y ",0,"",999," CUT",72,55,72,87,0,0,0,0,0,0,0,0,72,144,2,999,"       .289",999,0,999,7,999,21,7,999,1,NA,8,999,7,21,297,277,1132,4,999,7384,999,0,14,28,999,999,4,6,NA,0,NA,0,44.25,3,44.25,3,143.833,8,152.75,5,"        199.417",8,101.833,1,NA,NA,NA,NA,40.167,1,40.167,1,11.667,1,105.583,4,57.833,1,29.667,1,36,21,999,"        962.167",35,999,25,"    642.083",999,8,"    244.917",999,3,81.5,5,163.417,2,4,1,7,15,999,101.833,12,999,1,2,1,1,0,2,0,1,7,10,0,1,3,5,999,8.917,3,0,NA,54,36,18,0,18,27.583,1985,2,23,22,4,4,5,3,2,1,1,0,1,0,0,0,0,0,32,29,999,4,1,999,9,4,999,36,30,999,7,3,999,6,2,999,1,0,999,4,1,999,6,18,999,"  .225-",2,999," 1.725-",999," 2.290-",999,-1.725,999,1.235,999,-0.542,999,NA
"11","R",2015,250,12,NA,0,24507,"Bohn, Jason","41 11 26","RBC Heritage","Y ",14,"  13,334.00",55," T55",73,78,68,48,74,71,67,55,0,0,0,0,67,282,4,55,"      2.567",55,0,16,13,56,49,9,39,1,NA,10,39,13,49,317,40,2188,8,53,14722,47,1,39,56,20,41,4,7,18.333,1,48.333,4,70.083,7,136.75,12,262.5,10,314.167,13,"        575.500",20,255.667,6,NA,NA,NA,NA,29.167,1,29.167,1,84.167,3,NA,NA,170,5,NA,NA,72,49,14,"      1,979.417",72,3,61,"  1,544.583",10,9,"    283.333",17,3,77.417,6,205.917,4,10,2,14,23,59,127.833,21,28,2,6,3,3,0,2,1,2,6,11,7,8,2,4,38,26.917,4,0,NA,118,88,27,1,45,97.333,3146,4,48,48,6,6,6,4,4,3,2,1,4,2,1,1,6,1,60,58,40,17,8,61,16,10,52,77,66,56,15,4,51,9,2,27,3,0,43,14,0,56,6,41,51," 2.702-",4,65,"   .371",35,"  .566-",55,0.371,28,0.805,23,-0.642,69,NA
"12","R",2015,250,12,NA,0,25274,"Bowditch, Steven","31 10 11","RBC Heritage","Y ",24,"  17,413.43",44," T44",74,93,68,67,68,43,70,44,0,0,0,0,68,280,4,44,"      2.567",44,0,16,14,44,50,6,15,2,NA,8,20,14,44,310,70,2322,8,5,15127,14,5,31,56,67,38,12,4,NA,0,69.167,2,170.417,8,239.583,10,199.083,8,385.667,15,"        430.833",14,184.25,3,NA,NA,NA,NA,28.917,1,28.917,1,199.25,8,40.25,1,48.25,1,314.167,4,72,44,48,"      2,358.417",72,36,50,"  1,439.417",30,15,"    630.833",52,11,426.333,4,204.5,8,6,1,22,28,14,117.333,25,9,9,10,3,3,1,2,3,3,13,17,5,5,1,4,61,19.5,3,0,NA,110,78,38,3,34,75.75,3855,4,41,41,8,7,7,4,3,3,6,4,5,4,4,1,1,0,56,52,73,19,12,30,21,15,38,75,64,58,11,3,42,7,2,14,6,2,5,11,1,27,8,35,15,"   .942",4,41,"   .266",47,"  1.434",44,0.266,37,-0.178,53,0.035,44,NA
"13","R",2015,250,12,NA,0,29479,"Brown, Scott","31 10 28","RBC Heritage","Y ",31,"  25,370.00",37," T37",74,93,67,48,71,61,67,37,0,0,0,0,67,279,4,37,"      2.567",37,0,16,16,29,47,8,28,NA,1,9,28,14,45,304,127,2258,8,28,14871,40,1,40,56,16,8,3,7,NA,0,125.25,7,54.25,4,179.5,11,170.083,8,272.25,11,"        548.667",18,422.167,9,NA,NA,NA,NA,71,1,71,1,84.833,3,104.917,3,14.667,1,155.5,2,72,45,40,"      2,295.750",72,30,57,"  1,592.667",24,10,"    430.917",55,3,104.917,7,326,7,7,0,19,27,28,93.75,25,5,5,7,4,5,1,3,2,4,8,11,8,9,1,3,54,17,2,1,7,107,77,34,1,36,72,2672,4,48,48,8,6,9,8,2,2,1,1,2,0,3,0,2,1,65,62,51,10,4,70,14,11,20,75,66,42,11,3,42,4,0,60,3,0,43,14,1,42,4,32,66," 2.563-",4,63,"   .021",18,"  2.434",37,0.021,48,0.51,35,0.718,10,NA
"15","R",2015,250,12,NA,0,12510,"Campbell, Chad","40 10 19","RBC Heritage","Y ",0,"",999," CUT",74,93,70,87,0,0,0,0,0,0,0,0,70,144,2,999,"       .289",999,0,999,7,999,21,7,999,1,NA,8,999,7,20,292,511,1075,4,999,7186,999,0,19,28,999,999,3,4,NA,0,10.583,1,54.583,3,65.167,4,41.667,3,329.917,9,"         50.000",4,301.833,5,NA,NA,54.333,1,NA,NA,54.333,1,50.083,1,65,3,112.5,3,53.75,1,36,20,999,"      1,182.833",36,999,25,"    788.583",999,9,"    335.667",999,5,170.5,4,165.167,3,3,0,8,16,999,111.917,14,999,1,3,3,3,0,1,0,1,6,11,2,2,1,6,999,44.167,5,0,NA,56,33,16,0,20,48.667,1745,2,21,21,6,6,3,2,2,1,2,1,1,0,4,2,0,0,30,29,999,9,4,999,8,4,999,39,33,999,5,1,999,6,1,999,1,1,999,5,0,999,3,17,999," 1.126-",2,999,"  .190-",999," 2.290-",999,-0.19,999,-0.145,999,-0.247,999,NA
"16","R",2015,250,12,NA,0,20472,"Cejka, Alex","44 04 17","RBC Heritage","Y ",37.5,"  34,220.00",31," T31",70,22,71,48,69,43,68,31,0,0,0,0,68,278,4,31,"      2.567",31,0,16,15,39,48,9,39,NA,NA,9,28,14,47,293,453,2229,8,41,14875,39,0,39,56,20,24,3,8,NA,0,5.75,1,306.083,11,311.833,12,212.833,9,232.167,11,"        677.500",18,561.5,7,1,1,NA,NA,NA,NA,1,1,56.833,2,126.333,3,137.083,4,47.833,1,72,47,33,"      2,574.250",72,67,57,"  1,995.833",75,11,"    369.083",22,4,136.75,7,232.333,6,8,1,16,25,52,171.5,23,51,7,12,1,1,0,4,4,6,8,11,4,4,3,5,29,55,5,1,9,110,81,32,0,39,86.75,3736,4,42,42,9,9,3,3,3,3,3,2,4,2,3,3,2,1,54,54,1,15,11,11,13,10,23,69,65,5,8,0,72,11,5,6,9,0,43,13,1,36,6,41,51,"  4.034",4,12,"   .325",53,"  3.434",31,0.325,32,-0.694,65,0.219,29,NA
