"","FGHeritageHistory5Yr$Player.Name","FGHeritageHistory5Yr$CourseHistoryPts"
"1","Baddeley, Aaron",9
"2","Barnes, Ricky",16
"3","Berger, Daniel",2
"4","Blair, Zac",2
"5","Blixt, Jonas",2
"6","Bohn, Jason",8
"7","Bowditch, Steven",2
"8","Bradley, Keegan",0
"9","Brown, Scott",14
"10","Campbell, Chad",10
"11","Casey, Paul",5
"12","Castro, Roberto",0
"13","Cejka, Alex",4
"14","Chalmers, Greg",7
"15","Chappell, Kevin",5
"16","Choi, K.J.",7
"17","Cink, Stewart",14
"18","Clark, Tim",9
"19","Colsaerts, Nicolas",2
"20","Compton, Erik",2
"21","Davis, Brian",17
"22","Day, Jason",15
"23","de Jonge, Brendon",25
"24","Donald, Luke",37
"25","Donaldson, Jamie",0
"26","Dufner, Jason",14
"27","Els, Ernie",2
"28","English, Harris",12
"29","Every, Matt",22
"30","Fathauer, Derek",0
"31","Finau, Tony",0
"32","Fisher, Ross",0
"33","Fitzpatrick, Matthew",5
"34","Furyk, Jim",37
"35","Gallacher, Stephen",0
"36","Glover, Lucas",7
"37","Gomez, Fabian",0
"38","Grace, Branden",10
"39","Haas, Bill",12
"40","Hadley, Chesson",2
"41","Hadwin, Adam",0
"42","Hahn, James",6
"43","Hanson, Peter",0
"44","Harman, Brian",16
"45","Harrington, Padraig",0
"46","Hearn, David",4
"47","Henley, Russell",10
"48","Henry, J.J.",2
"49","Hoffman, Charley",24
"50","Hoffmann, Morgan",10
"51","Holmes, J.B.",5
"52","Horschel, Billy",14
"53","Howell III, Charles",7
"54","Huh, John",10
"55","Ishikawa, Ryo",9
"56","Jacobson, Freddie",9
"57","Jaidee, Thongchai",0
"58","Johnson, Zach",14
"59","Jones, Matt",5
"60","Karlsson, Robert",0
"61","Kaymer, Martin",7
"62","Kelly, Jerry",24
"63","Kirk, Chris",12
"64","Kisner, Kevin",12
"65","Knost, Colt",10
"66","Knox, Russell",15
"67","Kokrak, Jason",12
"68","Kuchar, Matt",29
"69","Lahiri, Anirban",2
"70","Laird, Martin",2
"71","Lee, Danny",2
"72","Leishman, Marc",12
"73","Levin, Spencer",9
"74","Lingmerth, David",0
"75","Loupe, Andrew",2
"76","Love III, Davis",0
"77","Luiten, Joost",2
"78","Mahan, Hunter",2
"79","Martin, Ben",14
"80","Matsuyama, Hideki",0
"81","McDowell, Graeme",22
"82","McGirt, William",14
"83","McNeill, George",2
"84","Merritt, Troy",12
"85","Molder, Bryce",5
"86","Molinari, Francesco",0
"87","Na, Kevin",20
"88","O'Hair, Sean",12
"89","Ogilvy, Geoff",10
"90","Oosthuizen, Louis",10
"91","Ortiz, Carlos",0
"92","Owen, Greg",2
"93","Palmer, Ryan",2
"94","Perez, Pat",25
"95","Pettersson, Carl",22
"96","Piercy, Scott",0
"97","Poulter, Ian",7
"98","Reavie, Chez",4
"99","Reed, Patrick",4
"100","Romero, Andres",0
"101","Sabbatini, Rory",25
"102","Saunders, Sam",0
"103","Schwartzel, Charl",7
"104","Siem, Marcel",0
"105","Simpson, Webb",19
"106","Singh, Vijay",2
"107","Smith, Cameron",5
"108","Snedeker, Brandt",24
"109","Spieth, Jordan",20
"110","Stallings, Scott",0
"111","Steele, Brendan",5
"112","Stefani, Shawn",2
"113","Stenson, Henrik",0
"114","Streb, Robert",2
"115","Streelman, Kevin",21
"116","Stroud, Chris",14
"117","Summerhays, Daniel",4
"118","Swafford, Hudson",2
"119","Thomas, Justin",5
"120","Todd, Brendon",12
"121","Toms, David",2
"122","Tringale, Cameron",0
"123","Vegas, Jhonattan",0
"124","Villegas, Camilo",17
"125","Wagner, Johnson",5
"126","Weekley, Boo",18
"127","Woodland, Gary",2
