"","Tour","Tournament.Year","Tournament.Number","Permanent.Tournament.Number","Team.ID","Team.Number","Player.Number","Player.Name","Player.Age..years..months.days.","Event.Name","Official.Event.Y.N.","FedExCup.Points","Money","Finish.Position.numeric.","Finish.Position.text.","Round.1.Score","Round.1.Pos","Round.2.Score","Round.2.Pos","Round.3.Score","Round.3.Pos","Round.4.Score","Round.4.Pos","Round.5.Score","Round.5.Pos","Round.6.Score","Round.6.Pos","Lowest.Round","Total.Strokes","Total.Rounds.","Stroke.Average..Rank.","Scoring.Avg.Total.Adjustment.","Scoring.Avg.Total.Adjustment...Rank.","Eagles","Eagles..Rank.","Birdies","Birdies..Rank.","Pars","Bogeys","Bogeys..Rank.","Doubles","Others","Total.Holes.Over.Par","Bogey.Avoidance.Rank","Birdie.or.Better.Conv.....Birdies.","Birdie.or.Better.Conv.....Greens.Hit.","Longest.Drive","Longest.Drive..Rank.","Driving.Distance.Total.Distance.","Driving.Distance.Total.Drives.","Driving.Distance..Rank.","Driving.Dist....All.Drives.Tot..Dist..","Driving.Dist....All.Drives.Rank.","Drives.Over.300.Yards....of.Drives.","Driving.Acc....Fairways.Hit.","Driving.Acc....Possible.Fairways.","Driving.Accuracy.Rank","Total.Driving..Rank.","Left.Rough.Tendency.Total.Left.Rough.","Right.Rough.Tendency.Total.Right.Rough.","App..50.75.yds.ft.","App..50.75.yds.attempts.","App..75.100.yds.ft.","App..75.100.yds.attempts.","App..100.125.yds.ft.","App..100.125.yds.attempts.","App..50.125.Yards.ft.","App...50.125.Yards.attempts.","Approaches..125.150.Yards.ft.","Approaches...125.150.Yards.attempts.","Approaches...150.175.Yards.ft.","Approaches...150.175.Yards.attempts.","Approaches...175.200.Yards.ft.","Approaches...175.200.Yards.attempts.","Approaches....200.Yards.ft.","Approaches....200.Yards.attempts.","App..50.75.yds.ft....Rough","App..50.75.yds.attempts....Rough","App..75.100.yds.ft....Rough","App..75.100.yds.attempts....Rough","App..100.125.yds.ft....Rough","App..100.125.yds.attempts....Rough","Approaches.50.125.Yards.ft....Rough","Approaches.50.125.Yards.attempts....Rough","Approaches.125.150.Yards.ft....Rough","Approaches.125.150.Yards.attempts....Rough","Approaches.150.175.Yards.ft....Rough","Approaches.150.175.Yards.attempts....Rough","Approaches.175.200.Yards.ft....Rough","Approaches.175.200.Yards.attempts....Rough","Approaches..200.Yards.ft....Rough","Approaches....200.Yards.attempts....Rough","Total.Holes.Played","Total.Greens.in.Regulation","GIR.Rank","Total.Distance.ft..Prox.to.Hole","X..of.Attempts.Prox.to.Hole","Proximity.to.Hole..Rank.","Fairway.Prox.attempts.","Fairway.Prox.distance.in.ft.","Fairway.Prox..Rank.","Rough.Prox.attempts.","Rough.Prox.distance.in.ft.","Rough.Prox..Rank.","Left.Rough.Prox.attempts.","Left.Rough.Prox.distance.in.ft.","Right.Rough.Prox.attempts.","Right.Rough.Prox.distance.in.ft.","Going.for.Green.attempts.","Going.for.Green.non.attempts.","Going.for.the.Green.successes.","Scrambling.Par.or.Better","Scrambling.Missed.GIR","Scrambling..Rank.","Scrambling.Proximity..Total.Distance.","Scrambling.Proximity....of.shots.","Scrambling.Proximity..rank.","Scrambling.from.the.Rough.successes.","Scrambling.from.the.Rough.attempts.","Scrambling.from.the.Fringe.successes.","Scrambling.from.the.Fringe.attempts.","Scrambling....30.Yards.successes.","Scrambling....30.Yards.attempts.","Scrambling.20.30.Yards.successes.","Scrambling...20.30.Yards.attempts.","Scrambling.10.20.Yards.successes.","Scrambling.10.20.Yards.attempts.","Scrambling...10.Yards.successes.","Scrambling....10.Yards.attempts.","Sand.Save.....Saves.","Sand.Save.....Bunkers.","Sand.Save..Rank.","Prox.to.Hole.from.Sand.Total.Distance.","Prox.to.Hole.from.Sand...of.Shots.","Total.Hole.Outs","Longest.Hole.Out.yards.","Overall.Putting.Avg...of.Putts.","Putting.Avg.GIR.Putts.","One.Putt.....of.One.Putts.","X3.Putt.Avoid.Total.3.Putts.","Approach.Putt.Performance.attempts.","Approach.Putt.Performance.ft..","Avg.Distance.of.Putts.Made.Total.Distance.of.Putts.","Total.Rounds.Played","Putting.3..attempts.","Putting.3..putts.made.","Putting...4..attempts.","Putting.4..putts.made.","Putting.5..attempts.","Putting.5..putts.made.","Putting.6..attempts.","Putting.6..putts.made.","Putting.7..attempts.","Putting.7..putts.made.","Putting.8..attempts.","Putting.8..putts.made.","Putting.9..attempts.","Putting.9..putts.made.","Putting.10..attempts.","Putting.10..putts.made.","Putting.Inside.5...putts.made.","Putting.Inside.5...attempts.","Putting.Inside.5.Feet..Rank.","Putting.5....10...putts.made.","Putting.5....10...attempts.","Putting.5....10...Rank.","Putting.4..8..attempts.","Putting.4..8..putts.made.","Putting.4....8...Rank.","Putting.Inside.10..attempts.","Putting.Inside.10..putts.made.","Putting.Inside.10..rank.","Putting.10..15..attempts.","Putting...10..15..putts.made.","Putting.10..15..rank.","Putting.15.20..attempts.","Putting.15..20..putts.made.","Putting.15..20..rank.","Putting.20..25..attempts.","Putting.20..25..putts.made.","Putting.20..25..rank.","Putting..25..attempts.","Putting..25..putts.made.","Putting..25..rank.","Putting...10...putts.made.","Putting...10...attempts.","Putting...10...rank.","Total.Putts.Gained","Total.Rounds.Played.Putts.Gained.","Putts.Gained.Rank","TTL.SG.T2G","SG..T2G.Rank","TTL.SG.Total","SG..Total.Rank","OTT.SG.Avg.","OTT.SG.Rank","APP.SG.Avg.","APP.SG.Rank","ARG.SG.Avg.","ARG.SG.Rank","X"
"1","R",2015,250,12,NA,0,29910,"Adams, Blake","39 07 23","RBC Heritage","Y ",63," 129,800.00",11," T11",72,55,65,12,71,27,66,11,0,0,0,0,65,274,4,11,"      2.567",11,0,16,21,3,41,9,39,1,NA,10,39,21,54,310,70,2200,8,50,14607,58,1,44,56,5,15,4,3,NA,0,19.833,1,177.583,9,197.417,10,171.417,9,357.5,15,"        507.417",18,387.583,7,NA,NA,NA,NA,21.917,2,21.917,2,42.25,2,49.667,1,164.583,4,NA,NA,72,54,4,"      2,127.500",72,17,59,"  1,621.333",21,9,"    278.417",15,5,173.167,4,105.25,6,8,1,9,18,70,264.417,17,76,2,6,2,2,0,1,0,1,8,14,1,2,0,3,68,31.083,2,0,NA,115,89,30,1,42,104.917,4217,4,43,43,8,6,4,3,5,5,2,0,3,0,3,2,2,0,55,52,62,15,7,62,14,8,66,70,59,62,14,6,14,8,5,1,9,2,21,14,0,56,13,45,5,"  2.358",4,29,"   .449",16,"  7.434",11,0.449,23,1.937,4,-1.117,75,NA
"2","R",2015,250,12,NA,0,10885,"Allenby, Robert","43 09 07","RBC Heritage","Y ",14,"  13,334.00",55," T55",71,36,71,67,67,37,73,55,0,0,0,0,67,282,4,55,"      2.567",55,0,16,13,56,50,7,22,2,NA,9,28,12,45,294,413,2192,8,51,14447,69,0,40,56,16,33,6,6,NA,0,29.583,2,161.833,12,191.417,14,178.667,9,301.583,10,"        530.917",20,542.083,8,NA,NA,NA,NA,6.333,1,6.333,1,103.083,3,101.917,3,54.417,2,74.333,1,72,45,40,"      2,115.667",72,14,61,"  1,744.667",29,10,"    340.083",25,6,159.5,4,180.583,4,10,0,19,27,28,215.917,26,65,5,8,5,5,0,2,3,4,7,11,9,10,2,7,58,35.333,4,1,6,109,79,32,1,38,72.5,3146,4,51,51,6,6,1,1,3,2,5,1,2,1,3,1,1,0,58,58,1,14,5,74,11,5,75,72,63,45,14,4,40,8,1,47,5,0,43,10,2,7,7,37,31," 2.289-",4,61,"   .088",38,"  .566-",55,0.088,44,0.91,15,-0.567,67,NA
"3","R",2015,250,12,NA,0,7867,"Austin, Woody","51 02 23","RBC Heritage","Y ",0,"",999," CUT",75,111,73,120,0,0,0,0,0,0,0,0,73,148,2,999,"       .289",999,0,999,5,999,24,4,999,2,1,7,999,5,15,317,40,1116,4,999,7364,999,1,22,28,999,999,2,2,NA,0,NA,0,110.417,3,110.417,3,155.5,6,162.167,7,"        339.583",8,151.333,3,65.667,1,NA,NA,NA,NA,65.667,1,54.25,2,NA,NA,NA,NA,NA,NA,36,15,999,"      1,206.917",36,999,27,"    919.000",999,3,"    119.917",999,2,54.25,1,65.667,2,4,1,14,21,999,115.167,18,999,2,5,4,4,0,0,5,8,6,6,3,4,2,3,999,10.417,3,0,NA,52,26,20,0,16,36.5,1625,2,19,19,5,5,4,4,2,2,5,2,1,1,1,1,1,0,28,28,999,10,6,999,12,9,999,38,34,999,6,1,999,3,1,999,1,0,999,4,0,999,2,14,999,"   .192",2,999,"   .765",999," 6.290-",999,0.765,999,-3.829,999,-0.177,999,NA
"4","R",2015,250,12,NA,0,22371,"Baddeley, Aaron","34 01 02","RBC Heritage","Y ",4,"  12,272.00",66," T66",70,22,67,12,76,66,72,66,0,0,0,0,67,285,4,66,"      2.567",66,0,16,16,29,44,8,28,3,1,12,56,14,42,331,8,2207,8,49,14902,36,3,31,56,67,69,5,7,NA,0,NA,0,192.083,7,192.083,7,146.667,7,258.083,10,"        590.250",16,371.333,7,8.417,1,NA,NA,113.917,4,122.333,5,72.583,5,91.333,2,66.917,2,243.5,2,72,42,58,"      2,609.000",72,68,47,"  1,558.417",70,16,"    596.667",30,7,213.417,9,383.25,7,7,1,19,30,54,113.583,24,12,10,14,2,3,3,7,4,7,7,11,5,5,5,6,7,27.75,6,1,9,111,72,32,3,38,75.25,3634,4,45,44,6,4,4,4,5,3,8,4,3,1,4,1,2,2,55,52,62,22,11,53,20,12,59,77,63,71,9,3,27,11,2,38,4,0,43,10,2,7,7,34,22," 2.008-",4,58,"  .656-",60," 3.566-",66,-0.656,68,-0.452,58,0.719,9,NA
"5","R",2015,250,12,NA,0,28259,"Bae, Sangmoon","28 09 29","RBC Heritage","Y ",31,"  25,370.00",37," T37",67,3,73,40,70,43,69,37,0,0,0,0,67,279,4,37,"      2.567",37,0,16,14,44,49,9,39,NA,NA,9,28,13,48,305,114,2264,8,25,14986,27,2,35,56,52,45,6,10,NA,0,38.333,2,63.167,4,101.5,6,118.75,9,402.333,10,"        736.417",21,105.833,3,116.25,1,NA,NA,30.167,2,146.417,3,191.417,5,39.5,2,74.833,2,343,5,72,48,23,"      2,520.500",72,63,50,"  1,469.000",35,17,"    795.167",66,5,231.917,12,563.25,7,7,1,17,24,27,145.75,22,41,4,5,1,1,1,3,3,6,11,13,2,2,5,6,7,43,6,0,NA,115,86,29,2,42,87.25,2810,4,42,41,12,11,9,9,4,1,1,1,2,1,3,2,1,1,63,61,38,11,6,47,16,12,26,74,67,24,10,4,21,11,0,60,6,0,43,14,0,56,4,41,71," 1.846-",4,55,"   .597",20,"  2.434",37,0.597,10,0.007,46,0.466,18,NA
"6","R",2015,250,12,NA,0,24846,"Barnes, Ricky","34 02 13","RBC Heritage","Y ",31,"  25,370.00",37," T37",69,9,72,48,70,54,68,37,0,0,0,0,68,279,4,37,"      2.567",37,0,16,13,56,51,8,28,NA,NA,8,20,13,44,288,763,2113,8,72,14339,74,0,33,56,59,75,2,14,NA,0,45.167,5,53.5,4,98.667,9,92,7,243.75,10,"        795.000",21,402.75,7,NA,NA,NA,NA,142.917,3,142.917,3,NA,NA,137.167,4,173.5,3,121.5,3,72,44,48,"      2,506.833",72,62,54,"  1,632.167",42,13,"    575.083",60,1,67.25,12,507.833,6,8,2,21,28,18,236.083,26,69,7,8,1,1,1,4,10,10,7,11,3,3,4,7,35,63.417,7,1,7,110,78,33,1,38,59.333,3050,4,51,51,5,4,4,3,2,1,2,1,2,1,3,3,0,0,60,58,40,9,6,18,10,6,59,69,64,12,14,4,40,10,2,32,7,0,43,10,1,24,7,41,38,"  1.365",4,37,"  .556-",42,"  2.434",37,-0.556,64,0.639,31,0.184,34,NA
"7","R",2015,250,12,NA,0,32334,"Beljan, Charlie","30 06 09","RBC Heritage","Y ",1.327,"  11,918.00",69," T69",69,9,72,48,74,71,71,69,0,0,0,0,69,286,4,69,"      2.567",69,0,16,11,69,48,13,70,NA,NA,13,64,11,39,318,33,2267,8,24,15087,18,6,36,56,42,30,5,9,21.417,2,NA,0,185.667,8,207.083,10,277.167,8,317.5,12,"        542.333",16,425.333,7,NA,NA,57.667,1,27.583,1,85.25,2,26,2,192.25,4,139.667,3,32.917,1,72,39,69,"      2,489.083",72,60,54,"  1,780.833",68,12,"    476.083",46,5,169.167,7,306.917,6,8,1,22,33,41,255.333,32,60,6,10,4,5,0,2,3,4,9,17,10,10,0,4,68,32.083,4,0,NA,111,70,36,3,36,99.75,3115,4,43,43,10,8,7,7,2,1,5,2,7,3,2,1,5,4,60,58,40,21,11,52,21,13,55,81,69,60,9,3,27,5,0,60,7,0,43,9,0,56,3,30,70," 2.652-",4,64,"   .587",63," 4.566-",69,0.587,11,-0.717,66,-0.348,56,NA
"8","R",2015,250,12,NA,0,40026,"Berger, Daniel","22 00 12","RBC Heritage","Y ",0.95,"  11,623.00",72," T72",72,55,68,40,75,71,72,72,0,0,0,0,68,287,4,72,"      2.567",72,1,5,8,76,51,11,55,1,NA,12,56,8,44,318,33,2363,8,2,15000,23,7,37,56,32,5,4,8,NA,0,29.833,1,134.25,7,164.083,8,171.417,6,480.667,15,"        514.000",17,408.667,7,56.083,1,7.917,1,16.917,1,80.917,3,101.583,3,58.25,2,NA,NA,149.917,2,72,45,40,"      2,637.583",71,73,53,"  1,738.833",67,10,"    390.667",40,4,98.417,6,292.25,8,6,1,17,27,56,241.917,24,72,4,4,0,0,1,4,2,5,9,12,5,5,1,6,66,38.25,4,1,39,115,83,29,2,42,86.917,2259,4,52,52,9,9,4,2,6,5,0,0,2,1,2,0,2,1,65,63,37,12,7,44,12,8,46,77,70,22,7,0,72,8,1,47,9,0,43,14,0,56,1,38,76," 4.303-",4,71,"   .572",58," 5.566-",72,0.572,12,-1.287,73,0.399,21,NA
"9","R",2015,250,12,NA,0,40058,"Blair, Zac","24 07 30","RBC Heritage","Y ",24,"  17,413.43",44," T44",70,22,69,29,71,43,70,44,0,0,0,0,69,280,4,44,"      2.567",44,0,16,15,39,46,11,55,NA,NA,11,50,14,42,308,87,2167,8,62,14518,65,1,32,56,62,74,4,12,NA,0,71.667,5,51.833,3,123.5,8,257.583,10,273.083,9,"        756.000",18,233,4,NA,NA,50.25,1,81.75,2,132,3,6.25,1,79.583,2,76.167,4,350.5,6,72,42,58,"      2,698.833",72,74,49,"  1,643.167",73,16,"    644.500",47,4,236.667,12,407.833,6,8,1,21,30,32,185.583,28,41,6,7,1,1,1,5,6,9,10,12,4,4,5,8,28,60.25,7,1,16,107,73,37,2,34,82.25,3573,4,39,39,8,7,7,6,6,6,3,2,4,3,1,0,2,2,54,52,49,16,13,3,20,17,7,70,65,10,9,4,9,11,1,55,6,0,43,11,1,27,6,37,41,"  3.111",4,22,"  .792-",61,"  1.434",44,-0.792,72,-0.024,47,0.397,22,NA
"10","R",2015,250,12,NA,0,27895,"Blixt, Jonas","30 11 26","RBC Heritage","Y ",0,"",999," CUT",72,55,72,87,0,0,0,0,0,0,0,0,72,144,2,999,"       .289",999,0,999,7,999,21,7,999,1,NA,8,999,7,21,297,277,1132,4,999,7384,999,0,14,28,999,999,4,6,NA,0,NA,0,44.25,3,44.25,3,143.833,8,152.75,5,"        199.417",8,101.833,1,NA,NA,NA,NA,40.167,1,40.167,1,11.667,1,105.583,4,57.833,1,29.667,1,36,21,999,"        962.167",35,999,25,"    642.083",999,8,"    244.917",999,3,81.5,5,163.417,2,4,1,7,15,999,101.833,12,999,1,2,1,1,0,2,0,1,7,10,0,1,3,5,999,8.917,3,0,NA,54,36,18,0,18,27.583,1985,2,23,22,4,4,5,3,2,1,1,0,1,0,0,0,0,0,32,29,999,4,1,999,9,4,999,36,30,999,7,3,999,6,2,999,1,0,999,4,1,999,6,18,999,"  .225-",2,999," 1.725-",999," 2.290-",999,-1.725,999,1.235,999,-0.542,999,NA
