"","Tour","Tournament.Year","Tournament.Number","Permanent.Tournament.Number","Team.ID","Team.Number","Player.Number","Player.Name","Player.Age..years..months.days.","Event.Name","Official.Event.Y.N.","FedExCup.Points","Money","Finish.Position.numeric.","Finish.Position.text.","Round.1.Score","Round.1.Pos","Round.2.Score","Round.2.Pos","Round.3.Score","Round.3.Pos","Round.4.Score","Round.4.Pos","Round.5.Score","Round.5.Pos","Round.6.Score","Round.6.Pos","Lowest.Round","Total.Strokes","Total.Rounds.","Stroke.Average..Rank.","Scoring.Avg.Total.Adjustment.","Scoring.Avg.Total.Adjustment...Rank.","Eagles","Eagles..Rank.","Birdies","Birdies..Rank.","Pars","Bogeys","Bogeys..Rank.","Doubles","Others","Total.Holes.Over.Par","Bogey.Avoidance.Rank","Birdie.or.Better.Conv.....Birdies.","Birdie.or.Better.Conv.....Greens.Hit.","Longest.Drive","Longest.Drive..Rank.","Driving.Distance.Total.Distance.","Driving.Distance.Total.Drives.","Driving.Distance..Rank.","Driving.Dist....All.Drives.Tot..Dist..","Driving.Dist....All.Drives.Rank.","Drives.Over.300.Yards....of.Drives.","Driving.Acc....Fairways.Hit.","Driving.Acc....Possible.Fairways.","Driving.Accuracy.Rank","Total.Driving..Rank.","Left.Rough.Tendency.Total.Left.Rough.","Right.Rough.Tendency.Total.Right.Rough.","App..50.75.yds.ft.","App..50.75.yds.attempts.","App..75.100.yds.ft.","App..75.100.yds.attempts.","App..100.125.yds.ft.","App..100.125.yds.attempts.","App..50.125.Yards.ft.","App...50.125.Yards.attempts.","Approaches..125.150.Yards.ft.","Approaches...125.150.Yards.attempts.","Approaches...150.175.Yards.ft.","Approaches...150.175.Yards.attempts.","Approaches...175.200.Yards.ft.","Approaches...175.200.Yards.attempts.","Approaches....200.Yards.ft.","Approaches....200.Yards.attempts.","App..50.75.yds.ft....Rough","App..50.75.yds.attempts....Rough","App..75.100.yds.ft....Rough","App..75.100.yds.attempts....Rough","App..100.125.yds.ft....Rough","App..100.125.yds.attempts....Rough","Approaches.50.125.Yards.ft....Rough","Approaches.50.125.Yards.attempts....Rough","Approaches.125.150.Yards.ft....Rough","Approaches.125.150.Yards.attempts....Rough","Approaches.150.175.Yards.ft....Rough","Approaches.150.175.Yards.attempts....Rough","Approaches.175.200.Yards.ft....Rough","Approaches.175.200.Yards.attempts....Rough","Approaches..200.Yards.ft....Rough","Approaches....200.Yards.attempts....Rough","Total.Holes.Played","Total.Greens.in.Regulation","GIR.Rank","Total.Distance.ft..Prox.to.Hole","X..of.Attempts.Prox.to.Hole","Proximity.to.Hole..Rank.","Fairway.Prox.attempts.","Fairway.Prox.distance.in.ft.","Fairway.Prox..Rank.","Rough.Prox.attempts.","Rough.Prox.distance.in.ft.","Rough.Prox..Rank.","Left.Rough.Prox.attempts.","Left.Rough.Prox.distance.in.ft.","Right.Rough.Prox.attempts.","Right.Rough.Prox.distance.in.ft.","Going.for.Green.attempts.","Going.for.Green.non.attempts.","Going.for.the.Green.successes.","Scrambling.Par.or.Better","Scrambling.Missed.GIR","Scrambling..Rank.","Scrambling.Proximity..Total.Distance.","Scrambling.Proximity....of.shots.","Scrambling.Proximity..rank.","Scrambling.from.the.Rough.successes.","Scrambling.from.the.Rough.attempts.","Scrambling.from.the.Fringe.successes.","Scrambling.from.the.Fringe.attempts.","Scrambling....30.Yards.successes.","Scrambling....30.Yards.attempts.","Scrambling.20.30.Yards.successes.","Scrambling...20.30.Yards.attempts.","Scrambling.10.20.Yards.successes.","Scrambling.10.20.Yards.attempts.","Scrambling...10.Yards.successes.","Scrambling....10.Yards.attempts.","Sand.Save.....Saves.","Sand.Save.....Bunkers.","Sand.Save..Rank.","Prox.to.Hole.from.Sand.Total.Distance.","Prox.to.Hole.from.Sand...of.Shots.","Total.Hole.Outs","Longest.Hole.Out.yards.","Overall.Putting.Avg...of.Putts.","Putting.Avg.GIR.Putts.","One.Putt.....of.One.Putts.","X3.Putt.Avoid.Total.3.Putts.","Approach.Putt.Performance.attempts.","Approach.Putt.Performance.ft..","Avg.Distance.of.Putts.Made.Total.Distance.of.Putts.","Total.Rounds.Played","Putting.3..attempts.","Putting.3..putts.made.","Putting...4..attempts.","Putting.4..putts.made.","Putting.5..attempts.","Putting.5..putts.made.","Putting.6..attempts.","Putting.6..putts.made.","Putting.7..attempts.","Putting.7..putts.made.","Putting.8..attempts.","Putting.8..putts.made.","Putting.9..attempts.","Putting.9..putts.made.","Putting.10..attempts.","Putting.10..putts.made.","Putting.Inside.5...putts.made.","Putting.Inside.5...attempts.","Putting.Inside.5.Feet..Rank.","Putting.5....10...putts.made.","Putting.5....10...attempts.","Putting.5....10...Rank.","Putting.4..8..attempts.","Putting.4..8..putts.made.","Putting.4....8...Rank.","Putting.Inside.10..attempts.","Putting.Inside.10..putts.made.","Putting.Inside.10..rank.","Putting.10..15..attempts.","Putting...10..15..putts.made.","Putting.10..15..rank.","Putting.15.20..attempts.","Putting.15..20..putts.made.","Putting.15..20..rank.","Putting.20..25..attempts.","Putting.20..25..putts.made.","Putting.20..25..rank.","Putting..25..attempts.","Putting..25..putts.made.","Putting..25..rank.","Putting...10...putts.made.","Putting...10...attempts.","Putting...10...rank.","Total.Putts.Gained","Total.Rounds.Played.Putts.Gained.","Putts.Gained.Rank","TTL.SG.T2G","SG..T2G.Rank","TTL.SG.Total","SG..Total.Rank","OTT.SG.Avg.","OTT.SG.Rank","APP.SG.Avg.","APP.SG.Rank","ARG.SG.Avg.","ARG.SG.Rank","X"
"2","R",2015,240,14,NA,0,10944,"Bjorn, Thomas","44 01 25","Masters Tournament","Y ",0,"",999," CUT",72,31,79,80,0,0,0,0,0,0,0,0,72,151,2,999,"- 2.205",999,0,999,5,999,22,6,999,3,NA,9,999,5,20,283,332,1069,4,999,0,NA,NA,22,28,999,999,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,20,999,NA,0,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,0,0,9,16,999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,999,NA,0,0,NA,58,38,14,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","R",2015,240,14,NA,0,27895,"Blixt, Jonas","30 11 19","Masters Tournament","Y ",41,"  68,000.00",28," T28",72,31,70,19,70,12,75,28,0,0,0,0,70,287,4,28,"- 1.275",28,0,33,14,33,46,11,23,1,NA,12,17,13,44,293,196,2269,8,41,0,NA,NA,35,56,38,49,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,44,44,NA,0,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,0,0,17,28,22,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7,NA,0,0,NA,112,78,30,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","R",2015,240,14,NA,0,33141,"Bradley, Keegan","28 10 05","Masters Tournament","Y ",46.5,"  92,833.00",22," T22",71,18,72,27,75,42,68,22,0,0,0,0,68,286,4,22,"- 1.275",22,0,33,17,15,41,13,35,1,NA,14,34,17,47,319,30,2367,8,11,0,NA,NA,40,56,17,6,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,47,25,NA,0,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,0,0,13,25,38,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,7,47,NA,0,0,NA,120,84,27,3,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","R",2015,240,14,NA,0,20848,"Cabrera, Angel","45 07 00","Masters Tournament","Y ",46.5,"  92,833.00",22," T22",72,31,69,12,73,21,72,22,0,0,0,0,69,286,4,22,"- 1.275",22,1,10,15,22,42,13,35,1,NA,14,34,16,46,314,48,2382,8,6,0,NA,NA,29,56,55,35,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,46,28,NA,0,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,0,0,16,26,18,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,5,8,13,NA,0,0,NA,115,84,33,4,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","R",2015,240,14,NA,0,25364,"Casey, Paul","37 08 22","Masters Tournament","Y ",101.333," 335,000.00",6,"  T6",69,8,68,3,74,10,68,6,0,0,0,0,68,279,4,6,"- 1.275",6,1,10,14,33,50,7,2,NA,NA,7,2,14,50,311,65,2293,8,35,0,NA,NA,38,56,23,30,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,50,11,NA,0,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,0,0,18,22,1,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,NA,0,0,NA,116,92,29,3,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","R",2015,240,14,NA,0,19825,"Clarke, Darren","46 07 29","Masters Tournament","Y ",0,"  23,800.00",52," T52",74,54,71,33,77,53,72,52,0,0,0,0,71,294,4,52,"- 1.275",52,0,33,14,33,41,14,44,3,NA,17,49,14,43,301,118,2269,8,41,0,NA,NA,36,56,30,45,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,43,49,NA,0,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,0,0,13,29,47,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,3,8,39,NA,0,0,NA,122,76,27,5,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","R",2015,240,14,NA,0,24494,"Compton, Erik","35 05 01","Masters Tournament","Y ",20,"  24,600.00",51,"  51",73,41,72,33,74,46,74,51,0,0,0,0,72,293,4,51,"- 1.275",51,0,33,9,53,50,12,29,1,NA,13,27,9,46,318,33,2310,8,30,0,NA,NA,35,56,38,44,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,46,28,NA,0,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,0,0,19,26,5,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,4,8,20,NA,0,0,NA,124,93,26,6,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","R",2015,240,14,NA,0,1226,"Couples, Fred","55 06 09","Masters Tournament","Y ",0,"",999," CUT",79,89,74,89,0,0,0,0,0,0,0,0,74,153,2,999,"- 2.205",999,0,999,4,999,20,11,999,1,NA,12,999,4,17,295,173,1132,4,999,0,NA,NA,20,28,999,999,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,17,999,NA,0,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,0,0,9,19,999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,5,999,NA,0,0,NA,60,34,14,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","R",2015,240,14,NA,0,28089,"Day, Jason","27 05 00","Masters Tournament","Y ",41,"  68,000.00",28," T28",67,2,74,12,71,12,75,28,0,0,0,0,67,287,4,28,"- 1.275",28,1,10,15,22,40,16,52,NA,NA,16,45,15,43,345,1,2463,8,2,0,NA,NA,30,56,51,25,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,43,49,NA,0,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,0,0,15,29,40,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,6,54,NA,0,0,NA,117,77,28,3,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","R",2015,240,14,NA,0,25369,"Donaldson, Jamie","39 05 24","Masters Tournament","Y ",36,"  54,000.00",33," T33",74,54,71,33,76,51,67,33,0,0,0,0,67,288,4,33,"- 1.275",33,0,33,18,8,38,14,44,2,NA,16,45,18,49,311,65,2344,8,20,0,NA,NA,30,56,51,45,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,49,16,NA,0,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,0,0,8,23,53,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,6,42,NA,0,0,NA,122,85,25,3,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
