"","FGMastersHistory5Yr$Player.Name","FGMastersHistory5Yr$CourseHistoryPts"
"1","Baddeley, Aaron",4
"2","Barnes, Ricky",5
"3","Bjorn, Thomas",14
"4","Blixt, Jonas",15
"5","Bohn, Jason",0
"6","Bowditch, Steven",5
"7","Bradley, Keegan",12
"8","Cabrera, Angel",27
"9","Casey, Paul",12
"10","Castro, Roberto",0
"11","Cejka, Alex",2
"12","Chappell, Kevin",2
"13","Choi, K.J.",14
"14","Cink, Stewart",12
"15","Clark, Tim",5
"16","Clarke, Darren",4
"17","Coetzee, George",0
"18","Colsaerts, Nicolas",0
"19","Compton, Erik",2
"20","Couples, Fred",20
"21","Day, Jason",30
"22","de Jonge, Brendon",2
"23","Donald, Luke",17
"24","Donaldson, Jamie",7
"25","Dubuisson, Victor",0
"26","Dufner, Jason",12
"27","Els, Ernie",12
"28","English, Harris",0
"29","Every, Matt",0
"30","Fisher, Ross",7
"31","Fitzpatrick, Matthew",0
"32","Fujita, Hiroyuki",0
"33","Furyk, Jim",20
"34","Gallacher, Stephen",2
"35","Garcia, Sergio",22
"36","Glover, Lucas",4
"37","Goosen, Retief",0
"38","Grace, Branden",5
"39","Haas, Bill",19
"40","Hahn, James",0
"41","Hansen, Anders",5
"42","Hanson, Peter",12
"43","Harman, Brian",0
"44","Harrington, Padraig",10
"45","Henley, Russell",7
"46","Hoffman, Charley",15
"47","Hoffmann, Morgan",5
"48","Holmes, J.B.",0
"49","Horschel, Billy",2
"50","Howell III, Charles",5
"51","Huh, John",5
"52","Ikeda, Yuta",0
"53","Ilonen, Mikko",0
"54","Ishikawa, Ryo",7
"55","Jacobson, Freddie",10
"56","Jaidee, Thongchai",4
"57","Johnson, Dustin",17
"58","Johnson, Zach",14
"59","Jones, Matt",0
"60","Karlsson, Robert",7
"61","Kaymer, Martin",6
"62","Kelly, Jerry",0
"63","Kim, K.T.",2
"64","Kirk, Chris",7
"65","Koepka, Brooks",2
"66","Kuchar, Matt",37
"67","Lahiri, Anirban",2
"68","Laird, Martin",7
"69","Langer, Bernhard",15
"70","Lawrie, Paul",7
"71","Leishman, Marc",10
"72","Love III, Davis",0
"73","Lowry, Shane",0
"74","Luiten, Joost",5
"75","Lyle, Sandy",4
"76","Mahan, Hunter",20
"77","Martin, Ben",0
"78","Matsuyama, Hideki",17
"79","McDowell, Graeme",7
"80","McIlroy, Rory",32
"81","Mickelson, Phil",27
"82","Mize, Larry",2
"83","Molinari, Francesco",7
"84","Moore, Ryan",9
"85","Na, Kevin",12
"86","O'Hair, Sean",2
"87","O'Meara, Mark",5
"88","Ogilvy, Geoff",17
"89","Olesen, Thorbjorn",12
"90","Oosthuizen, Louis",20
"91","Palmer, Ryan",12
"92","Pettersson, Carl",2
"93","Piercy, Scott",2
"94","Poulter, Ian",30
"95","Quiros, Alvaro",5
"96","Reavie, Chez",0
"97","Reed, Patrick",5
"98","Rose, Justin",35
"99","Sabbatini, Rory",0
"100","Schwartzel, Charl",19
"101","Scott, Adam",37
"102","Senden, John",14
"103","Simpson, Webb",7
"104","Singh, Vijay",11
"105","Snedeker, Brandt",22
"106","Spieth, Jordan",20
"107","Stallings, Scott",5
"108","Steele, Brendan",0
"109","Stenson, Henrik",17
"110","Streb, Robert",0
"111","Streelman, Kevin",7
"112","Stricker, Steve",19
"113","Todd, Brendon",0
"114","Toms, David",12
"115","Tringale, Cameron",2
"116","Uihlein, Peter",0
"117","Vegas, Jhonattan",0
"118","Villegas, Camilo",2
"119","Wagner, Johnson",0
"120","Walker, Jimmy",12
"121","Watney, Nick",11
"122","Watson, Bubba",26
"123","Weekley, Boo",0
"124","Westwood, Lee",37
"125","Wiesberger, Bernd",5
"126","Willett, Danny",2
"127","Wiratchant, Thaworn",0
"128","Woodland, Gary",10
"129","Woods, Tiger",27
"130","Woosnam, Ian",0
