"","Tour","Tournament.Year","Tournament.Number","Permanent.Tournament.Number","Team.ID","Team.Number","Player.Number","Player.Name","Player.Age..years..months.days.","Event.Name","Official.Event.Y.N.","FedExCup.Points","Money","Finish.Position.numeric.","Finish.Position.text.","Round.1.Score","Round.1.Pos","Round.2.Score","Round.2.Pos","Round.3.Score","Round.3.Pos","Round.4.Score","Round.4.Pos","Round.5.Score","Round.5.Pos","Round.6.Score","Round.6.Pos","Lowest.Round","Total.Strokes","Total.Rounds.","Stroke.Average..Rank.","Scoring.Avg.Total.Adjustment.","Scoring.Avg.Total.Adjustment...Rank.","Eagles","Eagles..Rank.","Birdies","Birdies..Rank.","Pars","Bogeys","Bogeys..Rank.","Doubles","Others","Total.Holes.Over.Par","Bogey.Avoidance.Rank","Birdie.or.Better.Conv.....Birdies.","Birdie.or.Better.Conv.....Greens.Hit.","Longest.Drive","Longest.Drive..Rank.","Driving.Distance.Total.Distance.","Driving.Distance.Total.Drives.","Driving.Distance..Rank.","Driving.Dist....All.Drives.Tot..Dist..","Driving.Dist....All.Drives.Rank.","Drives.Over.300.Yards....of.Drives.","Driving.Acc....Fairways.Hit.","Driving.Acc....Possible.Fairways.","Driving.Accuracy.Rank","Total.Driving..Rank.","Left.Rough.Tendency.Total.Left.Rough.","Right.Rough.Tendency.Total.Right.Rough.","App..50.75.yds.ft.","App..50.75.yds.attempts.","App..75.100.yds.ft.","App..75.100.yds.attempts.","App..100.125.yds.ft.","App..100.125.yds.attempts.","App..50.125.Yards.ft.","App...50.125.Yards.attempts.","Approaches..125.150.Yards.ft.","Approaches...125.150.Yards.attempts.","Approaches...150.175.Yards.ft.","Approaches...150.175.Yards.attempts.","Approaches...175.200.Yards.ft.","Approaches...175.200.Yards.attempts.","Approaches....200.Yards.ft.","Approaches....200.Yards.attempts.","App..50.75.yds.ft....Rough","App..50.75.yds.attempts....Rough","App..75.100.yds.ft....Rough","App..75.100.yds.attempts....Rough","App..100.125.yds.ft....Rough","App..100.125.yds.attempts....Rough","Approaches.50.125.Yards.ft....Rough","Approaches.50.125.Yards.attempts....Rough","Approaches.125.150.Yards.ft....Rough","Approaches.125.150.Yards.attempts....Rough","Approaches.150.175.Yards.ft....Rough","Approaches.150.175.Yards.attempts....Rough","Approaches.175.200.Yards.ft....Rough","Approaches.175.200.Yards.attempts....Rough","Approaches..200.Yards.ft....Rough","Approaches....200.Yards.attempts....Rough","Total.Holes.Played","Total.Greens.in.Regulation","GIR.Rank","Total.Distance.ft..Prox.to.Hole","X..of.Attempts.Prox.to.Hole","Proximity.to.Hole..Rank.","Fairway.Prox.attempts.","Fairway.Prox.distance.in.ft.","Fairway.Prox..Rank.","Rough.Prox.attempts.","Rough.Prox.distance.in.ft.","Rough.Prox..Rank.","Left.Rough.Prox.attempts.","Left.Rough.Prox.distance.in.ft.","Right.Rough.Prox.attempts.","Right.Rough.Prox.distance.in.ft.","Going.for.Green.attempts.","Going.for.Green.non.attempts.","Going.for.the.Green.successes.","Scrambling.Par.or.Better","Scrambling.Missed.GIR","Scrambling..Rank.","Scrambling.Proximity..Total.Distance.","Scrambling.Proximity....of.shots.","Scrambling.Proximity..rank.","Scrambling.from.the.Rough.successes.","Scrambling.from.the.Rough.attempts.","Scrambling.from.the.Fringe.successes.","Scrambling.from.the.Fringe.attempts.","Scrambling....30.Yards.successes.","Scrambling....30.Yards.attempts.","Scrambling.20.30.Yards.successes.","Scrambling...20.30.Yards.attempts.","Scrambling.10.20.Yards.successes.","Scrambling.10.20.Yards.attempts.","Scrambling...10.Yards.successes.","Scrambling....10.Yards.attempts.","Sand.Save.....Saves.","Sand.Save.....Bunkers.","Sand.Save..Rank.","Prox.to.Hole.from.Sand.Total.Distance.","Prox.to.Hole.from.Sand...of.Shots.","Total.Hole.Outs","Longest.Hole.Out.yards.","Overall.Putting.Avg...of.Putts.","Putting.Avg.GIR.Putts.","One.Putt.....of.One.Putts.","X3.Putt.Avoid.Total.3.Putts.","Approach.Putt.Performance.attempts.","Approach.Putt.Performance.ft..","Avg.Distance.of.Putts.Made.Total.Distance.of.Putts.","Total.Rounds.Played","Putting.3..attempts.","Putting.3..putts.made.","Putting...4..attempts.","Putting.4..putts.made.","Putting.5..attempts.","Putting.5..putts.made.","Putting.6..attempts.","Putting.6..putts.made.","Putting.7..attempts.","Putting.7..putts.made.","Putting.8..attempts.","Putting.8..putts.made.","Putting.9..attempts.","Putting.9..putts.made.","Putting.10..attempts.","Putting.10..putts.made.","Putting.Inside.5...putts.made.","Putting.Inside.5...attempts.","Putting.Inside.5.Feet..Rank.","Putting.5....10...putts.made.","Putting.5....10...attempts.","Putting.5....10...Rank.","Putting.4..8..attempts.","Putting.4..8..putts.made.","Putting.4....8...Rank.","Putting.Inside.10..attempts.","Putting.Inside.10..putts.made.","Putting.Inside.10..rank.","Putting.10..15..attempts.","Putting...10..15..putts.made.","Putting.10..15..rank.","Putting.15.20..attempts.","Putting.15..20..putts.made.","Putting.15..20..rank.","Putting.20..25..attempts.","Putting.20..25..putts.made.","Putting.20..25..rank.","Putting..25..attempts.","Putting..25..putts.made.","Putting..25..rank.","Putting...10...putts.made.","Putting...10...attempts.","Putting...10...rank.","Total.Putts.Gained","Total.Rounds.Played.Putts.Gained.","Putts.Gained.Rank","TTL.SG.T2G","SG..T2G.Rank","TTL.SG.Total","SG..Total.Rank","OTT.SG.Avg.","OTT.SG.Rank","APP.SG.Avg.","APP.SG.Rank","ARG.SG.Avg.","ARG.SG.Rank","X"
"1","R",2015,390,100,NA,0,24461,"Aiken, Thomas","32 00 03","The Open Championship","Y ",0,"  21,848.40",80,"  80",75,127,69,61,72,74,74,80,0,0,0,0,69,290,4,80,"      2.247",80,0,14,10,77,50,12,67,NA,NA,12,57,10,61,333,104,2327,8,57,0,NA,NA,56,64,1,16,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,61,5,NA,0,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,0,0,5,11,66,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,NA,0,0,NA,137,120,13,6,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","R",2015,390,100,NA,0,33948,"An, Byeong Hun","23 10 02","The Open Championship","Y ",0,"",999," CUT",74,109,72,93,0,0,0,0,0,0,0,0,72,146,2,999,"- .595",999,0,999,6,999,23,6,999,1,NA,7,999,6,26,336,86,1186,4,999,0,NA,NA,24,32,999,999,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,26,999,NA,0,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,0,0,4,10,999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,63,49,11,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","R",2015,390,100,NA,0,30978,"Aphibarnrat, Kiradech","25 11 26","The Open Championship","Y ",0,"",999," CUT",73,87,75,118,0,0,0,0,0,0,0,0,73,148,2,999,"- .595",999,0,999,6,999,21,8,999,1,NA,9,999,5,26,302,409,1147,4,999,0,NA,NA,16,32,999,999,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,26,999,NA,0,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,0,0,3,10,999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,999,NA,0,0,NA,65,50,7,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","R",2015,390,100,NA,0,40026,"Berger, Daniel","22 03 12","The Open Championship","Y ",0,"",999," CUT",73,87,76,127,0,0,0,0,0,0,0,0,73,149,2,999,"- .595",999,1,999,9,999,14,9,999,2,1,12,999,10,23,356,21,1183,4,999,0,NA,NA,19,32,999,999,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,23,999,NA,0,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,0,0,3,13,999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,999,NA,0,0,NA,64,39,13,5,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","R",2015,390,100,NA,0,10944,"Bjorn, Thomas","44 05 01","The Open Championship","Y ",0,"",999," CUT",70,24,79,127,0,0,0,0,0,0,0,0,70,149,2,999,"- .595",999,0,999,7,999,19,9,999,NA,1,10,999,7,23,322,178,1178,4,999,0,NA,NA,21,32,999,999,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,23,999,NA,0,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,0,0,6,13,999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,999,NA,0,0,NA,62,42,13,3,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","R",2015,390,100,NA,0,26418,"Bland, Adam","32 10 23","The Open Championship","Y ",0,"",999," CUT",75,127,74,127,0,0,0,0,0,0,0,0,74,149,2,999,"- .595",999,0,999,4,999,25,5,999,2,NA,7,999,4,26,319,205,1145,4,999,0,NA,NA,22,32,999,999,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,26,999,NA,0,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,0,0,6,10,999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,66,52,9,3,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","R",2015,390,100,NA,0,27895,"Blixt, Jonas","31 02 25","The Open Championship","Y ",0,"",999," CUT",75,127,71,93,0,0,0,0,0,0,0,0,71,146,2,999,"- .595",999,0,999,3,999,28,5,999,NA,NA,5,999,3,26,328,127,1142,4,999,0,NA,NA,27,32,999,999,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,26,999,NA,0,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,0,0,7,10,999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,2,999,NA,0,0,NA,66,53,8,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","R",2015,390,100,NA,0,25274,"Bowditch, Steven","32 01 11","The Open Championship","Y ",36.5,"  63,074.77",30," T30",70,24,69,14,69,15,74,30,0,0,0,0,69,282,4,30,"      2.247",30,0,14,17,27,44,11,55,NA,NA,11,47,15,52,370,5,2470,8,12,0,NA,NA,46,64,45,15,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,52,67,NA,0,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,0,0,12,20,35,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,123,98,21,4,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","R",2015,390,100,NA,0,31640,"Boyd, Gary","28 09 15","The Open Championship","Y ",0,"",999," CUT",77,146,80,156,0,0,0,0,0,0,0,0,77,157,2,999,"- .595",999,0,999,3,999,21,9,999,2,1,12,999,3,23,322,178,1180,4,999,0,NA,NA,22,32,999,999,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,23,999,NA,0,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,0,0,4,13,999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,4,999,NA,0,0,NA,68,47,8,4,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","R",2015,390,100,NA,0,33141,"Bradley, Keegan","29 01 12","The Open Championship","Y ",0,"",999," CUT",75,127,72,107,0,0,0,0,0,0,0,0,72,147,2,999,"- .595",999,0,999,5,999,23,8,999,NA,NA,8,999,5,29,349,42,1249,4,999,0,NA,NA,26,32,999,999,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,29,999,NA,0,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,0,0,1,7,999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,999,NA,0,0,NA,69,57,6,3,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
