"","FGTheOpenHistory5Yr$Player.Name","FGTheOpenHistory5Yr$CourseHistoryPts"
"1","Aiken, Thomas",12
"2","An, Byeong Hun",5
"3","Aphibarnrat, Kiradech",0
"4","Ashun, Wu",0
"5","Baddeley, Aaron",2
"6","Barnes, Ricky",2
"7","Berger, Daniel",0
"8","Bjerregaard, Lucas",0
"9","Bjorn, Thomas",19
"10","Bland, Adam",0
"11","Blixt, Jonas",5
"12","Bourdy, Gregory",6
"13","Bowditch, Steven",5
"14","Boyd, Gary",2
"15","Bradley, Keegan",12
"16","Broberg, Kristoffer",2
"17","Brown, Scott",0
"18","Cabrera, Angel",10
"19","Campbell, Chad",12
"20","Canizares, Alejandro",0
"21","Casey, Paul",6
"22","Castro, Roberto",0
"23","Chalmers, Greg",4
"24","Choi, K.J.",6
"25","Cink, Stewart",17
"26","Clark, Tim",2
"27","Clarke, Darren",20
"28","Coetzee, George",12
"29","Colsaerts, Nicolas",10
"30","Compton, Erik",0
"31","Couples, Fred",2
"32","da Silva, Adilson",2
"33","Davies, Rhys",0
"34","Davis, Brian",0
"35","Day, Jason",19
"36","de Jonge, Brendon",0
"37","Donald, Luke",17
"38","Donaldson, Jamie",6
"39","Dubuisson, Victor",10
"40","Dufner, Jason",11
"41","Dunne, Paul",5
"42","Edberg, Pelle",0
"43","Els, Ernie",17
"44","English, Harris",9
"45","Every, Matt",2
"46","Fisher, Ross",4
"47","Fitzpatrick, Matthew",2
"48","Fleetwood, Tommy",0
"49","Fox, Ryan",2
"50","Fraser, Marcus",7
"51","Fujimoto, Yoshinori",2
"52","Fujita, Hiroyuki",0
"53","Furyk, Jim",19
"54","Gallacher, Stephen",12
"55","Garcia, Sergio",35
"56","Glover, Lucas",5
"57","Goosen, Retief",7
"58","Grace, Branden",11
"59","Green, Richard",5
"60","Haas, Bill",9
"61","Hadley, Chesson",0
"62","Hahn, James",0
"63","Hansen, Anders",5
"64","Hanson, Peter",5
"65","Harman, Brian",5
"66","Harrington, Padraig",9
"67","Hatton, Tyrrell",0
"68","Hearn, David",2
"69","Hend, Scott",0
"70","Henley, Russell",7
"71","Hoey, Michael",0
"72","Hoffman, Charley",2
"73","Hoffmann, Morgan",0
"74","Holmes, J.B.",0
"75","Horschel, Billy",5
"76","Howell III, Charles",7
"77","Howell, David",7
"78","Huh, John",0
"79","Ikeda, Yuta",2
"80","Ilonen, Mikko",2
"81","Ishikawa, Ryo",0
"82","Iwata, Hiroshi",0
"83","Jacobson, Freddie",9
"84","Jacquelin, Raphael",10
"85","Jaidee, Thongchai",8
"86","Jamieson, Scott",0
"87","Johnson, Dustin",29
"88","Johnson, Zach",37
"89","Johnston, Andrew",0
"90","Jones, Matt",7
"91","Karlberg, Rikard",0
"92","Karlsson, Robert",5
"93","Katayama, Shingo",2
"94","Kaymer, Martin",14
