"","Tour","Tournament.Year","Tournament.Number","Permanent.Tournament.Number","Team.ID","Team.Number","Player.Number","Player.Name","Player.Age..years..months.days.","Event.Name","Official.Event.Y.N.","FedExCup.Points","Money","Finish.Position.numeric.","Finish.Position.text.","Round.1.Score","Round.1.Pos","Round.2.Score","Round.2.Pos","Round.3.Score","Round.3.Pos","Round.4.Score","Round.4.Pos","Round.5.Score","Round.5.Pos","Round.6.Score","Round.6.Pos","Lowest.Round","Total.Strokes","Total.Rounds.","Stroke.Average..Rank.","Scoring.Avg.Total.Adjustment.","Scoring.Avg.Total.Adjustment...Rank.","Eagles","Eagles..Rank.","Birdies","Birdies..Rank.","Pars","Bogeys","Bogeys..Rank.","Doubles","Others","Total.Holes.Over.Par","Bogey.Avoidance.Rank","Birdie.or.Better.Conv.....Birdies.","Birdie.or.Better.Conv.....Greens.Hit.","Longest.Drive","Longest.Drive..Rank.","Driving.Distance.Total.Distance.","Driving.Distance.Total.Drives.","Driving.Distance..Rank.","Driving.Dist....All.Drives.Tot..Dist..","Driving.Dist....All.Drives.Rank.","Drives.Over.300.Yards....of.Drives.","Driving.Acc....Fairways.Hit.","Driving.Acc....Possible.Fairways.","Driving.Accuracy.Rank","Total.Driving..Rank.","Left.Rough.Tendency.Total.Left.Rough.","Right.Rough.Tendency.Total.Right.Rough.","App..50.75.yds.ft.","App..50.75.yds.attempts.","App..75.100.yds.ft.","App..75.100.yds.attempts.","App..100.125.yds.ft.","App..100.125.yds.attempts.","App..50.125.Yards.ft.","App...50.125.Yards.attempts.","Approaches..125.150.Yards.ft.","Approaches...125.150.Yards.attempts.","Approaches...150.175.Yards.ft.","Approaches...150.175.Yards.attempts.","Approaches...175.200.Yards.ft.","Approaches...175.200.Yards.attempts.","Approaches....200.Yards.ft.","Approaches....200.Yards.attempts.","App..50.75.yds.ft....Rough","App..50.75.yds.attempts....Rough","App..75.100.yds.ft....Rough","App..75.100.yds.attempts....Rough","App..100.125.yds.ft....Rough","App..100.125.yds.attempts....Rough","Approaches.50.125.Yards.ft....Rough","Approaches.50.125.Yards.attempts....Rough","Approaches.125.150.Yards.ft....Rough","Approaches.125.150.Yards.attempts....Rough","Approaches.150.175.Yards.ft....Rough","Approaches.150.175.Yards.attempts....Rough","Approaches.175.200.Yards.ft....Rough","Approaches.175.200.Yards.attempts....Rough","Approaches..200.Yards.ft....Rough","Approaches....200.Yards.attempts....Rough","Total.Holes.Played","Total.Greens.in.Regulation","GIR.Rank","Total.Distance.ft..Prox.to.Hole","X..of.Attempts.Prox.to.Hole","Proximity.to.Hole..Rank.","Fairway.Prox.attempts.","Fairway.Prox.distance.in.ft.","Fairway.Prox..Rank.","Rough.Prox.attempts.","Rough.Prox.distance.in.ft.","Rough.Prox..Rank.","Left.Rough.Prox.attempts.","Left.Rough.Prox.distance.in.ft.","Right.Rough.Prox.attempts.","Right.Rough.Prox.distance.in.ft.","Going.for.Green.attempts.","Going.for.Green.non.attempts.","Going.for.the.Green.successes.","Scrambling.Par.or.Better","Scrambling.Missed.GIR","Scrambling..Rank.","Scrambling.Proximity..Total.Distance.","Scrambling.Proximity....of.shots.","Scrambling.Proximity..rank.","Scrambling.from.the.Rough.successes.","Scrambling.from.the.Rough.attempts.","Scrambling.from.the.Fringe.successes.","Scrambling.from.the.Fringe.attempts.","Scrambling....30.Yards.successes.","Scrambling....30.Yards.attempts.","Scrambling.20.30.Yards.successes.","Scrambling...20.30.Yards.attempts.","Scrambling.10.20.Yards.successes.","Scrambling.10.20.Yards.attempts.","Scrambling...10.Yards.successes.","Scrambling....10.Yards.attempts.","Sand.Save.....Saves.","Sand.Save.....Bunkers.","Sand.Save..Rank.","Prox.to.Hole.from.Sand.Total.Distance.","Prox.to.Hole.from.Sand...of.Shots.","Total.Hole.Outs","Longest.Hole.Out.yards.","Overall.Putting.Avg...of.Putts.","Putting.Avg.GIR.Putts.","One.Putt.....of.One.Putts.","X3.Putt.Avoid.Total.3.Putts.","Approach.Putt.Performance.attempts.","Approach.Putt.Performance.ft..","Avg.Distance.of.Putts.Made.Total.Distance.of.Putts.","Total.Rounds.Played","Putting.3..attempts.","Putting.3..putts.made.","Putting...4..attempts.","Putting.4..putts.made.","Putting.5..attempts.","Putting.5..putts.made.","Putting.6..attempts.","Putting.6..putts.made.","Putting.7..attempts.","Putting.7..putts.made.","Putting.8..attempts.","Putting.8..putts.made.","Putting.9..attempts.","Putting.9..putts.made.","Putting.10..attempts.","Putting.10..putts.made.","Putting.Inside.5...putts.made.","Putting.Inside.5...attempts.","Putting.Inside.5.Feet..Rank.","Putting.5....10...putts.made.","Putting.5....10...attempts.","Putting.5....10...Rank.","Putting.4..8..attempts.","Putting.4..8..putts.made.","Putting.4....8...Rank.","Putting.Inside.10..attempts.","Putting.Inside.10..putts.made.","Putting.Inside.10..rank.","Putting.10..15..attempts.","Putting...10..15..putts.made.","Putting.10..15..rank.","Putting.15.20..attempts.","Putting.15..20..putts.made.","Putting.15..20..rank.","Putting.20..25..attempts.","Putting.20..25..putts.made.","Putting.20..25..rank.","Putting..25..attempts.","Putting..25..putts.made.","Putting..25..rank.","Putting...10...putts.made.","Putting...10...attempts.","Putting...10...rank.","Total.Putts.Gained","Total.Rounds.Played.Putts.Gained.","Putts.Gained.Rank","TTL.SG.T2G","SG..T2G.Rank","TTL.SG.Total","SG..Total.Rank","OTT.SG.Avg.","OTT.SG.Rank","APP.SG.Avg.","APP.SG.Rank","ARG.SG.Avg.","ARG.SG.Rank","X","CourseHistoryPts"
"8","R",2015,350,34,NA,0,22371,"Baddeley, Aaron","34 03 11","Travelers Championship","Y ",20.5,"  16,085.33",48," T48",68,51,66,16,68,15,73,48,0,0,0,0,66,275,4,48,"      2.934",48,1,3,18,10,39,13,71,1,NA,14,70,18,43,339,43,2334,8,24,15331,59,11,31,56,66,55,8,9,104.75,2,27.583,2,82.5,5,214.833,9,145,8,512.167,13,189.083,4,841.333,13,NA,NA,20,1,NA,NA,20,1,172.167,4,140.333,3,355.5,5,228.5,2,72,44,70,"      3,658.250",72,72,47,"  1,902.417",72,15,916.5,71,5,400.667,10,515.833,8,5,3,14,28,62,285.083,25,67,5,9,1,2,1,9,6,8,5,8,2,2,4,7,25,114.083,7,1,33,112,71,30,0,41,88.917,4740,4,36,36,4,4,5,5,2,1,4,2,3,3,4,2,2,2,45,45,1,15,10,29,14,11,30,60,55,21,11,9,2,16,7,6,4,0,46,21,0,40,16,52,2," 11.262",4,1,"  .837-",72,"  2.066",48,-0.837,68,-1.973,72,0.511,16,NA,"2"
"11","R",2015,350,34,NA,0,24846,"Barnes, Ricky","34 04 22","Travelers Championship","Y ",0,"",999," CUT",69,76,76,140,0,0,0,0,0,0,0,0,69,145,2,999,"       .866",999,0,999,7,999,19,9,999,NA,1,10,999,7,19,324,228,1148,4,999,7851,999,6,18,28,999,999,6,1,14.917,1,NA,0,88.167,5,103.083,6,66,5,152.583,6,6.917,1,475.833,8,NA,NA,78.583,2,NA,NA,78.583,2,NA,NA,149.5,2,55.417,1,127.333,1,36,19,999,"      1,400.500",36,999,26,"    804.417",999,6,410.833,999,4,313.583,2,97.25,4,3,1,8,17,999,133.75,14,999,1,5,3,4,1,4,0,3,5,5,2,4,1,2,999,40.5,2,0,NA,57,33,14,1,21,42.083,2340,2,24,22,3,3,1,1,2,0,3,2,0,0,1,0,2,1,28,26,999,8,3,999,6,3,999,36,29,999,6,2,999,4,2,999,6,1,999,5,1,999,6,21,999,"  .267-",2,999,"  .325-",999," 5.865-",999,-0.325,999,-2.612,999,0.138,999,NA,"0"
"14","R",2015,350,34,NA,0,40058,"Blair, Zac","24 10 08","Travelers Championship","Y ",0,"",999," CUT",71,113,76,149,0,0,0,0,0,0,0,0,71,147,2,999,"       .866",999,0,999,4,999,23,8,999,NA,1,9,999,4,23,305,889,1064,4,999,7495,999,2,20,28,999,999,4,1,7.083,1,56.167,3,7,1,70.25,5,112.333,6,191.667,6,105.833,2,343.417,7,NA,NA,49.667,1,NA,NA,49.667,1,78,1,107.167,3,43.667,1,NA,NA,36,23,999,"      1,422.250",36,999,26,"    823.500",999,6,278.5,999,5,234.833,1,43.667,2,5,0,5,13,999,222,11,999,1,8,0,0,1,3,1,4,2,4,1,2,2,3,999,41.167,3,0,NA,62,43,11,1,25,69.833,1888,2,22,22,5,5,1,0,1,0,4,2,1,0,2,2,1,0,28,27,999,9,4,999,7,2,999,37,31,999,6,3,999,5,1,999,3,1,999,11,0,999,5,25,999,"  .688-",2,999," 1.579-",999," 7.865-",999,-1.579,999,-0.46,999,-1.549,999,NA,"0"
"15","R",2015,350,34,NA,0,27895,"Blixt, Jonas","31 02 04","Travelers Championship","Y ",0,"",999," CUT",68,51,72,89,0,0,0,0,0,0,0,0,68,140,2,999,"       .866",999,0,999,5,999,27,3,999,1,NA,4,999,4,25,331,118,1206,4,999,8013,999,6,21,28,999,999,4,3,9,1,43.5,2,22.083,1,74.583,4,130.417,6,278.5,7,185,4,331.75,7,NA,NA,25.333,1,26.333,1,51.667,2,37.917,1,109.5,3,NA,NA,NA,NA,36,25,999,"      1,272.083",36,999,28,"  1,000.250",999,6,199.083,999,3,109.5,3,89.583,6,1,2,8,11,999,149.833,10,999,1,2,2,2,0,1,0,1,8,9,0,0,1,3,999,23.583,2,1,22,61,49,8,1,26,48.083,779,2,29,29,6,5,0,0,0,0,2,0,0,0,2,0,0,0,35,34,999,4,NA,999,2,0,999,39,34,999,4,0,999,3,0,999,3,0,999,12,0,999,NA,22,999," 4.347-",2,999,"  1.289",999,"  .865-",999,1.289,999,-0.551,999,1.003,999,NA,"0"
"16","R",2015,350,34,NA,0,24507,"Bohn, Jason","42 02 04","Travelers Championship","Y ",0,"",999," CUT",66,15,73,73,0,0,0,0,0,0,0,0,66,139,2,999,"       .866",999,0,999,7,999,24,4,999,1,NA,5,999,6,22,319,346,1141,4,999,7844,999,5,20,28,999,999,2,2,51.583,3,35.417,2,85.167,3,172.167,8,204.667,8,266.083,7,62,2,192.833,6,NA,NA,NA,NA,97.5,1,97.5,1,NA,NA,51.083,1,NA,NA,NA,NA,36,22,999,"      1,173.167",35,999,31,"    897.750",999,2,148.583,999,1,97.5,1,51.083,3,4,0,9,14,999,85.5,11,999,1,4,2,2,2,2,1,3,2,4,4,4,0,0,NA,NA,0,0,NA,56,38,14,0,21,45.5,1857,2,20,20,4,4,1,1,2,2,4,2,2,2,0,0,0,0,25,25,999,8,6,999,9,7,999,33,31,999,7,3,999,3,0,999,4,0,999,9,1,999,4,23,999,"  2.228",2,999,"  .051-",999,"   .135",999,-0.051,999,-0.927,999,-0.069,999,NA,"0"
"17","R",2015,350,34,NA,0,25274,"Bowditch, Steven","32 00 20","Travelers Championship","Y ",54," 102,400.00",15," T15",68,51,68,34,69,40,66,15,0,0,0,0,66,271,4,15,"      2.934",15,0,21,14,49,53,5,7,NA,NA,5,3,11,47,340,37,2441,8,4,16238,4,18,29,56,71,39,10,12,19.333,2,32.083,2,118.667,7,170.083,11,137.167,6,241.25,10,234.167,5,882.917,13,30.083,1,103.25,4,111.083,4,244.417,9,123.083,5,66.833,2,71.083,2,188.75,2,72,47,61,"      2,752.167",72,64,45,"  1,665.583",69,20,694.167,13,8,305.083,12,389.083,11,2,0,20,25,3,136.917,23,16,4,7,6,7,2,3,4,6,8,10,6,6,5,6,5,52.25,6,3,22,109,83,29,0,40,74.583,2887,4,46,46,5,5,8,6,2,2,3,2,3,1,3,2,1,0,59,57,46,12,7,47,16,11,57,71,64,39,7,4,5,10,1,52,7,0,46,14,0,40,5,38,50,"   .698",4,42,"   .550",14,"  6.066",15,0.55,19,-0.017,47,0.809,4,NA,"5"
"18","R",2015,350,34,NA,0,33141,"Bradley, Keegan","29 00 21","Travelers Championship","Y ",28,"  23,680.00",39," T39",64,2,69,8,71,34,70,39,0,0,0,0,64,274,4,39,"      2.934",39,0,21,15,40,49,7,23,1,NA,8,25,15,49,326,186,2405,8,15,15739,30,9,39,56,36,18,5,6,NA,0,21,1,136.75,7,157.75,8,380,16,261.167,13,167.75,5,608.083,12,NA,NA,NA,NA,39,1,39,1,167.333,3,80,2,196.25,3,118.167,1,72,49,47,"      2,599.583",71,54,54,"  1,574.750",26,10,600.75,70,4,235.333,6,365.417,9,4,3,16,23,20,88.75,19,2,1,5,3,3,2,6,0,3,9,9,5,5,1,3,47,21.5,3,0,NA,116,87,30,2,42,94.917,3637,4,42,42,7,7,8,8,6,4,3,2,4,1,1,1,1,0,57,57,1,15,8,57,21,15,51,72,65,38,7,2,39,10,3,17,5,1,22,22,1,36,7,44,38,"  1.080",4,39,"  .244-",35,"  3.066",39,-0.244,60,0.619,26,0.122,36,NA,"2"
"19","R",2015,350,34,NA,0,29479,"Brown, Scott","32 01 06","Travelers Championship","Y ",14.5,"  14,528.00",54," T54",65,7,67,5,73,40,71,54,0,0,0,0,65,276,4,54,"      2.934",54,1,3,17,19,43,8,32,2,1,11,57,16,47,339,43,2259,8,44,15770,27,9,41,56,21,29,5,6,43.417,2,34.917,3,173.167,6,251.5,11,169.583,8,423.583,16,161.75,5,625.333,14,NA,NA,33.417,1,82.5,2,115.917,3,222,3,45.667,1,114.5,3,61.583,1,72,48,56,"      2,659.333",71,59,54,"  1,631.750",36,11,559.667,58,6,290.167,5,269.5,9,4,2,15,24,38,227.917,22,63,4,10,5,5,1,2,2,5,6,9,6,7,0,2,63,28.75,2,1,35,114,82,29,3,41,111.417,3945,4,35,35,10,9,10,8,4,4,4,2,2,2,3,2,1,0,55,52,67,14,10,18,20,16,23,69,62,42,10,2,59,6,4,1,8,2,16,21,0,40,8,45,29,"  1.913",4,32,"   .447",61,"  1.066",54,0.447,31,-0.307,56,-0.352,61,NA,"2"
"21","R",2015,350,34,NA,0,20848,"Cabrera, Angel","45 09 16","Travelers Championship","Y ",0,"",999," CUT",69,76,72,102,0,0,0,0,0,0,0,0,69,141,2,999,"       .866",999,1,999,5,999,23,6,999,1,NA,7,999,6,24,334,90,1202,4,999,8060,999,8,11,28,999,999,3,6,NA,0,27.5,3,11.75,1,39.25,4,75.583,4,155,5,41.75,2,225.75,5,NA,NA,32.083,2,NA,NA,32.083,2,62.333,3,50.667,1,27.5,1,110.583,1,36,24,999,"      1,026.500",35,999,20,"    537.333",999,9,300.167,999,2,161.25,7,138.917,3,4,1,5,12,999,66,8,999,2,4,1,1,2,4,1,1,0,3,2,4,0,3,999,26.583,2,0,NA,60,42,12,0,24,50.417,1616,2,21,20,4,4,5,5,2,2,2,1,2,0,3,2,0,0,30,29,999,9,5,999,11,8,999,39,34,999,6,0,999,9,2,999,1,0,999,5,0,999,2,21,999," 1.671-",2,999," 1.799-",999," 1.865-",999,-1.799,999,1.85,999,-0.148,999,NA,"0"
"22","R",2015,350,34,NA,0,12510,"Campbell, Chad","41 00 28","Travelers Championship","Y ",39.5,"  41,234.28",25," T25",68,51,70,59,69,62,66,25,0,0,0,0,66,273,4,25,"      2.934",25,0,21,11,68,57,4,2,NA,NA,4,2,11,51,316,407,2258,8,45,15306,62,7,39,56,36,44,8,6,15.083,2,37.417,3,207.75,10,260.25,15,114.25,6,461.667,18,176.333,5,554.417,11,46.167,1,52.667,2,38.583,1,137.417,4,131,3,86.083,2,81.583,1,179.667,2,72,51,30,"      2,537.417",72,42,55,"  1,566.917",20,12,615.75,59,8,418.417,4,197.333,5,8,0,17,21,2,136.5,21,22,3,4,4,4,1,3,2,2,7,9,7,7,0,1,63,NA,0,0,NA,115,91,27,0,44,96.75,3221,4,43,43,6,6,2,2,5,5,6,5,2,1,3,2,3,2,51,51,1,19,15,6,15,13,8,70,66,6,8,2,48,12,3,20,7,0,46,18,0,40,5,45,59,"  2.810",4,25,"   .367",42,"  4.066",25,0.367,37,-0.002,44,-0.051,41,NA,"5"
