"","FGTravelersHistory5Yr$Player.Name","FGTravelersHistory5Yr$CourseHistoryPts"
"1","Baddeley, Aaron",19
"2","Barnes, Ricky",9
"3","Blair, Zac",0
"4","Blixt, Jonas",2
"5","Bohn, Jason",0
"6","Bowditch, Steven",5
"7","Bradley, Keegan",16
"8","Brown, Scott",2
"9","Cabrera, Angel",17
"10","Campbell, Chad",17
"11","Casey, Paul",10
"12","Castro, Roberto",2
"13","Cejka, Alex",0
"14","Chalmers, Greg",2
"15","Chappell, Kevin",0
"16","Choi, K.J.",12
"17","Cink, Stewart",2
"18","Clark, Tim",12
"19","Colsaerts, Nicolas",0
"20","Compton, Erik",5
"21","Curran, Jon",10
"22","Davis, Brian",27
"23","Day, Jason",5
"24","de Jonge, Brendon",14
"25","Donald, Luke",10
"26","Dufner, Jason",0
"27","Els, Ernie",0
"28","English, Harris",19
"29","Every, Matt",0
"30","Fathauer, Derek",0
"31","Finau, Tony",5
"32","Furyk, Jim",0
"33","Garcia, Sergio",15
"34","Glover, Lucas",2
"35","Gomez, Fabian",0
"36","Goosen, Retief",2
"37","Gore, Jason",10
"38","Grace, Branden",0
"39","Hadley, Chesson",0
"40","Hadwin, Adam",0
"41","Hahn, James",2
"42","Harman, Brian",19
"43","Harrington, Padraig",9
"44","Hearn, David",2
"45","Henry, J.J.",19
"46","Herman, Jim",7
"47","Hoffman, Charley",27
"48","Hoffmann, Morgan",16
"49","Hoge, Tom",2
"50","Holmes, J.B.",4
"51","Horschel, Billy",10
"52","Huh, John",2
"53","Ishikawa, Ryo",0
"54","Jacobson, Freddie",27
"55","Johnson, Dustin",2
"56","Johnson, Zach",19
"57","Jones, Matt",2
"58","Karlsson, Robert",5
"59","Kelly, Jerry",11
"60","Kim, K.T.",0
"61","Kirk, Chris",2
"62","Kisner, Kevin",0
"63","Knost, Colt",4
"64","Knox, Russell",7
"65","Koepka, Brooks",2
"66","Kokrak, Jason",4
"67","Kuchar, Matt",12
"68","Laird, Martin",7
"69","Lee, Danny",7
"70","Leishman, Marc",22
"71","Levin, Spencer",4
"72","Lingmerth, David",2
"73","Loupe, Andrew",0
"74","Love III, Davis",0
"75","Lovemark, Jamie",4
"76","Mahan, Hunter",12
"77","Malnati, Peter",0
"78","Martin, Ben",0
"79","McGirt, William",12
"80","McNeill, George",4
"81","Merritt, Troy",2
"82","Molder, Bryce",19
"83","Molinari, Francesco",5
"84","Moore, Ryan",32
"85","Na, Kevin",0
"86","O'Hair, Sean",4
"87","Ogilvy, Geoff",0
"88","Olesen, Thorbjorn",0
"89","Oosthuizen, Louis",2
"90","Ortiz, Carlos",0
"91","Owen, Greg",7
"92","Pampling, Rod",2
"93","Pettersson, Carl",25
"94","Piller, Martin",0
"95","Pinckney, Scott",5
"96","Poulter, Ian",9
"97","Reavie, Chez",12
"98","Reed, Patrick",7
"99","Reifers, Kyle",0
"100","Rodgers, Patrick",4
"101","Romero, Andres",15
"102","Rose, Justin",5
"103","Sabbatini, Rory",5
"104","Simpson, Webb",20
"105","Singh, Vijay",8
"106","Smith, Cameron",2
"107","Snedeker, Brandt",20
"108","Stallings, Scott",0
"109","Steele, Brendan",25
"110","Stefani, Shawn",0
"111","Streb, Robert",2
"112","Streelman, Kevin",22
"113","Stroud, Chris",32
"114","Summerhays, Daniel",2
"115","Swafford, Hudson",5
"116","Thomas, Justin",5
"117","Todd, Brendon",5
"118","Toms, David",10
"119","Tringale, Cameron",5
"120","Uihlein, Peter",0
"121","Vegas, Jhonattan",6
"122","Villegas, Camilo",9
"123","Wagner, Johnson",9
"124","Watney, Nick",12
"125","Watson, Bubba",34
"126","Weekley, Boo",0
"127","Westwood, Lee",2
"128","Wilcox, Will",0
"129","Woodland, Gary",5
