"","Tour","Tournament.Year","Tournament.Number","Permanent.Tournament.Number","Team.ID","Team.Number","Player.Number","Player.Name","Player.Age..years..months.days.","Event.Name","Official.Event.Y.N.","FedExCup.Points","Money","Finish.Position.numeric.","Finish.Position.text.","Round.1.Score","Round.1.Pos","Round.2.Score","Round.2.Pos","Round.3.Score","Round.3.Pos","Round.4.Score","Round.4.Pos","Round.5.Score","Round.5.Pos","Round.6.Score","Round.6.Pos","Lowest.Round","Total.Strokes","Total.Rounds.","Stroke.Average..Rank.","Scoring.Avg.Total.Adjustment.","Scoring.Avg.Total.Adjustment...Rank.","Eagles","Eagles..Rank.","Birdies","Birdies..Rank.","Pars","Bogeys","Bogeys..Rank.","Doubles","Others","Total.Holes.Over.Par","Bogey.Avoidance.Rank","Birdie.or.Better.Conv.....Birdies.","Birdie.or.Better.Conv.....Greens.Hit.","Longest.Drive","Longest.Drive..Rank.","Driving.Distance.Total.Distance.","Driving.Distance.Total.Drives.","Driving.Distance..Rank.","Driving.Dist....All.Drives.Tot..Dist..","Driving.Dist....All.Drives.Rank.","Drives.Over.300.Yards....of.Drives.","Driving.Acc....Fairways.Hit.","Driving.Acc....Possible.Fairways.","Driving.Accuracy.Rank","Total.Driving..Rank.","Left.Rough.Tendency.Total.Left.Rough.","Right.Rough.Tendency.Total.Right.Rough.","App..50.75.yds.ft.","App..50.75.yds.attempts.","App..75.100.yds.ft.","App..75.100.yds.attempts.","App..100.125.yds.ft.","App..100.125.yds.attempts.","App..50.125.Yards.ft.","App...50.125.Yards.attempts.","Approaches..125.150.Yards.ft.","Approaches...125.150.Yards.attempts.","Approaches...150.175.Yards.ft.","Approaches...150.175.Yards.attempts.","Approaches...175.200.Yards.ft.","Approaches...175.200.Yards.attempts.","Approaches....200.Yards.ft.","Approaches....200.Yards.attempts.","App..50.75.yds.ft....Rough","App..50.75.yds.attempts....Rough","App..75.100.yds.ft....Rough","App..75.100.yds.attempts....Rough","App..100.125.yds.ft....Rough","App..100.125.yds.attempts....Rough","Approaches.50.125.Yards.ft....Rough","Approaches.50.125.Yards.attempts....Rough","Approaches.125.150.Yards.ft....Rough","Approaches.125.150.Yards.attempts....Rough","Approaches.150.175.Yards.ft....Rough","Approaches.150.175.Yards.attempts....Rough","Approaches.175.200.Yards.ft....Rough","Approaches.175.200.Yards.attempts....Rough","Approaches..200.Yards.ft....Rough","Approaches....200.Yards.attempts....Rough","Total.Holes.Played","Total.Greens.in.Regulation","GIR.Rank","Total.Distance.ft..Prox.to.Hole","X..of.Attempts.Prox.to.Hole","Proximity.to.Hole..Rank.","Fairway.Prox.attempts.","Fairway.Prox.distance.in.ft.","Fairway.Prox..Rank.","Rough.Prox.attempts.","Rough.Prox.distance.in.ft.","Rough.Prox..Rank.","Left.Rough.Prox.attempts.","Left.Rough.Prox.distance.in.ft.","Right.Rough.Prox.attempts.","Right.Rough.Prox.distance.in.ft.","Going.for.Green.attempts.","Going.for.Green.non.attempts.","Going.for.the.Green.successes.","Scrambling.Par.or.Better","Scrambling.Missed.GIR","Scrambling..Rank.","Scrambling.Proximity..Total.Distance.","Scrambling.Proximity....of.shots.","Scrambling.Proximity..rank.","Scrambling.from.the.Rough.successes.","Scrambling.from.the.Rough.attempts.","Scrambling.from.the.Fringe.successes.","Scrambling.from.the.Fringe.attempts.","Scrambling....30.Yards.successes.","Scrambling....30.Yards.attempts.","Scrambling.20.30.Yards.successes.","Scrambling...20.30.Yards.attempts.","Scrambling.10.20.Yards.successes.","Scrambling.10.20.Yards.attempts.","Scrambling...10.Yards.successes.","Scrambling....10.Yards.attempts.","Sand.Save.....Saves.","Sand.Save.....Bunkers.","Sand.Save..Rank.","Prox.to.Hole.from.Sand.Total.Distance.","Prox.to.Hole.from.Sand...of.Shots.","Total.Hole.Outs","Longest.Hole.Out.yards.","Overall.Putting.Avg...of.Putts.","Putting.Avg.GIR.Putts.","One.Putt.....of.One.Putts.","X3.Putt.Avoid.Total.3.Putts.","Approach.Putt.Performance.attempts.","Approach.Putt.Performance.ft..","Avg.Distance.of.Putts.Made.Total.Distance.of.Putts.","Total.Rounds.Played","Putting.3..attempts.","Putting.3..putts.made.","Putting...4..attempts.","Putting.4..putts.made.","Putting.5..attempts.","Putting.5..putts.made.","Putting.6..attempts.","Putting.6..putts.made.","Putting.7..attempts.","Putting.7..putts.made.","Putting.8..attempts.","Putting.8..putts.made.","Putting.9..attempts.","Putting.9..putts.made.","Putting.10..attempts.","Putting.10..putts.made.","Putting.Inside.5...putts.made.","Putting.Inside.5...attempts.","Putting.Inside.5.Feet..Rank.","Putting.5....10...putts.made.","Putting.5....10...attempts.","Putting.5....10...Rank.","Putting.4..8..attempts.","Putting.4..8..putts.made.","Putting.4....8...Rank.","Putting.Inside.10..attempts.","Putting.Inside.10..putts.made.","Putting.Inside.10..rank.","Putting.10..15..attempts.","Putting...10..15..putts.made.","Putting.10..15..rank.","Putting.15.20..attempts.","Putting.15..20..putts.made.","Putting.15..20..rank.","Putting.20..25..attempts.","Putting.20..25..putts.made.","Putting.20..25..rank.","Putting..25..attempts.","Putting..25..putts.made.","Putting..25..rank.","Putting...10...putts.made.","Putting...10...attempts.","Putting...10...rank.","Total.Putts.Gained","Total.Rounds.Played.Putts.Gained.","Putts.Gained.Rank","TTL.SG.T2G","SG..T2G.Rank","TTL.SG.Total","SG..Total.Rank","OTT.SG.Avg.","OTT.SG.Rank","APP.SG.Avg.","APP.SG.Rank","ARG.SG.Avg.","ARG.SG.Rank","X"
"1","R",2015,350,34,NA,0,23778,"Adamonis, Brad","42 05 12","Travelers Championship","Y ",0,"",999," CUT",72,122,74,144,0,0,0,0,0,0,0,0,72,146,2,999,"       .866",999,0,999,6,999,22,5,999,2,1,8,999,6,26,325,201,1108,4,999,7703,999,3,16,28,999,999,5,5,16.333,1,34.917,2,29.917,2,81.167,5,153.667,8,129.333,4,194,5,165.5,5,30.5,1,NA,NA,NA,NA,30.5,1,70.083,3,100.333,2,NA,NA,32.167,1,36,26,999,"      1,054.917",36,999,27,"    723.667",999,7,233.083,999,3,102,4,131.083,3,4,1,4,10,999,42.833,7,999,1,1,1,1,0,2,0,0,3,6,1,1,1,1,999,4.083,1,0,NA,66,50,9,2,27,50.583,1596,2,30,28,2,2,1,1,4,2,0,0,0,0,2,0,2,0,33,31,999,8,2,999,5,3,999,41,33,999,8,1,999,6,0,999,2,1,999,9,1,999,3,25,999," 4.812-",2,999,"  .920-",999," 6.865-",999,-0.92,999,-0.294,999,0.188,999,NA
"2","R",2015,350,34,NA,0,29910,"Adams, Blake","39 10 01","Travelers Championship","Y ",0,"",999," CUT",72,122,68,89,0,0,0,0,0,0,0,0,68,140,2,999,"       .866",999,0,999,8,999,21,6,999,1,NA,7,999,8,22,318,368,1142,4,999,7947,999,7,19,28,999,999,2,5,11.583,1,15.917,1,45.25,2,72.75,4,212,8,208.417,6,62.083,2,257.667,6,39,1,NA,NA,41.25,2,80.25,3,NA,NA,149.167,2,138.083,2,NA,NA,36,22,999,"      1,511.417",36,999,26,"    812.917",999,7,367.5,999,2,151.167,5,216.333,6,1,1,7,14,999,185.833,12,999,0,1,1,1,2,4,0,1,4,7,1,2,0,3,999,72.917,3,0,NA,58,37,15,1,21,37.5,2421,2,21,21,3,2,1,1,2,1,0,0,2,1,3,2,1,1,25,24,999,8,5,999,5,3,999,33,29,999,6,3,999,6,3,999,1,0,999,12,1,999,7,25,999,"  4.615",2,999,"   .226",999,"  .865-",999,0.226,999,-1.173,999,-1.794,999,NA
"3","R",2015,350,34,NA,0,20771,"Alker, Steven","43 11 00","Travelers Championship","Y ",9.5,"  13,888.00",60," T60",70,94,68,59,68,49,71,60,0,0,0,0,68,277,4,60,"      2.934",60,1,3,13,56,47,10,52,1,NA,11,57,14,52,327,168,2202,8,63,15329,61,5,40,56,28,58,9,5,69.333,3,32,4,104.917,6,206.25,13,168.917,10,362.25,12,215.75,4,667.5,14,56.083,1,NA,NA,59.25,1,115.333,2,136.917,5,274.167,5,13.667,1,NA,NA,72,52,23,"      2,605.583",72,49,53,"  1,620.667",42,13,540.083,36,7,294.667,6,245.417,5,8,1,9,20,67,141.167,18,40,3,6,2,2,0,4,4,6,3,8,2,2,0,2,63,6.833,1,0,NA,119,90,25,0,47,86.667,2946,4,49,49,10,10,4,3,0,0,3,1,1,1,3,1,2,1,63,62,19,9,4,66,8,5,63,72,66,21,17,3,63,9,2,31,5,1,22,16,0,40,6,47,53," 1.837-",4,61,"   .239",37,"   .066",60,0.239,39,0.343,33,-0.106,45,NA
"4","R",2015,350,34,NA,0,10885,"Allenby, Robert","43 11 16","Travelers Championship","Y ",0,"",999," CUT",70,94,73,128,0,0,0,0,0,0,0,0,70,143,2,999,"       .866",999,0,999,5,999,27,2,999,1,1,4,999,4,23,309,697,1141,4,999,7781,999,3,16,28,999,999,7,2,NA,0,36.833,3,36.333,3,73.167,6,171.75,7,102.167,3,170.5,5,189.917,4,NA,NA,19.167,1,38.667,1,57.833,2,NA,NA,73.833,2,116.917,2,55.25,1,36,23,999,"      1,206.500",36,999,25,"    707.500",999,7,303.833,999,5,248,2,55.833,4,3,1,9,13,999,65.75,11,999,1,1,1,1,1,2,1,1,2,3,5,6,1,2,999,20.333,2,1,11,59,43,11,0,24,43.333,1448,2,22,22,5,4,3,2,1,1,2,1,2,1,2,1,3,1,30,28,999,10,5,999,8,5,999,40,33,999,2,1,999,10,1,999,2,0,999,5,0,999,2,19,999," 1.738-",2,999,"  .195-",999," 3.865-",999,-0.195,999,-0.718,999,-0.15,999,NA
"5","R",2015,350,34,NA,0,33120,"Anderson, Mark","29 04 14","Travelers Championship","Y ",54," 102,400.00",15," T15",67,27,71,59,65,25,68,15,0,0,0,0,65,271,4,15,"      2.934",15,1,3,15,40,48,8,32,NA,NA,8,25,16,54,321,299,2255,8,46,15379,55,5,31,56,66,68,16,6,4.083,1,90.333,4,64.167,3,158.583,8,161,7,325.333,12,140.25,6,954.083,14,17.75,1,104.833,1,16.5,1,139.083,3,182,6,205.25,4,90.667,2,55.083,2,72,54,13,"      2,798.917",72,67,47,"  1,739.250",69,17,672.083,29,12,535.833,5,136.25,9,4,1,11,18,44,130.167,17,37,1,4,2,3,2,2,3,5,4,7,2,3,2,3,14,30.583,3,0,NA,116,93,29,1,43,91.083,3520,4,45,45,4,4,6,5,5,3,2,2,1,1,4,4,4,2,55,54,30,16,12,10,14,11,30,71,66,12,11,3,42,5,1,34,4,1,16,25,1,38,6,45,49,"  3.427",4,20,"   .104",32,"  6.066",15,0.104,45,0.752,20,-0.197,50,NA
"6","R",2015,350,34,NA,0,19803,"Armour, Ryan","39 04 01","Travelers Championship","Y ",0,"",999," CUT",68,51,71,73,0,0,0,0,0,0,0,0,68,139,2,999,"       .866",999,0,999,6,999,25,5,999,NA,NA,5,999,6,26,299,999,1101,4,999,7547,999,0,13,28,999,999,8,4,NA,0,35.083,2,NA,0,35.083,2,162.583,8,72.25,3,59.583,2,280.75,7,NA,NA,18.917,1,24.583,1,43.5,2,22.75,1,109.833,2,115.333,3,127.333,2,36,26,999,"      1,298.417",36,999,22,"    610.250",999,10,418.75,999,6,221.583,4,197.167,4,3,1,7,10,999,46.333,9,999,1,1,2,2,0,1,4,4,2,4,1,1,2,3,999,41.75,3,0,NA,62,49,12,2,24,51.583,1272,2,26,26,5,4,2,2,1,1,2,0,2,0,1,1,0,0,33,32,999,6,2,999,7,3,999,39,34,999,2,1,999,5,1,999,4,0,999,12,0,999,2,23,999," 2.549-",2,999," 1.058-",999,"   .135",999,-1.058,999,1.618,999,0.782,999,NA
"7","R",2015,350,34,NA,0,23048,"Axley, Eric","41 02 06","Travelers Championship","Y ",0.97,"  12,736.00",71," T71",68,51,70,59,70,67,73,71,0,0,0,0,68,281,4,71,"      2.934",71,0,21,11,68,49,12,67,NA,NA,12,64,11,48,316,407,2232,8,52,15436,49,6,33,56,64,70,7,6,27.417,2,20.25,2,70.417,5,118.083,9,200.917,11,277.417,11,249.25,6,562.917,11,78.833,1,NA,NA,NA,NA,78.833,1,238.833,6,143.667,3,46.083,1,171.917,2,72,48,56,"      2,839.167",72,70,48,"  1,408.583",28,13,679.333,61,7,360.75,6,318.583,7,6,0,14,24,52,296.083,21,71,2,4,3,3,1,6,2,3,6,9,5,6,3,6,30,66.417,6,0,NA,118,87,28,2,44,98.417,3481,4,40,40,10,10,5,3,6,6,3,2,2,2,1,0,4,3,55,53,54,16,13,5,16,13,18,71,66,12,12,3,48,12,2,43,4,0,46,19,1,29,6,47,53,"  2.378",4,26,"  .532-",71," 3.934-",71,-0.532,63,-0.511,61,-0.535,66,NA
"8","R",2015,350,34,NA,0,22371,"Baddeley, Aaron","34 03 11","Travelers Championship","Y ",20.5,"  16,085.33",48," T48",68,51,66,16,68,15,73,48,0,0,0,0,66,275,4,48,"      2.934",48,1,3,18,10,39,13,71,1,NA,14,70,18,43,339,43,2334,8,24,15331,59,11,31,56,66,55,8,9,104.75,2,27.583,2,82.5,5,214.833,9,145,8,512.167,13,189.083,4,841.333,13,NA,NA,20,1,NA,NA,20,1,172.167,4,140.333,3,355.5,5,228.5,2,72,44,70,"      3,658.250",72,72,47,"  1,902.417",72,15,916.5,71,5,400.667,10,515.833,8,5,3,14,28,62,285.083,25,67,5,9,1,2,1,9,6,8,5,8,2,2,4,7,25,114.083,7,1,33,112,71,30,0,41,88.917,4740,4,36,36,4,4,5,5,2,1,4,2,3,3,4,2,2,2,45,45,1,15,10,29,14,11,30,60,55,21,11,9,2,16,7,6,4,0,46,21,0,40,16,52,2," 11.262",4,1,"  .837-",72,"  2.066",48,-0.837,68,-1.973,72,0.511,16,NA
"9","R",2015,350,34,NA,0,28259,"Bae, Sangmoon","29 00 07","Travelers Championship","Y ",0,"",999," CUT",70,94,73,128,0,0,0,0,0,0,0,0,70,143,2,999,"       .866",999,0,999,6,999,21,9,999,NA,NA,9,999,6,22,328,156,1160,4,999,7972,999,8,20,28,999,999,3,4,NA,0,50.333,3,74.333,3,124.667,6,96,5,220.917,5,76.75,3,393.083,7,46.167,1,NA,NA,62.5,1,108.667,2,37.667,1,NA,NA,109.833,3,NA,NA,36,22,999,"      1,481.667",36,999,26,"    911.417",999,6,256.167,999,2,75.333,4,180.833,6,1,0,9,14,999,67.25,13,999,3,5,0,0,0,0,2,3,7,10,0,0,3,4,999,10.083,3,0,NA,60,42,16,4,20,58.583,2101,2,22,22,4,3,3,1,4,1,2,1,3,3,2,0,3,1,29,26,999,14,6,999,12,6,999,43,32,999,1,1,999,5,1,999,2,0,999,9,2,999,4,17,999," 2.740-",2,999,"   .921",999," 3.865-",999,0.921,999,-1.854,999,0.371,999,NA
"10","R",2015,350,34,NA,0,35545,"Barber, Blayne","25 06 03","Travelers Championship","Y ",0,"",999," CUT",69,76,72,102,0,0,0,0,0,0,0,0,69,141,2,999,"       .866",999,0,999,7,999,22,6,999,1,NA,7,999,5,21,342,27,1164,4,999,7986,999,6,19,28,999,999,5,3,32.833,2,23.583,2,65.833,3,122.25,7,105.25,6,94,5,162.417,4,246.917,5,24.917,1,NA,NA,NA,NA,24.917,1,86.833,2,156.417,3,NA,NA,153.5,1,36,21,999,"      1,179.667",35,999,27,"    730.833",999,7,421.667,999,4,207.583,3,214.083,3,4,1,9,15,999,104.75,13,999,5,7,2,2,1,3,2,3,2,4,4,5,0,2,999,20.167,1,2,8,57,39,13,2,21,54.167,2044,2,23,23,3,3,0,0,2,0,1,1,1,0,1,0,1,0,26,26,999,6,1,999,4,1,999,32,27,999,7,2,999,9,4,999,3,1,999,5,0,999,7,24,999,"  .911-",2,999,"   .512",999," 1.865-",999,0.512,999,-1.092,999,0.104,999,NA
