"","Tour","Tournament.Year","Tournament.Number","Permanent.Tournament.Number","Team.ID","Team.Number","Player.Number","Player.Name","Player.Age..years..months.days.","Event.Name","Official.Event.Y.N.","FedExCup.Points","Money","Finish.Position.numeric.","Finish.Position.text.","Round.1.Score","Round.1.Pos","Round.2.Score","Round.2.Pos","Round.3.Score","Round.3.Pos","Round.4.Score","Round.4.Pos","Round.5.Score","Round.5.Pos","Round.6.Score","Round.6.Pos","Lowest.Round","Total.Strokes","Total.Rounds.","Stroke.Average..Rank.","Scoring.Avg.Total.Adjustment.","Scoring.Avg.Total.Adjustment...Rank.","Eagles","Eagles..Rank.","Birdies","Birdies..Rank.","Pars","Bogeys","Bogeys..Rank.","Doubles","Others","Total.Holes.Over.Par","Bogey.Avoidance.Rank","Birdie.or.Better.Conv.....Birdies.","Birdie.or.Better.Conv.....Greens.Hit.","Longest.Drive","Longest.Drive..Rank.","Driving.Distance.Total.Distance.","Driving.Distance.Total.Drives.","Driving.Distance..Rank.","Driving.Dist....All.Drives.Tot..Dist..","Driving.Dist....All.Drives.Rank.","Drives.Over.300.Yards....of.Drives.","Driving.Acc....Fairways.Hit.","Driving.Acc....Possible.Fairways.","Driving.Accuracy.Rank","Total.Driving..Rank.","Left.Rough.Tendency.Total.Left.Rough.","Right.Rough.Tendency.Total.Right.Rough.","App..50.75.yds.ft.","App..50.75.yds.attempts.","App..75.100.yds.ft.","App..75.100.yds.attempts.","App..100.125.yds.ft.","App..100.125.yds.attempts.","App..50.125.Yards.ft.","App...50.125.Yards.attempts.","Approaches..125.150.Yards.ft.","Approaches...125.150.Yards.attempts.","Approaches...150.175.Yards.ft.","Approaches...150.175.Yards.attempts.","Approaches...175.200.Yards.ft.","Approaches...175.200.Yards.attempts.","Approaches....200.Yards.ft.","Approaches....200.Yards.attempts.","App..50.75.yds.ft....Rough","App..50.75.yds.attempts....Rough","App..75.100.yds.ft....Rough","App..75.100.yds.attempts....Rough","App..100.125.yds.ft....Rough","App..100.125.yds.attempts....Rough","Approaches.50.125.Yards.ft....Rough","Approaches.50.125.Yards.attempts....Rough","Approaches.125.150.Yards.ft....Rough","Approaches.125.150.Yards.attempts....Rough","Approaches.150.175.Yards.ft....Rough","Approaches.150.175.Yards.attempts....Rough","Approaches.175.200.Yards.ft....Rough","Approaches.175.200.Yards.attempts....Rough","Approaches..200.Yards.ft....Rough","Approaches....200.Yards.attempts....Rough","Total.Holes.Played","Total.Greens.in.Regulation","GIR.Rank","Total.Distance.ft..Prox.to.Hole","X..of.Attempts.Prox.to.Hole","Proximity.to.Hole..Rank.","Fairway.Prox.attempts.","Fairway.Prox.distance.in.ft.","Fairway.Prox..Rank.","Rough.Prox.attempts.","Rough.Prox.distance.in.ft.","Rough.Prox..Rank.","Left.Rough.Prox.attempts.","Left.Rough.Prox.distance.in.ft.","Right.Rough.Prox.attempts.","Right.Rough.Prox.distance.in.ft.","Going.for.Green.attempts.","Going.for.Green.non.attempts.","Going.for.the.Green.successes.","Scrambling.Par.or.Better","Scrambling.Missed.GIR","Scrambling..Rank.","Scrambling.Proximity..Total.Distance.","Scrambling.Proximity....of.shots.","Scrambling.Proximity..rank.","Scrambling.from.the.Rough.successes.","Scrambling.from.the.Rough.attempts.","Scrambling.from.the.Fringe.successes.","Scrambling.from.the.Fringe.attempts.","Scrambling....30.Yards.successes.","Scrambling....30.Yards.attempts.","Scrambling.20.30.Yards.successes.","Scrambling...20.30.Yards.attempts.","Scrambling.10.20.Yards.successes.","Scrambling.10.20.Yards.attempts.","Scrambling...10.Yards.successes.","Scrambling....10.Yards.attempts.","Sand.Save.....Saves.","Sand.Save.....Bunkers.","Sand.Save..Rank.","Prox.to.Hole.from.Sand.Total.Distance.","Prox.to.Hole.from.Sand...of.Shots.","Total.Hole.Outs","Longest.Hole.Out.yards.","Overall.Putting.Avg...of.Putts.","Putting.Avg.GIR.Putts.","One.Putt.....of.One.Putts.","X3.Putt.Avoid.Total.3.Putts.","Approach.Putt.Performance.attempts.","Approach.Putt.Performance.ft..","Avg.Distance.of.Putts.Made.Total.Distance.of.Putts.","Total.Rounds.Played","Putting.3..attempts.","Putting.3..putts.made.","Putting...4..attempts.","Putting.4..putts.made.","Putting.5..attempts.","Putting.5..putts.made.","Putting.6..attempts.","Putting.6..putts.made.","Putting.7..attempts.","Putting.7..putts.made.","Putting.8..attempts.","Putting.8..putts.made.","Putting.9..attempts.","Putting.9..putts.made.","Putting.10..attempts.","Putting.10..putts.made.","Putting.Inside.5...putts.made.","Putting.Inside.5...attempts.","Putting.Inside.5.Feet..Rank.","Putting.5....10...putts.made.","Putting.5....10...attempts.","Putting.5....10...Rank.","Putting.4..8..attempts.","Putting.4..8..putts.made.","Putting.4....8...Rank.","Putting.Inside.10..attempts.","Putting.Inside.10..putts.made.","Putting.Inside.10..rank.","Putting.10..15..attempts.","Putting...10..15..putts.made.","Putting.10..15..rank.","Putting.15.20..attempts.","Putting.15..20..putts.made.","Putting.15..20..rank.","Putting.20..25..attempts.","Putting.20..25..putts.made.","Putting.20..25..rank.","Putting..25..attempts.","Putting..25..putts.made.","Putting..25..rank.","Putting...10...putts.made.","Putting...10...attempts.","Putting...10...rank.","Total.Putts.Gained","Total.Rounds.Played.Putts.Gained.","Putts.Gained.Rank","TTL.SG.T2G","SG..T2G.Rank","TTL.SG.Total","SG..Total.Rank","OTT.SG.Avg.","OTT.SG.Rank","APP.SG.Avg.","APP.SG.Rank","ARG.SG.Avg.","ARG.SG.Rank","X"
"1","R",2015,440,33,NA,0,33948,"An, Byeong Hun","23 10 30","PGA Championship","Y ",0,"",999," CUT",75,86,74,100,0,0,0,0,0,0,0,0,74,149,2,999,"- 3.078",999,0,999,6,999,22,5,999,3,NA,8,999,4,20,339,107,1218,4,999,8214,999,9,16,28,999,999,5,3,51.5,2,97.25,3,64.5,2,213.25,7,162.917,5,30.083,2,73.667,2,"        553.250",10,NA,NA,13.583,1,NA,NA,13.583,1,112,3,NA,NA,158,2,NA,NA,36,20,999,"      1,612.667",36,999,26,"  1,033.167",999,7,"    303.000",999,4,131.417,3,171.583,6,4,0,9,16,999,86.583,14,999,4,6,3,3,1,3,1,5,4,5,3,3,0,1,999,8,1,1,13,58,37,13,3,21,49,967,2,28,28,2,1,2,0,3,2,2,1,3,1,1,0,2,1,32,29,999,11,5,999,10,4,999,43,34,999,5,0,999,0,0,NA,5,0,999,5,0,999,NA,15,999," 6.830-",2,999,"   .768",999," 1.918-",999,0.768,999,-0.632,999,2.321,999,NA
"2","R",2015,440,33,NA,0,30978,"Aphibarnrat, Kiradech","26 00 24","PGA Championship","Y ",0,"  18,200.00",68," T68",72,39,72,50,73,62,75,68,0,0,0,0,72,292,4,68,"- 1.428",68,0,27,13,59,42,17,77,NA,NA,17,71,12,38,339,107,2349,8,36,16231,27,19,29,56,70,69,10,8,7.833,1,34.667,2,115.5,5,158,8,118.583,5,126.833,4,192.917,6,"      1,105.917",21,NA,NA,44.417,3,170.333,3,214.75,6,95.583,2,167.583,3,NA,NA,351.25,5,72,38,74,"      3,333.667",72,71,44,"  1,702.250",64,18,"    907.667",47,9,442.667,9,465,14,6,2,18,34,52,375.333,30,50,1,7,8,9,2,6,3,8,6,13,7,7,5,10,8,38.583,8,1,22,109,67,34,1,37,101.167,3545,4,39,39,8,8,6,5,4,3,7,5,3,1,5,3,1,1,53,52,32,20,13,37,20,14,56,73,65,43,12,3,58,6,2,15,2,0,55,16,1,34,6,36,42,"   .051",4,49,"  .148-",67," 2.568-",68,-0.148,56,-0.172,61,-0.335,66,NA
"5","R",2015,440,33,NA,0,40026,"Berger, Daniel","22 04 09","PGA Championship","Y ",0,"",999," CUT",74,71,74,90,0,0,0,0,0,0,0,0,74,148,2,999,"- 3.078",999,0,999,8,999,18,8,999,2,NA,10,999,8,23,321,394,1213,4,999,7890,999,8,17,28,999,999,2,3,NA,0,45.25,3,80.5,4,125.75,7,35.5,2,98.833,4,99.417,3,"        673.833",11,NA,NA,118,4,33.083,2,151.083,6,NA,NA,NA,NA,NA,NA,NA,NA,36,23,999,"      1,445.583",36,999,27,"  1,033.333",999,6,"    151.083",999,3,85.917,3,65.167,4,6,0,5,13,999,154.083,9,999,4,9,1,2,2,5,0,1,2,6,1,1,0,2,999,32.833,2,0,NA,59,40,15,2,21,55.833,1744,2,24,24,3,2,1,1,2,2,1,0,3,2,0,0,1,1,28,27,999,7,5,999,7,5,999,35,32,999,8,2,999,5,1,999,5,1,999,6,0,999,4,24,999,"  .501-",2,999,"  .551-",999,"  .918-",999,-0.551,999,0.387,999,-0.044,999,NA
"6","R",2015,440,33,NA,0,10944,"Bjorn, Thomas","44 05 29","PGA Championship","Y ",0,"  25,750.00",48," T48",69,11,75,50,69,36,74,48,0,0,0,0,69,287,4,48,"- 1.428",48,0,27,16,33,42,13,62,1,NA,14,58,15,42,321,394,2241,8,69,15517,69,9,30,56,65,75,9,10,25,1,95.333,6,121.167,6,241.5,13,93.167,7,32.75,2,100,4,"      1,204.333",21,39.167,2,9.833,1,143,5,192,8,233,4,141.167,3,234,3,119.667,2,72,42,64,"      2,936.833",72,48,47,"  1,671.750",48,20,"    919.833",31,11,350.083,9,569.75,5,15,0,18,30,32,218,27,14,3,7,8,8,2,7,4,7,6,9,6,7,1,5,60,30.25,4,1,29,110,71,35,3,36,91.167,3050,4,43,43,11,11,5,4,1,0,5,4,3,2,2,1,5,1,59,58,23,16,8,65,14,10,53,75,66,52,12,3,58,6,2,15,2,0,55,15,0,46,5,35,56," 1.519-",4,63," 1.001-",36,"  2.432",48,-1.001,76,1.142,11,0.847,15,NA
"7","R",2015,440,33,NA,0,24507,"Bohn, Jason","42 03 23","PGA Championship","Y ",31.5,"  39,200.00",37," T37",74,71,71,61,66,24,74,37,0,0,0,0,66,285,4,37,"- 1.428",37,0,27,14,49,47,11,36,NA,NA,11,26,13,47,311,797,2201,8,76,15386,74,4,38,56,16,57,5,7,135.667,7,114.917,7,167.833,7,418.417,21,148.583,6,160.75,5,139.583,6,"        771.500",21,48.667,3,50.833,1,93,3,192.5,7,12.583,2,NA,NA,NA,NA,48.75,1,72,47,36,"      2,005.500",72,1,59,"  1,638.833",1,10,"    253.833",1,7,167.583,3,86.25,4,16,1,15,25,32,191.75,19,32,6,8,2,2,2,6,3,3,8,12,2,4,3,7,26,80.25,5,1,12,114,83,29,1,42,82.333,3490,4,45,45,6,6,2,2,3,2,3,2,6,2,1,1,3,3,53,53,1,16,10,48,14,8,70,69,63,22,14,5,33,10,2,31,9,1,53,12,0,46,8,45,39,"  1.026",4,42,"  .666-",38,"  4.432",37,-0.666,72,0.861,21,0.657,25,NA
"8","R",2015,440,33,NA,0,25274,"Bowditch, Steven","32 02 08","PGA Championship","Y ",0,"",999," CUT",74,71,75,100,0,0,0,0,0,0,0,0,74,149,2,999,"- 3.078",999,1,999,4,999,21,9,999,1,NA,10,999,4,22,336,142,1173,4,999,8063,999,11,11,28,999,999,10,3,10,2,9.25,1,25.667,2,44.917,5,119.833,4,30.917,1,37.167,1,"        460.833",9,30.167,1,NA,NA,87.917,4,118.083,5,84.083,2,NA,NA,135.583,3,NA,NA,36,23,999,"      1,317.667",35,999,20,"    693.667",999,10,"    337.750",999,8,289.417,2,48.333,2,8,0,4,13,999,111.167,10,999,3,5,1,1,0,2,2,3,1,6,1,1,0,3,999,21.167,1,1,60,59,41,12,1,23,46.167,1760,2,22,22,5,5,1,0,1,1,4,1,1,1,0,0,4,1,28,27,999,10,4,999,7,3,999,38,31,999,6,3,999,2,0,999,2,0,999,11,1,999,4,21,999,"  .652-",2,999,"  .770-",999," 1.918-",999,-0.77,999,0.189,999,-0.051,999,NA
"9","R",2015,440,33,NA,0,33141,"Bradley, Keegan","29 02 09","PGA Championship","Y ",9,"  20,200.00",61," T61",76,102,70,70,72,64,71,61,0,0,0,0,70,289,4,61,"- 1.428",61,0,27,18,21,37,15,72,2,NA,17,71,17,47,360,13,2395,8,15,16625,11,27,27,56,76,55,9,12,28.583,3,115.25,5,126.083,5,269.917,13,183.5,7,86.917,5,230.333,9,"        561.000",12,65.167,3,71.5,2,72.833,4,209.5,9,103.167,2,2.5,1,85.833,2,169.083,2,72,47,36,"      2,325.750",70,4,46,"  1,331.667",4,17,"    594.333",6,9,261.667,8,332.667,8,12,3,10,25,74,142.083,16,20,4,11,4,4,1,7,1,3,4,8,4,4,1,2,8,10.917,2,0,NA,115,82,29,2,42,109.583,3793,4,43,42,7,7,3,2,5,4,7,4,2,2,3,1,4,1,53,51,62,21,12,57,17,12,55,74,63,68,9,5,8,7,1,46,9,2,21,16,0,46,8,41,28,"  .321-",4,53,"  .478-",58,"   .432",61,-0.478,68,0.148,53,0.518,28,NA
"13","R",2015,440,33,NA,0,25364,"Casey, Paul","38 00 26","PGA Championship","Y ",38,"  56,057.14",30," T30",70,15,70,15,70,17,74,30,0,0,0,0,70,284,4,30,"- 1.428",30,1,7,19,9,36,15,72,1,NA,16,69,20,52,358,18,2354,8,34,16262,26,20,34,56,39,35,9,8,NA,0,117.667,8,144.25,4,261.917,12,274.417,11,134.5,6,92.25,3,"        940.083",21,157.167,2,43.167,1,137.833,3,338.167,6,152.083,5,11.417,1,50.25,1,145.5,1,72,52,12,"      2,740.083",72,20,54,"  1,726.917",18,14,"    697.417",44,8,457.917,6,239.5,8,12,3,5,20,77,227.083,14,74,2,9,1,1,1,8,1,5,2,5,1,2,2,6,42,83,6,0,NA,117,87,29,2,43,120.5,4888,4,38,38,6,6,7,7,4,4,3,0,0,0,6,3,4,1,51,51,1,17,8,68,14,11,30,68,59,60,13,5,29,10,4,9,6,2,8,20,2,10,13,49,5,"  4.489",4,17,"   .074",57,"  5.432",30,0.074,46,0.623,32,-0.461,69,NA
"14","R",2015,440,33,NA,0,20472,"Cejka, Alex","44 08 14","PGA Championship","Y ",0,"",999," W/D",76,102,0,0,0,0,0,0,0,0,0,0,76,76,1,999,"- 2.145",999,0,999,3,999,9,5,999,1,NA,6,999,3,9,309,917,523,2,999,3733,999,1,7,14,999,999,3,2,NA,0,53.833,2,NA,0,53.833,2,121.417,3,96.5,3,22,1,"        170.917",4,NA,NA,NA,NA,72.833,1,72.833,1,10.083,1,19.083,1,NA,NA,NA,NA,18,9,999,"        588.833",18,999,14,"    468.917",999,4,"    119.917",999,2,82.917,2,37,0,5,0,4,9,999,112.25,7,999,2,5,1,1,1,2,0,2,2,4,1,1,0,2,999,23.75,2,0,NA,29,16,8,1,10,19,1121,1,11,11,2,1,1,1,2,2,0,0,2,0,2,1,0,0,14,13,999,6,3,999,5,3,999,20,16,999,2,1,999,2,0,999,1,0,999,4,1,999,2,9,999,"  .210-",1,999,"  .322-",999," 1.853-",999,-0.322,999,-0.943,999,-0.377,999,NA
"15","R",2015,440,33,NA,0,32366,"Chappell, Kevin","29 01 08","PGA Championship","Y ",26,"  30,000.00",43," T43",73,55,68,25,78,71,67,43,0,0,0,0,67,286,4,43,"- 1.428",43,1,7,14,49,45,10,27,2,NA,12,36,13,46,327,260,2325,8,39,15944,52,11,29,56,70,70,8,8,8.667,1,92.5,5,290.667,12,391.833,18,166.333,6,99.083,4,245.5,8,"        763.250",17,56.833,1,22.333,1,64.583,2,143.75,4,129.417,4,38.25,1,127.083,2,389.667,4,72,46,44,"      2,687.333",72,16,53,"  1,666.000",13,15,"    828.167",57,11,718,4,110.167,8,12,1,16,26,29,214.75,20,40,5,9,6,6,2,7,2,4,9,12,3,3,1,4,52,37.667,3,1,12,112,82,31,2,39,112.583,4103,4,38,38,9,8,5,5,4,3,4,3,4,4,4,1,1,0,52,51,38,17,11,40,17,15,10,69,62,36,9,3,37,5,1,31,8,1,51,21,3,4,8,43,32,"  1.227",4,38,"  .597-",49,"  3.432",43,-0.597,69,0.443,41,0.706,22,NA
