"","X.1","X","Player.Name","PlayYN","Total.Strokes","Scoring.Avg.Total.Adjustment.","Total.Rounds.","Birdie_Or_Better","Total.Holes.Over.Par","FGAvg_PositionMasters","FGAvg_ScoreMasters","FGBirdieBogey_RatioMasters","FGSGT2GMasters","FGSGPuttingMasters","FGFormIndMasters","FG_Points","Value","Course_History","GA_Form","SG_Total","GA_Form2","GA_Form3"
"1",37,37,"DeChambeau, Bryson","Y",282,2.149,4,18,13,27,71.03725,1.384615385,0.63,4.572,2.387060541,0,6,0,5.202,5.202,5.202,0
"2",4,4,"Aphibarnrat, Kiradech","Y",853,4.412,12,53,39,28.33333333,71.451,1.358974359,-0.124,4.772333333,2.309777376,0,11,0,4.648333333,4.648333333,4.648333333,0
"3",40,40,"Donaldson, Jamie","Y",1140,-9.744,16,52,51,33.5,70.641,1.019607843,-0.32125,4.357,1.957780363,0,10.5,7,11.03575,4.03575,4.73575,0
"4",35,35,"Day, Jason","Y",1260,10.199,18,83,45,28.8,70.56661111,1.844444444,0.0802,2.908,2.282429398,0,15,30,32.9882,2.9882,5.9882,0
"5",175,175,"Stricker, Steve","N",1546,6.947,22,86,65,68.28571429,70.5885,1.323076923,-0.650857143,3.147285714,0.977788622,0,5.5,19,21.49642857,2.496428571,4.396428571,0
"6",127,127,"Mickelson, Phil","Y",1801,-2.579,26,119,54,24.28571429,69.17003846,2.203703704,0.195857143,2.264571429,2.656125549,0,13.5,27,29.46042857,2.460428572,5.160428572,0
"7",65,65,"Hadwin, Adam","N",2967,15.177,42,160,117,59.15384615,71.00421429,1.367521368,0.196,2.216153846,1.136435641,0,6,0,2.412153846,2.412153846,2.412153846,0
"8",88,88,"Johnson, Dustin","Y",1956,7.184,28,141,75,13.57142857,70.11371429,1.88,0.684857143,1.496857143,4.866989474,0,14.5,17,19.18171429,2.181714286,3.881714286,0
"9",167,167,"Spieth, Jordan","Y",1813,8.423,26,124,67,25.14285714,70.05473077,1.850746269,0.531,1.541571429,2.630226656,0,15,20,22.07257143,2.072571429,4.072571429,0
"10",96,96,"Kim, K.T.","N",573,2.263,8,34,27,34.5,71.907875,1.259259259,-1.519,3.5815,1.988003355,0,8.5,2,4.0625,2.0625,2.2625,0
"11",199,199,"Willett, Danny","Y",834,-3.555,12,56,27,9.333333333,69.20375,2.074074074,0.286,1.582666667,6.992250992,0,14,2,3.868666667,1.868666667,2.068666667,0
"12",67,67,"Harman, Brian","N",3397,21.828,48,179,136,56.64285714,71.22558333,1.316176471,0.078857143,1.757357143,1.20179659,0,7,0,1.836214286,1.836214286,1.836214286,0
"13",136,136,"O'Hair, Sean","N",2586,16.321,37,145,89,46,70.333,1.629213483,0.320181818,1.483,1.454360972,0,6.5,2,3.803181818,1.803181818,2.003181818,0
"14",43,43,"Dunne, Paul","N",650,-7.98,9,27,33,70.33333333,71.33555556,0.818181818,0.128333333,1.668333333,0.977071665,0,7,0,1.796666666,1.796666666,1.796666666,0
"15",98,98,"Kisner, Kevin","Y",2493,31.94,36,168,83,37,70.13722222,2.024096386,0.6087,1.1834,1.792460158,0,13.5,0,1.7921,1.7921,1.7921,0
"16",72,72,"Henley, Russell","N",2323,14.435,33,124,80,64.09090909,70.83136364,1.55,0.047363636,1.632090909,1.05478156,0,8,0,1.679454545,1.679454545,1.679454545,0
"17",99,99,"Kizzire, Patton","N",2947,6.342,42,173,116,48.5,70.31766667,1.49137931,-0.3325,1.966,1.385418296,0,8.5,0,1.6335,1.6335,1.6335,0
"18",191,191,"Walker, Jimmy","Y",2377,4.328,34,152,98,28.33333333,70.03905882,1.551020408,0.143111111,1.490111111,2.359581748,0,13,12,13.63322222,1.633222222,2.833222222,0
"19",104,104,"Koepka, Brooks","Y",1968,8.186,28,121,84,42.5,70.57807143,1.44047619,0.481625,1.126875,1.588919888,0,13.5,2,3.6085,1.6085,1.8085,0
"20",161,161,"Scott, Adam","Y",1925,13.628,28,141,62,20.57142857,69.23671429,2.274193548,0.441714286,1.117142857,3.179344758,0,14,37,38.55885714,1.558857143,5.258857143,0
