,X.3,X.2,X.1,X,Player.Name,catFinalPositions,PlayYN,FG_AvgScoreRnd,Total.Strokes,Scoring.Avg.Total.Adjustment.,Total.Rounds.,Birdie_Or_Better,Total.Holes.Over.Par,FGAvg_PositionMasters,FGAvg_ScoreMasters,FGBirdieBogey_RatioMasters,FGSGT2GMasters,FGSGPuttingMasters,FGFormIndMasters,FG_Points,Value,Course_History,GA_Form,SG_Total,GA_Form2,GA_Form3,FGSG_Total
10,1,1,37,37,"DeChambeau, Bryson",Top25,Y,73.25,282,2.149,4,18,13,27,71.03725,1.384615385,0.63,4.572,2.387060541,0,6,0,5.202,5.202,5.202,0,5.202
2,2,2,4,4,"Aphibarnrat, Kiradech",Top25,Y,72.75,853,4.412,12,53,39,28.33333333,71.451,1.358974359,-0.124,4.772333333,2.309777376,0,11,0,4.648333333,4.648333333,4.648333333,0,4.648333333
11,3,3,40,40,"Donaldson, Jamie",Top25,Y,73.25,1140,-9.744,16,52,51,33.5,70.641,1.019607843,-0.32125,4.357,1.957780363,0,10.5,7,11.03575,4.03575,4.73575,0,4.03575
9,4,4,35,35,"Day, Jason",Top25,Y,72.25,1260,10.199,18,83,45,28.8,70.56661111,1.844444444,0.0802,2.908,2.282429398,0,15,30,32.9882,2.9882,5.9882,0,2.9882
46,6,6,127,127,"Mickelson, Phil",MC,Y,75.5,1801,-2.579,26,119,54,24.28571429,69.17003846,2.203703704,0.195857143,2.264571429,2.656125549,0,13.5,27,29.46042857,2.460428572,5.160428572,0,2.460428572
26,8,8,88,88,"Johnson, Dustin",Top25,Y,71.75,1956,7.184,28,141,75,13.57142857,70.11371429,1.88,0.684857143,1.496857143,4.866989474,0,14.5,17,19.18171429,2.181714286,3.881714286,0,2.181714286
59,9,9,167,167,"Spieth, Jordan",Top25,Y,71.5,1813,8.423,26,124,67,25.14285714,70.05473077,1.850746269,0.531,1.541571429,2.630226656,0,15,20,22.07257143,2.072571429,4.072571429,0,2.072571429
68,11,11,199,199,"Willett, Danny",Top25,Y,70.75,834,-3.555,12,56,27,9.333333333,69.20375,2.074074074,0.286,1.582666667,6.992250992,0,14,2,3.868666667,1.868666667,2.068666667,0,1.868666667
30,15,15,98,98,"Kisner, Kevin",26th-CUTLINE,Y,74.25,2493,31.94,36,168,83,37,70.13722222,2.024096386,0.6087,1.1834,1.792460158,0,13.5,0,1.7921,1.7921,1.7921,0,1.7921
65,18,18,191,191,"Walker, Jimmy",26th-CUTLINE,Y,73.75,2377,4.328,34,152,98,28.33333333,70.03905882,1.551020408,0.143111111,1.490111111,2.359581748,0,13,12,13.63322222,1.633222222,2.833222222,0,1.633222222
33,19,19,104,104,"Koepka, Brooks",Top25,Y,73.25,1968,8.186,28,121,84,42.5,70.57807143,1.44047619,0.481625,1.126875,1.588919888,0,13.5,2,3.6085,1.6085,1.8085,0,1.6085
55,20,20,161,161,"Scott, Adam",26th-CUTLINE,Y,74.75,1925,13.628,28,141,62,20.57142857,69.23671429,2.274193548,0.441714286,1.117142857,3.179344758,0,14,37,38.55885714,1.558857143,5.258857143,0,1.558857143
47,21,21,131,131,"Moore, Ryan",MC,Y,77.5,2175,12.945,31,120,78,32.5,70.57887097,1.538461538,0.0865,1.43725,2.077435675,0,9.5,9,10.52375,1.52375,2.42375,0,1.52375
34,24,24,106,106,"Kuchar, Matt",Top25,Y,73.5,2094,13.657,30,125,74,37.625,70.25523333,1.689189189,0.097875,1.27175,1.785951339,0,12.5,37,38.369625,1.369625,5.069625,0,1.369625
54,26,26,160,160,"Schwartzel, Charl",MC,Y,76,1683,0.585,24,96,54,19.5,70.149375,1.777777778,0.255166667,1.068333333,3.43836396,0,12,19,20.3235,1.3235,3.2235,0,1.3235
41,27,27,117,117,"Mahan, Hunter",26th-CUTLINE,Y,75.5,2219,-1.785,31,108,97,67,71.52306452,1.113402062,0.2565,1.0513,1.031371081,0,8,20,21.3078,1.3078,3.3078,0,1.3078
27,29,29,89,89,"Johnson, Zach",MC,Y,76,1963,23.461,28,112,70,46.125,70.94503571,1.6,-0.098,1.33075,1.476689121,0,13.5,14,15.23275,1.23275,2.63275,0,1.23275
7,30,30,20,20,"Casey, Paul",Top25,Y,71.75,1822,7.042,26,107,62,34.85714286,70.34776923,1.725806452,0.493142857,0.725428571,1.93370385,0,12.5,12,13.21857143,1.218571428,2.418571428,0,1.218571428
58,32,32,166,166,"Snedeker, Brandt",Top25,Y,72.25,2302,19.781,33,142,73,42.4,70.357,1.945205479,-0.2217,1.4039,1.585603644,0,14,22,23.1822,1.1822,3.3822,0,1.1822
63,35,35,177,177,"Sullivan, Andy",MC,Y,78.5,1428,-2.159,20,70,64,40.4,71.29205,1.09375,0.0646,1.0818,1.709205446,0,12.5,0,1.1464,1.1464,1.1464,0,1.1464
37,39,39,110,110,"Leishman, Marc",MC,Y,75.5,2014,26.839,29,125,63,39.5,70.37375862,1.984126984,0.481375,0.582375,1.7044527,0,12.5,10,11.06375,1.06375,2.06375,0,1.06375
44,40,40,124,124,"McIlroy, Rory",Top25,Y,72.25,1535,4.323,22,101,51,31,69.96922727,1.980392157,0.756333333,0.210833333,2.161989305,0,15,32,32.96716667,0.967166666,4.167166666,0,0.967166666
14,44,44,46,46,"English, Harris",26th-CUTLINE,Y,74.75,2957,13.371,42,163,112,48.66666667,70.72311905,1.455357143,-0.1865,1.078416667,1.404983121,0,8,0,0.891916667,0.891916667,0.891916667,0,0.891916667
40,45,45,116,116,"Lowry, Shane",26th-CUTLINE,Y,74.5,1863,-11.964,26,91,89,45,71.19369231,1.02247191,0.378142857,0.501714286,1.539808072,0,13,0,0.879857143,0.879857143,0.879857143,0,0.879857143
45,48,48,126,126,"Merritt, Troy",26th-CUTLINE,Y,74.75,2266,32.871,32,124,88,67.81818182,71.83971875,1.409090909,-0.220818182,1.078636364,1.025872528,0,7,0,0.857818182,0.857818182,0.857818182,0,0.857818182
23,49,49,79,79,"Holmes, J.B.",Top25,Y,71.75,1699,1.09,24,99,65,19.5,70.83708333,1.523076923,0.726666667,0.124833333,3.510897765,0,13,0,0.8515,0.8515,0.8515,0,0.8515
53,52,52,157,157,"Rose, Justin",Top25,Y,72.25,1537,1.576,22,95,53,25.5,69.93527273,1.79245283,0.432666667,0.350666667,2.641548493,0,14.5,35,35.78333333,0.783333334,4.283333334,0,0.783333334
24,54,54,80,80,"Horschel, Billy",Top25,Y,73,1916,-7.919,27,111,90,36.28571429,70.66966667,1.233333333,0.537,0.232,1.892406824,0,10.5,2,2.769,0.769,0.969,0,0.769
3,55,55,8,8,"Berger, Daniel",Top25,Y,72.25,2678,11.474,38,149,100,48.45454545,70.77563158,1.49,0.348363636,0.402909091,1.414405155,0,9.5,0,0.751272727,0.751272727,0.751272727,0,0.751272727
15,59,59,52,52,"Fitzpatrick, Matthew",Top25,Y,72,991,0.431,14,56,41,42,70.8165,1.365853659,-0.4395,1.15125,1.636640389,0,10.5,0,0.71175,0.71175,0.71175,0,0.71175
60,60,60,172,172,"Stenson, Henrik",Top25,Y,73.5,1676,8.365,24,111,58,17,70.181875,1.913793103,0.324,0.321666667,3.977789131,0,14.5,17,17.64566667,0.645666667,2.345666667,0,0.645666667
28,62,62,93,93,"Kaufman, Smylie",26th-CUTLINE,Y,73.75,3358,26.395,48,207,121,33.92307692,70.50822917,1.710743802,0.323692308,0.256461538,2.010941745,0,6,0,0.580153846,0.580153846,0.580153846,0,0.580153846
66,63,63,194,194,"Watson, Bubba",26th-CUTLINE,Y,74.25,1596,14.664,23,104,49,22,70.02886957,2.12244898,0.898166667,-0.400666667,3.064041845,0,15,26,26.4975,0.4975,3.0975,0,0.4975
