Standard,CrossoverOnly,MutationOnly,Random,StandardSeed,CrossoverOnlySeed,MutationOnlySeed,RandomSeed
116.5598224,116.5598224,55.84953894,89.23601102,7879,234234,8797,978923
116.5598224,116.5598224,73.25443554,90.37946607,10101,98897,92384765,23464
116.5598224,116.5598224,54.12079103,92.21764005,99898,19019,345345,79982
116.5598224,116.5598224,52.45120023,96.0219665,22,100989,1445,96439
116.5598224,116.5598224,65.89603605,96.54997014,8978912,505050,46357,839632
116.5598224,116.5598224,45.64235847,92.17820022,9292939,8970712,24645,10918
116.5598224,116.5598224,43.42307296,90.04909638,10109,11,7690,1354
116.5598224,116.5598224,45.58292777,97.58917855,5576543,234,7346436,968574
116.5598224,116.5598224,61.21445049,92.03345685,109876,5342,907866,1346
116.5598224,116.5598224,44.10109181,88.93032262,123456789,671534,230208,891357
116.5598224,116.5598224,55.09457618,98.15029987,888999,10101934,3056786,23
116.5598224,116.5598224,54.57416428,92.42116033,1111111,786,9809,93478934
116.5598224,116.5598224,51.53281847,90.98577097,22222,9,8036,838
116.5598224,116.5598224,44.10109181,96.96041602,333,12947,780353,99999
116.5598224,116.5598224,53.47728629,93.74100809,44,7778888,902,98988
116.5598224,116.5598224,45.59077454,94.32965915,555555,99990001,809384937,2
116.5598224,116.5598224,58.89484319,91.28552624,6666,173645454,282304035,345
116.5598224,116.5598224,44.10109181,91.50315026,898885,777878,892,1235
116.5598224,116.5598224,45.2475205,94.77754686,19197,8888811,44444,7624
116.5598224,116.5598224,56.53001987,88.49224342,23432,23432424,23945,34534662
116.5598224,116.5598224,60.10127623,92.95523566,3426,10101084,899089,8909090
116.5598224,116.5598224,51.1418477,94.73641966,46373465,12324,237237,737373737
116.5598224,116.5598224,46.40985265,89.64744935,13523245,1243412,1224,9204905
116.5598224,116.5598224,45.64235847,89.64840379,76534,1776654,88888,23452
116.5598224,116.5598224,60.10127623,86.60530224,90872345,101010,9191919,19191
116.5598224,116.5598224,62.76873873,91.96305498,10109347,90882434,99098765,111100001
116.5598224,116.5598224,39.68297987,95.20072607,10239,111,777777777,39349349
116.5598224,116.5598224,45.59077454,91.28552624,124092340,111111,324,345
116.5598224,116.5598224,33.99763626,91.33879561,120090,434234,4,13456126
116.5598224,116.5598224,57.39487644,92.40832297,100000888,13478247,100,231
