,X,Player.Name,,PlayYN,Total.Strokes,Scoring.Avg.Total.Adjustment.,Total.Rounds.,Scrambling.Par.or.Better,Scrambling.Missed.GIR,Birdie_Or_Better,Total.Holes.Over.Par,FGAvg_Position,FGAvg_Score,FGScrambing_Ratio,FGBirdieBogey_Ratio,FGSGT2G,FGSGPutting,FGFormInd,FG_Points,FGFormIndWithPoints,Value,Course_History,GA_Form,GA_Form2,GA_Form3,FG_AvgScoreRnd
30,1,"Aiken, Thomas",,N,3567,13.291,50,153,271,159,152,74.41176471,71.60582,0.564575646,1.046052632,0.371117647,0.094352941,0.941978692,368,2.781978692,5.5,12,3.981978692,4.281978692,4.781978692,
115,2,"Aldridge, Tyler",,N,4490,13.606,63,227,395,211,197,69.18181818,71.48580952,0.574683544,1.07106599,-0.320818182,0.063590909,1.021539657,103,1.536539657,5,0,1.536539657,1.536539657,1.536539657,
72,3,"An, Byeong Hun",,Y,2639,-12.521,37,126,235,148,123,48.45454545,70.98591892,0.536170213,1.203252033,0.235454545,0.063818182,1.433991249,539,4.128991249,12.5,5,4.628991249,4.753991249,4.962324583,73.25
116,4,"Aphibarnrat, Kiradech",,Y,1878,-14.895,26,112,203,88,99,56.25,71.65788462,0.551724138,0.888888889,0.089625,2.032,1.220397702,401,3.225397702,11,0,3.225397702,3.225397702,3.225397702,74.5
117,5,"Ashun, Wu",,N,288,5.684,4,16,27,13,13,58,73.421,0.592592593,1,0,0,1.248637931,424,3.368637931,6,0,3.368637931,3.368637931,3.368637931,
93,6,"Baddeley, Aaron",,N,4729,18.937,67,295,457,257,185,56.9047619,70.86473134,0.645514223,1.389189189,-0.382238095,1.554428571,1.200309946,331,2.855309946,5,2,3.055309946,3.105309946,3.188643279,
118,7,"Bard, Derek",,N,308,-12.942,4,15,40,10,28,99,73.7645,0.375,0.357142857,0,0,0.741488456,0,0.741488456,6,0,0.741488456,0.741488456,0.741488456,
94,8,"Barnes, Ricky",,N,4872,27.737,69,249,425,258,192,59.09090909,71.01068116,0.585882353,1.34375,-0.778545455,1.0075,1.17510422,502,3.68510422,5,2,3.88510422,3.93510422,4.018437553,
119,9,"Berger, Daniel",,N,4586,-13.763,65,226,386,259,178,38.55555556,70.34210769,0.585492228,1.45505618,0.273277778,0.876555556,1.756873094,1077,7.141873094,9.5,0,7.141873094,7.141873094,7.141873094,
120,10,"Blair, Zac",,N,5414,19.325,76,335,531,253,219,65.20833333,71.49111842,0.630885122,1.155251142,-0.092666667,0.705208333,1.069239498,-14,0.999239498,6.5,0,0.999239498,0.999239498,0.999239498,
73,11,"Blixt, Jonas",,N,4399,13.746,62,272,432,242,182,62.4,71.17332258,0.62962963,1.32967033,-0.37335,1.329,1.103974395,84,1.523974395,6.5,5,2.023974395,2.148974395,2.357307728,
121,12,"Bohn, Jason",,N,3457,17.422,49,173,298,189,135,59.93333333,70.90657143,0.580536913,1.4,-0.058666667,0.174333333,1.157801526,1,1.162801526,8.5,0,1.162801526,1.162801526,1.162801526,
68,13,"Bourdy, Gregory",,N,570,-12.255,8,26,53,30,33,26.5,69.718125,0.490566038,0.909090909,0,0,2.596567324,714,6.166567324,6.5,6,6.766567324,6.916567324,7.166567324,
