,X.1,X,Player.Name,X.2,PlayYN,Total.Strokes,Scoring.Avg.Total.Adjustment.,Total.Rounds.,Scrambling.Par.or.Better,Scrambling.Missed.GIR,Birdie_Or_Better,Total.Holes.Over.Par,FGAvg_Position,FGAvg_Score,FGScrambing_Ratio,FGBirdieBogey_Ratio,FGSGT2G,FGSGPutting,FGFormInd,FG_Points,FGFormIndWithPoints,Value,Course_History,GA_Form,GA_Form2,GA_Form3,FG_AvgScoreRnd,FGSG_Total,catFinalPositions,MadeCut
36,11,36,"Day, Jason",NA,Y,3146,-19.038,45,169,270,200,119,18.41666667,69.48804444,0.625925926,1.680672269,0.259333333,3.132916667,3.463666765,2061,13.76866676,15,19,15.66866676,16.14366676,16.93533343,71.25,3.39225,Top25,Y
181,28,181,"Spieth, Jordan",NA,Y,3626,-11.367,52,224,352,240,144,28.07142857,69.51217308,0.636363636,1.666666667,0.444642857,2.129714286,2.302511447,1299,8.797511447,15,14,10.19751145,10.54751145,11.13084478,71.5,2.574357143,26th-CUTLINE,Y
41,134,41,"Donaldson, Jamie",NA,Y,2219,-29.257,31,130,220,103,107,47.44444444,70.63687097,0.590909091,0.962616822,-0.159222222,2.464777778,1.407494392,220,2.507494392,10.5,0,2.507494392,2.507494392,2.507494392,74.25,2.305555556,26th-CUTLINE,Y
137,4,137,"Mickelson, Phil",NA,Y,3503,-23.637,50,200,315,210,131,41.26666667,69.58726,0.634920635,1.603053435,0.006133333,2.242666667,1.577556202,783,5.492556202,13.5,30,8.492556202,9.242556202,10.4925562,66.75,2.2488,Top25,Y
190,49,190,"Stricker, Steve",NA,Y,2309,6.158,33,150,225,120,83,58.5,70.15630303,0.666666667,1.445783133,-0.4593,2.6977,1.124879542,390,3.074879542,5.5,10,4.074879542,4.324879542,4.741546209,69.75,2.2384,Top25,Y
4,116,4,"Aphibarnrat, Kiradech",NA,Y,1878,-14.895,26,112,203,88,99,56.25,71.65788462,0.551724138,0.888888889,0.089625,2.032,1.210589273,401,3.215589273,11,0,3.215589273,3.215589273,3.215589273,74.5,2.121625,MC,N
44,75,44,"Dunne, Paul",NA,Y,650,-7.98,9,45,74,27,33,70.33333333,71.33555556,0.608108108,0.818181818,0.128333333,1.668333333,0.968425578,263,2.283425578,7,5,2.783425578,2.908425578,3.116758911,77.25,1.796666666,MC,N
93,5,93,"Johnson, Dustin",NA,Y,3892,-19.332,56,193,324,264,146,10.64285714,69.15478571,0.595679012,1.808219178,0.817071429,0.920071429,6.108673996,3186,22.038674,14.5,29,24.938674,25.663674,26.87200733,70.5,1.737142858,Top25,Y
113,13,113,"Kuchar, Matt",NA,Y,4612,-15.889,66,241,381,264,167,25.94117647,69.63804545,0.632545932,1.580838323,0.285352941,1.392176471,2.534469933,1890,11.98446993,12.5,19,13.88446993,14.35946993,15.1511366,72.5,1.677529412,26th-CUTLINE,Y
133,179,133,"McGirt, William",NA,Y,5058,0.224,72,264,422,269,186,41.7,70.25311111,0.625592417,1.446236559,0.2908,1.36195,1.595408444,912,6.155408444,6.5,0,6.155408444,6.155408444,6.155408444,73.5,1.65275,MC,N
193,206,193,"Summerhays, Daniel",NA,Y,5286,1.79,75,283,482,298,227,39.95,70.50386667,0.587136929,1.31277533,0.0478,1.5128,1.678181587,869,6.023181587,7,0,6.023181587,6.023181587,6.023181587,73.75,1.5606,26th-CUTLINE,Y
106,167,106,"Kizzire, Patton",NA,Y,4888,-6.718,69,247,429,263,207,49.85,70.74321739,0.575757576,1.270531401,-0.2727,1.79395,1.351568273,340,3.051568273,8.5,0,3.051568273,3.051568273,3.051568273,74,1.52125,26th-CUTLINE,Y
45,19,45,"Els, Ernie",NA,Y,3599,-21.524,50,197,362,178,186,69.8125,71.54952,0.544198895,0.956989247,0.1278125,1.2905625,0.983061155,360,2.783061155,5.5,17,4.483061155,4.908061155,5.616394488,73.5,1.418375,MC,N
134,21,134,"McIlroy, Rory",NA,Y,2809,-15.076,40,135,228,188,115,28.63636364,69.8481,0.592105263,1.634782609,0.885272727,0.483181818,2.31358836,1769,11.15858836,15,17,12.85858836,13.28358836,13.99192169,70,1.368454545,Top25,Y
105,166,105,"Kisner, Kevin",NA,Y,4368,-0.152,62,219,386,250,186,47.11111111,70.44916129,0.567357513,1.344086022,0.336222222,0.954111111,1.427420896,0,1.427420896,13.5,0,1.427420896,1.427420896,1.427420896,74.5,1.290333333,26th-CUTLINE,Y
47,51,47,"English, Harris",NA,Y,5156,-18.352,73,284,469,262,214,46.76190476,70.37873973,0.60554371,1.224299065,-0.419952381,1.704666667,1.438439751,434,3.608439751,8,9,4.508439751,4.733439751,5.108439751,72.5,1.284714286,26th-CUTLINE,Y
108,169,108,"Knost, Colt",NA,Y,5073,2.83,72,273,429,253,181,40.26315789,70.49763889,0.636363636,1.397790055,-0.078157895,1.202421053,1.67247741,927,6.30747741,5.5,0,6.30747741,6.30747741,6.30747741,74.5,1.124263158,MC,N
142,36,142,"Moore, Ryan",NA,Y,3193,-1.599,45,163,282,165,132,49,70.92002222,0.578014184,1.25,-0.161769231,1.241,1.388015863,-1,1.383015863,9.5,12,2.583015863,2.883015863,3.383015863,72.5,1.079230769,26th-CUTLINE,Y
216,25,216,"Willett, Danny",NA,Y,1549,-24.539,22,69,119,90,60,27.5,69.29368182,0.579831933,1.5,0.21,0.855333333,2.405400602,943,7.120400602,14,15,8.620400602,8.995400602,9.620400602,72.75,1.065333333,26th-CUTLINE,Y
103,103,103,"Kim, K.T.",NA,Y,1003,-11.224,14,49,96,54,53,47.25,70.84114286,0.510416667,1.018867925,-0.931,1.889,1.446642503,30,1.596642503,8.5,2,1.796642503,1.846642503,1.929975836,72.75,0.958,26th-CUTLINE,Y
75,59,75,"Henley, Russell",NA,Y,3948,15.642,56,201,327,203,140,63.15789474,70.77932143,0.614678899,1.45,0.104631579,0.817052632,1.073388507,256,2.353388507,8,7,3.053388507,3.228388507,3.520055174,75,0.921684211,MC,N
124,175,124,"Lovemark, Jamie",NA,Y,4860,15.077,69,275,428,274,187,46.15,70.65328986,0.642523364,1.465240642,0.4843,0.41885,1.465706952,366,3.295706952,6.5,0,3.295706952,3.295706952,3.295706952,77.5,0.90315,MC,N
149,37,150,"Olesen, Thorbjorn",NA,Y,421,8.088,6,26,43,30,17,59,71.51466667,0.604651163,1.764705882,-0.827,1.7265,1.156708638,853,5.421708638,9.5,12,6.621708638,6.921708638,7.421708638,75.5,0.8995,MC,N
