Player.Name,Value,FGSG_Total,,,,,,
"Day, Jason",15,3.39225,46,1,",",15,",",3.39225
"Spieth, Jordan",15,2.574357143,7,2,",",15,",",2.574357143
"Donaldson, Jamie",10.5,2.305555556,7,3,",",10.5,",",2.305555556
"Mickelson, Phil",13.5,2.2488,517,4,",",13.5,",",2.2488
"Stricker, Steve",5.5,2.2384,442,5,",",5.5,",",2.2384
"Aphibarnrat, Kiradech",11,2.121625,-5,6,",",11,",",2.121625
"Dunne, Paul",7,1.796666666,-5,7,",",7,",",1.796666666
"Johnson, Dustin",14.5,1.737142858,,8,",",14.5,",",1.737142858
"Kuchar, Matt",12.5,1.677529412,,9,",",12.5,",",1.677529412
"McGirt, William",6.5,1.65275,-5,10,",",6.5,",",1.65275
"Summerhays, Daniel",7,1.5606,7,11,",",7,",",1.5606
"Kizzire, Patton",8.5,1.52125,7,12,",",8.5,",",1.52125
"Els, Ernie",5.5,1.418375,,13,",",5.5,",",1.418375
"McIlroy, Rory",15,1.368454545,,14,",",15,",",1.368454545
"Kisner, Kevin",13.5,1.290333333,,15,",",13.5,",",1.290333333
"English, Harris",8,1.284714286,,16,",",8,",",1.284714286
"Knost, Colt",5.5,1.124263158,,17,",",5.5,",",1.124263158
"Moore, Ryan",9.5,1.079230769,,18,",",9.5,",",1.079230769
"Willett, Danny",14,1.065333333,,19,",",14,",",1.065333333
"Kim, K.T.",8.5,0.958,,20,",",8.5,",",0.958
"Henley, Russell",8,0.921684211,,21,",",8,",",0.921684211
"Lovemark, Jamie",6.5,0.90315,,22,",",6.5,",",0.90315
"Olesen, Thorbjorn",9.5,0.8995,,23,",",9.5,",",0.8995
"Horschel, Billy",10.5,0.895615385,,24,",",10.5,",",0.895615385
"Holmes, J.B.",13,0.886,,25,",",13,",",0.886
"Johnston, Andrew",5.5,0.6435,,26,",",5.5,",",0.6435
"Johnson, Zach",13.5,0.5944375,,27,",",13.5,",",0.5944375
"Palmer, Ryan",9,0.582058824,,28,",",9,",",0.582058824
"Leishman, Marc",12.5,0.581222222,,29,",",12.5,",",0.581222222
"Hoffman, Charley",10,0.529578948,,30,",",10,",",0.529578948
"Schwartzel, Charl",12,0.525416666,,31,",",12,",",0.525416666
"Sullivan, Andy",12.5,0.458428571,,32,",",12.5,",",0.458428571
"Kaufman, Smylie",6,0.449952381,,33,",",6,",",0.449952381
"Reed, Patrick",14.5,0.444631579,,34,",",14.5,",",0.444631579
"Grace, Branden",14.5,0.443545455,,35,",",14.5,",",0.443545455
"Fraser, Marcus",9,0.4355,,36,",",9,",",0.4355
"Kjeldsen, Soren",11,0.43175,,37,",",11,",",0.43175
"Watson, Bubba",15,0.430272727,,38,",",15,",",0.430272727
"Lowry, Shane",13,0.424666667,,39,",",13,",",0.424666667
"Snedeker, Brandt",14,0.409222222,,40,",",14,",",0.409222222
"Gomez, Fabian",10,0.3881,,41,",",10,",",0.3881
"Casey, Paul",12.5,0.358714286,,42,",",12.5,",",0.358714286
"Finau, Tony",7.5,0.313904762,,43,",",7.5,",",0.313904762
"Lingmerth, David",11.5,0.3115,,44,",",11.5,",",0.3115
"An, Byeong Hun",12.5,0.299272727,,45,",",12.5,",",0.299272727
"Garcia, Sergio",13.5,0.2577,1018,46,",",13.5,",",0.2577
"Kaymer, Martin",11.5,0.236,,47,",",11.5,",",0.236
"Walker, Jimmy",13,0.2158125,,48,",",13,",",0.2158125
