Standard,CrossoverOnly,MutationOnly,Random,StandardSeed,CrossoverOnlySeed,MutationOnlySeed,RandomSeed
106.8602372,106.8602372,35.99018106,78.8787955,98098,7987,12312423,78787878
106.8602372,106.8602372,31.9100921,83.12948474,11237,4456456,56756,465343543
106.8602372,106.8602372,48.48707412,82.91913004,2389237,90889,657987633,8888888
106.8602372,106.8602372,43.36410251,82.46728509,2357984,22156,246790,809808
106.8602372,106.8602372,27.01865452,81.50296155,2434,54564,3453099,234233420
106.8602372,106.8602372,42.47385943,81.43754775,8979,5769,678500,878274942
106.8602372,106.8602372,52.60727213,82.02186217,3453454,25709,5656098,99823400
106.8602372,106.8602372,40.93191897,80.43123945,30,34536546,1464529,30980987
106.8602372,106.8602372,45.0414275,84.84903781,97,9890865,239234782,666923704
106.8602372,106.8602372,31.19839353,84.805158,3773,12,12437,50982304
106.8602372,106.8602372,39.60969335,92.17432841,23549,1234,876885,528934702
106.8602372,106.8602372,41.15445261,82.17708236,23,456778,70974,7792847923
106.8602372,106.8602372,48.22673773,88.33903076,2359473,45469,785665,68923470
106.8602372,106.8602372,78.08373305,89.73375425,234958,123334,999962,86789797
106.8602372,106.8602372,31.9100921,80.99733172,3450,7787878,12094,6698247234
106.8602372,106.8602372,41.1811649,76.89781598,90789,333334,334422452,7657421
106.8602372,106.8602372,40.81549601,82.26163386,88777,6876865,8908,909092342
106.8602372,106.8602372,29.69694442,83.23185154,979878,68698790,333333333,3345109
106.8602372,106.8602372,48.27965561,88.1729364,8923894,354323412,87654311,765561
106.8602372,106.8602372,45.1279489,89.05903805,7644,77,9898,7896904233
106.8602372,106.8602372,49.39191143,85.41989807,373737373,999,45342,89655
106.8602372,106.8602372,27.95978913,81.74388991,77896765,8,88888,9089541
106.8602372,106.8602372,46.74383925,84.13987345,99999,78979875,65334356,75765674
106.8602372,106.8602372,38.82980006,86.09216634,22222,7978979,12341,7866454123
106.8602372,106.8602372,42.94817605,82.95478968,2928928,77624462,222223,5789234897
106.8602372,106.8602372,44.20249635,81.33845955,2000,192834746,1101212233,89823423
106.8602372,106.8602372,40.54892067,82.94749964,90,912533242,76575,2112332
106.8602372,106.8602372,40.54892067,79.24898003,1000,243123423,88876767,123425478
106.8602372,106.8602372,47.08757225,82.92066418,112323,8989001,989886424,19120349
106.8602372,106.8602372,40.54892067,89.1289473,123400,29288223,1234000,888709000
