,X,Player.Name,PlayYN,Total.Strokes,Scoring.Avg.Total.Adjustment.,Total.Rounds.,Scrambling.Par.or.Better,Scrambling.Missed.GIR,Birdie_Or_Better,Total.Holes.Over.Par,FGAvg_PositionCan,FGAvg_ScoreCan,FGScrambing_RatioCan,FGBirdieBogey_RatioCan,FGSGT2GCan,FGSGPuttingCan,FGFormIndCan,FG_Points,FGFormIndWithPoints,Value,Course_History,GA_Form,GA_Form2,GA_Form3
95,95,"Johnson, Dustin",Y,4174,-27.917,60,205,342,268,153,10.53333333,69.10138333,0.599415205,1.751633987,0.7626,0.858733333,6.240039497,3478,23.6300395,14.5,10,24.6300395,24.8800395,25.29670616
117,117,"Kuchar, Matt",Y,4902,-24.474,70,252,405,272,182,27.05555556,69.67894286,0.622222222,1.494505495,0.2695,1.314833333,2.461605487,1897,11.94660549,12.5,32,15.14660549,15.94660549,17.27993882
37,37,"Day, Jason",Y,3431,-27.623,49,186,301,209,133,18.69230769,69.45667347,0.617940199,1.571428571,0.239384615,2.891923077,3.464202402,2107,13.9992024,15,10,14.9992024,15.2492024,15.66586907
58,58,"Garcia, Sergio",N,2881,-25.115,41,124,218,174,117,28.90909091,69.65573171,0.568807339,1.487179487,0.293272727,-0.059,2.349927907,2333,14.01492791,13.5,0,14.01492791,14.01492791,14.01492791
143,143,"McIlroy, Rory",N,3089,-23.661,44,151,253,204,127,26.66666667,69.66679545,0.596837945,1.606299213,0.8115,0.442916667,2.505227984,2181,13.41022798,15,0,13.41022798,13.41022798,13.41022798
168,168,"Piercy, Scott",N,4685,-6.285,66,221,390,253,202,41.16666667,70.88962121,0.566666667,1.252475248,0.247277778,-0.287111111,1.692558201,1758,10.4825582,11,29,13.3825582,14.1075582,15.31589153
57,57,"Furyk, Jim",Y,2002,-28.099,28,98,178,85,88,51.125,70.49646429,0.550561798,0.965909091,-0.406375,-0.120125,1.370309148,1420,8.470309148,14,32,11.67030915,12.47030915,13.80364248
64,64,"Grace, Branden",N,3122,-38.576,44,159,268,162,128,36.16666667,70.07781818,0.593283582,1.265625,0.283833333,0.12275,1.89139935,1701,10.39639935,14.5,0,10.39639935,10.39639935,10.39639935
73,73,"Hatton, Tyrrell",N,566,-2.901,8,40,55,27,15,29.5,70.387375,0.727272727,1.8,0,0,2.324995763,1560,10.12499576,7,0,10.12499576,10.12499576,10.12499576
83,83,"Holmes, J.B.",N,3687,-29.049,52,199,335,210,161,29.92857143,70.34521154,0.594029851,1.304347826,0.507714286,0.315,2.279365375,1321,8.884365375,13,7,9.584365375,9.759365375,10.05103204
199,199,"Stenson, Henrik",N,2600,-13.913,37,106,189,147,103,38.54545455,69.89424324,0.560846561,1.427184466,0.292818182,-0.383272727,1.778614732,1445,9.003614732,14.5,0,9.003614732,9.003614732,9.003614732
132,132,"Lowry, Shane",N,3304,-48.654,46,162,304,171,171,46.61538462,70.7683913,0.532894737,1,0.341230769,0.050769231,1.48827242,1502,8.99827242,13,0,8.99827242,8.99827242,8.99827242
25,25,"Chappell, Kevin",N,5153,-7.842,73,276,452,272,211,50.0952381,70.48161644,0.610619469,1.289099526,0.247666667,-1.046619048,1.397168113,1336,8.077168113,7,9,8.977168113,9.202168113,9.577168113
142,142,"McGirt, William",Y,5205,-4.185,74,272,440,273,196,44.42857143,70.28128378,0.618181818,1.392857143,0.276952381,1.297095238,1.51511464,907,6.05011464,6.5,29,8.95011464,9.67511464,10.88344797
193,193,"Spieth, Jordan",N,3912,-19.952,56,240,380,251,158,28.2,69.50085714,0.631578947,1.588607595,0.415,1.987733333,2.32303249,1306,8.85303249,15,0,8.85303249,8.85303249,8.85303249
146,146,"Mickelson, Phil",N,3770,-32.222,54,216,334,215,135,38.8125,69.21811111,0.646706587,1.592592593,0.00575,2.1025,1.688045566,1300,8.188045566,13.5,0,8.188045566,8.188045566,8.188045566
175,175,"Reed, Patrick",N,5159,-9.647,73,298,464,265,197,37.55,70.53908219,0.642241379,1.345177665,0.2266,0.1958,1.831464834,1034,7.001464834,14.5,10,8.001464834,8.251464834,8.668131501
228,228,"Westwood, Lee",N,1292,-25.327,18,52,111,57,70,41.2,70.37072222,0.468468468,0.814285714,-0.0314,-1.1322,1.71650574,1200,7.71650574,10,0,7.71650574,7.71650574,7.71650574
97,97,"Johnston, Andrew",N,863,-27.568,12,47,87,19,51,34.66666667,69.61933333,0.540229885,0.37254902,0.235666667,0.193333333,1.985128393,1105,7.510128393,5.5,0,7.510128393,7.510128393,7.510128393
