,X.2,X.1,X,Player.Name,PlayYN,Total.Strokes,Scoring.Avg.Total.Adjustment.,Total.Rounds.,Scrambling.Par.or.Better,Scrambling.Missed.GIR,Birdie_Or_Better,Total.Holes.Over.Par,FGAvg_PositionCan,FGAvg_ScoreCan,FGScrambing_RatioCan,FGBirdieBogey_RatioCan,FGSGT2GCan,FGSGPuttingCan,FGFormIndCan,FG_Points,FGFormIndWithPoints,Value,Course_History,GA_Form,GA_Form2,GA_Form3,FG_AvgScoreRnd,FGSG_Total,catFinalPositions
37,1,95,95,"Johnson, Dustin",Y,4174,-27.917,60,205,342,268,153,10.53333333,69.10138333,0.599415205,1.751633987,0.7626,0.858733333,6.240039497,3478,23.6300395,14.5,10,24.6300395,24.8800395,25.29670616,69.25,1.621333333,Top25
44,2,117,117,"Kuchar, Matt",Y,4902,-24.474,70,252,405,272,182,27.05555556,69.67894286,0.622222222,1.494505495,0.2695,1.314833333,2.461605487,1897,11.94660549,12.5,32,15.14660549,15.94660549,17.27993882,69.75,1.584333333,Top25
17,3,37,37,"Day, Jason",Y,3431,-27.623,49,186,301,209,133,18.69230769,69.45667347,0.617940199,1.571428571,0.239384615,2.891923077,3.464202402,2107,13.9992024,15,10,14.9992024,15.2492024,15.66586907,70.25,3.131307692,Top25
24,7,57,57,"Furyk, Jim",Y,2002,-28.099,28,98,178,85,88,51.125,70.49646429,0.550561798,0.965909091,-0.406375,-0.120125,1.370309148,1420,8.470309148,14,32,11.67030915,12.47030915,13.80364248,70,-0.5265,Top25
53,14,142,142,"McGirt, William",Y,5205,-4.185,74,272,440,273,196,44.42857143,70.28128378,0.618181818,1.392857143,0.276952381,1.297095238,1.51511464,907,6.05011464,6.5,29,8.95011464,9.67511464,10.88344797,72,1.574047619,26th-CUTLINE
43,33,112,112,"Knost, Colt",Y,5222,-1.579,74,283,448,271,190,43.2,70.54622973,0.631696429,1.426315789,-0.07425,1.1423,1.575274628,922,6.185274628,5.5,6,6.785274628,6.935274628,7.185274628,76,1.06805,MC
80,34,206,206,"Summerhays, Daniel",Y,5579,-6.795,79,298,512,315,243,40.85714286,70.53424051,0.58203125,1.296296296,0.04552381,1.440761905,1.658257376,875,6.033257376,7,7,6.733257376,6.908257376,7.199924042,74.5,1.486285715,MC
9,40,22,22,"Castro, Roberto",Y,4715,28.54,67,222,369,253,174,50.31578947,70.79910448,0.601626016,1.454022989,0.242105263,-0.873684211,1.390749528,672,4.750749528,5,14,6.150749528,6.500749528,7.084082861,72.5,-0.631578948,26th-CUTLINE
40,42,108,108,"Kirk, Chris",Y,4621,-2.392,65,263,422,238,184,55.76190476,71.05550769,0.623222749,1.293478261,0.063904762,-0.083761905,1.251425805,652,4.511425805,10,15,6.011425805,6.386425805,7.011425805,70.25,-0.019857143,Top25
61,45,163,163,"Palmer, Ryan",Y,4649,-10.534,66,222,391,263,201,42.94444444,70.27978788,0.567774936,1.308457711,0.628555556,-0.078833333,1.593258659,658,4.883258659,9,9,5.783258659,6.008258659,6.383258659,71.5,0.549722223,26th-CUTLINE
