Player.Name,GA_Form,Value,Course_History,,,,,,,,,
"Johnson, Dustin",24.6300395,14.5,10,,,,,1,",",14.5,",",24.6300395
"Kuchar, Matt",15.14660549,12.5,32,,,,,2,",",12.5,",",15.14660549
"Day, Jason",14.9992024,15,10,,,,,3,",",15,",",14.9992024
"Furyk, Jim",11.67030915,14,32,,,,,4,",",14,",",11.67030915
"McGirt, William",8.95011464,6.5,29,,,,,5,",",6.5,",",8.95011464
"Knost, Colt",6.785274628,5.5,6,,,,,6,",",5.5,",",6.785274628
"Summerhays, Daniel",6.733257376,7,7,,,,,7,",",7,",",6.733257376
"Castro, Roberto",6.150749528,5,14,,,,,8,",",5,",",6.150749528
"Kirk, Chris",6.011425805,10,15,,,,,9,",",10,",",6.011425805
"Palmer, Ryan",5.783258659,9,9,,,,,10,",",9,",",5.783258659
"Molder, Bryce",5.714232525,5.5,0,,,,,11,",",5.5,",",5.714232525
"McDowell, Graeme",5.344698173,8.5,12,,,,,12,",",8.5,",",5.344698173
"Snedeker, Brandt",5.159241072,14,17,,,,,13,",",14,",",5.159241072
"Varner III, Harold",5.134962273,5,0,,,,,14,",",5,",",5.134962273
"Hearn, David",5.104897747,6.5,18,,,,,15,",",6.5,",",5.104897747
"Lee, Danny",5.104532399,12,2,,,,,16,",",12,",",5.104532399
"Fitzpatrick, Matthew",4.97009465,10.5,0,,,,,17,",",10.5,",",4.97009465
"Vegas, Jhonattan",4.945591,5,7,,,,,18,",",5,",",4.945591
"Grillo, Emiliano",4.893524257,12,5,,,,,19,",",12,",",4.893524257
"Streelman, Kevin",4.729593272,7.5,4,,,,,20,",",7.5,",",4.729593272
"Barnes, Ricky",4.61010422,5,9,,,,,21,",",5,",",4.61010422
"Hadwin, Adam",4.507370029,6,22,,,,,22,",",6,",",4.507370029
"Campbell, Chad",4.46813678,5.5,15,,,,,23,",",5.5,",",4.46813678
"Levin, Spencer",4.344631773,5,12,,,,,24,",",5,",",4.344631773
"Singh, Vijay",4.332762311,5,14,,,,,25,",",5,",",4.332762311
"Els, Ernie",4.243357374,5.5,15,,,,,26,",",5.5,",",4.243357374
"Curran, Jon",4.187855157,5.5,2,,,,,27,",",5.5,",",4.187855157
"Stallings, Scott",3.926839267,5,15,,,,,28,",",5,",",3.926839267
"Reifers, Kyle",3.89131185,5.5,0,,,,,29,",",5.5,",",3.89131185
"Piller, Martin",3.865084486,5.5,2,,,,,30,",",5.5,",",3.865084486
"DeChambeau, Bryson",3.825199505,6,0,,,,,31,",",6,",",3.825199505
"Finau, Tony",3.685325466,7.5,5,,,,,32,",",7.5,",",3.685325466
"Kisner, Kevin",3.599054889,13.5,22,,,,,33,",",13.5,",",3.599054889
"Aiken, Thomas",3.506978692,5.5,7,,,,,34,",",5.5,",",3.506978692
"Hoge, Tom",3.45473199,5,10,,,,,35,",",5,",",3.45473199
"Tringale, Cameron",3.163988556,8,12,,,,,36,",",8,",",3.163988556
"Harman, Brian",3.12815691,7,7,,,,,37,",",7,",",3.12815691
"Kizzire, Patton",3.078871146,8.5,0,,,,,38,",",8.5,",",3.078871146
"Cejka, Alex",3.032574508,6.5,2,,,,,39,",",6.5,",",3.032574508
