"","Event.Name","Permanent.Tournament.Number","Player.Name","Finish.Position.numeric.","Total.Strokes","Total.Rounds.","Scoring.Avg.Total.Adjustment.","Birdie_Or_Better","Total.Holes.Over.Par","TTL.SG.T2G","Total.Putts.Gained","Official.Event.Y.N."
"6","World Golf Championships-HSBC Champions",5,"Aiken, Thomas",54,286,4,5.684,13,11,0,0,1
"7","OHL Classic at Mayakoba",6,"Aiken, Thomas",99,144,2,2.043,6,6,0,0,1
"8","The RSM Classic",7,"Aiken, Thomas",58,278,4,3.481,13,9,0.741,0.419,1
"9","Sony Open in Hawaii",9,"Aiken, Thomas",56,273,4,6.264,19,10,0.357,4.623,1
"10","CareerBuilder Challenge in partnership with the Clinton Foundation",10,"Aiken, Thomas",99,217,3,6.847,10,10,1.515,-1.306,1
"11","Farmers Insurance Open",11,"Aiken, Thomas",99,144,2,-0.322,3,3,-0.213,1.459,1
"12","AT&T Pebble Beach Pro-Am",13,"Aiken, Thomas",60,288,4,-0.722,14,14,0.076,-2.679,1
"13","Northern Trust Open",14,"Aiken, Thomas",99,143,2,-0.318,6,7,0.281,0.519,1
"14","Valspar Championship",17,"Aiken, Thomas",42,288,4,-5.818,11,14,1.101,0.261,1
"15","Puerto Rico Open at Coco Beach",19,"Aiken, Thomas",47,286,4,1.071,13,12,0,0,1
"16","Frys.com Open",1,"Aldridge, Tyler",55,284,4,3.777,12,8,-0.263,0.567,1
"17","Shriners Hospitals for Children Open",2,"Aldridge, Tyler",43,279,4,3.683,17,9,-0.063,7.514,1
"18","Sanderson Farms Championship",4,"Aldridge, Tyler",12,275,4,5.957,19,7,0.318,1.539,1
"19","OHL Classic at Mayakoba",6,"Aldridge, Tyler",99,142,2,2.043,6,5,0,0,1
"20","The RSM Classic",7,"Aldridge, Tyler",33,275,4,3.552,18,9,-0.739,2.008,1
"21","Sony Open in Hawaii",9,"Aldridge, Tyler",99,140,2,2.701,6,5,-1.3,0.521,1
"22","CareerBuilder Challenge in partnership with the Clinton Foundation",10,"Aldridge, Tyler",99,214,3,7.576,13,10,-1.057,-0.848,1
"23","Farmers Insurance Open",11,"Aldridge, Tyler",99,151,2,-0.322,4,11,-2.676,1.07,1
"24","Waste Management Phoenix Open",12,"Aldridge, Tyler",99,149,2,-0.315,4,9,0.944,-4.723,1
"25","AT&T Pebble Beach Pro-Am",13,"Aldridge, Tyler",17,279,4,-0.722,18,11,0.505,1.054,1
"26","Northern Trust Open",14,"Aldridge, Tyler",99,150,2,-0.318,5,10,-1.244,-1.413,1
"27","The Honda Classic",15,"Aldridge, Tyler",99,150,2,-3.981,4,13,-0.682,-3.694,1
"28","Valspar Championship",17,"Aldridge, Tyler",37,287,4,-5.818,10,14,0.519,-2.274,1
"29","Puerto Rico Open at Coco Beach",19,"Aldridge, Tyler",62,290,4,1.071,13,15,0,0,1
"44","World Golf Championships-HSBC Champions",5,"An, Byeong Hun",19,277,4,5.684,18,9,0,0,1
"45","World Golf Championships-Cadillac Championship",16,"An, Byeong Hun",52,297,4,-3.421,11,15,0.005,-1.248,1
"46","Arnold Palmer Invitational presented by MasterCard",18,"An, Byeong Hun",36,283,4,2.149,21,12,0.893,-1.385,1
"47","Masters Tournament",22,"An, Byeong Hun",99,151,2,-5.112,5,11,0,0,1
"58","World Golf Championships-HSBC Champions",5,"Aphibarnrat, Kiradech",30,280,4,5.684,18,10,0,0,1
"59","World Golf Championships-Cadillac Championship",16,"Aphibarnrat, Kiradech",49,296,4,-3.421,15,20,-1.108,6.898,1
"60","Arnold Palmer Invitational presented by MasterCard",18,"Aphibarnrat, Kiradech",6,277,4,2.149,20,9,0.736,7.419,1
"61","Masters Tournament",22,"Aphibarnrat, Kiradech",15,291,4,-9.531,13,16,0,0,1
"72","World Golf Championships-HSBC Champions",5,"Ashun, Wu",58,288,4,5.684,13,13,0,0,1
"78","Frys.com Open",1,"Baddeley, Aaron",55,284,4,3.777,13,10,0.104,-0.076,1
"79","Sanderson Farms Championship",4,"Baddeley, Aaron",4,272,4,5.957,20,5,0.162,8.118,1
"80","OHL Classic at Mayakoba",6,"Baddeley, Aaron",46,279,4,3.848,16,10,0,0,1
"81","The RSM Classic",7,"Baddeley, Aaron",99,141,2,1.603,6,5,0.107,-1.028,1
"82","CareerBuilder Challenge in partnership with the Clinton Foundation",10,"Baddeley, Aaron",42,276,4,8.96,18,5,0.071,-3.33,1
"83","Farmers Insurance Open",11,"Baddeley, Aaron",8,287,4,-7.49,13,12,1.602,2.95,1
"84","Waste Management Phoenix Open",12,"Baddeley, Aaron",99,145,2,-0.315,8,10,-0.745,-1.557,1
"85","AT&T Pebble Beach Pro-Am",13,"Baddeley, Aaron",51,286,4,-0.722,18,15,0.115,1.357,1
"86","Northern Trust Open",14,"Baddeley, Aaron",26,279,4,0.115,13,8,-0.279,6.255,1
"87","Arnold Palmer Invitational presented by MasterCard",18,"Baddeley, Aaron",99,146,2,0.886,4,5,-0.821,0,1
"88","Puerto Rico Open at Coco Beach",19,"Baddeley, Aaron",8,279,4,1.071,21,11,0,0,1
"89","Shell Houston Open",21,"Baddeley, Aaron",99,144,2,0.431,8,8,-2.05,1.906,1
"104","Masters Tournament",22,"Bard, Derek",99,153,2,-5.112,4,12,0,0,1
"106","Frys.com Open",1,"Barnes, Ricky",99,147,2,1.413,6,8,-1.108,-0.822,1
"107","Shriners Hospitals for Children Open",2,"Barnes, Ricky",25,275,4,3.683,18,9,-0.059,0.471,1
"108","Sanderson Farms Championship",4,"Barnes, Ricky",33,279,4,5.957,12,3,-0.156,0.024,1
"109","OHL Classic at Mayakoba",6,"Barnes, Ricky",51,280,4,3.848,14,9,0,0,1
"110","The RSM Classic",7,"Barnes, Ricky",25,274,4,3.552,16,6,-0.561,1.064,1
"111","Sony Open in Hawaii",9,"Barnes, Ricky",56,273,4,6.264,16,9,-0.959,6.052,1
