,X.1,X,Player.Name,FG_AvgScoreRnd,catFinalPositions,PlayYN,Total.Strokes,Scoring.Avg.Total.Adjustment.,Total.Rounds.,Birdie_Or_Better,Total.Holes.Over.Par,FGAvg_PositionHeritage,FGAvg_ScoreHeritage,FGBirdieBogey_Ratio,FGSGT2GHeritage,FGSGPuttingHeritage,FGFormIndHeritage,FG_Points,FGFormIndWithPoints,Value,Course_History,SG_Total,GA_Form,GA_Form2,GA_Form3
5,12,173,"Snedeker, Brandt",73.5,MC,Y,2591,10.25,37,156,87,39.45454545,70.30405405,1.793103448,-0.201545455,1.276272727,1.709213034,262,3.019213034,14,24,1.074727272,5.419213034,3.474727272,7.019213034
6,84,40,"Donald, Luke",69.25,Top25,Y,2611,17.164,37,122,87,51,71.03145946,1.402298851,-0.3755,-0.169,1.37595413,0,1.37595413,7.5,37,-0.5445,5.07595413,3.1555,7.542620797
7,25,108,"Kuchar, Matt",70.25,Top25,Y,2388,4.126,34,139,92,36.11111111,70.35664706,1.510869565,0.087,1.130444444,1.872784608,31,2.027784608,12.5,29,1.217444444,4.927784608,4.117444444,6.861117941
8,24,21,"Casey, Paul",72.5,MC,Y,2109,-2.489,30,123,77,31,70.21703333,1.597402597,0.4315,0.63475,2.179141314,442,4.389141314,12.5,5,1.06625,4.889141314,1.56625,5.222474647
11,4,36,"Day, Jason",70.75,Top25,Y,1549,0.668,22,97,59,25.66666667,70.43945455,1.644067797,0.066833333,2.423333333,2.583320263,26,2.713320263,15,15,2.490166666,4.213320263,3.990166666,5.213320263
13,22,139,"Na, Kevin",69.75,Top25,Y,3156,17.762,45,184,116,35.75,70.52804444,1.586206897,-0.190666667,-0.388666667,1.944648137,7,1.979648137,13,20,-0.579333334,3.979648137,1.420666666,5.31298147
15,45,81,"Horschel, Billy",72.5,26th-CUTLINE,Y,2208,-17.45,31,122,106,33.875,70.66290323,1.150943396,0.469875,0.203,2.032150106,97,2.517150106,10.5,14,0.672875,3.917150106,2.072875,4.850483439
16,136,97,"Kelly, Jerry",72,26th-CUTLINE,Y,2398,22.193,34,109,77,46.22222222,71.18214706,1.415584416,0.092777778,-0.331555556,1.514538615,0,1.514538615,6,24,-0.238777778,3.914538615,2.161222222,5.514538615
17,50,76,"Hoffman, Charley",70.5,Top25,Y,2504,-14.97,35,119,108,54.4,71.11514286,1.101851852,0.1951,0.0078,1.283279246,7,1.318279246,10,24,0.2029,3.718279246,2.6029,5.318279246
22,67,126,"McDowell, Graeme",73.5,MC,Y,1976,4.596,28,111,74,51.33333333,70.73557143,1.5,-0.163111111,-0.507444444,1.361807669,-5,1.336807669,8.5,22,-0.670555555,3.536807669,1.529444445,5.003474336
23,145,37,"de Jonge, Brendon",72.5,MC,Y,3193,29.119,45,144,119,71.13333333,71.60264444,1.210084034,0.036733333,-0.345466667,0.993926341,0,0.993926341,6,25,-0.308733334,3.493926341,2.191266666,5.160593008
24,179,164,"Sabbatini, Rory",74,MC,Y,2588,19.51,36,129,120,76.08333333,72.43083333,1.075,0.119583333,-1.26225,0.952882804,0,0.952882804,5.5,25,-1.142666667,3.452882804,1.357333333,5.119549471
27,65,170,"Simpson, Webb",73.25,26th-CUTLINE,Y,1976,9.16,28,110,76,49.375,70.89857143,1.447368421,0.174875,-0.986125,1.423037023,7,1.458037023,8.5,19,-0.81125,3.358037023,1.08875,4.62470369
33,42,64,"Haas, Bill",70.5,Top25,Y,2257,4.095,32,118,79,37.88888889,70.65921875,1.493670886,0.122222222,0.218444444,1.816492466,31,1.971492466,11,12,0.340666666,3.171492466,1.540666666,3.971492466
35,134,38,"DeChambeau, Bryson",69.75,Top25,Y,575,-7.382,8,31,27,24,70.95225,1.148148148,0.315,2.286,2.800129244,52,3.060129244,6,0,2.601,3.060129244,2.601,3.060129244
36,183,152,"Pettersson, Carl",74.66666667,26th-CUTLINE,Y,1869,18.459,26,85,88,83.9,72.59457692,0.965909091,-0.4915,0.4651,0.854053252,0,0.854053252,5.5,22,-0.0264,3.054053252,2.1736,4.520719919
