Standard,CrossoverOnly,MutationOnly,Random,StandardSeed,CrossoverOnlySeed,MutationOnlySeed,RandomSeed
134.1216062,134.1216062,66.24798563,100.5193471,2352,6546590,123124,444
134.1216062,134.1216062,59.01597584,101.5415726,102938,98776,34523467,555
134.1216062,134.1216062,55.97888037,102.2883333,435245,3689756,20923493,666
134.1216062,134.1216062,56.69782881,101.1378441,9092394,654654979,2039,777
134.1216062,134.1216062,58.3799182,97.91098191,46094230,868764,235080,888
134.1216062,134.1216062,52.27742967,100.0427727,37627666,191292334,23525,999
134.1216062,134.1216062,44.75013745,103.0109709,234997897,1230912389,13514,254
134.1216062,134.1216062,55.21224767,100.1132551,771234938,23462346,134595,3444
134.1216062,134.1216062,48.21136615,109.1858775,34238097,13253245,13540980,44440404
134.1216062,134.1216062,53.14564741,99.0655316,34663456,71789237,345933,43563426
134.1216062,134.1216062,63.607668,102.0047435,673244432,12340123,490988000,135345
134.1216062,134.1216062,48.44783907,106.4215726,30979878,12348,23288977,23459
134.1216062,134.1216062,53.14564741,102.9433732,398718333,209849,11101923,13758
134.1216062,134.1216062,53.20041898,100.4749764,156442383,33309787,390089798,1290918930
134.1216062,134.1216062,48.44783906,96.58686439,123334444,23552335,444444444,204394
134.1216062,134.1216062,52.27742967,96.97124259,215914509,58550899,43999,23908
134.1216062,134.1216062,47.66629598,100.7476396,13059034,28097743,222347897,230303
134.1216062,134.1216062,72.528393,102.3231975,232389800,232487788,352545,1111080
134.1216062,134.1216062,47.65570622,107.5922261,1019010,200000000,134153487,234123
134.1216062,134.1216062,44.75013745,98.60024529,14840,101010,555238011,235
134.1216062,134.1216062,52.785055,108.7445789,43205092,222908111,83838,65988701
134.1216062,134.1216062,52.27742967,103.922235,1019294,123412,20234404,5682
134.1216062,134.1216062,63.09527,109.499695,1244225,324423,123597,11012499
134.1216062,134.1216062,67.0397007,102.6575899,18918922,9898077,345235,11000099
134.1216062,134.1216062,65.70800799,98.99671558,10101010,23243091,112437987,83405
134.1216062,134.1216062,47.66629598,98.33875265,44490809,12547509,101029314,2278234
134.1216062,134.1216062,48.44783906,106.2634491,423090090,101000,38892937,21371242
134.1216062,134.1216062,49.2184335,100.11187,1234342,2223923,3444333,877897879
134.1216062,134.1216062,71.4287864,102.1743138,343798797,310100014,10000001,2342345
134.1216062,134.1216062,61.93121219,102.5110619,122222000,99009099,134588099,8098009
