,X,Player.Name,FinishPos,PlayYN,Total.Strokes,Scoring.Avg.Total.Adjustment.,Total.Rounds.,Scrambling.Par.or.Better,Scrambling.Missed.GIR,Birdie_Or_Better,Total.Holes.Over.Par,FGAvg_PositionUSPGA,FGAvg_ScoreUSPGA,FGScrambing_RatioUSPGA,FGBirdieBogey_RatioUSPGA,FGSGT2GUSPGA,FGSGPuttingUSPGA,FGFormIndUSPGA,FG_Points,FGFormIndWithPoints,Value,Course_History,GA_Form,GA_Form2,GA_Form3
1,1,"Aiken, Thomas",,N,3854,12.61,54,169,302,168,167,73,71.60388889,0.559602649,1.005988024,0.354,0.089444444,0.961019951,378,2.851019951,5.5,0,2.851019951,2.851019951,2.851019951
2,2,"Aldridge, Tyler",,N,4775,12.925,67,248,427,222,209,67.82608696,71.46156716,0.580796253,1.062200957,-0.296565217,0.063913043,1.041369502,113,1.606369502,5,0,1.606369502,1.606369502,1.606369502
3,3,"An, Byeong Hun",99,Y,2932,-21.106,41,143,266,156,138,49.33333333,70.99741463,0.537593985,1.130434783,0.215833333,0.0585,1.410661754,546,4.140661754,12.5,0,4.140661754,4.140661754,4.140661754
4,4,"Aphibarnrat, Kiradech",66,Y,2027,-19.304,28,118,219,93,110,61,71.70342857,0.538812785,0.845454545,0.079666667,1.806222222,1.13068992,396,3.11068992,11,7,3.81068992,3.98568992,4.277356587
5,5,"Ashun, Wu",,N,288,5.684,4,16,27,13,13,58,73.421,0.592592593,1,0,0,1.248637931,424,3.368637931,6,0,3.368637931,3.368637931,3.368637931
6,6,"Baddeley, Aaron",49,Y,4729,18.937,67,295,457,257,185,56.9047619,70.86473134,0.645514223,1.389189189,-0.382238095,1.554428571,1.200309946,736,4.880309946,5,2,5.080309946,5.130309946,5.213643279
7,7,"Bard, Derek",,N,308,-12.942,4,15,40,10,28,99,73.7645,0.375,0.357142857,0,0,0.741488456,0,0.741488456,6,0,0.741488456,0.741488456,0.741488456
8,8,"Barnes, Ricky",,N,5150,27.056,73,267,447,273,199,56.73913043,70.91857534,0.597315436,1.371859296,-0.749130435,1.018695652,1.220976605,782,5.130976605,5,2,5.330976605,5.380976605,5.464309938
9,9,"Berger, Daniel",73,Y,4586,-13.763,65,226,386,259,178,38.55555556,70.34210769,0.585492228,1.45505618,0.273277778,0.876555556,1.756873094,1077,7.141873094,9.5,0,7.141873094,7.141873094,7.141873094
10,10,"Blair, Zac",99,Y,5565,16.653,78,346,551,272,228,66.56,71.55965385,0.627949183,1.192982456,-0.0976,0.63924,1.049053957,-12,0.989053957,6.5,0,0.989053957,0.989053957,0.989053957
11,11,"Blixt, Jonas",99,Y,4546,11.074,64,278,447,257,191,64.14285714,71.20428125,0.621923937,1.345549738,-0.388238095,1.238428571,1.075856987,81,1.480856987,6.5,12,2.680856987,2.980856987,3.480856987
12,12,"Bohn, Jason",99,Y,3457,17.422,49,173,298,189,135,59.93333333,70.90657143,0.580536913,1.4,-0.058666667,0.174333333,1.157801526,6,1.187801526,8.5,4,1.587801526,1.687801526,1.854468192
13,13,"Bourdy, Gregory",18,Y,570,-12.255,8,26,53,30,33,26.5,69.718125,0.490566038,0.909090909,0,0,2.596567324,714,6.166567324,6.5,0,6.166567324,6.166567324,6.166567324
14,14,"Bowditch, Steven",,N,4814,1.886,65,265,532,216,292,78.86956522,74.09055385,0.498120301,0.739726027,-1.103478261,0.318826087,0.939975766,17,1.024975766,8,0,1.024975766,1.024975766,1.024975766
15,15,"Bradley, Keegan",42,Y,4419,-10.081,62,182,345,214,190,67.19047619,71.11159677,0.527536232,1.126315789,0.231952381,-1.579571429,1.061651949,307,2.596651949,7.5,27,5.296651949,5.971651949,7.096651949
16,16,"Broberg, Kristoffer",99,Y,462,-7.83,6,13,45,17,35,81.5,75.695,0.288888889,0.485714286,-0.5085,-3.0915,0.966985101,0,0.966985101,8.5,0,0.966985101,0.966985101,0.966985101
17,17,"Brown, Scott",,N,4995,3.215,70,267,462,259,222,61,71.40307143,0.577922078,1.166666667,0.202954545,-0.177318182,1.150996203,-4,1.130996203,5.5,2,1.330996203,1.380996203,1.464329537
18,18,"Burmester, Dean",,N,285,1.071,4,17,26,15,12,39,71.51775,0.653846154,1.25,0,0,1.801737179,102,2.311737179,7.5,0,2.311737179,2.311737179,2.311737179
19,19,"Cabrera, Angel",,N,3700,-13.916,51,190,348,160,184,72.41176471,72.27615686,0.545977011,0.869565217,-0.033176471,-0.722705882,0.996557318,47,1.231557318,5,0,1.231557318,1.231557318,1.231557318
