,X.2,X.1,X,Player.Name,FinishPos,PlayYN,Total.Strokes,Scoring.Avg.Total.Adjustment.,Total.Rounds.,Scrambling.Par.or.Better,Scrambling.Missed.GIR,Birdie_Or_Better,Total.Holes.Over.Par,FGAvg_PositionUSPGA,FGAvg_ScoreUSPGA,FGScrambing_RatioUSPGA,FGBirdieBogey_RatioUSPGA,FGSGT2GUSPGA,FGSGPuttingUSPGA,FGFormIndUSPGA,FG_Points,FGFormIndWithPoints,Value,Course_History,GA_Form,GA_Form2,GA_Form3,FG_AvgScoreRnd,FGSG_Total,catFinalPositions
20,37,37,37,"Day, Jason",2,Y,3712,-28.304,53,204,330,215,144,18.35714286,69.50369811,0.618181818,1.493055556,0.261928571,2.798285714,3.538155625,2202,14.54815562,15,25,17.04815562,17.67315562,18.71482229,66.75,3.060214285,Top25
101,193,193,193,"Spieth, Jordan",13,Y,3912,-19.952,56,240,380,251,158,28.2,69.50085714,0.631578947,1.588607595,0.415,1.987733333,2.32303249,1306,8.85303249,15,10,9.85303249,10.10303249,10.51969916,68.5,2.402733333,Top25
80,146,146,146,"Mickelson, Phil",33,Y,3770,-32.222,54,216,334,215,135,38.8125,69.21811111,0.646706587,1.592592593,0.00575,2.1025,1.688045566,1300,8.188045566,13.5,24,10.58804557,11.18804557,12.18804557,69.25,2.10825,26th-CUTLINE
22,42,42,42,"Donaldson, Jamie",42,Y,2516,-37.842,35,144,246,107,122,49.9,70.80451429,0.585365854,0.87704918,-0.1433,2.2183,1.35976884,227,2.49476884,10.5,15,3.99476884,4.36976884,4.99476884,69.5,2.075,26th-CUTLINE
107,203,203,203,"Stricker, Steve",42,Y,2588,-2.427,37,173,254,135,89,53.54545455,69.88035135,0.681102362,1.516853933,-0.417545455,2.452454545,1.238734247,832,5.398734247,5.5,35,8.898734247,9.773734247,11.23206758,69.5,2.03490909,26th-CUTLINE
2,4,4,4,"Aphibarnrat, Kiradech",66,Y,2027,-19.304,28,118,219,93,110,61,71.70342857,0.538812785,0.845454545,0.079666667,1.806222222,1.13068992,396,3.11068992,11,7,3.81068992,3.98568992,4.277356587,70.5,1.885888889,26th-CUTLINE
49,95,95,95,"Johnson, Dustin",99,Y,4451,-28.598,64,224,370,279,164,10,69.10003125,0.605405405,1.701219512,0.82425,1.0156875,6.555887424,3823,25.67088742,14.5,22,27.87088742,28.42088742,29.33755409,74.5,1.8399375,MC
58,109,109,109,"Kisner, Kevin",18,Y,4949,-9.418,70,263,458,274,215,47.5,70.56545714,0.574235808,1.274418605,0.30155,1.3667,1.423637653,0,1.423637653,13.5,0,1.423637653,1.423637653,1.423637653,68.75,1.66825,Top25
63,115,115,115,"Koepka, Brooks",4,Y,3511,-17.412,50,174,297,206,151,36.57142857,69.87176,0.585858586,1.364238411,0.638928571,1.013071429,1.828080669,993,6.793080669,13.5,17,8.493080669,8.918080669,9.626414002,67.75,1.652,Top25
65,117,117,117,"Kuchar, Matt",99,Y,5181,-25.155,74,272,430,287,188,26.10526316,69.67358108,0.63255814,1.526595745,0.273315789,1.377684211,2.547225244,2092,13.00722524,12.5,20,15.00722524,15.50722524,16.34055858,73,1.651,MC
77,142,142,142,"McGirt, William",10,Y,5493,-4.866,78,286,465,279,209,45.09090909,70.36069231,0.615053763,1.33492823,0.327954545,1.267,1.495441341,950,6.245441341,6.5,0,6.245441341,6.245441341,6.245441341,68.25,1.594954545,Top25
