Standard,CrossoverOnly,MutationOnly,Random,StandardSeed,CrossoverOnlySeed,MutationOnlySeed,RandomSeed
108.0774185,108.0774185,44.94677264,78.93300486,2314,1111,9876,11100
108.0774185,108.0774185,62.11199914,87.10956428,353,33333,56545,29292
108.0774185,108.0774185,55.06903823,78.00507341,1234324,4423144,12344,72958
108.0774185,108.0774185,69.236029,79.85618756,1010,235557,98766544,2349820
108.0774185,108.0774185,44.2791307,81.62239207,100000,7569239,233445,2476437
108.0774185,108.0774185,55.01995709,81.80691577,11923,99999,191928,990088
108.0774185,108.0774185,55.13524981,77.68781594,124434,8888888,87657101,1094
108.0774185,108.0774185,54.19732188,81.03347056,28098988,292929929,19009,49579
108.0774185,108.0774185,52.3628071,82.54484871,34232434,2348910,8902111,97345
108.0774185,108.0774185,41.90199839,93.21174324,235421563,89273942,3342980,698798799
108.0774185,108.0774185,62.11199914,80.21358189,102040333,233455,6797924,33397007
108.0774185,108.0774185,50.49123187,83.6589811,88891245,555457645,361234600,269989
108.0774185,108.0774185,53.727977,83.3504679,298340,6634645,98994234,282094
108.0774185,108.0774185,53.727977,83.5980064,23435,774262,82748437,190908978
108.0774185,108.0774185,50.38867196,87.6963404,22183108,6224,11111110,9098070
108.0774185,108.0774185,44.28771499,79.8951124,4564545,545453453,9998,4466777
108.0774185,108.0774185,65.0683415,80.65816023,81059,101298,776677,99984
108.0774185,108.0774185,53.39414897,78.10123657,918048,89078908,2222922,77766
108.0774185,108.0774185,61.55666181,80.46266079,2345246,2134,2938333,4444477
108.0774185,108.0774185,55.2364949,78.12999597,45645654,12432497,2888777,565656
108.0774185,108.0774185,43.72271774,79.53406919,5455556,29348089,22909,1101010
108.0774185,108.0774185,64.10117447,81.4483943,13408,24134,23498173,2220202
108.0774185,108.0774185,71.53130901,83.90694406,9999235,764734624,32434325,999333
108.0774185,108.0774185,53.72797703,79.85792923,808,55555,7897923,3783737
108.0774185,108.0774185,33.662056,80.424644,9766678,6666,675123,88888883
108.0774185,108.0774185,54.54254517,78.84922009,1320498,12112,444848,909089889
108.0774185,108.0774185,56.18192014,86.36488813,123408,9289384,383838,234442
108.0774185,108.0774185,56.78245114,81.86526151,124234,74574233,77766666,23432555
108.0774185,108.0774185,65.71388693,80.4514802,35600000,45656211,888888,333338888
108.0774185,108.0774185,53.72797703,77.5859233,3453455,738362,119900022,11111111
