,X.2,X.1,X,Player.Name,Total.Strokes,Scoring.Avg.Total.Adjustment.,Total.Rounds.,Scrambling.Par.or.Better,Scrambling.Missed.GIR,Birdie_Or_Better,Total.Holes.Over.Par,FGAvg_Position,FGAvg_Score,FGScrambing_Ratio,FGBirdieBogey_Ratio,FGSGT2G,FGSGPutting,FGFormInd,FG_Points,FGFormIndWithPoints,Value,Course_History,GA_Form,GA_Form2,GA_Form3,FG_AvgScoreRnd,catFinalPositions,FGSG_Total
29,65,65,1,"Grace, Branden",3393,-40.201,48,169,282,174,134,33.69230769,69.84997917,0.59929078,1.298507463,0.302,0.014538462,2.025237745,2743,15.74023774,14.5,0,15.74023774,15.74023774,15.74023774,70.5,MC,0.316538462
54,118,118,1,"Kuchar, Matt",5327,-27.536,76,279,444,311,196,29.75,69.72978947,0.628378378,1.586734694,0.25345,1.4092,2.234635455,2087,12.66963545,12.5,12,13.86963545,14.16963545,14.66963545,68,Top25,1.66265
35,74,74,1,"Hatton, Tyrrell",839,-4.526,12,53,71,47,19,23,69.5395,0.746478873,2.473684211,0.062,0.178666667,2.905441266,1972,12.76544127,7,0,12.76544127,12.76544127,12.76544127,68,Top25,0.240666667
52,116,116,1,"Koepka, Brooks",3782,-19.037,54,182,314,230,160,34.4,69.6845,0.579617834,1.4375,0.624733333,1.421866667,1.924430233,2035,12.09943023,13.5,2,12.29943023,12.34943023,12.43276357,67.5,Top25,2.0466
93,207,207,1,"Summerhays, Daniel",5998,-11.092,85,325,556,337,262,41.73913043,70.43421176,0.584532374,1.286259542,0.014347826,1.696826087,1.615672814,2070,11.96567281,7,2,12.16567281,12.21567281,12.29900615,67.75,Top25,1.711173913
26,58,58,1,"Furyk, Jim",2273,-21.82,32,112,195,99,91,48.44444444,70.349375,0.574358974,1.087912088,-0.354333333,-0.005777778,1.437142583,1542,9.147142583,14,0,9.147142583,9.147142583,9.147142583,67.25,Top25,-0.360111111
78,176,176,1,"Reed, Patrick",5433,-11.272,77,308,482,297,206,36.38095238,70.41205195,0.639004149,1.441747573,0.219333333,0.297666667,1.881569885,1281,8.286569885,14.5,7,8.986569885,9.161569885,9.453236551,67.75,Top25,0.517
41,84,84,1,"Holmes, J.B.",3831,-31.43,54,203,349,237,171,34.53333333,70.36240741,0.581661891,1.385964912,0.573933333,0.4198,1.968611269,1316,8.548611269,13,4,8.948611269,9.048611269,9.215277936,73.5,MC,0.993733333
60,133,133,1,"Lowry, Shane",3449,-51.035,48,171,320,181,179,50.35714286,70.7909375,0.534375,1.011173184,0.342785714,0.010714286,1.378677589,1497,8.863677589,13,0,8.863677589,8.863677589,8.863677589,70,MC,0.3535
45,97,97,1,"Johnson, Zach",4650,-15.707,66,261,420,249,190,40.55555556,70.21656061,0.621428571,1.310526316,-0.125944444,0.765555556,1.683281667,1038,6.873281667,13.5,19,8.773281667,9.248281667,10.03994833,69,26th-CUTLINE,0.639611112
