"","Player.Name","Value","GA_Form","GA_Form2","GA_Form3"
"1","Aiken, Thomas",5.5,2.867872109,2.867872109,2.867872109
"2","Aldridge, Tyler",5,1.621648489,1.621648489,1.621648489
"6","Baddeley, Aaron",5,23.9578587,14.4578587,11.29119204
"8","Barnes, Ricky",5,14.14093924,9.640939235,8.140939235
"9","Berger, Daniel",9.5,7.084430339,7.084430339,7.084430339
"10","Blair, Zac",6.5,0.935210838,0.935210838,0.935210838
"11","Blixt, Jonas",6.5,3.421816687,2.421816687,2.088483354
"14","Bowditch, Steven",8,6.018269222,3.518269222,2.684935889
"15","Bradley, Keegan",7.5,18.63910931,10.63910931,7.972442646
"17","Brown, Scott",5.5,3.121226693,2.121226693,1.78789336
"19","Cabrera, Angel",5,18.21996574,9.719965742,6.886632409
"20","Campbell, Chad",5.5,20.02949358,11.52949358,8.696160248
"21","Casey, Paul",12.5,16.25772524,11.25772524,9.591058576
"23","Cejka, Alex",6.5,4.199880281,4.199880281,4.199880281
"24","Chalmers, Greg",5,2.818113143,1.818113143,1.48477981
"25","Chappell, Kevin",7,7.981667586,7.981667586,7.981667586
"33","Compton, Erik",5,6.038209135,3.538209135,2.704875802
"35","Curran, Jon",5.5,13.98685233,8.986852325,7.320185658
"38","de Jonge, Brendon",6,15.70743202,8.707432024,6.374098691
"39","DeChambeau, Bryson",6,3.72192081,3.72192081,3.72192081
"41","Donald, Luke",7.5,13.62528371,8.625283707,6.95861704
"42","Donaldson, Jamie",10.5,2.529050478,2.529050478,2.529050478
"47","Els, Ernie",5.5,2.802171375,2.802171375,2.802171375
"51","Fathauer, Derek",5,1.656465173,1.656465173,1.656465173
"52","Finau, Tony",7.5,8.12298601,5.62298601,4.789652677
"58","Furyk, Jim",14,9.135286549,9.135286549,9.135286549
"62","Goosen, Retief",5.5,5.644890033,4.644890033,4.3115567
"63","Gore, Jason",5.5,10.94959942,5.949599421,4.282932754
"65","Grace, Branden",14.5,15.72245058,15.72245058,15.72245058
"68","Hadley, Chesson",5,2.710204612,2.710204612,2.710204612
"69","Hadwin, Adam",6,2.330594667,2.330594667,2.330594667
"70","Hahn, James",7,5.343898299,4.343898299,4.010564966
"72","Harman, Brian",7,21.61248649,12.11248649,8.945819823
"73","Harrington, Padraig",6.5,11.75443404,7.254434043,5.754434043
"74","Hatton, Tyrrell",7,12.73298566,12.73298566,12.73298566
"77","Henley, Russell",8,2.56159215,2.56159215,2.56159215
"78","Henry, J.J.",5.5,19.95471047,10.45471047,7.288043798
"80","Hoffman, Charley",10,32.48358846,18.98358846,14.48358846
"81","Hoffmann, Morgan",6.5,17.8297344,9.829734397,7.16306773
"82","Hoge, Tom",5,4.421595834,3.421595834,3.088262501
"84","Holmes, J.B.",13,12.53176778,10.53176778,9.865101111
"88","Huh, John",5.5,3.341922374,2.341922374,2.008589041
"92","Iwata, Hiroshi",7.5,1.105621404,1.105621404,1.105621404
"93","Jacobson, Freddie",7.5,29.13306471,15.63306471,11.13306471
"97","Johnson, Zach",13.5,25.85795877,16.35795877,13.1912921
"99","Jones, Matt",10,3.65523429,2.65523429,2.321900957
"103","Kaufman, Smylie",6,2.413675878,2.413675878,2.413675878
"105","Kelly, Jerry",6,12.51118408,7.011184083,5.17785075
"112","Kjeldsen, Soren",11,6.962783783,6.962783783,6.962783783
"113","Knost, Colt",5.5,10.06312374,8.063123738,7.396457071
"114","Knox, Russell",12,13.73185565,10.23185565,9.065188979
"116","Koepka, Brooks",13.5,14.08258088,13.08258088,12.74924755
"117","Kokrak, Jason",7,6.509218501,4.509218501,3.842551834
"118","Kuchar, Matt",12.5,24.64851349,18.64851349,16.64851349
"120","Laird, Martin",6,10.07767862,6.577678615,5.411011948
"126","Leishman, Marc",12.5,25.72668279,14.72668279,11.06001613
"127","Levin, Spencer",5,7.641624373,5.641624373,4.974957706
"130","Loupe, Andrew",5.5,2.368344058,2.368344058,2.368344058
"132","Lovemark, Jamie",6.5,7.115918156,5.115918156,4.449251489
"133","Lowry, Shane",13,8.853065887,8.853065887,8.853065887
"136","Mahan, Hunter",8,12.8478368,6.847836799,4.847836799
"137","Malnati, Peter",6,1.244744646,1.244744646,1.244744646
"139","Martin, Ben",7.5,1.42940202,1.42940202,1.42940202
"145","McNeill, George",6,4.58467931,2.58467931,1.918012643
"146","Merritt, Troy",7,3.592560999,2.592560999,2.259227666
"150","Molder, Bryce",5.5,24.55374256,15.05374256,11.88707589
"151","Molinari, Francesco",8,11.75622191,9.256221907,8.422888574
"152","Moore, Ryan",9.5,33.42543512,17.42543512,12.09210179
"157","O'Hair, Sean",6.5,5.568486848,3.568486848,2.901820181
"158","O'Meara, Mark",6,0.898140604,0.898140604,0.898140604
"161","Oosthuizen, Louis",13,4.672391398,3.672391398,3.339058065
"162","Ortiz, Carlos",5,0.732630043,0.732630043,0.732630043
"163","Owen, Greg",6,7.933472846,4.433472846,3.266806179
"165","Pampling, Rod",5.5,2.927122744,1.927122744,1.593789411
"171","Piller, Martin",5.5,3.60216178,3.60216178,3.60216178
"172","Pinckney, Scott",5.5,1.000393402,1.000393402,1.000393402
"175","Reavie, Chez",7,14.01007397,8.010073972,6.010073972
"176","Reed, Patrick",14.5,15.26900563,11.76900563,10.60233897
"177","Reifers, Kyle",5.5,4.087413677,4.087413677,4.087413677
"179","Rodgers, Patrick",7,5.249362033,3.249362033,2.582695366
"182","Sabbatini, Rory",5.5,5.81053433,3.31053433,2.477200997
"183","Saunders, Sam",5,2.214373809,2.214373809,2.214373809
"187","Senden, John",7.5,3.218422974,3.218422974,3.218422974
"188","Simpson, Webb",8.5,26.42217864,16.42217864,13.08884531
"189","Singh, Vijay",5,10.89557927,6.895579272,5.562245939
"191","Smith, Cameron",7.5,2.946672867,1.946672867,1.613339534
"196","Stallings, Scott",5,2.360798729,2.360798729,2.360798729
"197","Steele, Brendan",8,28.52941756,16.02941756,11.86275089
"198","Stefani, Shawn",5.5,2.062763661,2.062763661,2.062763661
"199","Stegmaier, Brett",5,2.096271657,2.096271657,2.096271657
"203","Streelman, Kevin",7.5,26.19838839,15.19838839,11.53172172
"205","Stroud, Chris",6,33.76842576,17.76842576,12.43509243
"207","Summerhays, Daniel",7,13.95166839,12.95166839,12.61833506
"208","Swafford, Hudson",5.5,6.974938543,4.474938543,3.64160521
"211","Thomas, Justin",11.5,9.768024469,7.268024469,6.434691136
"212","Todd, Brendon",7.5,5.585258551,3.085258551,2.251925218
"213","Toms, David",5.5,12.59766064,7.597660644,5.930993977
"215","van der Walt, Dawie",5.5,0.880272016,0.880272016,0.880272016
"219","Villegas, Camilo",5.5,10.1837506,5.683750599,4.183750599
"220","Wagner, Johnson",5.5,10.30168397,5.801683968,4.301683968
