,X.1,Tour,Tournament.Year,Tournament.Number,Permanent.Tournament.Number,Team.ID,Team.Number,Player.Number,Player.Name,FG_AvgScoreRnd,catFinalPositions,Event.Name,Official.Event.Y.N.,FedExCup.Points,Money,Finish.Position.numeric.,Finish.Position.text.,Round.1.Score,Round.1.Pos,Round.2.Score,Round.2.Pos,Round.3.Score,Round.3.Pos,Round.4.Score,Round.4.Pos,Round.5.Score,Round.5.Pos,Round.6.Score,Round.6.Pos,Lowest.Round,Total.Strokes,Total.Rounds.,Stroke.Average..Rank.,Scoring.Avg.Total.Adjustment.,Scoring.Avg.Total.Adjustment...Rank.,Eagles,Eagles..Rank.,Birdies,Birdies..Rank.,Pars,Bogeys,Bogeys..Rank.,Doubles,Others,Total.Holes.Over.Par,Bogey.Avoidance.Rank,Birdie.or.Better.Conv.....Birdies.,Birdie.or.Better.Conv.....Greens.Hit.,Longest.Drive,Longest.Drive..Rank.,Driving.Distance.Total.Distance.,Driving.Distance.Total.Drives.,Driving.Distance..Rank.,Driving.Dist....All.Drives.Tot..Dist..,Driving.Dist....All.Drives.Rank.,Drives.Over.300.Yards....of.Drives.,Driving.Acc....Fairways.Hit.,Driving.Acc....Possible.Fairways.,Driving.Accuracy.Rank,Total.Driving..Rank.,Left.Rough.Tendency.Total.Left.Rough.,Right.Rough.Tendency.Total.Right.Rough.,App..50.75.yds.ft.,App..50.75.yds.attempts.,App..75.100.yds.ft.,App..75.100.yds.attempts.,App..100.125.yds.ft.,App..100.125.yds.attempts.,App..50.125.Yards.ft.,App...50.125.Yards.attempts.,Approaches..125.150.Yards.ft.,Approaches...125.150.Yards.attempts.,Approaches...150.175.Yards.ft.,Approaches...150.175.Yards.attempts.,Approaches...175.200.Yards.ft.,Approaches...175.200.Yards.attempts.,Approaches....200.Yards.ft.,Approaches....200.Yards.attempts.,App..50.75.yds.ft....Rough,App..50.75.yds.attempts....Rough,App..75.100.yds.ft....Rough,App..75.100.yds.attempts....Rough,App..100.125.yds.ft....Rough,App..100.125.yds.attempts....Rough,Approaches.50.125.Yards.ft....Rough,Approaches.50.125.Yards.attempts....Rough,Approaches.125.150.Yards.ft....Rough,Approaches.125.150.Yards.attempts....Rough,Approaches.150.175.Yards.ft....Rough,Approaches.150.175.Yards.attempts....Rough,Approaches.175.200.Yards.ft....Rough,Approaches.175.200.Yards.attempts....Rough,Approaches..200.Yards.ft....Rough,Approaches....200.Yards.attempts....Rough,Total.Holes.Played,Total.Greens.in.Regulation,GIR.Rank,Total.Distance.ft..Prox.to.Hole,X..of.Attempts.Prox.to.Hole,Proximity.to.Hole..Rank.,Fairway.Prox.attempts.,Fairway.Prox.distance.in.ft.,Fairway.Prox..Rank.,Rough.Prox.attempts.,Rough.Prox.distance.in.ft.,Rough.Prox..Rank.,Left.Rough.Prox.attempts.,Left.Rough.Prox.distance.in.ft.,Right.Rough.Prox.attempts.,Right.Rough.Prox.distance.in.ft.,Going.for.Green.attempts.,Going.for.Green.non.attempts.,Going.for.the.Green.successes.,Scrambling.Par.or.Better,Scrambling.Missed.GIR,Scrambling..Rank.,Scrambling.Proximity..Total.Distance.,Scrambling.Proximity....of.shots.,Scrambling.Proximity..rank.,Scrambling.from.the.Rough.successes.,Scrambling.from.the.Rough.attempts.,Scrambling.from.the.Fringe.successes.,Scrambling.from.the.Fringe.attempts.,Scrambling....30.Yards.successes.,Scrambling....30.Yards.attempts.,Scrambling.20.30.Yards.successes.,Scrambling...20.30.Yards.attempts.,Scrambling.10.20.Yards.successes.,Scrambling.10.20.Yards.attempts.,Scrambling...10.Yards.successes.,Scrambling....10.Yards.attempts.,Sand.Save.....Saves.,Sand.Save.....Bunkers.,Sand.Save..Rank.,Prox.to.Hole.from.Sand.Total.Distance.,Prox.to.Hole.from.Sand...of.Shots.,Total.Hole.Outs,Longest.Hole.Out.yards.,Overall.Putting.Avg...of.Putts.,Putting.Avg.GIR.Putts.,One.Putt.....of.One.Putts.,X3.Putt.Avoid.Total.3.Putts.,Approach.Putt.Performance.attempts.,Approach.Putt.Performance.ft..,Avg.Distance.of.Putts.Made.Total.Distance.of.Putts.,Total.Rounds.Played,Putting.3..attempts.,Putting.3..putts.made.,Putting...4..attempts.,Putting.4..putts.made.,Putting.5..attempts.,Putting.5..putts.made.,Putting.6..attempts.,Putting.6..putts.made.,Putting.7..attempts.,Putting.7..putts.made.,Putting.8..attempts.,Putting.8..putts.made.,Putting.9..attempts.,Putting.9..putts.made.,Putting.10..attempts.,Putting.10..putts.made.,Putting.Inside.5...putts.made.,Putting.Inside.5...attempts.,Putting.Inside.5.Feet..Rank.,Putting.5....10...putts.made.,Putting.5....10...attempts.,Putting.5....10...Rank.,Putting.4..8..attempts.,Putting.4..8..putts.made.,Putting.4....8...Rank.,Putting.Inside.10..attempts.,Putting.Inside.10..putts.made.,Putting.Inside.10..rank.,Putting.10..15..attempts.,Putting...10..15..putts.made.,Putting.10..15..rank.,Putting.15.20..attempts.,Putting.15..20..putts.made.,Putting.15..20..rank.,Putting.20..25..attempts.,Putting.20..25..putts.made.,Putting.20..25..rank.,Putting..25..attempts.,Putting..25..putts.made.,Putting..25..rank.,Putting...10...putts.made.,Putting...10...attempts.,Putting...10...rank.,Total.Putts.Gained,Total.Rounds.Played.Putts.Gained.,Putts.Gained.Rank,TTL.SG.T2G,SG..T2G.Rank,TTL.SG.Total,SG..Total.Rank,OTT.SG.Avg.,OTT.SG.Rank,APP.SG.Avg.,APP.SG.Rank,ARG.SG.Avg.,ARG.SG.Rank,X,catFinalPositions
1,1,R,2016,430,34,NA,0,24461,"Aiken, Thomas",70.5,MC,Travelers Championship,Y ,0,,999, CUT,71,94,70,88,0,0,0,0,0,0,0,0,70,141,2,999,-0.289,999,0,999,5,999,25,6,999,NA,NA,6,999,5,24,304,975,1109,4,999,7634,999,1,19,28,999,999,0,6,12.833,1,23.917,1,76.333,4,113.083,6,35.583,2,309.417,11,72.833,2,197.917,6,NA,NA,NA,NA,NA,NA,NA,NA,92.75,2,112.667,3,NA,NA,NA,NA,36,24,999,"1,179.08",36,999,27,728.833,999,5,205.417,999,0,NA,5,205.417,4,2,0,7,12,999,82.25,11,999,1,2,2,2,1,1,0,0,5,8,1,2,3,5,999,19.25,4,0,NA,59,44,14,1,22,51.583,1699,2,21,21,3,2,2,2,4,3,2,1,4,3,0,0,2,1,26,25,999,12,8,999,12,9,999,38,33,999,7,3,999,2,0,999,6,0,999,6,0,999,3,21,999,0.327,2,999,0.14,999,  .711-,999,0.14,999,-0.399,999,-0.26,999,NA,MC
2,2,R,2016,430,34,NA,0,29745,"Aldridge, Tyler",71.5,MC,Travelers Championship,Y ,0,,999, CUT,71,94,72,118,0,0,0,0,0,0,0,0,71,143,2,999,-0.289,999,0,999,6,999,21,9,999,NA,NA,9,999,6,24,304,975,1106,4,999,7806,999,3,17,28,999,999,2,3,NA,0,81.083,4,41.5,2,122.583,6,128.333,5,210.5,10,2.833,1,78.667,3,NA,NA,12.083,1,NA,NA,12.083,1,NA,NA,82.25,3,NA,NA,114.083,1,36,24,999,"1,117.67",35,999,25,542.917,999,5,208.417,999,2,131.667,3,76.75,2,4,0,5,12,999,64.167,10,999,1,3,0,0,1,4,0,1,2,5,2,2,1,1,999,1.75,1,0,NA,62,44,12,2,24,34.917,1195,2,29,29,0,0,1,0,2,0,3,1,2,1,3,1,2,2,30,29,999,12,5,999,8,2,999,42,34,999,7,2,999,4,0,999,2,0,999,7,0,999,2,20,999, 3.033-,2,999, 1.182-,999, 2.711-,999,-1.182,999,1.156,999,0.188,999,NA,MC
3,3,R,2016,430,34,NA,0,10885,"Allenby, Robert",73.5,MC,Travelers Championship,Y ,0,,999, CUT,72,113,75,145,0,0,0,0,0,0,0,0,72,147,2,999,-0.289,999,0,999,3,999,25,6,999,2,NA,8,999,3,18,315,413,1106,4,999,7724,999,3,15,28,999,999,4,4,NA,0,11,1,36.75,2,47.75,3,112.25,3,221.5,7,135.667,4,114.833,4,64.25,1,50.167,1,NA,NA,114.417,2,110.083,2,98.833,2,56.417,1,NA,NA,36,18,999,"1,505.67",35,999,21,632,999,7,379.75,999,4,209.75,3,170,4,2,0,11,18,999,183.167,17,999,5,7,1,1,1,1,2,6,7,10,1,1,2,5,999,42.083,5,0,NA,59,34,15,2,21,28.833,1560,2,24,22,4,3,4,4,3,2,4,2,0,0,2,1,2,0,32,29,999,11,5,999,11,8,999,43,34,999,6,1,999,2,0,999,3,0,999,5,1,999,2,16,999, 2.999-,2,999,0.141,999, 6.711-,999,0.141,999,-1.988,999,-0.009,999,NA,MC
4,4,R,2016,430,34,NA,0,45526,"Ancer, Abraham",69.25,26th-CUTLINE,Travelers Championship,Y ,12.5,"14,718.00",56, T56,68,24,68,16,68,15,73,56,0,0,0,0,68,277,4,56,2.411,56,0,24,11,67,53,8,22,NA,NA,8,15,10,55,320,292,2305,8,40,15561,56,9,37,56,35,39,15,2,103.583,4,45.083,2,160.583,6,309.25,12,301.25,12,382.667,15,193.083,6,418.167,9,21.667,1,49.75,1,NA,NA,71.417,2,221.417,4,135.917,5,40.417,1,113.167,1,72,55,11,"2,477.83",72,42,54,"1,604.42",51,13,582.333,47,11,512.917,2,69.417,5,7,1,11,17,24,104.75,16,16,1,4,2,2,0,3,2,3,6,8,3,3,4,5,14,41.417,5,0,NA,125,103,19,2,52,108.917,2629,4,47,47,6,6,7,4,8,5,2,1,3,1,4,4,1,0,60,57,54,18,11,42,20,11,67,78,68,54,7,2,41,5,1,28,8,0,45,27,0,48,3,47,73, 2.462-,4,67,0.195,32,0.591,56,0.195,39,-0.115,48,0.683,10,NA,26th-CUTLINE
5,5,R,2016,430,34,NA,0,20098,"Appleby, Stuart",69,26th-CUTLINE,Travelers Championship,Y ,20,"16,573.33",47, T47,68,24,68,16,69,22,71,47,0,0,0,0,68,276,4,47,2.411,47,0,24,13,57,50,9,33,NA,NA,9,26,13,38,315,413,2264,8,60,15485,61,3,41,56,16,42,5,5,32.5,3,101.833,3,102.833,5,237.167,11,273.25,13,357.417,14,412.25,10,454.833,9,71.583,2,144.833,2,NA,NA,216.417,4,119.667,3,61.167,2,NA,NA,NA,NA,72,38,73,"2,471.17",72,40,57,"1,734.92",53,9,397.25,45,5,264.5,4,132.75,7,5,0,25,34,7,165.583,31,3,6,8,6,7,1,3,2,4,15,19,7,8,4,7,33,37,6,0,NA,106,63,38,0,34,49.417,3179,4,48,48,7,7,3,3,3,2,2,2,2,1,2,0,3,2,58,58,1,12,7,50,10,8,21,70,65,10,10,5,5,9,1,45,2,0,45,15,1,22,7,36,10,4.394,4,11,0.312,64,1.591,47,0.312,33,-1.334,73,0.321,24,NA,26th-CUTLINE
6,6,R,2016,430,34,NA,0,22371,"Baddeley, Aaron",68.5,26th-CUTLINE,Travelers Championship,Y ,35.5,"34,815.00",34, T34,73,128,65,43,67,22,69,34,0,0,0,0,65,274,4,34,2.411,34,1,6,14,45,50,6,5,NA,1,7,7,14,47,333,77,2375,8,22,15800,39,16,38,56,30,14,6,5,4.75,1,56.167,4,79.833,4,140.75,9,237.167,10,374.083,16,234.083,6,657,11,NA,NA,100.333,2,27,1,127.333,3,175.333,4,32.333,1,139.5,2,54.167,1,72,48,59,"2,656.08",71,65,52,"1,643.08",61,11,528.667,56,5,257.5,6,271.167,10,2,1,17,24,11,194.667,22,46,4,8,1,1,2,3,1,4,10,13,4,4,3,4,20,40,4,1,38,112,81,30,0,41,93.917,3512,4,45,45,7,7,3,3,4,3,3,3,3,1,2,2,1,1,55,55,1,13,10,6,13,10,28,68,65,3,8,1,67,10,3,14,11,1,42,15,1,22,6,44,41,4.228,4,12,  .263-,58,3.591,34,-0.263,58,-0.28,59,0.383,21,NA,26th-CUTLINE
7,7,R,2016,430,34,NA,0,35545,"Barber, Blayne",68.25,Top25,Travelers Championship,Y ,42,"47,226.67",25, T25,71,94,64,9,70,22,68,25,0,0,0,0,64,273,4,25,2.411,25,0,24,18,8,45,7,11,2,NA,9,26,18,55,318,337,2274,8,56,15850,33,13,41,56,16,35,9,4,NA,0,59,4,67.833,6,126.833,10,364.583,13,327.5,14,185,6,596.917,12,48.667,2,76,2,99.667,2,224.333,6,166.667,4,28.167,1,NA,NA,NA,NA,72,55,11,"2,423.33",72,33,55,"1,600.83",46,11,419.167,23,7,233.583,4,185.583,9,3,3,8,17,65,225.25,15,72,2,7,0,0,1,4,2,4,2,5,3,4,2,3,23,47.417,3,0,NA,120,95,24,0,48,112,4430,4,39,39,5,5,3,3,7,7,2,2,6,3,3,2,3,1,47,47,1,21,15,11,18,15,16,68,62,20,11,6,4,11,2,32,6,1,17,24,1,44,10,52,11,7.032,4,1,0.737,63,4.591,25,0.737,8,-0.053,44,-1.294,73,NA,Top25
8,8,R,2016,430,34,NA,0,24846,"Barnes, Ricky",70,26th-CUTLINE,Travelers Championship,Y ,3,"13,464.00",68,68,68,24,71,56,69,56,72,68,0,0,0,0,68,280,4,68,2.411,68,0,24,11,67,50,11,56,NA,NA,11,50,11,50,344,29,2259,8,61,15361,64,9,41,56,16,44,4,5,64.417,2,103.833,5,98.917,5,267.167,12,349.417,16,521.083,17,338,6,207.917,7,3.583,1,NA,NA,NA,NA,3.583,1,90.333,2,113.75,3,43.667,1,NA,NA,72,50,46,"2,525.42",72,49,58,"1,683.58",43,8,268.75,8,3,178.333,5,90.417,4,8,0,12,22,49,216.417,18,66,1,2,1,1,1,6,0,2,6,9,5,5,3,8,49,96.917,8,0,NA,121,90,24,1,48,93.583,3505,4,52,52,6,5,5,4,0,0,3,2,2,1,2,1,1,0,63,61,29,8,4,59,10,7,39,71,65,15,11,3,43,9,1,45,6,1,17,24,2,15,7,50,35,1.286,4,37,  .478-,67, 2.409-,68,-0.478,64,-0.743,69,0.297,25,NA,26th-CUTLINE
9,9,R,2016,430,34,NA,0,40026,"Berger, Daniel",67.25,Top25,Travelers Championship,Y ,96.25,"231,825.00",5,  T5,66,7,67,1,62,1,74,5,0,0,0,0,62,269,4,5,2.411,5,0,24,21,2,41,10,46,NA,NA,10,37,21,57,325,171,2384,8,21,15894,30,17,31,56,68,62,5,16,NA,0,50.25,3,60.333,4,110.583,7,203.25,10,329.75,15,44.667,4,541.667,12,34.833,1,51.083,2,NA,NA,85.917,3,348.917,9,253.833,6,50.583,1,NA,NA,72,57,5,"2,145.17",71,8,48,"1,229.92",17,19,739.25,28,5,171.583,14,567.667,9,3,4,6,15,70,139.75,12,65,2,4,1,1,1,3,1,3,3,8,1,1,0,4,67,43.333,3,0,NA,120,98,23,1,48,99,3886,4,45,45,9,8,5,3,2,2,2,2,3,1,2,1,2,1,59,56,55,11,7,32,12,8,45,70,63,36,9,2,52,11,3,21,13,2,24,17,1,30,8,50,23,2.409,4,25,0.075,8,8.591,5,0.075,49,1.712,2,-0.242,55,NA,Top25
10,10,R,2016,430,34,NA,0,40058,"Blair, Zac",69.5,26th-CUTLINE,Travelers Championship,Y ,8.5,"14,190.00",62, T62,70,73,68,43,69,49,71,62,0,0,0,0,68,278,4,62,2.411,62,0,24,14,45,48,9,33,NA,1,10,37,14,58,310,615,2201,8,69,15272,69,3,45,56,3,35,8,1,NA,0,24,3,42.25,2,66.25,5,269.583,13,432,17,244.25,7,546.833,12,27.25,1,129,4,158.167,1,314.417,6,48.5,2,93,2,21.25,1,NA,NA,72,58,1,"2,449.08",72,38,54,"1,558.92",41,12,504.5,40,9,319.917,3,184.583,6,6,2,7,14,59,106.5,12,48,3,7,1,1,0,3,2,3,2,5,3,3,0,1,67,28.5,1,0,NA,127,107,21,4,51,129.083,3815,4,41,41,9,7,10,7,2,2,3,2,4,4,2,0,6,2,60,55,73,17,10,48,19,15,23,77,65,68,13,5,18,6,0,57,1,0,45,30,2,22,7,50,35,0.101,4,53,0.421,56,  .409-,62,0.421,29,-0.337,61,-0.257,60,NA,26th-CUTLINE
