,Permanent.Tournament.Number,Player.Number,Player.Name,Event.Name,Official.Event.Y.N.,Finish.Position.numeric.,Round.1.Score,Round.2.Score,Round.3.Score,Round.4.Score,Total.Strokes,Total.Rounds.,Stroke.Average..Rank.,Scoring.Avg.Total.Adjustment.,Scoring.Avg.Total.Adjustment...Rank.,Eagles,Birdies,Pars,Bogeys,Doubles,Others,Total.Holes.Over.Par,Total.Holes.Played,Scrambling.Par.or.Better,Scrambling.Missed.GIR,Total.Putts.Gained,Total.Rounds.Played.Putts.Gained.,TTL.SG.T2G,TTL.SG.Total,OTT.SG.Avg.,APP.SG.Avg.,ARG.SG.Avg.
1,1,29745,"Aldridge, Tyler",Frys.com Open,Y ,55,71,71,71,71,284,4,55,3.777,55,0,12,52,8,NA,NA,8,72,17,23,0.567,4,-0.263,0.229,-0.263,-0.189,0.367
2,1,10885,"Allenby, Robert",Frys.com Open,Y ,99,73,74,0,0,147,2,999,1.413,999,0,8,21,4,2,1,7,36,7,14,2.082,2,-0.928,-4.412,-0.928,-2.128,-0.191
3,1,45526,"Ancer, Abraham",Frys.com Open,Y ,99,72,78,0,0,150,2,999,1.413,999,0,5,21,9,1,NA,10,36,9,16,-3.149,2,-0.477,-7.412,-0.477,-1.217,-0.437
4,1,20098,"Appleby, Stuart",Frys.com Open,Y ,69,70,72,72,74,288,4,69,3.777,69,0,12,50,8,2,NA,10,72,22,31,-0.774,4,0.041,-3.771,0.041,-1.069,0.278
5,1,22371,"Baddeley, Aaron",Frys.com Open,Y ,55,71,71,71,71,284,4,55,3.777,55,1,12,49,10,NA,NA,10,72,20,25,-0.076,4,0.104,0.229,0.104,-0.522,0.494
6,1,35545,"Barber, Blayne",Frys.com Open,Y ,99,71,76,0,0,147,2,999,1.413,999,1,7,16,12,NA,NA,12,36,8,15,-3.945,2,0.159,-4.412,0.159,-0.966,0.574
7,1,24846,"Barnes, Ricky",Frys.com Open,Y ,99,74,73,0,0,147,2,999,1.413,999,0,6,22,7,1,NA,8,36,7,14,-0.822,2,-1.108,-4.412,-1.108,-0.499,-0.187
8,1,32334,"Beljan, Charlie",Frys.com Open,Y ,74,73,68,74,0,215,3,999,3.5,999,0,9,38,6,1,NA,7,54,15,21,3.192,3,0.346,-2.497,0.346,-1.696,-0.547
9,1,40026,"Berger, Daniel",Frys.com Open,Y ,17,70,69,70,69,278,4,17,3.777,17,0,19,45,7,1,NA,8,72,11,19,4.887,4,0.41,6.229,0.41,0.401,-0.476
10,1,10505,"Bertsch, Shane",Frys.com Open,Y ,74,71,71,73,0,215,3,999,3.5,999,0,11,35,6,2,NA,8,54,12,19,2.003,3,-0.743,-2.497,-0.743,-0.854,0.097
11,1,40058,"Blair, Zac",Frys.com Open,Y ,99,75,77,0,0,152,2,999,1.413,999,0,4,22,9,NA,1,10,36,9,17,-1.871,2,-0.002,-9.412,-0.002,-3.433,-0.335
