"","X.1","Tour","Tournament.Year","Tournament.Number","Permanent.Tournament.Number","Team.ID","Team.Number","Player.Number","Player.Name","Player.Age..years..months.days.","Event.Name","Official.Event.Y.N.","FedExCup.Points","Money","Finish.Position.numeric.","Finish.Position.text.","Round.1.Score","Round.1.Pos","Round.2.Score","Round.2.Pos","Round.3.Score","Round.3.Pos","Round.4.Score","Round.4.Pos","Round.5.Score","Round.5.Pos","Round.6.Score","Round.6.Pos","Lowest.Round","Total.Strokes","Total.Rounds.","Stroke.Average..Rank.","Scoring.Avg.Total.Adjustment.","Scoring.Avg.Total.Adjustment...Rank.","Eagles","Eagles..Rank.","Birdies","Birdies..Rank.","Pars","Bogeys","Bogeys..Rank.","Doubles","Others","Total.Holes.Over.Par","Bogey.Avoidance.Rank","Birdie.or.Better.Conv.....Birdies.","Birdie.or.Better.Conv.....Greens.Hit.","Longest.Drive","Longest.Drive..Rank.","Driving.Distance.Total.Distance.","Driving.Distance.Total.Drives.","Driving.Distance..Rank.","Driving.Dist....All.Drives.Tot..Dist..","Driving.Dist....All.Drives.Rank.","Drives.Over.300.Yards....of.Drives.","Driving.Acc....Fairways.Hit.","Driving.Acc....Possible.Fairways.","Driving.Accuracy.Rank","Total.Driving..Rank.","Left.Rough.Tendency.Total.Left.Rough.","Right.Rough.Tendency.Total.Right.Rough.","App..50.75.yds.ft.","App..50.75.yds.attempts.","App..75.100.yds.ft.","App..75.100.yds.attempts.","App..100.125.yds.ft.","App..100.125.yds.attempts.","App..50.125.Yards.ft.","App...50.125.Yards.attempts.","Approaches..125.150.Yards.ft.","Approaches...125.150.Yards.attempts.","Approaches...150.175.Yards.ft.","Approaches...150.175.Yards.attempts.","Approaches...175.200.Yards.ft.","Approaches...175.200.Yards.attempts.","Approaches....200.Yards.ft.","Approaches....200.Yards.attempts.","App..50.75.yds.ft....Rough","App..50.75.yds.attempts....Rough","App..75.100.yds.ft....Rough","App..75.100.yds.attempts....Rough","App..100.125.yds.ft....Rough","App..100.125.yds.attempts....Rough","Approaches.50.125.Yards.ft....Rough","Approaches.50.125.Yards.attempts....Rough","Approaches.125.150.Yards.ft....Rough","Approaches.125.150.Yards.attempts....Rough","Approaches.150.175.Yards.ft....Rough","Approaches.150.175.Yards.attempts....Rough","Approaches.175.200.Yards.ft....Rough","Approaches.175.200.Yards.attempts....Rough","Approaches..200.Yards.ft....Rough","Approaches....200.Yards.attempts....Rough","Total.Holes.Played","Total.Greens.in.Regulation","GIR.Rank","Total.Distance.ft..Prox.to.Hole","X..of.Attempts.Prox.to.Hole","Proximity.to.Hole..Rank.","Fairway.Prox.attempts.","Fairway.Prox.distance.in.ft.","Fairway.Prox..Rank.","Rough.Prox.attempts.","Rough.Prox.distance.in.ft.","Rough.Prox..Rank.","Left.Rough.Prox.attempts.","Left.Rough.Prox.distance.in.ft.","Right.Rough.Prox.attempts.","Right.Rough.Prox.distance.in.ft.","Going.for.Green.attempts.","Going.for.Green.non.attempts.","Going.for.the.Green.successes.","Scrambling.Par.or.Better","Scrambling.Missed.GIR","Scrambling..Rank.","Scrambling.Proximity..Total.Distance.","Scrambling.Proximity....of.shots.","Scrambling.Proximity..rank.","Scrambling.from.the.Rough.successes.","Scrambling.from.the.Rough.attempts.","Scrambling.from.the.Fringe.successes.","Scrambling.from.the.Fringe.attempts.","Scrambling....30.Yards.successes.","Scrambling....30.Yards.attempts.","Scrambling.20.30.Yards.successes.","Scrambling...20.30.Yards.attempts.","Scrambling.10.20.Yards.successes.","Scrambling.10.20.Yards.attempts.","Scrambling...10.Yards.successes.","Scrambling....10.Yards.attempts.","Sand.Save.....Saves.","Sand.Save.....Bunkers.","Sand.Save..Rank.","Prox.to.Hole.from.Sand.Total.Distance.","Prox.to.Hole.from.Sand...of.Shots.","Total.Hole.Outs","Longest.Hole.Out.yards.","Overall.Putting.Avg...of.Putts.","Putting.Avg.GIR.Putts.","One.Putt.....of.One.Putts.","X3.Putt.Avoid.Total.3.Putts.","Approach.Putt.Performance.attempts.","Approach.Putt.Performance.ft..","Avg.Distance.of.Putts.Made.Total.Distance.of.Putts.","Total.Rounds.Played","Putting.3..attempts.","Putting.3..putts.made.","Putting...4..attempts.","Putting.4..putts.made.","Putting.5..attempts.","Putting.5..putts.made.","Putting.6..attempts.","Putting.6..putts.made.","Putting.7..attempts.","Putting.7..putts.made.","Putting.8..attempts.","Putting.8..putts.made.","Putting.9..attempts.","Putting.9..putts.made.","Putting.10..attempts.","Putting.10..putts.made.","Putting.Inside.5...putts.made.","Putting.Inside.5...attempts.","Putting.Inside.5.Feet..Rank.","Putting.5....10...putts.made.","Putting.5....10...attempts.","Putting.5....10...Rank.","Putting.4..8..attempts.","Putting.4..8..putts.made.","Putting.4....8...Rank.","Putting.Inside.10..attempts.","Putting.Inside.10..putts.made.","Putting.Inside.10..rank.","Putting.10..15..attempts.","Putting...10..15..putts.made.","Putting.10..15..rank.","Putting.15.20..attempts.","Putting.15..20..putts.made.","Putting.15..20..rank.","Putting.20..25..attempts.","Putting.20..25..putts.made.","Putting.20..25..rank.","Putting..25..attempts.","Putting..25..putts.made.","Putting..25..rank.","Putting...10...putts.made.","Putting...10...attempts.","Putting...10...rank.","Total.Putts.Gained","Total.Rounds.Played.Putts.Gained.","Putts.Gained.Rank","TTL.SG.T2G","SG..T2G.Rank","TTL.SG.Total","SG..Total.Rank","OTT.SG.Avg.","OTT.SG.Rank","APP.SG.Avg.","APP.SG.Rank","ARG.SG.Avg.","ARG.SG.Rank","X","Birdie_Or_Better","Scrambling_Success","BirdieBogey_Rat","catFinalPositions"
"1",1,"R",2016,10,464,NA,0,29745,"Aldridge, Tyler","31 01 16","Frys.com Open","Y ",13.5,"13,500.00",55," T55",71,67,71,56,71,61,71,55,0,0,0,0,71,284,4,55,3.777,55,0,23,12,66,52,8,23,NA,NA,8,18,11,49,325,234,2298,8,65,15823,50,14,29,56,45,68,11,11,NA,0,84.083,7,166.833,8,250.917,15,148.083,7,244.25,9,211.917,8,"659.667",12,NA,NA,109.333,4,127.583,4,236.917,8,152.25,4,149.167,2,323.25,4,NA,NA,72,49,42,"2,482.83",72,25,51,"1,514.83",31,18,"861.583",45,6,299.167,12,"562.417",6,11,0,17,23,12,192.25,22,40,4,8,3,3,1,2,7,8,7,11,2,2,4,5,8,35.417,5,1,9,115,89,27,2,43,109.583,3568,4,37,37,6,6,10,9,3,1,4,3,5,4,4,3,4,3,53,52,31,20,14,12,22,17,23,73,66,16,12,2,62,5,1,32,10,0,50,15,1,33,4,42,68,0.567,4,42,-0.263,54,0.229,55,-0.263,60,-0.189,53,0.367,21,NA,12,0.739130434782609,1.5,"26th-CUTLINE"
"2",2,"R",2016,10,464,NA,0,10885,"Allenby, Robert","44 03 06","Frys.com Open","Y ",0,"",999," CUT",73,114,74,121,0,0,0,0,0,0,0,0,73,147,2,999,1.413,999,0,999,8,999,21,4,999,2,1,7,999,7,22,309,999,1207,4,999,7591,999,5,13,28,999,999,5,8,NA,0,31.167,2,142.917,7,174.083,9,136.167,5,82.75,3,126.917,4,"316.833",5,NA,NA,NA,NA,55.75,2,55.75,2,290.333,4,NA,NA,104.583,1,62.5,1,36,22,999,"1,397.75",35,999,26,"836.75",999,8,"513.167",999,4,143.167,4,"370",2,6,0,7,14,999,141.333,12,999,4,6,1,1,2,3,2,3,2,6,1,1,1,3,999,41.333,3,0,NA,58,37,14,2,21,52.583,2192,2,21,21,3,1,2,2,2,1,1,1,3,2,1,1,0,0,26,24,999,7,5,999,8,6,999,33,29,999,5,3,999,5,2,999,6,0,999,9,1,999,6,25,999,2.082,2,999,-0.928,999,-4.412,999,-0.928,999,-2.128,999,-0.191,999,NA,8,0.5,1.14285714285714,"MC"
"3",3,"R",2016,10,464,NA,0,45526,"Ancer, Abraham","24 07 21","Frys.com Open","Y ",0,"",999," CUT",72,89,78,137,0,0,0,0,0,0,0,0,72,150,2,999,1.413,999,0,999,5,999,21,9,999,1,NA,10,999,4,20,317,502,1171,4,999,7819,999,3,12,28,999,999,8,8,30.167,1,51.667,3,137.667,7,219.5,11,98.083,4,110.25,3,173.083,4,"227.167",4,NA,NA,36.583,1,38.75,2,75.333,3,121.583,2,44.417,2,133.917,2,86.083,1,36,20,999,"1,289.42",36,999,26,"828.083",999,10,"461.333",999,6,314.583,4,"146.75",2,6,0,9,16,999,129.917,15,999,4,8,2,2,0,2,1,4,4,6,4,4,2,4,999,6.667,2,1,14,59,39,14,3,21,52.833,1366,2,23,23,8,6,1,1,0,0,2,1,3,2,1,1,1,0,32,30,999,7,4,999,6,4,999,39,34,999,4,0,999,4,0,999,6,1,999,6,0,999,1,20,999,-3.149,2,999,-0.477,999,-7.412,999,-0.477,999,-1.217,999,-0.437,999,NA,5,0.5625,0.5,"MC"
"4",4,"R",2016,10,464,NA,0,20098,"Appleby, Stuart","44 05 17","Frys.com Open","Y ",1.5,"12,060.00",69," T69",70,47,72,56,72,69,74,69,0,0,0,0,70,288,4,69,3.777,69,0,23,12,66,50,8,23,2,NA,10,41,10,41,313,734,2311,8,63,15790,54,8,32,56,29,54,14,8,NA,0,122.75,5,93.583,6,216.333,11,231.833,11,240.583,8,308.833,7,"842.5",12,95.417,3,21,2,69.75,2,186.167,7,279.25,6,185.583,5,63.917,1,72.083,1,72,41,71,"2,764.00",72,63,49,"1,840.08",73,21,"811.25",10,14,505.333,7,"305.917",9,8,0,22,31,19,168.25,29,5,9,15,3,4,1,3,4,5,11,16,6,7,2,6,64,54,5,2,21,111,74,31,1,39,88.667,3337,4,42,41,9,9,6,5,5,3,2,2,5,3,2,1,3,2,57,55,41,17,11,23,18,13,38,74,66,23,10,1,70,7,2,19,10,1,42,10,0,48,4,37,63,-0.774,4,53,0.041,65,-3.771,69,0.041,43,-1.069,71,0.278,25,NA,12,0.709677419354839,1.2,"26th-CUTLINE"
"5",5,"R",2016,10,464,NA,0,22371,"Baddeley, Aaron","34 07 01","Frys.com Open","Y ",13.5,"13,500.00",55," T55",71,67,71,56,71,61,71,55,0,0,0,0,71,284,4,55,3.777,55,1,2,12,66,49,10,48,NA,NA,10,41,12,47,346,13,2336,8,55,15755,59,15,29,56,45,57,8,16,33.167,1,14.25,2,149.833,7,197.25,10,203.75,6,319.083,13,285.25,8,"561.583",10,50.5,2,NA,NA,133.917,3,184.417,5,102.333,4,159.167,4,331.5,4,457.75,5,72,47,54,"2,885.58",72,70,47,"1,566.92",61,22,"1,235.17",66,10,351.583,12,"883.583",10,7,1,20,25,5,166.083,24,16,6,7,4,4,1,2,3,5,11,12,5,6,6,11,40,80.417,10,1,7,114,87,31,5,39,106.5,3574,4,38,37,6,4,8,7,7,7,6,3,7,5,2,1,0,0,52,48,72,22,16,8,28,22,19,74,64,49,10,3,43,6,1,40,8,2,14,16,0,48,6,40,47,-0.076,4,49,0.104,48,0.229,55,0.104,40,-0.522,64,0.494,14,NA,13,0.8,1.3,"26th-CUTLINE"
"6",6,"R",2016,10,464,NA,0,35545,"Barber, Blayne","25 09 23","Frys.com Open","Y ",0,"",999," CUT",71,67,76,121,0,0,0,0,0,0,0,0,71,147,2,999,1.413,999,1,999,7,999,16,12,999,NA,NA,12,999,6,20,329,147,1230,4,999,7738,999,4,17,28,999,999,4,6,3.75,1,112.917,3,130.333,5,247,9,43.833,3,85.083,4,182.5,5,"327",7,NA,NA,102.667,1,NA,NA,102.667,1,121.833,2,78.917,1,254.583,3,NA,NA,36,21,999,"1,448.08",36,999,29,"890.083",999,7,"558",999,2,111.333,5,"446.667",4,4,1,8,15,999,138.917,14,999,1,4,2,2,1,3,2,3,2,5,3,4,2,4,999,43.25,4,1,14,60,40,13,5,21,62.917,1652,2,22,21,5,4,5,4,2,1,1,0,1,0,1,1,1,0,32,29,999,6,2,999,9,5,999,38,31,999,4,0,999,5,2,999,3,0,999,10,1,999,3,22,999,-3.945,2,999,0.159,999,-4.412,999,0.159,999,-0.966,999,0.574,999,NA,8,0.533333333333333,0.666666666666667,"MC"
"7",7,"R",2016,10,464,NA,0,24846,"Barnes, Ricky","34 08 12","Frys.com Open","Y ",0,"",999," CUT",74,124,73,121,0,0,0,0,0,0,0,0,73,147,2,999,1.413,999,0,999,6,999,22,7,999,1,NA,8,999,6,22,326,204,1182,4,999,7866,999,7,15,28,999,999,4,7,NA,0,12.75,1,70.5,5,83.25,6,214.75,6,63.167,3,174.667,5,"406.583",6,45.167,2,29.167,1,NA,NA,74.333,3,68.667,2,58.167,3,NA,NA,NA,NA,36,22,999,"1,177.00",36,999,27,"945.75",999,8,"201.167",999,4,88.833,4,"112.333",2,6,0,7,14,999,85.5,10,999,1,4,1,1,0,4,0,0,5,7,2,2,2,4,999,35.417,3,0,NA,56,39,17,1,19,34.75,1185,2,23,23,7,6,4,3,1,1,1,1,0,0,0,0,2,1,34,32,999,4,3,999,6,5,999,38,35,999,4,1,999,0,0,NA,6,0,999,8,0,999,1,18,999,-0.822,2,999,-1.108,999,-4.412,999,-1.108,999,-0.499,999,-0.187,999,NA,6,0.5,0.75,"MC"
"8",8,"R",2016,10,464,NA,0,32334,"Beljan, Charlie","31 00 08","Frys.com Open","Y ",0.86,"11,160.00",74," T74",73,114,68,39,74,74,0,0,0,0,0,0,68,215,3,999,3.5,999,0,999,9,999,38,6,999,1,NA,7,999,8,33,347,9,1952,6,999,12410,999,23,21,42,999,999,12,6,33,2,14.25,1,238.833,7,286.083,10,212.667,8,79.25,4,208.25,6,"472.917",8,2.417,1,49.167,1,154.333,4,205.917,6,82,3,70.583,1,NA,NA,308.083,3,54,33,999,"2,075.58",54,999,36,"1,259.17",999,14,"684.5",999,9,459.083,5,"225.417",6,7,1,15,21,999,222.833,19,999,7,9,3,3,3,4,1,2,8,12,3,3,1,6,999,65,5,1,10,85,60,22,1,31,76.083,3521,3,31,31,3,3,5,4,5,5,3,1,1,1,2,2,2,1,39,38,999,13,10,999,14,11,999,52,48,999,8,1,999,4,1,999,3,0,999,18,3,999,5,33,999,3.192,3,999,0.346,999,-2.497,999,0.346,999,-1.696,999,-0.547,999,NA,9,0.714285714285714,1.28571428571429,"26th-CUTLINE"
"9",9,"R",2016,10,464,NA,0,40026,"Berger, Daniel","22 06 11","Frys.com Open","Y ",50,"73,333.33",17," T17",70,47,69,19,70,27,69,17,0,0,0,0,69,278,4,17,3.777,17,0,23,19,13,45,7,17,1,NA,8,18,19,53,370,1,2552,8,4,16068,31,24,30,56,42,15,12,10,48,2,81.833,3,89.667,7,219.5,12,100.25,6,299.583,12,281.917,8,"354.083",10,NA,NA,82.083,3,90.917,3,173,6,72.667,3,117.083,2,169.583,4,358.833,5,72,53,16,"2,222.33",71,6,49,"1,283.67",4,20,"891.167",30,13,611.083,7,"280.083",11,6,2,11,19,57,115.417,16,23,2,5,2,2,0,3,3,5,5,7,3,4,5,11,51,92.083,9,0,NA,113,89,31,0,41,100.083,4676,4,37,37,5,4,7,7,5,5,5,5,5,3,5,1,2,1,49,48,33,22,15,17,22,20,4,71,63,27,13,3,55,6,3,1,6,0,50,17,3,4,9,42,21,4.887,4,9,0.41,35,6.229,17,0.41,23,0.401,33,-0.476,66,NA,19,0.578947368421053,2.375,"Top25"
"10",10,"R",2016,10,464,NA,0,10505,"Bertsch, Shane","45 06 18","Frys.com Open","Y ",0.86,"11,160.00",74," T74",71,67,71,56,73,74,0,0,0,0,0,0,71,215,3,999,3.5,999,0,999,11,999,35,6,999,2,NA,8,999,10,35,321,355,1667,6,999,11567,999,4,19,42,999,999,12,6,NA,0,97.667,5,123,7,220.667,12,122.5,5,74.5,4,177.5,5,"414.167",7,NA,NA,92.75,3,42.083,2,134.833,5,91.25,3,156.25,3,193.667,3,69.667,2,54,35,999,"1,772.75",54,999,33,"1,009.33",999,16,"645.667",999,8,325.167,8,"320.5",3,10,0,12,19,999,170.5,18,999,6,10,3,3,0,2,3,4,6,8,3,4,2,3,999,20.75,2,1,22,85,62,23,1,30,49.417,2893,3,32,32,6,5,3,2,2,2,4,4,3,1,0,0,1,0,41,39,999,10,7,999,12,9,999,51,46,999,10,4,999,7,1,999,4,1,999,13,1,999,7,34,999,2.003,3,999,-0.743,999,-2.497,999,-0.743,999,-0.854,999,0.097,999,NA,11,0.631578947368421,1.375,"26th-CUTLINE"
