"","ddID","X.1","Tour","Tournament.Year","Tournament.Number","Permanent.Tournament.Number","Team.ID","Team.Number","Player.Number","Player.Name","Player.Age..years..months.days.","Event.Name","Official.Event.Y.N.","FedExCup.Points","Money","Finish.Position.numeric.","Finish.Position.text.","Round.1.Score","Round.1.Pos","Round.2.Score","Round.2.Pos","Round.3.Score","Round.3.Pos","Round.4.Score","Round.4.Pos","Round.5.Score","Round.5.Pos","Round.6.Score","Round.6.Pos","Lowest.Round","Total.Strokes","Total.Rounds.","Stroke.Average..Rank.","Scoring.Avg.Total.Adjustment.","Scoring.Avg.Total.Adjustment...Rank.","Eagles","Eagles..Rank.","Birdies","Birdies..Rank.","Pars","Bogeys","Bogeys..Rank.","Doubles","Others","Total.Holes.Over.Par","Bogey.Avoidance.Rank","Birdie.or.Better.Conv.....Birdies.","Birdie.or.Better.Conv.....Greens.Hit.","Longest.Drive","Longest.Drive..Rank.","Driving.Distance.Total.Distance.","Driving.Distance.Total.Drives.","Driving.Distance..Rank.","Driving.Dist....All.Drives.Tot..Dist..","Driving.Dist....All.Drives.Rank.","Drives.Over.300.Yards....of.Drives.","Driving.Acc....Fairways.Hit.","Driving.Acc....Possible.Fairways.","Driving.Accuracy.Rank","Total.Driving..Rank.","Left.Rough.Tendency.Total.Left.Rough.","Right.Rough.Tendency.Total.Right.Rough.","App..50.75.yds.ft.","App..50.75.yds.attempts.","App..75.100.yds.ft.","App..75.100.yds.attempts.","App..100.125.yds.ft.","App..100.125.yds.attempts.","App..50.125.Yards.ft.","App...50.125.Yards.attempts.","Approaches..125.150.Yards.ft.","Approaches...125.150.Yards.attempts.","Approaches...150.175.Yards.ft.","Approaches...150.175.Yards.attempts.","Approaches...175.200.Yards.ft.","Approaches...175.200.Yards.attempts.","Approaches....200.Yards.ft.","Approaches....200.Yards.attempts.","App..50.75.yds.ft....Rough","App..50.75.yds.attempts....Rough","App..75.100.yds.ft....Rough","App..75.100.yds.attempts....Rough","App..100.125.yds.ft....Rough","App..100.125.yds.attempts....Rough","Approaches.50.125.Yards.ft....Rough","Approaches.50.125.Yards.attempts....Rough","Approaches.125.150.Yards.ft....Rough","Approaches.125.150.Yards.attempts....Rough","Approaches.150.175.Yards.ft....Rough","Approaches.150.175.Yards.attempts....Rough","Approaches.175.200.Yards.ft....Rough","Approaches.175.200.Yards.attempts....Rough","Approaches..200.Yards.ft....Rough","Approaches....200.Yards.attempts....Rough","Total.Holes.Played","Total.Greens.in.Regulation","GIR.Rank","Total.Distance.ft..Prox.to.Hole","X..of.Attempts.Prox.to.Hole","Proximity.to.Hole..Rank.","Fairway.Prox.attempts.","Fairway.Prox.distance.in.ft.","Fairway.Prox..Rank.","Rough.Prox.attempts.","Rough.Prox.distance.in.ft.","Rough.Prox..Rank.","Left.Rough.Prox.attempts.","Left.Rough.Prox.distance.in.ft.","Right.Rough.Prox.attempts.","Right.Rough.Prox.distance.in.ft.","Going.for.Green.attempts.","Going.for.Green.non.attempts.","Going.for.the.Green.successes.","Scrambling.Par.or.Better","Scrambling.Missed.GIR","Scrambling..Rank.","Scrambling.Proximity..Total.Distance.","Scrambling.Proximity....of.shots.","Scrambling.Proximity..rank.","Scrambling.from.the.Rough.successes.","Scrambling.from.the.Rough.attempts.","Scrambling.from.the.Fringe.successes.","Scrambling.from.the.Fringe.attempts.","Scrambling....30.Yards.successes.","Scrambling....30.Yards.attempts.","Scrambling.20.30.Yards.successes.","Scrambling...20.30.Yards.attempts.","Scrambling.10.20.Yards.successes.","Scrambling.10.20.Yards.attempts.","Scrambling...10.Yards.successes.","Scrambling....10.Yards.attempts.","Sand.Save.....Saves.","Sand.Save.....Bunkers.","Sand.Save..Rank.","Prox.to.Hole.from.Sand.Total.Distance.","Prox.to.Hole.from.Sand...of.Shots.","Total.Hole.Outs","Longest.Hole.Out.yards.","Overall.Putting.Avg...of.Putts.","Putting.Avg.GIR.Putts.","One.Putt.....of.One.Putts.","X3.Putt.Avoid.Total.3.Putts.","Approach.Putt.Performance.attempts.","Approach.Putt.Performance.ft..","Avg.Distance.of.Putts.Made.Total.Distance.of.Putts.","Total.Rounds.Played","Putting.3..attempts.","Putting.3..putts.made.","Putting...4..attempts.","Putting.4..putts.made.","Putting.5..attempts.","Putting.5..putts.made.","Putting.6..attempts.","Putting.6..putts.made.","Putting.7..attempts.","Putting.7..putts.made.","Putting.8..attempts.","Putting.8..putts.made.","Putting.9..attempts.","Putting.9..putts.made.","Putting.10..attempts.","Putting.10..putts.made.","Putting.Inside.5...putts.made.","Putting.Inside.5...attempts.","Putting.Inside.5.Feet..Rank.","Putting.5....10...putts.made.","Putting.5....10...attempts.","Putting.5....10...Rank.","Putting.4..8..attempts.","Putting.4..8..putts.made.","Putting.4....8...Rank.","Putting.Inside.10..attempts.","Putting.Inside.10..putts.made.","Putting.Inside.10..rank.","Putting.10..15..attempts.","Putting...10..15..putts.made.","Putting.10..15..rank.","Putting.15.20..attempts.","Putting.15..20..putts.made.","Putting.15..20..rank.","Putting.20..25..attempts.","Putting.20..25..putts.made.","Putting.20..25..rank.","Putting..25..attempts.","Putting..25..putts.made.","Putting..25..rank.","Putting...10...putts.made.","Putting...10...attempts.","Putting...10...rank.","Total.Putts.Gained","Total.Rounds.Played.Putts.Gained.","Putts.Gained.Rank","TTL.SG.T2G","SG..T2G.Rank","TTL.SG.Total","SG..Total.Rank","OTT.SG.Avg.","OTT.SG.Rank","APP.SG.Avg.","APP.SG.Rank","ARG.SG.Avg.","ARG.SG.Rank","X","Birdie_Or_Better","Scrambling_Success","BirdieBogey_Rat","catFinalPositions","ddAvgScorePerRound"
"3591",1,3591,"R",2016,310,21,NA,0,29745,"Aldridge, Tyler","31 08 27","DEAN & DELUCA Invitational","Y ",44.5,"53,432.50",25," T25",69,27,70,33,71,45,67,25,0,0,0,0,67,277,4,25,-0.447,25,0,12,15,19,46,10,32,1,NA,11,33,14,52,313,300,2294,8,43,15494,24,8,31,56,39,48,9,9,21.083,1,47.083,2,129.167,7,197.333,10,163.167,10,260.167,10,440.75,13,"354.333",7,21.417,1,28.083,1,31.917,2,81.417,4,71.583,2,414.417,9,39.167,1,NA,NA,72,52,11,"2,216.75",72,28,50,"1,415.75",45,16,"606.583",23,10,322.667,6,"283.917",3,5,1,11,20,46,193.833,18,61,4,7,1,1,0,3,0,3,10,13,1,1,6,6,1,57.667,6,1,10,121,93,23,2,48,117.75,4104,4,39,39,7,7,7,7,4,3,2,1,6,3,0,0,2,0,53,53,1,14,7,49,19,14,27,67,60,34,17,6,30,7,3,5,7,1,29,23,1,41,11,54,19,2.064,4,27,0.384,37,3.447,25,0.384,21,0.225,35,-0.263,50,NA,15,0.55,1.36363636363636,"Top25",69.25
"3592",2,3592,"R",2016,310,21,NA,0,22371,"Baddeley, Aaron","35 02 12","DEAN & DELUCA Invitational","Y ",13,"15,008.00",55," T55",71,60,70,57,69,45,72,55,0,0,0,0,69,282,4,55,-0.447,55,0,12,13,38,45,13,59,1,NA,14,60,13,41,327,55,2430,8,7,15520,22,14,26,56,63,35,7,13,6.667,2,9,1,11.833,1,27.5,4,128.083,8,349.417,14,456.083,10,"555.25",9,32.917,1,85.75,2,101.917,2,220.583,5,96.083,4,439.917,7,43.083,1,193.25,3,72,41,67,"2,643.33",71,67,45,"1,516.33",65,20,"992.917",55,8,278.75,12,"714.167",5,3,2,20,31,23,207.917,26,32,7,14,1,1,7,11,4,6,3,6,6,7,7,10,23,57.75,10,1,11,110,74,35,3,36,77.667,3412,4,47,47,4,4,3,3,4,3,5,2,2,1,2,1,2,0,54,54,1,15,7,55,14,9,45,69,61,41,16,8,7,6,0,54,5,1,18,14,1,25,10,41,8,0.754,4,32,-0.756,58,-1.553,55,-0.756,65,-0.611,63,0.79,7,NA,13,0.645161290322581,0.928571428571429,"26th-CUTLINE",70.5
"3593",3,3593,"R",2016,310,21,NA,0,35545,"Barber, Blayne","26 05 04","DEAN & DELUCA Invitational","Y ",33.5,"32,411.25",34," T34",72,74,68,44,71,56,68,34,0,0,0,0,68,279,4,34,-0.447,34,0,12,13,38,47,12,53,NA,NA,12,43,12,47,313,300,2270,8,51,15086,52,3,29,56,50,60,11,13,19.167,2,25.417,2,158.5,7,203.083,11,70.333,5,490.167,21,256.5,9,"232.417",5,NA,NA,NA,NA,31.917,3,31.917,3,274.667,6,81.833,4,311.833,5,82.583,1,72,47,42,"2,107.83",72,14,51,"1,252.50",11,19,"782.833",39,11,302.917,8,"479.917",1,7,0,15,25,31,127.25,20,11,5,8,2,2,1,6,4,5,4,7,6,7,2,5,60,55.417,5,1,6,118,84,26,2,45,87,4208,4,46,46,8,7,3,1,3,3,5,3,2,0,1,0,2,0,57,54,62,13,6,56,13,7,62,70,60,59,13,4,36,13,4,20,3,2,1,19,1,33,11,48,9,-0.159,4,43,-0.738,35,1.447,34,-0.738,64,0.683,23,0.456,22,NA,13,0.6,1.08333333333333,"26th-CUTLINE",69.75
"3594",4,3594,"R",2016,310,21,NA,0,24846,"Barnes, Ricky","35 03 23","DEAN & DELUCA Invitational","Y ",27,"23,450.00",42," T42",68,18,71,33,68,24,73,42,0,0,0,0,68,280,4,42,-0.447,42,0,12,13,38,46,13,59,NA,NA,13,50,13,55,345,7,2268,8,54,14906,63,5,24,56,67,68,19,6,NA,0,71.25,3,80.25,4,151.5,7,302.25,11,249.5,12,368.667,12,"246.75",5,NA,NA,NA,NA,57.667,3,57.667,3,230.75,7,269.583,7,39.167,2,121.833,2,72,55,2,"2,253.92",72,37,47,"1,318.67",40,21,"719",6,15,523.5,6,"195.5",1,7,0,6,17,68,132.167,13,55,0,4,0,0,0,4,1,4,4,8,1,1,3,6,45,75.083,6,0,NA,126,99,20,2,52,94.167,3382,4,51,51,4,3,5,4,3,1,4,3,1,1,2,2,1,0,60,58,43,11,7,25,13,9,37,71,65,18,16,4,49,5,0,54,7,0,44,27,3,11,7,55,57,-0.596,4,49,-0.553,40,0.447,42,-0.553,61,1.034,10,-0.22,46,NA,13,0.352941176470588,1,"26th-CUTLINE",70
"3595",5,3595,"R",2016,310,21,NA,0,40058,"Blair, Zac","25 09 09","DEAN & DELUCA Invitational","Y ",0,"",999," CUT",69,27,73,71,0,0,0,0,0,0,0,0,69,142,2,999,-0.862,999,0,999,6,999,22,8,999,NA,NA,8,999,6,22,302,770,1095,4,999,7523,999,1,14,28,999,999,6,4,3.5,1,7.667,1,150.417,3,161.583,5,166,6,199.917,6,123.833,4,"82.417",3,NA,NA,NA,NA,NA,NA,NA,NA,30,2,154.417,2,219.833,3,29.583,1,36,22,999,"1,305.17",36,999,24,"733.75",999,8,"433.833",999,4,212.583,4,"221.25",1,3,1,6,14,999,160.5,13,999,2,5,0,0,2,4,2,3,1,4,1,3,1,4,999,22.25,3,0,NA,60,39,12,0,24,51,1600,2,21,21,5,5,4,4,1,1,3,2,3,1,0,0,2,0,30,30,999,9,4,999,11,8,999,39,34,999,4,0,999,1,1,999,3,1,999,13,0,999,2,21,999,0.311,2,999,0.327,999,-1.138,999,0.327,999,0.004,999,-1.056,999,NA,6,0.428571428571429,0.75,"MC",71
"3596",6,3596,"R",2016,310,21,NA,0,27895,"Blixt, Jonas","32 01 05","DEAN & DELUCA Invitational","Y ",13,"15,008.00",55," T55",67,9,69,15,75,56,71,55,0,0,0,0,67,282,4,55,-0.447,55,0,12,11,58,52,6,5,2,1,9,14,9,41,333,28,2313,8,39,15258,37,8,29,56,50,53,12,10,13.333,1,29.5,2,86.833,5,129.667,8,168.083,7,401.583,16,300.25,10,"327.833",7,NA,NA,33.75,1,107.417,2,141.167,3,97.167,3,277.083,7,127.917,2,383.25,4,72,41,67,"2,809.75",72,69,48,"1,327.42",37,19,"1,026.58",65,10,569.333,9,"457.25",2,6,1,23,31,6,305.583,28,62,10,11,4,4,1,7,2,4,14,14,6,6,5,5,1,45.667,5,2,13,112,75,29,1,41,99.167,3460,4,42,42,10,9,5,4,6,3,4,3,1,1,3,0,2,1,57,55,49,16,8,49,16,11,41,73,63,57,9,4,18,7,1,41,6,1,23,17,1,29,7,39,32,-0.701,4,51,-0.35,52,-1.553,55,-0.35,48,-0.593,62,0.73,10,NA,11,0.741935483870968,1.22222222222222,"26th-CUTLINE",70.5
"3597",7,3597,"R",2016,310,21,NA,0,24507,"Bohn, Jason","43 01 05","DEAN & DELUCA Invitational","Y ",33.5,"32,411.25",34," T34",68,18,72,44,70,45,69,34,0,0,0,0,68,279,4,34,-0.447,34,0,12,18,10,40,11,43,3,NA,14,60,17,42,297,999,2229,8,62,14670,69,0,33,56,29,56,8,8,NA,0,NA,0,95.5,6,95.5,6,238.583,14,425.25,17,225,11,"266.75",6,NA,NA,32,1,NA,NA,32,1,95.083,2,148.25,2,372.917,6,336.25,5,72,42,66,"2,252.17",71,44,54,"1,251.08",4,16,"984.5",70,7,360.25,9,"624.25",1,7,0,16,30,55,251.25,26,49,3,7,2,2,0,6,2,5,9,11,5,7,8,12,24,90.25,10,2,27,105,67,35,0,35,65.167,3765,4,38,38,6,5,8,8,4,4,1,1,3,3,3,1,5,3,52,51,36,16,12,11,16,16,1,68,63,12,10,3,39,9,2,26,10,2,18,8,0,42,7,37,27,4.898,4,11,-1.249,64,1.447,34,-1.249,69,0.536,24,-0.15,44,NA,18,0.533333333333333,1.28571428571429,"26th-CUTLINE",69.75
"3598",8,3598,"R",2016,310,21,NA,0,25274,"Bowditch, Steven","32 11 21","DEAN & DELUCA Invitational","Y ",48,"69,680.00",22," T22",69,27,68,20,71,31,68,22,0,0,0,0,68,276,4,22,-0.447,22,0,12,14,28,49,8,17,1,NA,9,14,14,44,344,8,2445,8,5,15754,12,14,20,56,70,43,16,16,NA,0,36,2,153.333,7,189.333,9,73,4,251.5,8,237.25,8,"575.667",8,29.167,1,41.833,1,190.083,6,261.083,8,281.5,6,301.5,8,99.75,2,229.917,4,72,44,60,"2,774.17",71,70,37,"1,326.75",70,29,"1,181.50",35,15,593.667,14,"587.833",3,5,2,21,28,5,120.167,24,3,12,16,1,2,3,6,6,7,8,9,4,5,6,7,5,30.833,7,0,NA,111,78,35,2,37,91.75,4478,4,41,41,7,6,6,5,5,5,3,1,4,2,6,4,0,0,54,52,54,18,12,18,18,13,33,72,64,35,10,3,39,1,0,54,8,3,8,20,2,14,8,39,16,4.555,4,15,-0.164,46,4.447,22,-0.164,42,-1.151,69,1.288,1,NA,14,0.75,1.55555555555556,"Top25",69
"3599",9,3599,"R",2016,310,21,NA,0,33141,"Bradley, Keegan","29 11 22","DEAN & DELUCA Invitational","Y ",0,"",999," CUT",72,74,72,94,0,0,0,0,0,0,0,0,72,144,2,999,-0.862,999,0,999,5,999,22,9,999,NA,NA,9,999,4,23,315,231,1132,4,999,7562,999,5,16,28,999,999,5,5,9.75,1,10.167,1,5.417,1,25.333,3,16.167,2,280.667,9,133.083,7,"188.5",4,40.5,1,30.333,1,41,1,111.833,3,123,3,16.833,1,149.417,3,NA,NA,36,23,999,"1,075.08",36,999,25,"643.75",999,10,"401.083",999,7,279.833,3,"121.25",1,3,1,4,13,999,84.25,11,999,1,4,0,0,0,2,0,3,4,8,0,0,0,4,999,40.25,4,1,10,63,43,7,0,28,53.417,1064,2,26,26,3,3,2,2,3,2,1,0,1,1,5,0,2,1,31,31,999,12,4,999,7,5,999,43,35,999,5,0,999,6,0,999,0,0,NA,9,0,999,NA,20,999,-4.675,2,999,-0.273,999,-3.138,999,-0.273,999,0.706,999,0.336,999,NA,5,0.307692307692308,0.555555555555556,"MC",72
"3600",10,3600,"R",2016,310,21,NA,0,29479,"Brown, Scott","33 00 07","DEAN & DELUCA Invitational","Y ",0,"",999," CUT",76,116,71,109,0,0,0,0,0,0,0,0,71,147,2,999,-0.862,999,0,999,4,999,24,6,999,1,1,8,999,4,21,316,208,1192,4,999,7717,999,8,14,28,999,999,4,6,NA,0,9.5,1,54.667,2,64.167,3,70.833,3,151.917,8,87.167,4,"118.167",3,183.167,3,20.083,2,NA,NA,203.25,5,16.083,1,75.25,2,47.083,1,71.333,1,36,21,999,"1,101.92",35,999,21,"492.25",999,10,"413",999,4,100.5,6,"312.5",0,4,0,9,15,999,96.667,13,999,3,4,1,1,0,1,1,3,3,5,5,5,5,5,999,36.333,5,0,NA,61,40,13,2,23,39.333,1627,2,20,20,6,4,3,3,3,3,2,1,1,0,1,1,3,0,29,27,999,10,5,999,9,7,999,39,32,999,5,3,999,6,1,999,5,0,999,5,0,999,4,21,999,-1.791,2,999,0.106,999,-6.138,999,0.106,999,-2.129,999,-0.15,999,NA,4,0.6,0.5,"MC",73.5
