"","tmID","X.1","Tour","Tournament.Year","Tournament.Number","Permanent.Tournament.Number","Team.ID","Team.Number","Player.Number","Player.Name","Player.Age..years..months.days.","Event.Name","Official.Event.Y.N.","FedExCup.Points","Money","Finish.Position.numeric.","Finish.Position.text.","Round.1.Score","Round.1.Pos","Round.2.Score","Round.2.Pos","Round.3.Score","Round.3.Pos","Round.4.Score","Round.4.Pos","Round.5.Score","Round.5.Pos","Round.6.Score","Round.6.Pos","Lowest.Round","Total.Strokes","Total.Rounds.","Stroke.Average..Rank.","Scoring.Avg.Total.Adjustment.","Scoring.Avg.Total.Adjustment...Rank.","Eagles","Eagles..Rank.","Birdies","Birdies..Rank.","Pars","Bogeys","Bogeys..Rank.","Doubles","Others","Total.Holes.Over.Par","Bogey.Avoidance.Rank","Birdie.or.Better.Conv.....Birdies.","Birdie.or.Better.Conv.....Greens.Hit.","Longest.Drive","Longest.Drive..Rank.","Driving.Distance.Total.Distance.","Driving.Distance.Total.Drives.","Driving.Distance..Rank.","Driving.Dist....All.Drives.Tot..Dist..","Driving.Dist....All.Drives.Rank.","Drives.Over.300.Yards....of.Drives.","Driving.Acc....Fairways.Hit.","Driving.Acc....Possible.Fairways.","Driving.Accuracy.Rank","Total.Driving..Rank.","Left.Rough.Tendency.Total.Left.Rough.","Right.Rough.Tendency.Total.Right.Rough.","App..50.75.yds.ft.","App..50.75.yds.attempts.","App..75.100.yds.ft.","App..75.100.yds.attempts.","App..100.125.yds.ft.","App..100.125.yds.attempts.","App..50.125.Yards.ft.","App...50.125.Yards.attempts.","Approaches..125.150.Yards.ft.","Approaches...125.150.Yards.attempts.","Approaches...150.175.Yards.ft.","Approaches...150.175.Yards.attempts.","Approaches...175.200.Yards.ft.","Approaches...175.200.Yards.attempts.","Approaches....200.Yards.ft.","Approaches....200.Yards.attempts.","App..50.75.yds.ft....Rough","App..50.75.yds.attempts....Rough","App..75.100.yds.ft....Rough","App..75.100.yds.attempts....Rough","App..100.125.yds.ft....Rough","App..100.125.yds.attempts....Rough","Approaches.50.125.Yards.ft....Rough","Approaches.50.125.Yards.attempts....Rough","Approaches.125.150.Yards.ft....Rough","Approaches.125.150.Yards.attempts....Rough","Approaches.150.175.Yards.ft....Rough","Approaches.150.175.Yards.attempts....Rough","Approaches.175.200.Yards.ft....Rough","Approaches.175.200.Yards.attempts....Rough","Approaches..200.Yards.ft....Rough","Approaches....200.Yards.attempts....Rough","Total.Holes.Played","Total.Greens.in.Regulation","GIR.Rank","Total.Distance.ft..Prox.to.Hole","X..of.Attempts.Prox.to.Hole","Proximity.to.Hole..Rank.","Fairway.Prox.attempts.","Fairway.Prox.distance.in.ft.","Fairway.Prox..Rank.","Rough.Prox.attempts.","Rough.Prox.distance.in.ft.","Rough.Prox..Rank.","Left.Rough.Prox.attempts.","Left.Rough.Prox.distance.in.ft.","Right.Rough.Prox.attempts.","Right.Rough.Prox.distance.in.ft.","Going.for.Green.attempts.","Going.for.Green.non.attempts.","Going.for.the.Green.successes.","Scrambling.Par.or.Better","Scrambling.Missed.GIR","Scrambling..Rank.","Scrambling.Proximity..Total.Distance.","Scrambling.Proximity....of.shots.","Scrambling.Proximity..rank.","Scrambling.from.the.Rough.successes.","Scrambling.from.the.Rough.attempts.","Scrambling.from.the.Fringe.successes.","Scrambling.from.the.Fringe.attempts.","Scrambling....30.Yards.successes.","Scrambling....30.Yards.attempts.","Scrambling.20.30.Yards.successes.","Scrambling...20.30.Yards.attempts.","Scrambling.10.20.Yards.successes.","Scrambling.10.20.Yards.attempts.","Scrambling...10.Yards.successes.","Scrambling....10.Yards.attempts.","Sand.Save.....Saves.","Sand.Save.....Bunkers.","Sand.Save..Rank.","Prox.to.Hole.from.Sand.Total.Distance.","Prox.to.Hole.from.Sand...of.Shots.","Total.Hole.Outs","Longest.Hole.Out.yards.","Overall.Putting.Avg...of.Putts.","Putting.Avg.GIR.Putts.","One.Putt.....of.One.Putts.","X3.Putt.Avoid.Total.3.Putts.","Approach.Putt.Performance.attempts.","Approach.Putt.Performance.ft..","Avg.Distance.of.Putts.Made.Total.Distance.of.Putts.","Total.Rounds.Played","Putting.3..attempts.","Putting.3..putts.made.","Putting...4..attempts.","Putting.4..putts.made.","Putting.5..attempts.","Putting.5..putts.made.","Putting.6..attempts.","Putting.6..putts.made.","Putting.7..attempts.","Putting.7..putts.made.","Putting.8..attempts.","Putting.8..putts.made.","Putting.9..attempts.","Putting.9..putts.made.","Putting.10..attempts.","Putting.10..putts.made.","Putting.Inside.5...putts.made.","Putting.Inside.5...attempts.","Putting.Inside.5.Feet..Rank.","Putting.5....10...putts.made.","Putting.5....10...attempts.","Putting.5....10...Rank.","Putting.4..8..attempts.","Putting.4..8..putts.made.","Putting.4....8...Rank.","Putting.Inside.10..attempts.","Putting.Inside.10..putts.made.","Putting.Inside.10..rank.","Putting.10..15..attempts.","Putting...10..15..putts.made.","Putting.10..15..rank.","Putting.15.20..attempts.","Putting.15..20..putts.made.","Putting.15..20..rank.","Putting.20..25..attempts.","Putting.20..25..putts.made.","Putting.20..25..rank.","Putting..25..attempts.","Putting..25..putts.made.","Putting..25..rank.","Putting...10...putts.made.","Putting...10...attempts.","Putting...10...rank.","Total.Putts.Gained","Total.Rounds.Played.Putts.Gained.","Putts.Gained.Rank","TTL.SG.T2G","SG..T2G.Rank","TTL.SG.Total","SG..Total.Rank","OTT.SG.Avg.","OTT.SG.Rank","APP.SG.Avg.","APP.SG.Rank","ARG.SG.Avg.","ARG.SG.Rank","X","Birdie_Or_Better","Scrambling_Success","BirdieBogey_Rat","catFinalPositions","tmAvgScorePerRound"
"3712",1,3712,"R",2016,320,23,NA,0,24461,"Aiken, Thomas","32 10 20","the Memorial Tournament presented by Nationwide","Y ",0,"",999," CUT",72,80,71,76,0,0,0,0,0,0,0,0,71,143,2,999,2.404,999,0,999,9,999,20,6,999,1,NA,7,999,9,26,329,165,1152,4,999,7794,999,7,20,28,999,999,3,5,NA,0,31.083,2,60.25,4,91.333,6,213.167,7,34.583,3,265.583,10,"236.167",5,NA,NA,NA,NA,NA,NA,NA,NA,165.917,3,NA,NA,123.417,1,17.75,1,36,26,999,"1,147.92",36,999,31,"840.833",999,5,"307.083",999,3,184.167,2,"122.917",3,5,0,4,10,999,117.583,10,999,0,2,1,2,1,1,0,2,2,3,1,4,1,3,999,48.5,3,0,NA,59,44,14,1,22,67.833,1927,2,26,26,2,1,2,1,2,2,1,1,3,2,1,0,1,0,30,28,999,8,5,999,8,6,999,38,33,999,5,1,999,6,1,999,1,0,999,9,1,999,3,21,999,-1.282,2,999,-0.055,999,-1.402,999,-0.055,999,0.828,999,-0.832,999,NA,9,0.4,1.28571428571429,"MC",71.5
"3713",2,3713,"R",2016,320,23,NA,0,33948,"An, Byeong Hun","24 08 19","the Memorial Tournament presented by Nationwide","Y ",0,"158,666.67",11," T11",71,58,70,53,69,46,67,11,0,0,0,0,67,277,4,11,3.831,11,0,27,22,11,40,9,26,1,NA,10,24,21,50,350,18,2427,8,11,16137,22,21,32,56,66,43,2,15,2.833,1,67.167,4,107.167,7,177.167,12,138.167,9,310.583,13,342.833,11,"533.583",10,NA,NA,NA,NA,NA,NA,NA,NA,125.75,3,85.833,3,150.25,3,318,4,72,50,27,"2,295.00",72,59,55,"1,502.33",41,13,"679.833",66,3,161.667,10,"518.167",9,7,2,12,22,49,104.25,19,3,5,11,2,2,1,4,0,0,6,11,5,7,5,10,40,73.333,9,1,7,109,81,34,1,37,76.583,4336,4,42,42,5,5,4,2,3,3,4,2,6,2,5,3,0,0,51,49,59,18,10,42,17,9,72,69,59,55,12,7,3,7,2,21,7,1,32,14,2,7,12,40,2,4.738,4,10,0.004,34,7.172,11,0.004,45,0.225,40,0.379,27,NA,22,0.545454545454545,2.2,"Top25",69.25
"3714",3,3714,"R",2016,320,23,NA,0,20098,"Appleby, Stuart","45 01 04","the Memorial Tournament presented by Nationwide","Y ",0,"",999," CUT",70,44,77,103,0,0,0,0,0,0,0,0,70,147,2,999,2.404,999,1,999,5,999,20,10,999,NA,NA,10,999,4,18,309,790,1107,4,999,7863,999,3,23,28,999,999,1,4,4.25,1,105.917,4,48.583,3,158.75,8,36.25,2,161.5,8,441.667,9,"287.583",4,NA,NA,23.75,1,32.75,1,56.5,2,74.417,1,40.167,1,18.333,1,NA,NA,36,19,999,"1,275.17",36,999,31,"1,085.75",999,5,"189.417",999,2,56.5,3,"132.917",2,6,0,8,17,999,158.583,16,999,5,11,1,1,0,2,0,2,4,9,4,4,4,6,999,29.75,6,2,27,56,33,13,1,21,51.667,1261,2,22,22,5,5,3,1,2,1,3,2,3,1,0,0,3,1,30,28,999,11,5,999,11,5,999,41,33,999,5,1,999,2,0,999,3,0,999,5,0,999,1,15,999,-4.116,2,999,0.519,999,-5.402,999,0.519,999,-2.953,999,1.791,999,NA,6,0.470588235294118,0.6,"MC",73.5
"3715",4,3715,"R",2016,320,23,NA,0,22371,"Baddeley, Aaron","35 02 19","the Memorial Tournament presented by Nationwide","Y ",0,"",999," CUT",71,58,73,88,0,0,0,0,0,0,0,0,71,144,2,999,2.404,999,1,999,7,999,21,5,999,2,NA,7,999,8,22,316,454,1166,4,999,7819,999,5,20,28,999,999,2,4,NA,0,5.417,1,74.667,3,80.083,4,32.667,2,170.5,6,516.5,13,"294.25",5,NA,NA,21.083,1,8.583,1,29.667,2,41.167,1,NA,NA,NA,NA,54.917,1,36,22,999,"1,315.00",36,999,30,"1,094.00",999,4,"125.75",999,1,8.583,3,"117.167",5,3,4,8,14,999,126.583,11,999,5,6,2,2,0,4,1,1,4,6,3,3,1,3,999,40.333,2,0,NA,57,40,16,1,20,65.583,2059,2,16,16,8,8,0,0,5,4,2,1,0,0,2,1,1,1,24,24,999,10,7,999,7,5,999,34,31,999,6,4,999,2,0,999,4,1,999,11,0,999,5,23,999,2.672,2,999,-1.392,999,-2.402,999,-1.392,999,-0.979,999,-0.165,999,NA,8,0.571428571428571,1.14285714285714,"MC",72
"3716",5,3716,"R",2016,320,23,NA,0,24846,"Barnes, Ricky","35 03 30","the Memorial Tournament presented by Nationwide","Y ",0,"",999," CUT",71,58,73,88,0,0,0,0,0,0,0,0,71,144,2,999,2.404,999,0,999,11,999,14,11,999,NA,NA,11,999,11,23,318,398,1057,4,999,7513,999,2,18,28,999,999,4,4,NA,0,46.833,3,46.917,4,93.75,7,46.417,3,95.167,6,377.5,11,"119.083",2,NA,NA,NA,NA,8.5,1,8.5,1,NA,NA,40.417,1,75.667,1,37.667,1,36,23,999,"894.167",33,999,29,"731.917",999,4,"162.25",999,4,162.25,0,"",2,6,0,4,13,999,113.667,8,999,1,3,1,1,1,3,0,2,1,2,2,3,1,4,999,49.583,4,0,NA,53,37,17,2,17,35,2078,2,20,19,0,0,2,2,4,3,3,2,1,0,2,2,3,1,22,21,999,13,8,999,10,7,999,35,29,999,6,1,999,5,3,999,4,1,999,3,0,999,5,18,999,1.25,2,999,-0.677,999,-2.402,999,-0.677,999,-1.418,999,0.27,999,NA,11,0.307692307692308,1,"MC",72
"3717",6,3717,"R",2016,320,23,NA,0,40026,"Berger, Daniel","23 01 29","the Memorial Tournament presented by Nationwide","Y ",4,"17,510.00",67,"67",69,29,73,62,76,72,71,67,0,0,0,0,69,289,4,67,3.831,67,0,27,15,59,44,11,48,1,1,13,52,12,43,334,109,2412,8,13,16095,29,23,28,56,73,52,6,18,NA,0,12.333,2,158,6,170.333,8,303.417,10,231.75,12,334,11,"514.75",12,NA,NA,NA,NA,28.083,1,28.083,1,205.417,5,228.667,5,202.083,5,87.333,1,72,43,68,"2,463.50",71,72,53,"1,554.25",60,17,"751.583",44,3,157.417,14,"594.167",9,7,2,17,29,39,386.167,25,75,8,15,4,4,2,5,1,3,9,15,5,6,6,10,26,71.667,8,3,22,111,77,28,1,41,108.917,4063,4,31,31,11,11,10,9,3,1,4,3,4,2,6,2,3,2,52,51,34,20,10,54,21,15,33,72,61,63,9,3,26,9,3,14,6,1,26,15,1,36,8,39,23,1.992,4,27,-0.922,74,-4.828,67,-0.922,72,-0.105,56,-0.678,69,NA,15,0.586206896551724,1.15384615384615,"26th-CUTLINE",72.25
"3718",7,3718,"R",2016,320,23,NA,0,40058,"Blair, Zac","25 09 16","the Memorial Tournament presented by Nationwide","Y ",41.5,"59,075.00",27," T27",69,29,67,9,68,8,75,27,0,0,0,0,67,279,4,27,3.831,27,0,27,18,33,45,9,26,NA,NA,9,19,17,41,302,999,2158,8,75,15401,69,2,44,56,8,48,2,6,NA,0,173.333,7,78,6,251.333,13,142.5,8,417.75,13,588,20,"708.333",11,NA,NA,NA,NA,38.417,1,38.417,1,NA,NA,19.833,1,248.167,4,NA,NA,72,41,73,"2,424.25",72,70,65,"2,107.92",72,6,"306.417",63,2,94.417,4,"212",7,9,2,22,31,9,219.917,30,28,7,8,6,7,0,1,2,3,10,17,10,10,7,15,52,128.5,13,0,NA,105,67,37,0,34,76,3878,4,42,42,7,7,4,4,4,3,5,4,1,1,5,3,4,1,53,53,1,19,12,26,14,12,8,72,65,19,9,3,26,10,2,34,4,0,42,10,1,17,6,33,38,3.932,4,15,0.118,42,5.172,27,0.118,39,-0.475,62,0.667,12,NA,18,0.709677419354839,2,"26th-CUTLINE",69.75
"3719",8,3719,"R",2016,320,23,NA,0,27895,"Blixt, Jonas","32 01 12","the Memorial Tournament presented by Nationwide","Y ",24.5,"25,500.00",46," T46",71,58,69,43,69,35,73,46,0,0,0,0,69,282,4,46,3.831,46,0,27,16,50,48,6,7,2,NA,8,10,16,45,329,165,2295,8,45,15901,45,16,40,56,27,35,4,5,NA,0,6,1,104.5,6,110.5,7,329.417,12,335.667,14,372.667,15,"513.583",10,NA,NA,NA,NA,NA,NA,NA,NA,32.25,1,234.417,3,36.25,1,263.25,3,72,45,57,"2,519.75",70,75,58,"1,661.83",51,8,"566.167",74,4,231,4,"335.167",11,5,0,19,27,10,222,23,55,9,11,3,3,2,4,2,2,8,12,7,8,8,14,30,115.833,12,0,NA,107,74,37,0,35,84,4005,4,37,37,17,16,2,2,5,4,5,3,1,1,5,1,2,1,56,55,21,18,10,42,13,10,24,74,65,37,6,3,8,6,1,42,8,2,9,13,1,27,7,33,21,3.305,4,21,-0.162,59,2.172,46,-0.162,54,-0.491,63,0.37,29,NA,16,0.703703703703704,2,"26th-CUTLINE",70.5
"3720",9,3720,"R",2016,320,23,NA,0,24507,"Bohn, Jason","43 01 12","the Memorial Tournament presented by Nationwide","Y ",9,"18,360.00",61," T61",67,8,71,22,71,35,77,61,0,0,0,0,67,286,4,61,3.831,61,0,27,17,40,44,7,9,4,NA,11,36,14,45,310,733,2163,8,74,15318,71,5,43,56,10,50,5,5,4.583,1,42.25,4,105,8,151.833,13,171.083,10,518.75,16,575.833,17,"222.917",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.333,3,91.583,2,11,1,72,45,57,"2,085.17",71,30,62,"1,640.42",28,6,"260.917",42,5,241.083,1,"19.833",4,12,0,16,27,36,217.583,25,41,7,9,5,5,0,1,3,6,5,9,8,10,3,9,64,36.167,6,1,18,109,76,29,0,40,84.417,3353,4,36,36,7,6,10,9,6,4,10,5,2,1,1,1,1,0,53,51,55,20,11,48,28,19,50,73,62,62,11,5,15,10,2,34,5,0,42,10,0,45,7,36,29,0.016,4,47,-0.237,62,-1.828,61,-0.237,58,-0.5,64,0.276,34,NA,17,0.592592592592593,1.54545454545455,"26th-CUTLINE",71.5
"3721",10,3721,"R",2016,320,23,NA,0,25274,"Bowditch, Steven","32 11 28","the Memorial Tournament presented by Nationwide","Y ",0,"",999," CUT",77,117,78,118,0,0,0,0,0,0,0,0,77,155,2,999,2.404,999,1,999,7,999,14,9,999,4,1,14,999,7,16,319,366,1222,4,999,7814,999,9,8,28,999,999,4,11,NA,0,NA,0,144.833,5,144.833,5,26.417,5,57.917,3,187.333,4,"364.833",5,NA,NA,NA,NA,42.167,1,42.167,1,158.333,3,97.667,2,288.75,5,101.417,1,36,17,999,"1,490.92",35,999,22,"781.333",999,12,"688.333",999,3,131.417,9,"556.917",4,4,0,5,19,999,240.167,14,999,1,6,1,1,0,6,2,5,1,5,2,2,3,6,999,44.833,5,1,21,55,25,16,1,19,55.333,1511,2,19,19,9,7,2,2,5,4,1,0,1,1,0,0,4,1,30,28,999,11,6,999,9,7,999,41,34,999,3,0,999,4,1,999,2,0,999,5,0,999,1,14,999,-2.791,2,999,-3.281,999,-13.402,999,-3.281,999,-1.544,999,-0.479,999,NA,8,0.263157894736842,0.571428571428571,"MC",77.5
