"","pbID","X.1","Tour","Tournament.Year","Tournament.Number","Permanent.Tournament.Number","Team.ID","Team.Number","Player.Number","Player.Name","Player.Age..years..months.days.","Event.Name","Official.Event.Y.N.","FedExCup.Points","Money","Finish.Position.numeric.","Finish.Position.text.","Round.1.Score","Round.1.Pos","Round.2.Score","Round.2.Pos","Round.3.Score","Round.3.Pos","Round.4.Score","Round.4.Pos","Round.5.Score","Round.5.Pos","Round.6.Score","Round.6.Pos","Lowest.Round","Total.Strokes","Total.Rounds.","Stroke.Average..Rank.","Scoring.Avg.Total.Adjustment.","Scoring.Avg.Total.Adjustment...Rank.","Eagles","Eagles..Rank.","Birdies","Birdies..Rank.","Pars","Bogeys","Bogeys..Rank.","Doubles","Others","Total.Holes.Over.Par","Bogey.Avoidance.Rank","Birdie.or.Better.Conv.....Birdies.","Birdie.or.Better.Conv.....Greens.Hit.","Longest.Drive","Longest.Drive..Rank.","Driving.Distance.Total.Distance.","Driving.Distance.Total.Drives.","Driving.Distance..Rank.","Driving.Dist....All.Drives.Tot..Dist..","Driving.Dist....All.Drives.Rank.","Drives.Over.300.Yards....of.Drives.","Driving.Acc....Fairways.Hit.","Driving.Acc....Possible.Fairways.","Driving.Accuracy.Rank","Total.Driving..Rank.","Left.Rough.Tendency.Total.Left.Rough.","Right.Rough.Tendency.Total.Right.Rough.","App..50.75.yds.ft.","App..50.75.yds.attempts.","App..75.100.yds.ft.","App..75.100.yds.attempts.","App..100.125.yds.ft.","App..100.125.yds.attempts.","App..50.125.Yards.ft.","App...50.125.Yards.attempts.","Approaches..125.150.Yards.ft.","Approaches...125.150.Yards.attempts.","Approaches...150.175.Yards.ft.","Approaches...150.175.Yards.attempts.","Approaches...175.200.Yards.ft.","Approaches...175.200.Yards.attempts.","Approaches....200.Yards.ft.","Approaches....200.Yards.attempts.","App..50.75.yds.ft....Rough","App..50.75.yds.attempts....Rough","App..75.100.yds.ft....Rough","App..75.100.yds.attempts....Rough","App..100.125.yds.ft....Rough","App..100.125.yds.attempts....Rough","Approaches.50.125.Yards.ft....Rough","Approaches.50.125.Yards.attempts....Rough","Approaches.125.150.Yards.ft....Rough","Approaches.125.150.Yards.attempts....Rough","Approaches.150.175.Yards.ft....Rough","Approaches.150.175.Yards.attempts....Rough","Approaches.175.200.Yards.ft....Rough","Approaches.175.200.Yards.attempts....Rough","Approaches..200.Yards.ft....Rough","Approaches....200.Yards.attempts....Rough","Total.Holes.Played","Total.Greens.in.Regulation","GIR.Rank","Total.Distance.ft..Prox.to.Hole","X..of.Attempts.Prox.to.Hole","Proximity.to.Hole..Rank.","Fairway.Prox.attempts.","Fairway.Prox.distance.in.ft.","Fairway.Prox..Rank.","Rough.Prox.attempts.","Rough.Prox.distance.in.ft.","Rough.Prox..Rank.","Left.Rough.Prox.attempts.","Left.Rough.Prox.distance.in.ft.","Right.Rough.Prox.attempts.","Right.Rough.Prox.distance.in.ft.","Going.for.Green.attempts.","Going.for.Green.non.attempts.","Going.for.the.Green.successes.","Scrambling.Par.or.Better","Scrambling.Missed.GIR","Scrambling..Rank.","Scrambling.Proximity..Total.Distance.","Scrambling.Proximity....of.shots.","Scrambling.Proximity..rank.","Scrambling.from.the.Rough.successes.","Scrambling.from.the.Rough.attempts.","Scrambling.from.the.Fringe.successes.","Scrambling.from.the.Fringe.attempts.","Scrambling....30.Yards.successes.","Scrambling....30.Yards.attempts.","Scrambling.20.30.Yards.successes.","Scrambling...20.30.Yards.attempts.","Scrambling.10.20.Yards.successes.","Scrambling.10.20.Yards.attempts.","Scrambling...10.Yards.successes.","Scrambling....10.Yards.attempts.","Sand.Save.....Saves.","Sand.Save.....Bunkers.","Sand.Save..Rank.","Prox.to.Hole.from.Sand.Total.Distance.","Prox.to.Hole.from.Sand...of.Shots.","Total.Hole.Outs","Longest.Hole.Out.yards.","Overall.Putting.Avg...of.Putts.","Putting.Avg.GIR.Putts.","One.Putt.....of.One.Putts.","X3.Putt.Avoid.Total.3.Putts.","Approach.Putt.Performance.attempts.","Approach.Putt.Performance.ft..","Avg.Distance.of.Putts.Made.Total.Distance.of.Putts.","Total.Rounds.Played","Putting.3..attempts.","Putting.3..putts.made.","Putting...4..attempts.","Putting.4..putts.made.","Putting.5..attempts.","Putting.5..putts.made.","Putting.6..attempts.","Putting.6..putts.made.","Putting.7..attempts.","Putting.7..putts.made.","Putting.8..attempts.","Putting.8..putts.made.","Putting.9..attempts.","Putting.9..putts.made.","Putting.10..attempts.","Putting.10..putts.made.","Putting.Inside.5...putts.made.","Putting.Inside.5...attempts.","Putting.Inside.5.Feet..Rank.","Putting.5....10...putts.made.","Putting.5....10...attempts.","Putting.5....10...Rank.","Putting.4..8..attempts.","Putting.4..8..putts.made.","Putting.4....8...Rank.","Putting.Inside.10..attempts.","Putting.Inside.10..putts.made.","Putting.Inside.10..rank.","Putting.10..15..attempts.","Putting...10..15..putts.made.","Putting.10..15..rank.","Putting.15.20..attempts.","Putting.15..20..putts.made.","Putting.15..20..rank.","Putting.20..25..attempts.","Putting.20..25..putts.made.","Putting.20..25..rank.","Putting..25..attempts.","Putting..25..putts.made.","Putting..25..rank.","Putting...10...putts.made.","Putting...10...attempts.","Putting...10...rank.","Total.Putts.Gained","Total.Rounds.Played.Putts.Gained.","Putts.Gained.Rank","TTL.SG.T2G","SG..T2G.Rank","TTL.SG.Total","SG..Total.Rank","OTT.SG.Avg.","OTT.SG.Rank","APP.SG.Avg.","APP.SG.Rank","ARG.SG.Avg.","ARG.SG.Rank","X","Birdie_Or_Better","Scrambling_Success","BirdieBogey_Rat","catFinalPositions"
"1485",1,1485,"R",2016,150,5,NA,0,29910,"Adams, Blake","40 05 18","AT&T Pebble Beach Pro-Am","Y ",0,"",999," CUT",71,82,71,59,78,120,0,0,0,0,0,0,71,220,3,999,-0.175,999,0,999,8,999,35,9,999,2,NA,11,999,6,27,330,99,1690,6,999,3708,999,2,29,41,999,999,0,1,NA,0,47.083,2,55,4,102.083,6,55,2,162.083,3,13.333,1,"121",3,NA,NA,NA,NA,NA,NA,NA,NA,40.917,1,NA,NA,NA,NA,NA,NA,54,27,999,"640.333",18,999,15,"453.5",999,1,"40.917",999,0,NA,1,"40.917",2,2,0,17,27,999,32.833,8,999,6,11,4,4,1,1,1,2,1,3,3,3,3,5,999,7.5,2,1,13,84,49,21,1,9,17.5,786,1,9,9,4,4,2,2,0,0,1,0,2,0,0,0,0,0,15,15,999,3,NA,999,5,2,999,18,15,999,3,1,999,1,1,999,2,0,999,2,0,999,2,8,999,0.239,1,999,-0.561,999,2,999,-0.561,999,0.618,999,1.704,999,NA,8,0.62962962962963,0.727272727272727,"MC"
"1486",2,1486,"R",2016,150,5,NA,0,27796,"Affrunti, Joe","34 06 13","AT&T Pebble Beach Pro-Am","Y ",0,"",999," CUT",81,156,79,155,88,156,0,0,0,0,0,0,79,248,3,999,-0.577,999,0,999,4,999,22,21,999,6,1,28,999,3,23,324,141,1696,6,999,3823,999,4,29,41,999,999,2,1,NA,0,32.25,1,157.417,5,189.667,6,18.083,1,31.083,1,43.333,1,"235.167",4,NA,NA,NA,NA,29.917,1,29.917,1,219.167,3,NA,NA,73.167,1,NA,NA,54,23,999,"839.583",18,999,13,"517.333",999,5,"322.25",999,3,177.75,2,"144.5",1,3,0,7,31,999,190.833,11,999,5,13,0,1,0,1,0,4,2,6,1,1,1,12,999,45.167,4,1,10,102,49,11,6,13,32.333,362,1,15,14,3,3,4,0,2,0,0,0,0,0,0,0,1,0,22,17,999,3,NA,999,6,0,999,25,17,999,2,0,999,5,0,999,0,0,NA,3,0,999,NA,10,999,-8.113,1,999,-1.924,999,-15.096,999,-1.924,999,-3.589,999,-1.47,999,NA,4,0.225806451612903,0.142857142857143,"MC"
"1487",3,1487,"R",2016,150,5,NA,0,24461,"Aiken, Thomas","32 06 29","AT&T Pebble Beach Pro-Am","Y ",8.5,"15,050.00",60," T60",68,16,73,49,72,46,75,60,0,0,0,0,68,288,4,60,-0.722,64,0,29,14,43,44,13,62,1,NA,14,62,14,50,354,21,2310,8,40,7544,46,4,42,55,17,22,1,3,NA,0,67.75,2,150.833,9,218.583,11,168.917,6,188.167,5,95.333,4,"210.917",6,NA,NA,NA,NA,30.333,1,30.333,1,82,1,NA,NA,NA,NA,30.417,1,72,50,14,"1,062.83",36,13,33,"920.083",20,3,"142.75",53,0,NA,3,"142.75",3,5,1,10,22,68,101,10,58,6,10,3,3,0,1,1,4,2,5,1,1,1,4,59,39.5,3,0,NA,120,89,26,2,26,45,1292,2,23,23,7,7,3,2,2,2,2,0,0,0,2,1,0,0,33,32,20,6,3,37,7,4,48,39,35,17,9,0,55,4,0,43,4,0,21,7,1,12,1,24,67,-2.679,2,64,0.076,44,-1.951,60,0.076,39,1.042,20,-0.753,57,NA,14,0.454545454545455,1,"26th-CUTLINE"
"1488",4,1488,"R",2016,150,5,NA,0,29745,"Aldridge, Tyler","31 05 12","AT&T Pebble Beach Pro-Am","Y ",52.5,"101,500.00",17," T17",70,39,72,59,68,23,69,17,0,0,0,0,68,279,4,17,-0.722,19,1,7,17,18,43,11,45,NA,NA,11,32,16,53,343,49,2157,8,69,7610,35,2,48,55,2,39,2,1,NA,0,62.75,3,194.75,11,257.5,14,67.333,4,31.667,2,214.5,5,"185",5,12.833,1,9.417,1,NA,NA,22.25,2,NA,NA,NA,NA,50.667,1,73.083,1,72,54,2,"977.833",36,6,30,"756",9,4,"146",28,1,50.667,3,"95.333",3,5,0,11,18,40,37.833,9,2,4,7,2,3,0,1,0,0,5,7,2,2,3,8,45,38,5,2,116,120,96,25,5,20,45.083,1853,2,22,22,3,3,4,1,2,1,1,1,0,0,0,0,2,1,29,26,68,5,3,22,7,3,67,34,29,39,9,4,13,2,2,1,4,0,21,6,0,20,6,21,7,1.054,2,32,0.505,4,8.049,6,0.505,19,2.187,8,0.806,13,NA,18,0.611111111111111,1.63636363636364,"Top25"
"1489",5,1489,"R",2016,150,5,NA,0,45526,"Ancer, Abraham","24 11 18","AT&T Pebble Beach Pro-Am","Y ",0,"",999," CUT",74,134,76,141,77,147,0,0,0,0,0,0,74,227,3,999,-0.175,999,0,999,8,999,28,16,999,2,NA,18,999,6,25,323,149,1574,6,999,3685,999,2,24,41,999,999,1,4,NA,0,3.667,1,12.167,1,15.833,2,23,1,153.167,5,49.75,1,"120.667",3,NA,NA,NA,NA,68.583,3,68.583,3,105.917,2,NA,NA,78.75,1,NA,NA,54,25,999,"615.667",18,999,12,"362.417",999,6,"253.25",999,1,5.917,5,"247.333",2,2,1,13,29,999,97.083,10,999,6,12,5,5,0,0,0,1,2,5,2,4,2,10,999,17.083,2,2,17,88,47,19,3,11,22.75,522,1,12,12,2,1,1,1,2,0,2,1,0,0,0,0,1,0,15,14,999,5,1,999,5,2,999,20,15,999,3,1,999,1,0,999,0,0,NA,4,0,999,1,8,999,-2.86,1,999,1.058,999,-3,999,1.058,999,-2.992,999,1.795,999,NA,8,0.448275862068966,0.444444444444444,"MC"
"1490",6,1490,"R",2016,150,5,NA,0,22371,"Baddeley, Aaron","34 10 28","AT&T Pebble Beach Pro-Am","Y ",17,"16,380.00",51," T51",69,29,70,27,73,36,74,51,0,0,0,0,69,286,4,51,-0.722,54,0,29,18,14,39,13,62,2,NA,15,66,18,42,361,16,2411,8,10,7699,24,6,39,55,32,9,3,0,NA,0,38.75,3,108.25,5,147,8,182.833,5,198.583,6,307.917,5,"326.583",6,NA,NA,NA,NA,75.5,2,75.5,2,NA,NA,NA,NA,79.5,1,NA,NA,72,42,56,"1,500.92",36,68,30,"1,162.92",66,3,"155",61,3,155,0,"",4,4,0,16,30,61,183.583,17,61,9,13,4,5,0,1,4,8,3,6,1,2,2,10,63,76.917,5,0,NA,114,70,32,2,19,55.917,2123,2,20,20,4,4,3,0,1,1,4,3,3,2,2,0,1,1,27,24,69,11,7,20,11,6,56,38,31,58,4,2,8,6,3,8,2,0,21,7,0,20,5,19,13,1.357,2,29,0.115,62,-1.951,60,0.115,37,-0.767,58,-1.003,62,NA,18,0.533333333333333,1.2,"26th-CUTLINE"
"1491",7,1491,"R",2016,150,5,NA,0,24846,"Barnes, Ricky","35 00 08","AT&T Pebble Beach Pro-Am","Y ",25.5,"22,652.00",41," T41",65,5,70,7,73,17,77,41,0,0,0,0,65,285,4,41,-0.32,48,0,29,17,18,42,12,55,NA,1,13,52,17,47,323,149,2326,8,35,7634,33,6,35,55,52,59,4,2,NA,0,55,4,147.583,5,202.583,9,97.333,3,76.417,4,185.417,5,"369",5,NA,NA,39.75,2,32.667,1,72.417,3,116.417,3,NA,NA,56.167,1,NA,NA,72,47,30,"1,297.50",36,51,26,"930.75",58,7,"245",24,3,119,4,"126",3,5,1,13,25,63,188.917,16,65,5,10,2,2,0,1,1,3,4,8,3,4,4,9,33,32.5,4,0,NA,114,79,31,1,19,33.5,1489,2,25,25,3,3,3,0,2,2,1,0,3,3,2,0,2,0,31,28,64,10,5,37,9,5,53,41,33,61,3,2,3,6,1,33,1,0,21,5,0,20,3,15,24,-0.604,2,49,0.105,55,-1.855,57,0.105,38,0.368,38,-1.098,66,NA,17,0.52,1.30769230769231,"26th-CUTLINE"
"1492",8,1492,"R",2016,150,5,NA,0,12652,"Beckman, Cameron","45 11 30","AT&T Pebble Beach Pro-Am","Y ",0,"",999," CUT",73,105,77,138,82,152,0,0,0,0,0,0,73,232,3,999,-1.829,999,1,999,4,999,30,17,999,NA,2,19,999,5,35,283,999,1637,6,999,3650,999,0,30,41,999,999,2,0,NA,0,NA,0,155.5,6,155.5,6,55.833,2,83.083,3,30.25,2,"110.25",3,NA,NA,NA,NA,39,1,39,1,NA,NA,NA,NA,NA,NA,70.5,1,54,35,999,"544.417",18,999,16,"434.917",999,2,"109.5",999,2,109.5,0,"",2,2,1,6,19,999,20.25,3,999,1,5,4,5,0,0,0,1,0,0,1,2,2,6,999,19.083,2,0,NA,104,72,12,8,16,43.083,554,1,13,13,2,2,2,1,0,0,2,0,2,2,1,0,0,0,17,16,999,5,2,999,6,3,999,22,18,999,2,0,999,3,0,999,2,0,999,6,0,999,NA,13,999,-3.041,1,999,0.364,999,-0.942,999,0.364,999,1.839,999,-0.104,999,NA,5,0.315789473684211,0.263157894736842,"MC"
"1493",9,1493,"R",2016,150,5,NA,0,32334,"Beljan, Charlie","31 04 04","AT&T Pebble Beach Pro-Am","Y ",0,"",999," CUT",76,140,71,115,77,136,0,0,0,0,0,0,71,224,3,999,-1.829,999,0,999,8,999,31,13,999,2,NA,15,999,8,32,308,352,1612,6,999,3916,999,3,29,41,999,999,2,1,NA,0,43.167,2,87.5,4,130.667,6,62.833,2,36.833,1,64.083,2,"149.333",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.167,1,82.25,1,39.833,1,54,32,999,"686",18,999,14,"443.75",999,3,"139.25",999,2,99.417,1,"39.833",3,1,0,11,22,999,54.583,7,999,5,8,3,4,1,1,0,1,1,4,1,1,2,7,999,34.667,2,0,NA,94,62,20,5,12,15.833,286,1,18,17,1,0,0,0,2,1,3,0,0,0,0,0,1,0,19,17,999,6,1,999,5,1,999,25,18,999,2,0,999,3,0,999,1,0,999,2,0,999,NA,8,999,-5.547,1,999,1.039,999,-3.942,999,1.039,999,-0.041,999,0.607,999,NA,8,0.5,0.533333333333333,"MC"
"1494",10,1494,"R",2016,150,5,NA,0,10505,"Bertsch, Shane","45 10 15","AT&T Pebble Beach Pro-Am","Y ",33.5,"33,775.00",35," T35",66,5,75,36,72,46,71,35,0,0,0,0,66,284,4,35,-1.974,35,0,29,16,26,45,9,17,2,NA,11,32,16,41,316,216,2221,8,61,7512,48,3,40,55,23,56,4,2,NA,0,35.75,3,146.667,9,182.417,12,36.333,2,89.75,3,179.583,5,"297.25",6,16.083,1,NA,NA,40.25,2,56.333,3,5.75,1,NA,NA,118.083,2,NA,NA,72,41,60,"1,020.92",36,11,28,"785.333",23,6,"180.167",12,4,82.417,2,"97.75",3,5,0,21,31,27,73.417,11,20,7,8,6,7,0,1,1,2,3,4,5,5,3,7,36,21.75,4,0,NA,107,67,38,1,16,26.417,2068,2,20,19,5,5,2,2,3,2,1,0,1,1,2,1,0,0,27,26,42,7,4,27,7,5,26,34,30,23,6,3,8,4,2,8,2,1,4,6,0,20,6,18,4,3.6,2,10,0.199,13,7.203,7,0.199,34,1.096,18,0.506,24,NA,16,0.67741935483871,1.45454545454545,"26th-CUTLINE"
