"","tpID","X.1","Tour","Tournament.Year","Tournament.Number","Permanent.Tournament.Number","Team.ID","Team.Number","Player.Number","Player.Name","Player.Age..years..months.days.","Event.Name","Official.Event.Y.N.","FedExCup.Points","Money","Finish.Position.numeric.","Finish.Position.text.","Round.1.Score","Round.1.Pos","Round.2.Score","Round.2.Pos","Round.3.Score","Round.3.Pos","Round.4.Score","Round.4.Pos","Round.5.Score","Round.5.Pos","Round.6.Score","Round.6.Pos","Lowest.Round","Total.Strokes","Total.Rounds.","Stroke.Average..Rank.","Scoring.Avg.Total.Adjustment.","Scoring.Avg.Total.Adjustment...Rank.","Eagles","Eagles..Rank.","Birdies","Birdies..Rank.","Pars","Bogeys","Bogeys..Rank.","Doubles","Others","Total.Holes.Over.Par","Bogey.Avoidance.Rank","Birdie.or.Better.Conv.....Birdies.","Birdie.or.Better.Conv.....Greens.Hit.","Longest.Drive","Longest.Drive..Rank.","Driving.Distance.Total.Distance.","Driving.Distance.Total.Drives.","Driving.Distance..Rank.","Driving.Dist....All.Drives.Tot..Dist..","Driving.Dist....All.Drives.Rank.","Drives.Over.300.Yards....of.Drives.","Driving.Acc....Fairways.Hit.","Driving.Acc....Possible.Fairways.","Driving.Accuracy.Rank","Total.Driving..Rank.","Left.Rough.Tendency.Total.Left.Rough.","Right.Rough.Tendency.Total.Right.Rough.","App..50.75.yds.ft.","App..50.75.yds.attempts.","App..75.100.yds.ft.","App..75.100.yds.attempts.","App..100.125.yds.ft.","App..100.125.yds.attempts.","App..50.125.Yards.ft.","App...50.125.Yards.attempts.","Approaches..125.150.Yards.ft.","Approaches...125.150.Yards.attempts.","Approaches...150.175.Yards.ft.","Approaches...150.175.Yards.attempts.","Approaches...175.200.Yards.ft.","Approaches...175.200.Yards.attempts.","Approaches....200.Yards.ft.","Approaches....200.Yards.attempts.","App..50.75.yds.ft....Rough","App..50.75.yds.attempts....Rough","App..75.100.yds.ft....Rough","App..75.100.yds.attempts....Rough","App..100.125.yds.ft....Rough","App..100.125.yds.attempts....Rough","Approaches.50.125.Yards.ft....Rough","Approaches.50.125.Yards.attempts....Rough","Approaches.125.150.Yards.ft....Rough","Approaches.125.150.Yards.attempts....Rough","Approaches.150.175.Yards.ft....Rough","Approaches.150.175.Yards.attempts....Rough","Approaches.175.200.Yards.ft....Rough","Approaches.175.200.Yards.attempts....Rough","Approaches..200.Yards.ft....Rough","Approaches....200.Yards.attempts....Rough","Total.Holes.Played","Total.Greens.in.Regulation","GIR.Rank","Total.Distance.ft..Prox.to.Hole","X..of.Attempts.Prox.to.Hole","Proximity.to.Hole..Rank.","Fairway.Prox.attempts.","Fairway.Prox.distance.in.ft.","Fairway.Prox..Rank.","Rough.Prox.attempts.","Rough.Prox.distance.in.ft.","Rough.Prox..Rank.","Left.Rough.Prox.attempts.","Left.Rough.Prox.distance.in.ft.","Right.Rough.Prox.attempts.","Right.Rough.Prox.distance.in.ft.","Going.for.Green.attempts.","Going.for.Green.non.attempts.","Going.for.the.Green.successes.","Scrambling.Par.or.Better","Scrambling.Missed.GIR","Scrambling..Rank.","Scrambling.Proximity..Total.Distance.","Scrambling.Proximity....of.shots.","Scrambling.Proximity..rank.","Scrambling.from.the.Rough.successes.","Scrambling.from.the.Rough.attempts.","Scrambling.from.the.Fringe.successes.","Scrambling.from.the.Fringe.attempts.","Scrambling....30.Yards.successes.","Scrambling....30.Yards.attempts.","Scrambling.20.30.Yards.successes.","Scrambling...20.30.Yards.attempts.","Scrambling.10.20.Yards.successes.","Scrambling.10.20.Yards.attempts.","Scrambling...10.Yards.successes.","Scrambling....10.Yards.attempts.","Sand.Save.....Saves.","Sand.Save.....Bunkers.","Sand.Save..Rank.","Prox.to.Hole.from.Sand.Total.Distance.","Prox.to.Hole.from.Sand...of.Shots.","Total.Hole.Outs","Longest.Hole.Out.yards.","Overall.Putting.Avg...of.Putts.","Putting.Avg.GIR.Putts.","One.Putt.....of.One.Putts.","X3.Putt.Avoid.Total.3.Putts.","Approach.Putt.Performance.attempts.","Approach.Putt.Performance.ft..","Avg.Distance.of.Putts.Made.Total.Distance.of.Putts.","Total.Rounds.Played","Putting.3..attempts.","Putting.3..putts.made.","Putting...4..attempts.","Putting.4..putts.made.","Putting.5..attempts.","Putting.5..putts.made.","Putting.6..attempts.","Putting.6..putts.made.","Putting.7..attempts.","Putting.7..putts.made.","Putting.8..attempts.","Putting.8..putts.made.","Putting.9..attempts.","Putting.9..putts.made.","Putting.10..attempts.","Putting.10..putts.made.","Putting.Inside.5...putts.made.","Putting.Inside.5...attempts.","Putting.Inside.5.Feet..Rank.","Putting.5....10...putts.made.","Putting.5....10...attempts.","Putting.5....10...Rank.","Putting.4..8..attempts.","Putting.4..8..putts.made.","Putting.4....8...Rank.","Putting.Inside.10..attempts.","Putting.Inside.10..putts.made.","Putting.Inside.10..rank.","Putting.10..15..attempts.","Putting...10..15..putts.made.","Putting.10..15..rank.","Putting.15.20..attempts.","Putting.15..20..putts.made.","Putting.15..20..rank.","Putting.20..25..attempts.","Putting.20..25..putts.made.","Putting.20..25..rank.","Putting..25..attempts.","Putting..25..putts.made.","Putting..25..rank.","Putting...10...putts.made.","Putting...10...attempts.","Putting...10...rank.","Total.Putts.Gained","Total.Rounds.Played.Putts.Gained.","Putts.Gained.Rank","TTL.SG.T2G","SG..T2G.Rank","TTL.SG.Total","SG..Total.Rank","OTT.SG.Avg.","OTT.SG.Rank","APP.SG.Avg.","APP.SG.Rank","ARG.SG.Avg.","ARG.SG.Rank","X","Birdie_Or_Better","Scrambling_Success","BirdieBogey_Rat","catFinalPositions","tpAvgScorePerRound"
"3291",1,3291,"R",2016,290,11,NA,0,33948,"An, Byeong Hun","24 07 28","THE PLAYERS Championship","Y ",0,"",99," CUT",75,125,68,77,0,0,0,0,0,0,0,0,68,143,2,999,1.873,999,0,999,8,999,21,7,999,NA,NA,7,999,8,24,338,40,1198,4,999,8130,999,12,17,28,999,999,1,3,NA,0,20.833,1,21.5,3,42.333,4,167.25,8,57.083,3,132.75,4,"289.75",6,NA,NA,9.417,1,79.75,2,89.167,3,NA,NA,NA,NA,NA,NA,138.25,3,36,24,999,"1,070.33",35,999,25,"689.167",999,6,"227.417",999,2,51.25,4,"176.167",5,3,3,5,12,999,84.917,9,999,3,5,0,0,0,2,2,2,3,7,0,0,3,3,999,6.917,3,0,NA,59,43,13,0,23,54.667,1503,2,22,22,6,6,1,1,2,2,3,3,2,1,1,0,1,0,29,29,999,9,6,999,8,7,999,38,35,999,4,0,999,6,0,999,6,1,999,5,0,999,1,21,999,-1.034,2,999,-0.671,999,-0.873,999,-0.671,999,0.256,999,0.497,999,NA,8,0.416666666666667,1.14285714285714,"MC",71.5
"3292",2,3292,"R",2016,290,11,NA,0,30978,"Aphibarnrat, Kiradech","26 09 22","THE PLAYERS Championship","Y ",0,"",99," CUT",75,125,69,93,0,0,0,0,0,0,0,0,69,144,2,999,1.873,999,0,999,9,999,19,7,999,1,NA,8,999,9,19,338,40,1131,4,999,8263,999,14,10,28,999,999,7,4,NA,0,18,2,57,3,75,5,127.917,6,67,1,95.833,2,"369.333",6,NA,NA,34.417,1,25.667,2,60.083,3,93.5,2,83.25,1,70,2,129,2,36,19,999,"1,420.42",36,999,21,"760.75",999,10,"435.833",999,6,238.75,4,"197.083",6,2,0,9,17,999,154.833,16,999,2,6,1,1,0,1,2,3,3,9,4,4,4,4,999,25.583,4,0,NA,53,29,19,0,17,28.417,1708,2,18,18,6,6,3,3,2,1,4,2,2,2,4,1,0,0,27,27,999,12,6,999,11,8,999,39,33,999,6,2,999,2,1,999,2,0,999,4,0,999,3,14,999,0.976,2,999,-0.1,999,-1.873,999,-0.1,999,-0.298,999,-1.026,999,NA,9,0.529411764705882,1.125,"MC",72
"3293",3,3293,"R",2016,290,11,NA,0,22371,"Baddeley, Aaron","35 01 28","THE PLAYERS Championship","Y ",0,"",99," CUT",69,33,75,93,0,0,0,0,0,0,0,0,69,144,2,999,1.873,999,0,999,10,999,18,6,999,2,NA,8,999,8,21,329,127,1158,4,999,7779,999,4,10,28,999,999,5,2,8,1,NA,0,73.917,6,81.917,7,54.417,2,63.417,5,139.75,4,"237.667",5,NA,NA,NA,NA,37.667,1,37.667,1,50.583,1,82.333,1,124.5,2,23.667,1,36,21,999,"1,187.25",35,999,23,"577.167",999,6,"318.75",999,3,162.167,3,"156.583",2,6,0,8,15,999,135.5,12,999,1,1,3,3,0,4,1,2,3,4,4,4,1,1,999,3.833,1,0,NA,54,35,15,1,19,45.917,1389,2,20,20,4,3,4,4,4,4,1,1,3,0,1,1,1,0,28,27,999,10,6,999,12,9,999,38,33,999,4,1,999,2,0,999,2,0,999,8,0,999,1,16,999,-0.345,2,999,-2.707,999,-1.873,999,-2.707,999,1.29,999,0.654,999,NA,10,0.533333333333333,1.25,"MC",72
"3294",4,3294,"R",2016,290,11,NA,0,24846,"Barnes, Ricky","35 03 09","THE PLAYERS Championship","Y ",0,"",99," CUT",72,83,74,110,0,0,0,0,0,0,0,0,72,146,2,999,1.873,999,0,999,5,999,24,7,999,NA,NA,7,999,5,24,326,174,1142,4,999,7668,999,3,18,28,999,999,1,5,6.75,1,7.417,1,124.417,3,138.583,5,194.917,8,122,6,86.5,3,"397.75",6,NA,NA,NA,NA,NA,NA,NA,NA,65.583,1,47.083,1,113.583,2,199.333,2,36,24,999,"1,376.83",35,999,28,"939.75",999,7,"437.083",999,1,66.5,6,"370.583",5,3,0,5,12,999,61.583,9,999,3,6,0,0,1,3,1,3,3,5,0,0,1,3,999,49.667,3,0,NA,61,43,11,0,25,45.167,1803,2,24,24,3,3,1,1,4,2,1,0,2,0,0,0,5,3,28,28,999,12,5,999,8,3,999,40,33,999,5,1,999,4,0,999,3,0,999,9,2,999,3,21,999,-1.22,2,999,-0.373,999,-3.873,999,-0.373,999,-0.867,999,-0.086,999,NA,5,0.416666666666667,0.714285714285714,"MC",73
"3295",5,3295,"R",2016,290,11,NA,0,40026,"Berger, Daniel","23 01 08","THE PLAYERS Championship","Y ",82.333,"283,500.00",9,"  T9",66,7,72,20,73,15,69,9,0,0,0,0,66,280,4,9,-1.957,9,1,9,17,25,45,8,12,NA,1,9,7,17,46,338,40,2340,8,33,15702,52,12,27,56,73,68,4,16,NA,0,107,4,75.25,5,182.25,9,271.917,12,165.333,6,238.667,8,"422.833",10,NA,NA,24.083,1,126.583,3,150.667,4,215.833,4,75.833,2,70.083,2,485.917,5,72,46,53,"2,747.33",71,55,46,"1,316.67",10,17,"998.333",69,4,108.583,13,"889.75",11,5,1,18,26,10,133.333,23,9,5,7,4,4,1,4,3,5,10,13,4,4,2,5,42,31.333,4,0,NA,108,76,34,2,36,89.833,3679,4,35,34,16,15,3,3,3,3,3,2,6,4,1,1,4,1,54,52,49,17,11,16,15,12,13,71,63,18,7,4,3,5,2,6,8,1,31,17,0,49,7,37,20,6.151,4,7,-0.571,35,9.956,9,-0.571,68,0.374,33,1.148,7,NA,18,0.692307692307692,2,"Top25",70
"3296",6,3296,"R",2016,290,11,NA,0,40058,"Blair, Zac","25 08 25","THE PLAYERS Championship","Y ",20,"25,914.00",49," T49",71,62,70,56,73,34,75,49,0,0,0,0,70,289,4,49,-1.957,49,0,33,16,38,42,11,38,3,NA,14,44,13,40,322,258,2212,8,74,15560,59,7,42,56,4,42,4,5,13.417,1,188.333,8,133.833,4,335.583,13,155.75,8,248.833,7,441,11,"706.417",15,NA,NA,NA,NA,NA,NA,NA,NA,167.833,4,82.667,3,30.917,1,NA,NA,72,40,72,"2,449.33",68,30,54,"1,887.58",57,9,"320.917",8,4,162.75,5,"158.167",10,6,4,19,32,27,205.667,27,19,12,16,2,2,0,2,3,4,12,19,4,4,0,2,71,10.833,1,1,7,113,72,26,1,43,118,3495,4,40,39,7,6,5,4,6,5,3,2,3,3,5,4,2,1,52,49,64,19,15,1,17,14,6,71,64,6,12,3,46,4,1,15,4,1,10,22,0,49,5,42,54,3.551,4,20,0.527,62,0.956,49,0.527,22,-2.131,76,0.955,9,NA,16,0.59375,1.14285714285714,"26th-CUTLINE",72.25
"3297",7,3297,"R",2016,290,11,NA,0,27895,"Blixt, Jonas","32 00 21","THE PLAYERS Championship","Y ",50.75,"131,775.00",19," T19",67,13,67,3,75,8,74,19,0,0,0,0,67,283,4,19,-1.957,19,1,9,21,4,36,11,38,2,1,14,44,21,49,308,823,2270,8,61,15511,67,7,36,56,35,58,7,7,54.167,3,35.667,2,65.5,4,155.333,9,298,11,314.167,9,210.167,6,"879.25",18,92.25,1,70.5,1,NA,NA,162.75,2,114.75,3,93.167,2,114.75,3,173.917,4,72,49,30,"2,667.33",71,47,53,"1,856.92",58,14,"659.333",35,6,239,8,"420.333",14,2,5,14,23,24,167.25,20,30,2,7,4,4,0,3,3,5,8,11,3,3,3,4,9,26.917,3,0,NA,117,86,30,5,41,123.167,3881,4,32,32,10,9,10,7,4,4,7,3,3,3,6,4,3,0,52,48,73,23,14,24,24,17,35,75,62,65,15,8,7,2,0,55,4,1,10,21,0,49,9,42,10,2.484,4,25,-0.056,31,6.956,19,-0.056,51,1.193,14,-0.019,49,NA,22,0.608695652173913,1.57142857142857,"Top25",70.75
"3298",8,3298,"R",2016,290,11,NA,0,24507,"Bohn, Jason","43 00 21","THE PLAYERS Championship","Y ",0,"",99," CUT",74,118,77,133,0,0,0,0,0,0,0,0,74,151,2,999,1.873,999,0,999,5,999,21,8,999,2,NA,10,999,5,21,306,939,1143,4,999,7744,999,2,21,28,999,999,2,1,25.167,2,44.833,3,81.333,3,151.333,8,177.167,5,136.667,3,173.75,5,"461.5",8,NA,NA,NA,NA,NA,NA,NA,NA,25.667,1,31.25,1,NA,NA,60.333,1,36,21,999,"1,321.42",36,999,30,"1,107.83",999,3,"117.25",999,2,91.583,1,"25.667",5,3,0,7,15,999,132.917,13,999,5,6,0,0,0,1,0,1,4,9,3,3,0,3,999,25.583,2,0,NA,60,39,14,2,22,63.083,1424,2,24,24,4,4,1,0,2,2,3,1,2,1,2,2,0,0,29,28,999,9,6,999,8,4,999,38,34,999,8,2,999,4,0,999,2,0,999,8,0,999,2,22,999,-2.864,2,999,-0.44,999,-8.873,999,-0.44,999,-1.183,999,-1.38,999,NA,5,0.466666666666667,0.5,"MC",75.5
"3299",9,3299,"R",2016,290,11,NA,0,25274,"Bowditch, Steven","32 11 07","THE PLAYERS Championship","Y ",0,"",99," CUT",80,144,73,139,0,0,0,0,0,0,0,0,73,153,2,999,1.873,999,0,999,5,999,21,6,999,4,NA,10,999,5,17,331,91,1116,4,999,7947,999,10,12,28,999,999,4,4,17.833,1,9.667,1,33.833,3,61.333,5,86.75,4,31.25,1,203,4,"210.917",5,NA,NA,87.5,2,NA,NA,87.5,2,122.583,2,105.667,2,88.917,1,NA,NA,36,17,999,"1,364.33",34,999,19,"593.25",999,8,"434.75",999,4,199.5,4,"235.25",3,5,0,9,19,999,223.417,15,999,4,12,2,2,0,2,3,5,4,8,2,2,5,5,999,41.5,5,0,NA,56,29,16,0,20,44.833,1744,2,19,19,4,4,2,2,5,4,4,3,3,1,1,1,3,1,25,25,999,16,10,999,14,10,999,41,35,999,1,0,999,4,0,999,1,0,999,9,1,999,1,15,999,0.397,2,999,-1.131,999,-10.873,999,-1.131,999,-4.148,999,-0.356,999,NA,5,0.473684210526316,0.5,"MC",76.5
"3300",10,3300,"R",2016,290,11,NA,0,33141,"Bradley, Keegan","29 11 08","THE PLAYERS Championship","Y ",34.5,"52,893.75",35," T35",72,83,67,36,76,40,71,35,0,0,0,0,67,286,4,35,-1.957,35,0,33,20,8,38,11,38,2,1,14,44,19,46,333,76,2363,8,24,15823,43,14,36,56,35,21,8,4,NA,0,82.417,6,158.5,9,240.917,15,235.5,13,201.167,7,353.833,11,"588.917",10,NA,NA,NA,NA,26.083,2,26.083,2,130,2,39.667,3,91,1,105.583,2,72,46,53,"2,320.67",72,8,56,"1,620.33",13,11,"431",14,6,176.083,5,"254.917",8,8,1,14,26,45,180,23,24,7,12,2,3,0,3,0,3,10,15,4,4,1,4,56,58.167,4,0,NA,112,77,33,2,38,80.25,2937,4,44,44,9,8,8,6,1,1,6,4,3,1,2,2,2,1,61,58,53,14,9,18,18,12,50,75,67,10,15,3,59,5,1,25,6,0,37,11,0,49,4,37,60,-0.575,4,53,-0.309,30,3.956,35,-0.309,64,0.544,27,0.899,12,NA,20,0.538461538461538,1.42857142857143,"26th-CUTLINE",71.5
