"","sfID","X.1","Tour","Tournament.Year","Tournament.Number","Permanent.Tournament.Number","Team.ID","Team.Number","Player.Number","Player.Name","Player.Age..years..months.days.","Event.Name","Official.Event.Y.N.","FedExCup.Points","Money","Finish.Position.numeric.","Finish.Position.text.","Round.1.Score","Round.1.Pos","Round.2.Score","Round.2.Pos","Round.3.Score","Round.3.Pos","Round.4.Score","Round.4.Pos","Round.5.Score","Round.5.Pos","Round.6.Score","Round.6.Pos","Lowest.Round","Total.Strokes","Total.Rounds.","Stroke.Average..Rank.","Scoring.Avg.Total.Adjustment.","Scoring.Avg.Total.Adjustment...Rank.","Eagles","Eagles..Rank.","Birdies","Birdies..Rank.","Pars","Bogeys","Bogeys..Rank.","Doubles","Others","Total.Holes.Over.Par","Bogey.Avoidance.Rank","Birdie.or.Better.Conv.....Birdies.","Birdie.or.Better.Conv.....Greens.Hit.","Longest.Drive","Longest.Drive..Rank.","Driving.Distance.Total.Distance.","Driving.Distance.Total.Drives.","Driving.Distance..Rank.","Driving.Dist....All.Drives.Tot..Dist..","Driving.Dist....All.Drives.Rank.","Drives.Over.300.Yards....of.Drives.","Driving.Acc....Fairways.Hit.","Driving.Acc....Possible.Fairways.","Driving.Accuracy.Rank","Total.Driving..Rank.","Left.Rough.Tendency.Total.Left.Rough.","Right.Rough.Tendency.Total.Right.Rough.","App..50.75.yds.ft.","App..50.75.yds.attempts.","App..75.100.yds.ft.","App..75.100.yds.attempts.","App..100.125.yds.ft.","App..100.125.yds.attempts.","App..50.125.Yards.ft.","App...50.125.Yards.attempts.","Approaches..125.150.Yards.ft.","Approaches...125.150.Yards.attempts.","Approaches...150.175.Yards.ft.","Approaches...150.175.Yards.attempts.","Approaches...175.200.Yards.ft.","Approaches...175.200.Yards.attempts.","Approaches....200.Yards.ft.","Approaches....200.Yards.attempts.","App..50.75.yds.ft....Rough","App..50.75.yds.attempts....Rough","App..75.100.yds.ft....Rough","App..75.100.yds.attempts....Rough","App..100.125.yds.ft....Rough","App..100.125.yds.attempts....Rough","Approaches.50.125.Yards.ft....Rough","Approaches.50.125.Yards.attempts....Rough","Approaches.125.150.Yards.ft....Rough","Approaches.125.150.Yards.attempts....Rough","Approaches.150.175.Yards.ft....Rough","Approaches.150.175.Yards.attempts....Rough","Approaches.175.200.Yards.ft....Rough","Approaches.175.200.Yards.attempts....Rough","Approaches..200.Yards.ft....Rough","Approaches....200.Yards.attempts....Rough","Total.Holes.Played","Total.Greens.in.Regulation","GIR.Rank","Total.Distance.ft..Prox.to.Hole","X..of.Attempts.Prox.to.Hole","Proximity.to.Hole..Rank.","Fairway.Prox.attempts.","Fairway.Prox.distance.in.ft.","Fairway.Prox..Rank.","Rough.Prox.attempts.","Rough.Prox.distance.in.ft.","Rough.Prox..Rank.","Left.Rough.Prox.attempts.","Left.Rough.Prox.distance.in.ft.","Right.Rough.Prox.attempts.","Right.Rough.Prox.distance.in.ft.","Going.for.Green.attempts.","Going.for.Green.non.attempts.","Going.for.the.Green.successes.","Scrambling.Par.or.Better","Scrambling.Missed.GIR","Scrambling..Rank.","Scrambling.Proximity..Total.Distance.","Scrambling.Proximity....of.shots.","Scrambling.Proximity..rank.","Scrambling.from.the.Rough.successes.","Scrambling.from.the.Rough.attempts.","Scrambling.from.the.Fringe.successes.","Scrambling.from.the.Fringe.attempts.","Scrambling....30.Yards.successes.","Scrambling....30.Yards.attempts.","Scrambling.20.30.Yards.successes.","Scrambling...20.30.Yards.attempts.","Scrambling.10.20.Yards.successes.","Scrambling.10.20.Yards.attempts.","Scrambling...10.Yards.successes.","Scrambling....10.Yards.attempts.","Sand.Save.....Saves.","Sand.Save.....Bunkers.","Sand.Save..Rank.","Prox.to.Hole.from.Sand.Total.Distance.","Prox.to.Hole.from.Sand...of.Shots.","Total.Hole.Outs","Longest.Hole.Out.yards.","Overall.Putting.Avg...of.Putts.","Putting.Avg.GIR.Putts.","One.Putt.....of.One.Putts.","X3.Putt.Avoid.Total.3.Putts.","Approach.Putt.Performance.attempts.","Approach.Putt.Performance.ft..","Avg.Distance.of.Putts.Made.Total.Distance.of.Putts.","Total.Rounds.Played","Putting.3..attempts.","Putting.3..putts.made.","Putting...4..attempts.","Putting.4..putts.made.","Putting.5..attempts.","Putting.5..putts.made.","Putting.6..attempts.","Putting.6..putts.made.","Putting.7..attempts.","Putting.7..putts.made.","Putting.8..attempts.","Putting.8..putts.made.","Putting.9..attempts.","Putting.9..putts.made.","Putting.10..attempts.","Putting.10..putts.made.","Putting.Inside.5...putts.made.","Putting.Inside.5...attempts.","Putting.Inside.5.Feet..Rank.","Putting.5....10...putts.made.","Putting.5....10...attempts.","Putting.5....10...Rank.","Putting.4..8..attempts.","Putting.4..8..putts.made.","Putting.4....8...Rank.","Putting.Inside.10..attempts.","Putting.Inside.10..putts.made.","Putting.Inside.10..rank.","Putting.10..15..attempts.","Putting...10..15..putts.made.","Putting.10..15..rank.","Putting.15.20..attempts.","Putting.15..20..putts.made.","Putting.15..20..rank.","Putting.20..25..attempts.","Putting.20..25..putts.made.","Putting.20..25..rank.","Putting..25..attempts.","Putting..25..putts.made.","Putting..25..rank.","Putting...10...putts.made.","Putting...10...attempts.","Putting...10...rank.","Total.Putts.Gained","Total.Rounds.Played.Putts.Gained.","Putts.Gained.Rank","TTL.SG.T2G","SG..T2G.Rank","TTL.SG.Total","SG..Total.Rank","OTT.SG.Avg.","OTT.SG.Rank","APP.SG.Avg.","APP.SG.Rank","ARG.SG.Avg.","ARG.SG.Rank","X","Birdie_Or_Better","Scrambling_Success","BirdieBogey_Rat","catFinalPositions","sfAvgScorePerRound"
"367",1,367,"R",2016,40,54,NA,0,29745,"Aldridge, Tyler","31 02 06","Sanderson Farms Championship","Y ",32.833,"86,100.00",12," T12",71,83,67,25,68,14,69,12,0,0,0,0,67,275,4,12,5.957,12,1,2,18,14,46,7,38,NA,NA,7,34,16,51,300,363,2172,8,53,15272,41,0,30,56,47,63,9,16,11.25,1,9.333,1,52.5,5,73.083,7,258.917,12,258.25,8,358.25,9,"430.333",10,87.5,3,46.917,1,233.667,6,368.083,10,103.583,4,118,3,128.917,4,33.75,1,72,52,45,"2,431.33",72,22,46,"1,378.83",25,22,"752.333",17,8,250.917,14,"501.417",7,13,3,14,20,40,105.25,20,13,8,9,2,4,1,1,2,2,8,14,3,3,2,2,1,5.5,2,2,180,113,90,26,1,43,86.417,3351,4,44,44,5,3,7,5,3,3,3,2,4,2,5,0,4,3,56,52,70,19,10,41,17,12,29,75,62,69,9,5,2,7,1,43,6,1,16,16,0,45,7,38,16,1.539,4,32,0.318,12,7.044,12,0.318,27,0.43,29,0.629,7,NA,19,0.7,2.71428571428571,"Top25",68.75
"368",2,368,"R",2016,40,54,NA,0,10885,"Allenby, Robert","44 03 27","Sanderson Farms Championship","Y ",0,"",99," CUT",72,101,70,75,0,0,0,0,0,0,0,0,70,142,2,999,3.173,999,0,999,6,999,26,4,999,NA,NA,4,999,6,27,298,448,1109,4,999,7597,999,0,21,28,999,999,3,3,NA,0,9.333,1,95.583,6,104.917,7,223.333,8,172.333,4,255.417,7,"273",4,NA,NA,NA,NA,NA,NA,NA,NA,50,2,27.083,1,43.25,1,NA,NA,36,27,999,"1,370.00",36,999,30,"1,029.00",999,4,"120.333",999,2,50,2,"70.333",3,7,0,8,9,999,24.167,9,999,1,1,0,0,0,0,1,1,6,7,1,1,1,2,999,5,2,0,NA,61,51,14,3,22,56.417,1721,2,26,24,4,4,3,2,1,1,3,1,1,0,0,0,1,0,33,30,999,6,2,999,8,4,999,39,32,999,4,2,999,2,0,999,2,1,999,14,1,999,4,22,999,-1.155,2,999,0.387,999,-1.172,999,0.387,999,-0.773,999,0.377,999,NA,6,0.888888888888889,1.5,"MC",71
"369",3,369,"R",2016,40,54,NA,0,45526,"Ancer, Abraham","24 08 12","Sanderson Farms Championship","Y ",0,"",99," CUT",70,63,74,91,0,0,0,0,0,0,0,0,70,144,2,999,3.173,999,0,999,7,999,23,5,999,1,NA,6,999,7,29,288,999,1040,4,999,7361,999,0,16,28,999,999,5,5,8.25,1,20.917,2,107.917,5,137.083,8,76.083,3,19.667,2,198.417,6,"155.583",4,NA,NA,NA,NA,28.5,1,28.5,1,61.917,4,60.667,2,81.167,2,67.333,1,36,29,999,"1,247.50",36,999,23,"586.833",999,10,"299.583",999,5,178.333,5,"121.25",3,7,0,2,7,999,65.25,6,999,1,2,1,2,0,1,0,2,1,2,1,2,0,1,999,14.833,1,0,NA,63,52,10,1,26,59.333,1485,2,22,22,4,4,1,1,5,3,0,0,1,1,2,1,2,1,27,27,999,10,6,999,7,5,999,37,33,999,8,3,999,5,0,999,2,0,999,11,0,999,3,26,999,-0.36,2,999,-1.494,999,-3.172,999,-1.494,999,1.266,999,-1.178,999,NA,7,0.285714285714286,1.16666666666667,"MC",72
"370",4,370,"R",2016,40,54,NA,0,21407,"Atwal, Arjun","42 07 19","Sanderson Farms Championship","Y ",0,"",99," CUT",72,101,71,86,0,0,0,0,0,0,0,0,71,143,2,999,3.173,999,0,999,7,999,24,4,999,1,NA,5,999,7,27,282,999,1043,4,999,7275,999,0,14,28,999,999,5,8,NA,0,11,2,42.25,3,53.25,5,122.667,6,83.417,3,194.167,5,"343.333",5,NA,NA,28,1,29.583,2,57.583,3,122.333,5,53.75,1,46.583,1,93,1,36,27,999,"1,204.17",36,999,24,"796.833",999,11,"373.25",999,4,135.417,7,"237.833",1,9,1,5,9,999,142.25,9,999,2,5,0,0,0,2,2,3,2,3,1,1,0,1,999,26.333,1,0,NA,62,49,11,1,25,54.417,1336,2,21,21,7,7,2,2,2,1,2,2,1,1,1,1,0,0,30,30,999,6,5,999,7,6,999,36,35,999,5,1,999,4,0,999,6,0,999,11,0,999,1,26,999,0.416,2,999,-0.995,999,-2.172,999,-0.995,999,0.266,999,-0.565,999,NA,7,0.555555555555556,1.4,"MC",71.5
"371",5,371,"R",2016,40,54,NA,0,23048,"Axley, Eric","41 06 17","Sanderson Farms Championship","Y ",0,"",99," CUT",68,23,76,91,0,0,0,0,0,0,0,0,68,144,2,999,3.173,999,0,999,7,999,24,3,999,2,NA,5,999,7,23,288,999,1097,4,999,7634,999,0,17,28,999,999,4,4,NA,0,23.5,1,27.167,2,50.667,3,162,7,73.333,3,218.917,5,"404.333",6,12.75,1,88.417,3,22.083,1,123.25,5,15.75,1,25.75,1,43.917,1,78,1,36,23,999,"1,432.67",36,999,24,"909.25",999,9,"286.667",999,6,192,3,"94.667",4,6,0,8,13,999,52.083,11,999,3,5,2,2,1,2,1,2,5,7,1,1,2,5,999,48.083,5,0,NA,57,39,15,0,21,45.917,1479,2,25,25,4,3,1,1,3,3,1,0,0,0,3,2,1,0,30,29,999,8,5,999,5,4,999,38,34,999,4,1,999,5,0,999,2,1,999,8,0,999,2,19,999,-0.429,2,999,-0.551,999,-3.172,999,-0.551,999,-2.013,999,1.193,999,NA,7,0.615384615384615,1.4,"MC",72
"372",6,372,"R",2016,40,54,NA,0,22371,"Baddeley, Aaron","34 07 22","Sanderson Farms Championship","Y ",62,"154,570.00",4,"  T4",64,2,73,18,67,8,68,4,0,0,0,0,64,272,4,4,5.957,4,1,2,19,9,47,5,18,NA,NA,5,12,19,51,314,67,2223,8,32,15544,28,3,31,56,44,44,8,15,11.917,1,NA,0,98.833,4,110.75,5,272.583,13,345.917,12,113.583,5,"693.25",11,64.917,3,55.417,1,196.333,5,316.667,9,296.833,7,NA,NA,109.083,2,145.583,2,72,52,45,"2,845.67",72,65,46,"1,536.08",56,21,"875.917",54,7,339.833,14,"536.083",8,12,0,16,20,13,91.417,18,11,5,8,3,3,3,4,7,8,4,6,2,2,3,4,11,14.333,4,1,38,107,84,36,1,35,84.667,4376,4,36,36,9,9,10,8,3,2,2,1,3,2,1,1,1,1,55,53,54,10,7,11,18,13,26,65,60,8,9,5,2,9,3,6,7,2,6,17,1,27,11,42,2,8.118,4,2,0.162,35,10.044,4,0.162,32,-0.896,72,1.216,1,NA,20,0.8,4,"Top25",68
"373",7,373,"R",2016,40,54,NA,0,35545,"Barber, Blayne","25 10 14","Sanderson Farms Championship","Y ",16,"14,402.18",39," T39",69,42,72,67,71,58,68,39,0,0,0,0,68,280,4,39,5.957,39,0,25,18,14,46,7,38,NA,1,8,44,17,50,294,667,2194,8,42,15273,41,0,39,56,7,10,7,6,18.5,2,17.667,1,219,11,255.167,14,372.167,17,229.25,7,384.25,10,"612.333",10,NA,NA,24,1,10.333,1,34.333,2,204.25,6,51.583,2,NA,NA,113.667,1,72,50,60,"2,444.58",72,24,58,"1,853.17",44,11,"403.833",33,6,157.583,5,"246.25",6,14,1,16,22,32,110.333,20,19,4,8,3,3,2,4,3,5,10,12,1,1,2,4,36,44.083,4,1,11,113,86,31,2,40,85.75,3341,4,41,41,10,9,6,4,2,2,7,7,1,1,3,1,2,1,57,54,62,15,12,2,16,14,2,72,66,11,9,3,21,10,1,54,10,0,36,12,1,21,5,41,45,2.186,4,22,0.09,49,2.044,39,0.09,38,-0.708,67,0.582,10,NA,18,0.727272727272727,2.25,"26th-CUTLINE",70
"374",8,374,"R",2016,40,54,NA,0,19824,"Barlow, Craig","43 03 16","Sanderson Farms Championship","Y ",0,"",99," CUT",71,83,74,100,0,0,0,0,0,0,0,0,71,145,2,999,3.173,999,0,999,5,999,25,6,999,NA,NA,6,999,5,17,280,999,962,4,999,7225,999,0,9,28,999,999,5,13,6.167,1,56,2,59.083,3,121.25,6,127.75,5,125.25,3,192.5,4,"123.417",3,NA,NA,NA,NA,100,2,100,2,130.5,5,81.75,2,72.583,1,352.083,4,36,17,999,"1,460.50",36,999,21,"690.167",999,14,"736.917",999,3,222.25,11,"514.667",0,10,0,13,19,999,152.917,19,999,6,10,2,2,1,3,3,4,8,11,1,1,3,4,999,27.167,4,0,NA,54,29,18,0,18,37.417,2021,2,21,21,3,3,2,2,4,3,1,1,1,1,3,1,1,0,26,26,999,10,6,999,8,7,999,36,32,999,3,1,999,5,1,999,6,1,999,4,1,999,4,18,999,2.856,2,999,-1.608,999,-4.172,999,-1.608,999,-2.146,999,0.24,999,NA,5,0.684210526315789,0.833333333333333,"MC",72.5
"375",9,375,"R",2016,40,54,NA,0,24846,"Barnes, Ricky","34 09 02","Sanderson Farms Championship","Y ",20.25,"21,661.67",33," T33",68,23,67,8,74,36,70,33,0,0,0,0,67,279,4,33,5.957,33,1,2,11,69,57,2,1,1,NA,3,1,11,56,316,52,2227,8,29,15487,30,2,28,56,61,60,2,22,9.917,1,43.583,3,299.25,11,352.75,15,172,9,102.833,7,158,6,"660.583",10,24.583,2,NA,NA,77.917,4,102.5,6,129.083,4,208.5,5,49.333,2,297.75,3,72,57,12,"2,456.00",72,26,47,"1,446.17",34,21,"796.75",43,2,38.5,19,"758.25",6,14,0,13,15,3,168.667,15,73,2,2,1,1,1,1,3,4,8,9,1,1,2,5,53,68.917,4,1,15,119,102,24,1,47,79.333,2645,4,48,48,6,6,6,5,4,3,1,1,4,4,3,1,6,0,60,59,13,18,9,45,15,13,3,78,68,46,4,1,43,9,0,61,11,2,14,17,0,45,3,41,70,0.024,4,48,-0.156,30,3.044,33,-0.156,53,0.958,12,-0.046,47,NA,12,0.866666666666667,4,"26th-CUTLINE",69.75
"376",10,376,"R",2016,40,54,NA,0,12652,"Beckman, Cameron","45 08 24","Sanderson Farms Championship","Y ",0,"",99," CUT",70,63,74,91,0,0,0,0,0,0,0,0,70,144,2,999,3.173,999,0,999,3,999,30,3,999,NA,NA,3,999,3,27,304,221,1101,4,999,7494,999,1,16,28,999,999,8,4,53.833,1,63,2,78.25,4,195.083,7,121.833,6,62.25,2,166.417,7,"85",3,41.167,1,14.917,1,NA,NA,56.083,2,57.417,4,52.25,1,49.583,2,NA,NA,36,27,999,"956.417",36,999,26,"650.833",999,9,"215.333",999,5,121.083,4,"94.25",1,9,0,7,9,999,38.417,9,999,2,2,2,2,0,0,0,0,2,4,5,5,0,0,NA,NA,0,0,NA,63,52,10,1,26,57.333,1119,2,25,25,4,4,2,2,2,1,2,2,0,0,2,0,2,1,31,31,999,8,4,999,6,5,999,39,35,999,6,1,999,5,0,999,4,0,999,9,0,999,1,24,999,-2.235,2,999,0.022,999,-3.172,999,0.022,999,0.015,999,-0.505,999,NA,3,0.777777777777778,1,"MC",72
