"","soID","X.1","Tour","Tournament.Year","Tournament.Number","Permanent.Tournament.Number","Team.ID","Team.Number","Player.Number","Player.Name","Player.Age..years..months.days.","Event.Name","Official.Event.Y.N.","FedExCup.Points","Money","Finish.Position.numeric.","Finish.Position.text.","Round.1.Score","Round.1.Pos","Round.2.Score","Round.2.Pos","Round.3.Score","Round.3.Pos","Round.4.Score","Round.4.Pos","Round.5.Score","Round.5.Pos","Round.6.Score","Round.6.Pos","Lowest.Round","Total.Strokes","Total.Rounds.","Stroke.Average..Rank.","Scoring.Avg.Total.Adjustment.","Scoring.Avg.Total.Adjustment...Rank.","Eagles","Eagles..Rank.","Birdies","Birdies..Rank.","Pars","Bogeys","Bogeys..Rank.","Doubles","Others","Total.Holes.Over.Par","Bogey.Avoidance.Rank","Birdie.or.Better.Conv.....Birdies.","Birdie.or.Better.Conv.....Greens.Hit.","Longest.Drive","Longest.Drive..Rank.","Driving.Distance.Total.Distance.","Driving.Distance.Total.Drives.","Driving.Distance..Rank.","Driving.Dist....All.Drives.Tot..Dist..","Driving.Dist....All.Drives.Rank.","Drives.Over.300.Yards....of.Drives.","Driving.Acc....Fairways.Hit.","Driving.Acc....Possible.Fairways.","Driving.Accuracy.Rank","Total.Driving..Rank.","Left.Rough.Tendency.Total.Left.Rough.","Right.Rough.Tendency.Total.Right.Rough.","App..50.75.yds.ft.","App..50.75.yds.attempts.","App..75.100.yds.ft.","App..75.100.yds.attempts.","App..100.125.yds.ft.","App..100.125.yds.attempts.","App..50.125.Yards.ft.","App...50.125.Yards.attempts.","Approaches..125.150.Yards.ft.","Approaches...125.150.Yards.attempts.","Approaches...150.175.Yards.ft.","Approaches...150.175.Yards.attempts.","Approaches...175.200.Yards.ft.","Approaches...175.200.Yards.attempts.","Approaches....200.Yards.ft.","Approaches....200.Yards.attempts.","App..50.75.yds.ft....Rough","App..50.75.yds.attempts....Rough","App..75.100.yds.ft....Rough","App..75.100.yds.attempts....Rough","App..100.125.yds.ft....Rough","App..100.125.yds.attempts....Rough","Approaches.50.125.Yards.ft....Rough","Approaches.50.125.Yards.attempts....Rough","Approaches.125.150.Yards.ft....Rough","Approaches.125.150.Yards.attempts....Rough","Approaches.150.175.Yards.ft....Rough","Approaches.150.175.Yards.attempts....Rough","Approaches.175.200.Yards.ft....Rough","Approaches.175.200.Yards.attempts....Rough","Approaches..200.Yards.ft....Rough","Approaches....200.Yards.attempts....Rough","Total.Holes.Played","Total.Greens.in.Regulation","GIR.Rank","Total.Distance.ft..Prox.to.Hole","X..of.Attempts.Prox.to.Hole","Proximity.to.Hole..Rank.","Fairway.Prox.attempts.","Fairway.Prox.distance.in.ft.","Fairway.Prox..Rank.","Rough.Prox.attempts.","Rough.Prox.distance.in.ft.","Rough.Prox..Rank.","Left.Rough.Prox.attempts.","Left.Rough.Prox.distance.in.ft.","Right.Rough.Prox.attempts.","Right.Rough.Prox.distance.in.ft.","Going.for.Green.attempts.","Going.for.Green.non.attempts.","Going.for.the.Green.successes.","Scrambling.Par.or.Better","Scrambling.Missed.GIR","Scrambling..Rank.","Scrambling.Proximity..Total.Distance.","Scrambling.Proximity....of.shots.","Scrambling.Proximity..rank.","Scrambling.from.the.Rough.successes.","Scrambling.from.the.Rough.attempts.","Scrambling.from.the.Fringe.successes.","Scrambling.from.the.Fringe.attempts.","Scrambling....30.Yards.successes.","Scrambling....30.Yards.attempts.","Scrambling.20.30.Yards.successes.","Scrambling...20.30.Yards.attempts.","Scrambling.10.20.Yards.successes.","Scrambling.10.20.Yards.attempts.","Scrambling...10.Yards.successes.","Scrambling....10.Yards.attempts.","Sand.Save.....Saves.","Sand.Save.....Bunkers.","Sand.Save..Rank.","Prox.to.Hole.from.Sand.Total.Distance.","Prox.to.Hole.from.Sand...of.Shots.","Total.Hole.Outs","Longest.Hole.Out.yards.","Overall.Putting.Avg...of.Putts.","Putting.Avg.GIR.Putts.","One.Putt.....of.One.Putts.","X3.Putt.Avoid.Total.3.Putts.","Approach.Putt.Performance.attempts.","Approach.Putt.Performance.ft..","Avg.Distance.of.Putts.Made.Total.Distance.of.Putts.","Total.Rounds.Played","Putting.3..attempts.","Putting.3..putts.made.","Putting...4..attempts.","Putting.4..putts.made.","Putting.5..attempts.","Putting.5..putts.made.","Putting.6..attempts.","Putting.6..putts.made.","Putting.7..attempts.","Putting.7..putts.made.","Putting.8..attempts.","Putting.8..putts.made.","Putting.9..attempts.","Putting.9..putts.made.","Putting.10..attempts.","Putting.10..putts.made.","Putting.Inside.5...putts.made.","Putting.Inside.5...attempts.","Putting.Inside.5.Feet..Rank.","Putting.5....10...putts.made.","Putting.5....10...attempts.","Putting.5....10...Rank.","Putting.4..8..attempts.","Putting.4..8..putts.made.","Putting.4....8...Rank.","Putting.Inside.10..attempts.","Putting.Inside.10..putts.made.","Putting.Inside.10..rank.","Putting.10..15..attempts.","Putting...10..15..putts.made.","Putting.10..15..rank.","Putting.15.20..attempts.","Putting.15..20..putts.made.","Putting.15..20..rank.","Putting.20..25..attempts.","Putting.20..25..putts.made.","Putting.20..25..rank.","Putting..25..attempts.","Putting..25..putts.made.","Putting..25..rank.","Putting...10...putts.made.","Putting...10...attempts.","Putting...10...rank.","Total.Putts.Gained","Total.Rounds.Played.Putts.Gained.","Putts.Gained.Rank","TTL.SG.T2G","SG..T2G.Rank","TTL.SG.Total","SG..Total.Rank","OTT.SG.Avg.","OTT.SG.Rank","APP.SG.Avg.","APP.SG.Rank","ARG.SG.Avg.","ARG.SG.Rank","X","Birdie_Or_Better","Scrambling_Success","BirdieBogey_Rat","catFinalPositions","soAvgScorePerRound"
"897",1,897,"R",2016,110,6,NA,0,29910,"Adams, Blake","40 04 21","Sony Open in Hawaii","Y ",0,"",999," CUT",71,102,69,104,0,0,0,0,0,0,0,0,69,140,2,999,2.701,999,0,999,6,999,24,6,999,NA,NA,6,999,6,20,337,200,1115,4,999,7605,999,5,14,28,999,999,10,3,11.75,1,NA,0,NA,0,11.75,1,33.833,2,296.583,10,249.417,6,"108.5",3,57.917,1,26.5,2,NA,NA,84.417,3,38.417,1,189.667,3,311.417,5,134.917,2,36,20,999,"1,458.92",36,999,22,"700.083",999,14,"758.833",999,10,593.667,4,"165.167",2,4,1,10,16,999,132.917,15,999,2,4,1,1,2,3,3,5,4,7,1,1,4,5,999,35.333,5,0,NA,56,35,16,0,20,38.833,1762,2,19,19,3,3,5,5,2,1,3,3,1,1,1,0,0,0,27,27,999,7,5,999,11,10,999,34,32,999,8,3,999,2,1,999,4,0,999,8,0,999,4,22,999,2.354,2,999,-0.947,999,-2.702,999,-0.947,999,-1.448,999,-0.133,999,NA,6,0.625,1,"MC",70
"898",2,898,"R",2016,110,6,NA,0,24461,"Aiken, Thomas","32 06 01","Sony Open in Hawaii","Y ",11.5,"12,818.00",56," T56",71,102,66,66,67,52,69,56,0,0,0,0,66,273,4,56,6.264,56,0,40,19,16,43,8,32,2,NA,10,53,19,48,352,40,2487,8,18,15856,56,17,37,56,12,5,4,13,48.833,1,15.167,1,59.917,3,123.917,5,178.25,8,429.917,21,480.167,14,"359.917",6,NA,NA,NA,NA,56.917,2,56.917,2,60.583,3,210.417,3,123.833,3,371.667,5,72,48,53,"2,530.25",72,53,54,"1,572.17",65,16,"823.417",60,4,163.75,12,"659.667",8,4,4,15,24,46,188.167,22,61,1,4,4,6,1,4,3,5,6,9,5,6,4,6,15,55.167,5,0,NA,112,82,33,1,39,76.167,4216,4,42,42,8,8,2,2,6,4,4,3,2,1,1,1,3,2,52,52,1,16,11,16,14,10,29,68,63,10,11,4,25,11,2,36,5,1,19,17,2,17,9,44,18,4.623,4,11,0.357,69,0.734,56,0.357,35,-0.369,62,-0.961,73,NA,19,0.625,1.9,"26th-CUTLINE",68.25
"899",3,899,"R",2016,110,6,NA,0,29745,"Aldridge, Tyler","31 04 15","Sony Open in Hawaii","Y ",0,"",999," CUT",73,128,67,104,0,0,0,0,0,0,0,0,67,140,2,999,2.701,999,0,999,6,999,25,4,999,1,NA,5,999,6,22,331,314,1179,4,999,8060,999,9,10,28,999,999,4,9,NA,0,NA,0,26.083,3,26.083,3,41.167,2,248.833,9,230,5,"30.75",1,NA,NA,6.167,1,NA,NA,6.167,1,74.917,2,106.833,3,19.583,1,49.75,2,36,22,999,"1,134.67",36,999,20,"576.833",999,10,"279",999,2,30.75,8,"248.25",3,3,0,9,14,999,69.917,11,999,3,5,3,3,2,4,0,0,3,5,4,5,1,3,999,48.083,3,0,NA,57,38,15,0,21,40.417,1771,2,22,22,5,5,2,2,3,3,1,1,2,1,0,0,2,0,29,29,999,8,5,999,8,7,999,37,34,999,5,1,999,4,0,999,7,0,999,4,1,999,2,20,999,0.521,2,999,-1.3,999,-2.702,999,-1.3,999,-0.001,999,-0.31,999,NA,6,0.642857142857143,1.2,"MC",70
"900",4,900,"R",2016,110,6,NA,0,10885,"Allenby, Robert","44 06 05","Sony Open in Hawaii","Y ",0,"",999," CUT",73,128,68,113,0,0,0,0,0,0,0,0,68,141,2,999,2.701,999,0,999,6,999,25,4,999,NA,1,5,999,6,23,327,438,1219,4,999,8066,999,10,15,28,999,999,5,4,19.583,1,21.5,1,NA,0,41.083,2,109.167,6,195.083,9,283.167,8,"80.083",1,94.167,2,NA,NA,NA,NA,94.167,2,44.417,2,48.5,1,136,2,76.417,1,36,23,999,"1,304.25",36,999,26,"708.583",999,8,"399.5",999,4,184.667,4,"214.833",4,2,0,8,13,999,79.25,10,999,0,1,2,2,0,3,4,5,1,2,3,3,7,8,999,75.5,8,0,NA,58,40,14,0,22,38.583,1821,2,23,23,2,2,4,3,1,0,1,1,1,1,0,0,2,1,29,28,999,5,3,999,7,5,999,34,31,999,6,3,999,5,1,999,6,1,999,7,0,999,5,24,999,1.204,2,999,-0.971,999,-3.702,999,-0.971,999,-1.109,999,-0.372,999,NA,6,0.615384615384615,1.2,"MC",70.5
"901",5,901,"R",2016,110,6,NA,0,20098,"Appleby, Stuart","44 08 16","Sony Open in Hawaii","Y ",0,"",999," CUT",72,116,70,123,0,0,0,0,0,0,0,0,70,142,2,999,2.701,999,0,999,8,999,18,10,999,NA,NA,10,999,7,19,327,438,1143,4,999,7828,999,3,12,28,999,999,2,9,36.667,2,4.083,1,5.5,1,46.25,4,86.917,4,237.917,6,199.833,6,"150.5",2,NA,NA,NA,NA,NA,NA,NA,NA,2.083,1,184,4,169.417,2,120,1,36,19,999,"1,424.50",36,999,23,"733.917",999,9,"486.333",999,1,48.5,8,"437.833",2,4,0,7,17,999,174.167,15,999,0,2,1,2,1,5,2,5,2,5,2,2,5,9,999,54.75,8,0,NA,54,31,16,0,19,44.833,1722,2,20,20,4,4,3,3,3,2,3,3,2,1,0,0,1,0,27,27,999,9,6,999,11,9,999,36,33,999,5,0,999,2,1,999,3,0,999,8,1,999,2,18,999,0.21,2,999,-1.07,999,-4.702,999,-1.07,999,-1.463,999,0.077,999,NA,8,0.411764705882353,0.8,"MC",71
"902",6,902,"R",2016,110,6,NA,0,24846,"Barnes, Ricky","34 11 11","Sony Open in Hawaii","Y ",11.5,"12,818.00",56," T56",63,1,71,25,67,23,72,56,0,0,0,0,63,273,4,56,6.264,56,0,40,16,43,47,9,52,NA,NA,9,41,16,50,347,67,2389,8,44,15918,51,13,26,56,67,66,3,22,28.667,1,24.417,1,52.5,3,105.583,5,221.083,8,235.583,13,321.5,11,"318.25",7,8.333,1,83.583,2,40.5,1,132.417,4,113,4,394.083,8,149.083,3,230.333,4,72,50,41,"2,584.25",72,58,44,"1,202.00",50,23,"1,018.92",31,2,78.833,21,"940.083",7,5,4,13,22,51,132.333,17,55,4,8,0,0,1,6,2,6,7,7,3,3,5,7,12,43,6,0,NA,115,88,28,1,43,81.25,4020,4,44,44,7,7,5,4,3,3,2,0,1,0,1,1,5,4,56,55,27,12,8,18,11,7,52,68,63,10,7,3,13,8,1,49,7,2,9,25,2,30,8,47,35,6.052,4,4,-0.959,72,0.734,56,-0.959,72,-0.428,63,0.058,43,NA,16,0.590909090909091,1.77777777777778,"26th-CUTLINE",68.25
"903",7,903,"R",2016,110,6,NA,0,32334,"Beljan, Charlie","31 03 07","Sony Open in Hawaii","Y ",0,"",999," CUT",72,116,72,134,0,0,0,0,0,0,0,0,72,144,2,999,2.701,999,0,999,3,999,26,7,999,NA,NA,7,999,3,23,374,1,1294,4,999,8307,999,13,15,28,999,999,5,6,NA,0,7.583,1,48.583,2,56.167,3,75.25,4,124.75,6,259.667,7,"134.5",3,86.667,1,NA,NA,NA,NA,86.667,1,21.333,1,360.417,7,60,1,39.25,1,36,23,999,"1,336.33",36,999,23,"650.333",999,11,"567.667",999,5,252.417,6,"315.25",5,1,2,8,13,999,107.333,13,999,0,1,4,5,0,0,3,4,1,4,4,5,2,5,999,46.917,4,0,NA,64,47,10,2,26,70.833,1173,2,25,25,5,3,4,3,0,0,3,3,2,1,1,0,1,0,34,31,999,7,4,999,9,7,999,41,35,999,5,1,999,4,0,999,3,0,999,11,0,999,1,23,999,-4.573,2,999,0.673,999,-6.702,999,0.673,999,-0.241,999,-1.496,999,NA,3,0.615384615384615,0.428571428571429,"MC",72
"904",8,904,"R",2016,110,6,NA,0,40026,"Berger, Daniel","22 09 10","Sony Open in Hawaii","Y ",25.5,"18,661.50",42," T42",67,32,69,47,67,39,68,42,0,0,0,0,67,271,4,42,6.264,42,0,40,17,37,48,6,11,1,NA,7,14,15,47,357,22,2508,8,12,16345,22,24,36,56,15,2,2,12,14.083,1,10.25,1,47.167,2,71.5,4,215.667,14,305,14,536.333,16,"129.917",4,NA,NA,10.167,1,49.667,1,59.833,2,19.75,1,188.667,4,280.583,5,113.333,2,72,47,58,"2,401.67",72,39,52,"1,258.42",18,14,"662.167",47,2,77.667,12,"584.5",10,2,5,18,25,17,122.583,23,16,4,5,3,5,0,2,3,6,6,7,9,10,4,4,1,28.667,4,1,28,115,84,26,1,44,91.25,3267,4,44,44,6,6,7,6,2,1,5,2,4,4,3,0,3,0,57,56,26,17,7,69,18,13,28,74,63,64,13,3,56,6,2,13,2,2,1,20,0,57,7,41,31,-1.434,4,60,0.953,28,2.734,42,0.953,6,-0.004,49,0.094,36,NA,17,0.72,2.42857142857143,"26th-CUTLINE",67.75
"905",9,905,"R",2016,110,6,NA,0,10505,"Bertsch, Shane","45 09 18","Sony Open in Hawaii","Y ",25.5,"18,661.50",42," T42",65,9,68,16,69,31,69,42,0,0,0,0,65,271,4,42,6.264,42,1,12,12,74,54,5,6,NA,NA,5,5,13,48,330,336,2241,8,70,15914,52,14,34,56,21,55,11,5,89.833,2,10.917,1,53,4,153.75,7,200.25,12,277.833,11,496.5,13,"345.333",9,16.917,1,NA,NA,47.583,2,64.5,3,145.583,5,178.25,5,NA,NA,122.583,2,72,48,53,"2,302.92",72,26,52,"1,473.67",59,15,"510.917",5,11,343.917,4,"167",7,5,2,20,24,3,120.167,21,25,3,5,8,8,1,4,3,3,11,12,5,5,8,9,2,58.417,9,0,NA,112,85,33,1,39,67.667,3222,4,44,44,8,8,4,4,1,1,8,6,1,1,0,0,2,1,56,56,1,12,9,7,14,12,4,68,65,1,11,3,42,10,3,19,4,1,13,19,0,57,7,44,39,3.787,4,14,0.316,60,2.734,42,0.316,39,-0.587,65,0.008,47,NA,13,0.833333333333333,2.6,"26th-CUTLINE",67.75
"906",10,906,"R",2016,110,6,NA,0,40058,"Blair, Zac","25 04 28","Sony Open in Hawaii","Y ",190,"394,400.00",3,"3",65,9,65,3,64,1,67,3,0,0,0,0,64,261,4,3,6.264,3,0,40,23,4,45,4,4,NA,NA,4,3,21,49,321,700,2337,8,58,15684,67,9,40,56,4,30,2,9,NA,0,46.667,3,30.25,2,76.917,5,141.167,9,304.167,12,550.667,18,"536.583",11,NA,NA,NA,NA,NA,NA,NA,NA,24.083,1,269.583,5,278.667,4,117,1,72,49,48,"2,520.58",72,50,56,"1,613.33",63,11,"689.333",72,2,228.583,9,"460.75",8,4,5,19,23,4,109.75,23,8,4,5,3,3,2,4,1,2,9,10,7,7,2,5,56,18.667,4,2,8,105,82,36,1,34,64.167,5147,4,42,41,9,9,1,1,3,3,1,0,3,1,5,2,3,1,52,51,34,15,7,62,8,5,54,67,58,55,9,4,11,4,3,1,8,1,39,17,4,2,12,38,1,6.541,4,2,0.201,14,12.734,3,0.201,44,0.655,23,0.693,7,NA,23,0.826086956521739,5.75,"Top25",65.25
