Tour;Tournament Year;Tournament Number;Permanent Tournament Number;Team ID; Team Number; Player Number;Player Name; Player Age (years, months,days);Event Name;Official Event(Y/N);FedExCup Points;Money;Finish Position(numeric);Finish Position(text);Round 1 Score;Round 1 Pos;Round 2 Score;Round 2 Pos;Round 3 Score;Round 3 Pos;Round 4 Score;Round 4 Pos;Round 5 Score;Round 5 Pos;Round 6 Score;Round 6 Pos;Lowest Round;Total Strokes;Total Rounds);Stroke Average (Rank);Scoring Avg(Total Adjustment);Scoring Avg(Total Adjustment - Rank);Eagles;Eagles (Rank);Birdies;Birdies (Rank);Pars;Bogeys;Bogeys (Rank);Doubles;Others;Total Holes Over Par; Bogey Avoidance Rank;Birdie or Better Conv %(# Birdies);Birdie or Better Conv %(# Greens Hit);Longest Drive;Longest Drive (Rank);Driving Distance(Total Distance);Driving Distance(Total Drives);Driving Distance (Rank);Driving Dist. - All Drives(Tot. Dist.);Driving Dist. - All Drives(Rank);Drives Over 300 Yards (# of Drives);Driving Acc. %(Fairways Hit);Driving Acc. %(Possible Fairways);Driving Accuracy Rank;Total Driving (Rank);Left Rough Tendency(Total Left Rough);Right Rough Tendency(Total Right Rough);App. 50-75 yds(ft);App. 50-75 yds(attempts);App. 75-100 yds(ft);App. 75-100 yds(attempts);App. 100-125 yds(ft);App. 100-125 yds(attempts);App. 50-125 Yards(ft);App.  50-125 Yards(attempts);Approaches  125-150 Yards(ft);Approaches   125-150 Yards(attempts);Approaches   150-175 Yards(ft);Approaches   150-175 Yards(attempts);Approaches   175-200 Yards(ft);Approaches   175-200 Yards(attempts);Approaches   >200 Yards(ft);Approaches   >200 Yards(attempts);App. 50-75 yds(ft) - Rough;App. 50-75 yds(attempts) - Rough;App. 75-100 yds(ft) - Rough;App. 75-100 yds(attempts) - Rough;App. 100-125 yds(ft) - Rough;App. 100-125 yds(attempts) - Rough;Approaches 50-125 Yards(ft) - Rough;Approaches 50-125 Yards(attempts) - Rough;Approaches 125-150 Yards(ft) - Rough;Approaches 125-150 Yards(attempts) - Rough;Approaches 150-175 Yards(ft) - Rough;Approaches 150-175 Yards(attempts) - Rough;Approaches 175-200 Yards(ft) - Rough;Approaches 175-200 Yards(attempts) - Rough;Approaches >200 Yards(ft) - Rough;Approaches   >200 Yards(attempts) - Rough;Total Holes Played;Total Greens in Regulation;GIR Rank;Total Distance(ft) Prox to Hole; # of Attempts Prox to Hole;Proximity to Hole (Rank);Fairway Prox(attempts);Fairway Prox(distance in ft);Fairway Prox (Rank);Rough Prox(attempts);Rough Prox(distance in ft);Rough Prox (Rank);Left Rough Prox(attempts);Left Rough Prox(distance in ft);Right Rough Prox(attempts);Right Rough Prox(distance in ft);Going for Green(attempts);Going for Green(non-attempts);Going for the Green(successes);Scrambling Par or Better;Scrambling Missed GIR;Scrambling (Rank);Scrambling Proximity (Total Distance);Scrambling Proximity (# of shots);Scrambling Proximity (rank);Scrambling from the Rough(successes);Scrambling from the Rough(attempts);Scrambling from the Fringe(successes);Scrambling from the Fringe(attempts);Scrambling   >30 Yards(successes); Scrambling   >30 Yards(attempts);Scrambling 20-30 Yards(successes); Scrambling   20-30 Yards(attempts);Scrambling 10-20 Yards(successes); Scrambling 10-20 Yards(attempts);Scrambling < 10 Yards(successes); Scrambling  < 10 Yards(attempts);Sand Save %(# Saves);Sand Save %(# Bunkers);Sand Save (Rank);Prox to Hole from Sand(Total Distance); Prox to Hole from Sand(# of Shots);Total Hole Outs;Longest Hole Out(yards);Overall Putting Avg(# of Putts); Putting Avg(GIR Putts);One-Putt %(# of One Putts);3-Putt Avoid(Total 3 Putts);Approach Putt Performance(attempts);Approach Putt Performance(ft));Avg Distance of Putts Made(Total Distance of Putts);Total Rounds Played;Putting 3'(attempts);Putting 3'(putts made);Putting   4'(attempts);Putting 4'(putts made);Putting 5'(attempts);Putting 5'(putts made);Putting 6'(attempts);Putting 6'(putts made);Putting 7'(attempts);Putting 7'(putts made);Putting 8'(attempts);Putting 8'(putts made);Putting 9'(attempts);Putting 9'(putts made);Putting 10'(attempts);Putting 10'(putts made);Putting Inside 5' (putts made);Putting Inside 5' (attempts);Putting Inside 5 Feet (Rank);Putting 5' - 10' (putts made);Putting 5' - 10' (attempts);Putting 5' - 10' (Rank);Putting 4'-8'(attempts);Putting 4'-8'(putts made);Putting 4' - 8' (Rank);Putting-Inside 10'(attempts);Putting-Inside 10'(putts made);Putting-Inside 10'(rank);Putting 10'-15'(attempts);Putting   10'-15'(putts made);Putting 10'-15'(rank);Putting 15-20'(attempts);Putting 15'-20'(putts made);Putting 15'-20'(rank);Putting 20'-25'(attempts);Putting 20'-25'(putts made);Putting 20'-25'(rank);Putting >25'(attempts);Putting >25'(putts made);Putting >25'(rank);Putting > 10' (putts made);Putting > 10' (attempts);Putting > 10' (rank);Total Putts Gained;Total Rounds Played(Putts Gained);Putts Gained Rank;TTL SG T2G;SG: T2G Rank;TTL SG Total;SG: Total Rank;OTT SG Avg.;OTT SG Rank;APP SG Avg.;APP SG Rank;ARG SG Avg.;ARG SG Rank;
R;2015;400;032;;000;20771;Alker, Steven;43 11 28;RBC Canadian Open;Y ;.640;   9,802.00;087; T87;071;069;069;044;077;087;000;000;000;000;000;000;00000000069;00000000217;  00000000003;999;      2.351;999;00000000001;999;          6;999;         39;          7;999;          1;;              8;999;00000000005;00000000031;00000000333;662;00000001753;00000000006;00000000999;00000012092;999;         12;00000000022;  00000000042;00000000999;00000000999;00000000009;00000000006;          6.333;001;         41.583;003;        107.750;005;        155.667;00000000009;        214.583;010;        275.333;009;        174.083;006;        152.167;004;  ;;;;     62.417;          2;     62.417;          2;    106.917;          4;    235.583;          4;     32.417;          1;    105.583;          1;00000000054;  00000000031;00000000999;      1,657.250;00000000054;  999;00000000038;    971.833;999;00000000012;    542.917;999;00000000008;    433.167;00000000004;    109.750;  00000000005;00000000007;00000000002;00000000015;00000000023;999;    107.833;         20;999;00000000010;00000000013;00000000004;00000000005;00000000000;00000000003;00000000001;00000000002;00000000005;00000000007;00000000009;00000000010;00000000001;00000000004;999;           16.917;00000000002;00000000001;         17;00000000083;00000000058;00000000021;00000000000;00000000031;     55.667;00000001537;00000000003;00000000037;00000000037;00000000005;00000000005;  00000000005;00000000004;00000000002;00000000002;00000000006;00000000003;00000000001;00000000000;00000000000;00000000000;00000000001;00000000000;         47;         46;999;         10;            5;999;00000000014;00000000009;999;00000000057;00000000051;999;00000000004;00000000001;999;00000000005;00000000000;999;00000000004;00000000000;999;00000000013;00000000000;999;          1;         26;999; 2.701-;      3;999;  .629-;999; 3.352-;999;-.629;999;-.392;999;.804;999;
R;2015;400;032;;000;10885;Allenby, Robert;44 00 14;RBC Canadian Open;Y ;.000;;999; W/D;081;155;000;000;000;000;000;000;000;000;000;000;00000000081;00000000081;  00000000001;999;       .871;999;00000000000;999;          4;999;          5;          7;999;;          2;              9;999;00000000003;00000000007;00000000355;120;00000000636;00000000002;00000000999;00000004252;999;          6;00000000005;  00000000014;00000000999;00000000999;00000000006;00000000001;;000;         46.083;002;;000;         46.083;00000000002;        196.000;007;;000;         68.833;002;;000;  ;;     31.417;          1;     12.000;          1;     43.417;          2;     48.667;          2;     55.417;          1;    119.333;          2;;;00000000018;  00000000007;00000000999;        577.750;00000000018;  999;00000000011;    310.917;999;00000000007;    266.833;999;00000000005;    223.417;00000000002;     43.417;  00000000002;00000000002;00000000000;00000000003;00000000011;999;     61.250;          8;999;00000000001;00000000004;00000000002;00000000002;00000000000;00000000002;00000000000;00000000001;00000000001;00000000005;00000000002;00000000002;00000000000;00000000003;999;           28.583;00000000002;00000000000;;00000000030;00000000012;00000000005;00000000001;00000000012;     42.833;00000000844;00000000001;00000000009;00000000009;00000000003;00000000003;  00000000001;00000000000;00000000000;00000000000;00000000000;00000000000;00000000004;00000000002;00000000000;00000000000;00000000001;00000000000;         13;         12;999;          5;            2;999;00000000005;00000000002;999;00000000018;00000000014;999;00000000007;00000000003;999;00000000002;00000000000;999;00000000000;00000000000;;00000000003;00000000000;999;          3;         12;999; 2.134-;      1;999;  .675-;999; 9.872-;999;-.675;999;-4.045;999;-3.018;999;
R;2015;400;032;;000;19803;Armour, Ryan;39 04 29;RBC Canadian Open;Y ;.000;;999; CUT;072;088;074;119;000;000;000;000;000;000;000;000;00000000072;00000000146;  00000000002;999;      1.638;999;00000000001;999;          7;999;         21;          5;999;          1;          1;              7;999;00000000008;00000000022;00000000331;749;00000001116;00000000004;00000000999;00000008006;999;         10;00000000014;  00000000028;00000000999;00000000999;00000000003;00000000006;;000;         27.333;003;         16.333;001;         43.667;00000000004;        121.917;006;        190.917;006;        156.333;005;        177.250;004;       23.250;          1;;;;;     23.250;          1;     33.500;          3;    134.250;          2;     75.833;          1;    101.583;          1;00000000036;  00000000022;00000000999;      1,158.250;00000000036;  999;00000000025;    690.083;999;00000000008;    368.417;999;00000000003;     94.917;00000000005;    273.500;  00000000004;00000000004;00000000001;00000000007;00000000014;999;    101.833;         13;999;00000000006;00000000011;00000000000;00000000000;00000000000;00000000000;00000000002;00000000004;00000000003;00000000005;00000000002;00000000004;00000000001;00000000003;999;           11.417;00000000002;00000000000;;00000000059;00000000036;00000000015;00000000001;00000000021;     38.917;00000002068;00000000002;00000000026;00000000024;00000000002;00000000002;  00000000004;00000000003;00000000001;00000000000;00000000002;00000000001;00000000003;00000000001;00000000000;00000000000;00000000002;00000000001;         32;         29;999;          8;            3;999;00000000010;00000000005;999;00000000040;00000000032;999;00000000005;00000000001;999;00000000007;00000000001;999;00000000003;00000000001;999;00000000004;00000000001;999;          4;         19;999; 2.476-;      2;999;  .451-;999; 3.638-;999;-.451;999;-.049;999;-.080;999;
R;2015;400;032;;000;23048;Axley, Eric;41 03 04;RBC Canadian Open;Y ;11.000;  12,760.00;058; T58;067;008;068;006;075;038;074;058;000;000;000;000;00000000067;00000000284;  00000000004;58;      3.108;58;00000000003;1;         10;77;         49;          8;21;          2;;             10;029;00000000011;00000000038;00000000352;151;00000002178;00000000008;00000000077;00000016390;60;         19;00000000022;  00000000056;00000000070;00000000077;00000000015;00000000013;         57.083;002;         84.083;003;        158.000;010;        299.167;00000000015;        157.083;007;        276.583;009;        305.000;007;        321.333;007;        8.667;          1;     21.833;          1;    108.417;          4;    138.917;          6;    103.583;          4;    123.667;          3;    396.000;          6;    259.667;          5;00000000072;  00000000039;00000000076;      2,449.333;00000000072;  70;00000000045;  1,359.167;77;00000000025;  1,029.917;48;00000000011;    496.833;00000000014;    533.083;  00000000010;00000000006;00000000004;00000000023;00000000033;17;    173.750;         28;13;00000000008;00000000012;00000000006;00000000006;00000000002;00000000006;00000000001;00000000002;00000000011;00000000016;00000000009;00000000009;00000000009;00000000013;13;           81.500;00000000010;00000000002;        117;00000000106;00000000067;00000000032;00000000000;00000000037;     71.583;00000003721;00000000004;00000000043;00000000043;00000000005;00000000005;  00000000005;00000000004;00000000004;00000000003;00000000001;00000000001;00000000002;00000000001;00000000008;00000000002;00000000003;00000000001;         53;         52;34;         18;            8;74;00000000012;00000000009;26;00000000071;00000000060;74;00000000010;00000000005;7;00000000007;00000000002;20;00000000005;00000000000;37;00000000013;00000000002;6;          9;         35;8;  2.190;      4;27;  .019-;64;   .892;58;-.019;50;-.252;66;-.053;52;
R;2015;400;032;;000;22371;Baddeley, Aaron;34 04 09;RBC Canadian Open;Y ;.000;;999; CUT;073;109;072;108;000;000;000;000;000;000;000;000;00000000072;00000000145;  00000000002;999;      1.638;999;00000000000;999;          5;999;         26;          4;999;          1;;              5;999;00000000005;00000000023;00000000351;167;00000001210;00000000004;00000000999;00000008386;999;         14;00000000013;  00000000028;00000000999;00000000999;00000000003;00000000005;;000;         14.250;002;;000;         14.250;00000000002;        220.500;008;        120.417;008;         57.750;002;        107.167;003;  ;;;;     44.417;          1;     44.417;          1;     52.917;          2;     75.167;          2;;;     72.833;          1;00000000036;  00000000023;00000000999;      1,064.500;00000000036;  999;00000000024;    524.500;999;00000000006;    245.333;999;00000000003;    108.583;00000000003;    136.750;  00000000005;00000000003;00000000001;00000000010;00000000013;999;     79.083;         12;999;00000000005;00000000007;00000000004;00000000004;00000000000;00000000000;00000000001;00000000001;00000000005;00000000007;00000000004;00000000004;00000000002;00000000002;999;           16.167;00000000002;00000000000;;00000000058;00000000044;00000000016;00000000002;00000000020;     37.500;00000001439;00000000002;00000000027;00000000027;00000000003;00000000001;  00000000002;00000000001;00000000005;00000000003;00000000001;00000000000;00000000002;00000000000;00000000000;00000000000;00000000002;00000000000;         32;         29;999;         10;            3;999;00000000010;00000000004;999;00000000042;00000000032;999;00000000003;00000000003;999;00000000005;00000000001;999;00000000001;00000000000;999;00000000007;00000000000;999;          4;         16;999; 3.506-;      2;999;  .140-;999; 2.638-;999;-.140;999;.954;999;-.379;999;
R;2015;400;032;;000;28259;Bae, Sangmoon;29 01 05;RBC Canadian Open;Y ;.000;;999; CUT;073;109;072;108;000;000;000;000;000;000;000;000;00000000072;00000000145;  00000000002;999;      1.638;999;00000000000;999;          5;999;         25;          6;999;;;              6;999;00000000005;00000000018;00000000363;54;00000001113;00000000004;00000000999;00000008326;999;         11;00000000007;  00000000028;00000000999;00000000999;00000000004;00000000010;;000;         29.917;002;         89.417;004;        119.333;00000000006;        108.667;005;        135.333;004;        213.333;003;        118.583;002;      105.583;          1;;;     94.167;          5;    199.750;          6;     79.250;          3;     77.667;          2;;;     45.917;          1;00000000036;  00000000018;00000000999;      1,222.583;00000000036;  999;00000000020;    695.250;999;00000000012;    402.583;999;00000000002;     60.000;00000000010;    342.583;  00000000005;00000000003;00000000000;00000000012;00000000018;999;    133.083;         15;999;00000000006;00000000008;00000000001;00000000001;00000000001;00000000004;00000000000;00000000002;00000000005;00000000006;00000000006;00000000006;00000000004;00000000005;999;           13.667;00000000004;00000000000;;00000000054;00000000031;00000000018;00000000000;00000000018;     30.417;00000001251;00000000002;00000000019;00000000019;00000000006;00000000006;  00000000005;00000000005;00000000003;00000000003;00000000002;00000000002;00000000001;00000000000;00000000001;00000000001;00000000000;00000000000;         30;         30;999;          7;            6;999;00000000011;00000000010;999;00000000037;00000000036;999;00000000003;00000000000;999;00000000003;00000000000;999;00000000003;00000000000;999;00000000008;00000000000;999;;         17;999;  1.320;      2;999;  .358-;999; 2.638-;999;-.358;999;-2.321;999;.700;999;
R;2015;400;032;;000;35545;Barber, Blayne;25 07 01;RBC Canadian Open;Y ;.580;   9,512.00;091;  91;068;017;074;072;079;091;000;000;000;000;000;000;00000000068;00000000221;  00000000003;999;      2.351;999;00000000000;999;         17;999;         19;         14;999;          4;;             18;999;00000000016;00000000030;00000000345;281;00000001814;00000000006;00000000999;00000012617;999;         24;00000000022;  00000000042;00000000999;00000000999;00000000010;00000000008;;000;         62.167;004;        138.000;005;        200.167;00000000009;        189.750;010;        279.667;010;          7.917;002;        275.500;004;       14.667;          1;;;     91.833;          4;    106.500;          5;    158.333;          5;     81.500;          1;    154.167;          3;     98.667;          2;00000000054;  00000000030;00000000999;      1,663.167;00000000054;  999;00000000035;    953.000;999;00000000016;    599.167;999;00000000010;    406.417;00000000006;    192.750;  00000000008;00000000004;00000000001;00000000011;00000000024;999;    227.250;         19;999;00000000005;00000000010;00000000002;00000000002;00000000001;00000000003;00000000000;00000000004;00000000006;00000000009;00000000004;00000000006;00000000003;00000000008;999;           65.250;00000000006;00000000001;          6;00000000084;00000000050;00000000028;00000000006;00000000025;     75.917;00000003160;00000000003;00000000027;00000000026;00000000006;00000000006;  00000000007;00000000005;00000000003;00000000000;00000000003;00000000002;00000000004;00000000004;00000000005;00000000004;00000000002;00000000001;         40;         37;999;         17;           11;999;00000000017;00000000011;999;00000000057;00000000048;999;00000000008;00000000002;999;00000000006;00000000002;999;00000000001;00000000000;999;00000000012;00000000001;999;          5;         27;999;   .217;      3;999;   .343;999; 7.352-;999;.343;999;-1.537;999;-1.329;999;
R;2015;400;032;;000;24846;Barnes, Ricky;34 05 20;RBC Canadian Open;Y ;59.571; 115,171.43;011; T11;068;017;070;022;068;011;071;011;000;000;000;000;00000000068;00000000277;  00000000004;11;      3.108;11;00000000002;5;         17;35;         43;         10;43;;;             10;029;00000000017;00000000046;00000000364;52;00000002412;00000000008;00000000040;00000016443;58;         19;00000000034;  00000000056;00000000011;00000000017;00000000010;00000000006;;000;         72.417;003;        130.667;006;        203.083;00000000009;        394.750;017;        291.500;012;        186.667;006;        499.083;009;  ;;;;     11.417;          1;     11.417;          1;     71.500;          3;    138.000;          4;    266.167;          4;    142.583;          2;00000000072;  00000000047;00000000036;      2,424.417;00000000072;  65;00000000053;  1,575.083;74;00000000014;    629.667;60;00000000008;    417.500;00000000006;    212.167;  00000000012;00000000004;00000000005;00000000016;00000000025;37;    168.500;         23;37;00000000009;00000000013;00000000001;00000000001;00000000001;00000000002;00000000001;00000000003;00000000012;00000000018;00000000002;00000000002;00000000006;00000000010;31;           93.417;00000000010;00000000002;        160;00000000113;00000000080;00000000029;00000000002;00000000041;     83.583;00000003566;00000000004;00000000043;00000000043;00000000007;00000000007;  00000000006;00000000003;00000000002;00000000002;00000000005;00000000004;00000000003;00000000001;00000000001;00000000001;00000000005;00000000002;         56;         53;70;         16;           10;32;00000000016;00000000010;62;00000000072;00000000063;51;00000000016;00000000003;60;00000000007;00000000003;8;00000000003;00000000000;37;00000000015;00000000001;28;          7;         41;34;   .373;      4;48;   .402;7;  7.892;11;.402;31;.743;27;.735;13;
R;2015;400;032;;000;47516;Beale, James;;RBC Canadian Open;Y ;.000;;999; CUT;075;138;075;141;000;000;000;000;000;000;000;000;00000000075;00000000150;  00000000002;999;      1.638;999;00000000000;999;          4;999;         23;          8;999;          1;;              9;999;00000000003;00000000019;00000000345;281;00000001087;00000000004;00000000999;00000008200;999;          9;00000000015;  00000000028;00000000999;00000000999;00000000006;00000000003;         34.167;001;         27.000;002;         35.750;003;         96.917;00000000006;        166.417;007;         98.333;004;        242.417;004;        276.167;004;       18.667;          2;      6.750;          1;     54.750;          2;     80.167;          5;     65.667;          2;     54.750;          2;;;     57.917;          1;00000000036;  00000000019;00000000999;      1,138.750;00000000035;  999;00000000025;    880.250;999;00000000010;    258.500;999;00000000006;    181.583;00000000004;     76.917;  00000000004;00000000004;00000000001;00000000008;00000000017;999;    118.333;         13;999;00000000006;00000000012;00000000000;00000000000;00000000002;00000000004;00000000000;00000000000;00000000001;00000000005;00000000005;00000000006;00000000001;00000000004;999;           35.167;00000000003;00000000001;          9;00000000060;00000000036;00000000011;00000000001;00000000024;     56.167;00000001592;00000000002;00000000021;00000000021;00000000006;00000000006;  00000000000;00000000000;00000000003;00000000002;00000000003;00000000000;00000000000;00000000000;00000000000;00000000000;00000000004;00000000002;         27;         27;999;         10;            4;999;00000000006;00000000002;999;00000000037;00000000031;999;00000000010;00000000003;999;00000000006;00000000001;999;00000000001;00000000000;999;00000000006;00000000000;999;          4;         23;999; 2.504-;      2;999;  .040-;999; 7.638-;999;-.040;999;-2.312;999;-.215;999;
R;2015;400;032;;000;32334;Beljan, Charlie;30 09 16;RBC Canadian Open;Y ;.000;;999; CUT;074;123;072;119;000;000;000;000;000;000;000;000;00000000072;00000000146;  00000000002;999;      1.638;999;00000000001;999;          8;999;         17;          8;999;          2;;             10;999;00000000008;00000000020;00000000370;37;00000001253;00000000004;00000000999;00000008876;999;         22;00000000017;  00000000028;00000000999;00000000999;00000000005;00000000003;;000;        130.750;005;         96.917;004;        227.667;00000000009;        309.000;010;        126.500;004;         70.917;003;          3.250;001;  ;;     16.083;          1;     24.000;          1;     40.083;          2;    111.667;          3;;;;;    130.417;          2;00000000036;  00000000020;00000000999;      1,137.333;00000000036;  999;00000000027;    737.333;999;00000000007;    282.167;999;00000000004;    197.083;00000000003;     85.083;  00000000005;00000000003;00000000002;00000000008;00000000016;999;    158.917;         14;999;00000000003;00000000005;00000000001;00000000001;00000000000;00000000001;00000000001;00000000001;00000000006;00000000010;00000000001;00000000003;00000000004;00000000009;999;           53.333;00000000007;00000000000;;00000000056;00000000036;00000000017;00000000002;00000000018;     39.500;00000001998;00000000002;00000000013;00000000011;00000000010;00000000010;  00000000004;00000000001;00000000006;00000000006;00000000000;00000000000;00000000001;00000000000;00000000001;00000000000;00000000000;00000000000;         27;         22;999;          8;            6;999;00000000011;00000000007;999;00000000035;00000000028;999;00000000007;00000000007;999;00000000004;00000000000;999;00000000004;00000000000;999;00000000006;00000000000;999;          7;         21;999;   .058;      2;999;  1.454;999; 3.638-;999;1.454;999;-2.967;999;-.335;999;
