Tour;Tournament Year;Tournament Number;Permanent Tournament Number;Team ID; Team Number; Player Number;Player Name; Player Age (years, months,days);Event Name;Official Event(Y/N);FedExCup Points;Money;Finish Position(numeric);Finish Position(text);Round 1 Score;Round 1 Pos;Round 2 Score;Round 2 Pos;Round 3 Score;Round 3 Pos;Round 4 Score;Round 4 Pos;Round 5 Score;Round 5 Pos;Round 6 Score;Round 6 Pos;Lowest Round;Total Strokes;Total Rounds);Stroke Average (Rank);Scoring Avg(Total Adjustment);Scoring Avg(Total Adjustment - Rank);Eagles;Eagles (Rank);Birdies;Birdies (Rank);Pars;Bogeys;Bogeys (Rank);Doubles;Others;Total Holes Over Par; Bogey Avoidance Rank;Birdie or Better Conv %(# Birdies);Birdie or Better Conv %(# Greens Hit);Longest Drive;Longest Drive (Rank);Driving Distance(Total Distance);Driving Distance(Total Drives);Driving Distance (Rank);Driving Dist. - All Drives(Tot. Dist.);Driving Dist. - All Drives(Rank);Drives Over 300 Yards (# of Drives);Driving Acc. %(Fairways Hit);Driving Acc. %(Possible Fairways);Driving Accuracy Rank;Total Driving (Rank);Left Rough Tendency(Total Left Rough);Right Rough Tendency(Total Right Rough);App. 50-75 yds(ft);App. 50-75 yds(attempts);App. 75-100 yds(ft);App. 75-100 yds(attempts);App. 100-125 yds(ft);App. 100-125 yds(attempts);App. 50-125 Yards(ft);App.  50-125 Yards(attempts);Approaches  125-150 Yards(ft);Approaches   125-150 Yards(attempts);Approaches   150-175 Yards(ft);Approaches   150-175 Yards(attempts);Approaches   175-200 Yards(ft);Approaches   175-200 Yards(attempts);Approaches   >200 Yards(ft);Approaches   >200 Yards(attempts);App. 50-75 yds(ft) - Rough;App. 50-75 yds(attempts) - Rough;App. 75-100 yds(ft) - Rough;App. 75-100 yds(attempts) - Rough;App. 100-125 yds(ft) - Rough;App. 100-125 yds(attempts) - Rough;Approaches 50-125 Yards(ft) - Rough;Approaches 50-125 Yards(attempts) - Rough;Approaches 125-150 Yards(ft) - Rough;Approaches 125-150 Yards(attempts) - Rough;Approaches 150-175 Yards(ft) - Rough;Approaches 150-175 Yards(attempts) - Rough;Approaches 175-200 Yards(ft) - Rough;Approaches 175-200 Yards(attempts) - Rough;Approaches >200 Yards(ft) - Rough;Approaches   >200 Yards(attempts) - Rough;Total Holes Played;Total Greens in Regulation;GIR Rank;Total Distance(ft) Prox to Hole; # of Attempts Prox to Hole;Proximity to Hole (Rank);Fairway Prox(attempts);Fairway Prox(distance in ft);Fairway Prox (Rank);Rough Prox(attempts);Rough Prox(distance in ft);Rough Prox (Rank);Left Rough Prox(attempts);Left Rough Prox(distance in ft);Right Rough Prox(attempts);Right Rough Prox(distance in ft);Going for Green(attempts);Going for Green(non-attempts);Going for the Green(successes);Scrambling Par or Better;Scrambling Missed GIR;Scrambling (Rank);Scrambling Proximity (Total Distance);Scrambling Proximity (# of shots);Scrambling Proximity (rank);Scrambling from the Rough(successes);Scrambling from the Rough(attempts);Scrambling from the Fringe(successes);Scrambling from the Fringe(attempts);Scrambling   >30 Yards(successes); Scrambling   >30 Yards(attempts);Scrambling 20-30 Yards(successes); Scrambling   20-30 Yards(attempts);Scrambling 10-20 Yards(successes); Scrambling 10-20 Yards(attempts);Scrambling < 10 Yards(successes); Scrambling  < 10 Yards(attempts);Sand Save %(# Saves);Sand Save %(# Bunkers);Sand Save (Rank);Prox to Hole from Sand(Total Distance); Prox to Hole from Sand(# of Shots);Total Hole Outs;Longest Hole Out(yards);Overall Putting Avg(# of Putts); Putting Avg(GIR Putts);One-Putt %(# of One Putts);3-Putt Avoid(Total 3 Putts);Approach Putt Performance(attempts);Approach Putt Performance(ft));Avg Distance of Putts Made(Total Distance of Putts);Total Rounds Played;Putting 3'(attempts);Putting 3'(putts made);Putting   4'(attempts);Putting 4'(putts made);Putting 5'(attempts);Putting 5'(putts made);Putting 6'(attempts);Putting 6'(putts made);Putting 7'(attempts);Putting 7'(putts made);Putting 8'(attempts);Putting 8'(putts made);Putting 9'(attempts);Putting 9'(putts made);Putting 10'(attempts);Putting 10'(putts made);Putting Inside 5' (putts made);Putting Inside 5' (attempts);Putting Inside 5 Feet (Rank);Putting 5' - 10' (putts made);Putting 5' - 10' (attempts);Putting 5' - 10' (Rank);Putting 4'-8'(attempts);Putting 4'-8'(putts made);Putting 4' - 8' (Rank);Putting-Inside 10'(attempts);Putting-Inside 10'(putts made);Putting-Inside 10'(rank);Putting 10'-15'(attempts);Putting   10'-15'(putts made);Putting 10'-15'(rank);Putting 15-20'(attempts);Putting 15'-20'(putts made);Putting 15'-20'(rank);Putting 20'-25'(attempts);Putting 20'-25'(putts made);Putting 20'-25'(rank);Putting >25'(attempts);Putting >25'(putts made);Putting >25'(rank);Putting > 10' (putts made);Putting > 10' (attempts);Putting > 10' (rank);Total Putts Gained;Total Rounds Played(Putts Gained);Putts Gained Rank;TTL SG T2G;SG: T2G Rank;TTL SG Total;SG: Total Rank;OTT SG Avg.;OTT SG Rank;APP SG Avg.;APP SG Rank;ARG SG Avg.;ARG SG Rank;
R;2015;250;012;;000;29910;Adams, Blake;39 07 23;RBC Heritage;Y ;63.000; 129,800.00;011; T11;072;055;065;012;071;027;066;011;000;000;000;000;00000000065;00000000274;  00000000004;11;      2.567;11;00000000000;16;         21;3;         41;          9;39;          1;;             10;039;00000000021;00000000054;00000000310;70;00000002200;00000000008;00000000050;00000014607;58;          1;00000000044;  00000000056;00000000005;00000000015;00000000004;00000000003;;000;         19.833;001;        177.583;009;        197.417;00000000010;        171.417;009;        357.500;015;        507.417;018;        387.583;007;  ;;;;     21.917;          2;     21.917;          2;     42.250;          2;     49.667;          1;    164.583;          4;;;00000000072;  00000000054;00000000004;      2,127.500;00000000072;  17;00000000059;  1,621.333;21;00000000009;    278.417;15;00000000005;    173.167;00000000004;    105.250;  00000000006;00000000008;00000000001;00000000009;00000000018;70;    264.417;         17;76;00000000002;00000000006;00000000002;00000000002;00000000000;00000000001;00000000000;00000000001;00000000008;00000000014;00000000001;00000000002;00000000000;00000000003;68;           31.083;00000000002;00000000000;;00000000115;00000000089;00000000030;00000000001;00000000042;    104.917;00000004217;00000000004;00000000043;00000000043;00000000008;00000000006;  00000000004;00000000003;00000000005;00000000005;00000000002;00000000000;00000000003;00000000000;00000000003;00000000002;00000000002;00000000000;         55;         52;62;         15;            7;62;00000000014;00000000008;66;00000000070;00000000059;62;00000000014;00000000006;14;00000000008;00000000005;1;00000000009;00000000002;21;00000000014;00000000000;56;         13;         45;5;  2.358;      4;29;   .449;16;  7.434;11;.449;23;1.937;4;-1.117;75;
R;2015;250;012;;000;10885;Allenby, Robert;43 09 07;RBC Heritage;Y ;14.000;  13,334.00;055; T55;071;036;071;067;067;037;073;055;000;000;000;000;00000000067;00000000282;  00000000004;55;      2.567;55;00000000000;16;         13;56;         50;          7;22;          2;;              9;028;00000000012;00000000045;00000000294;413;00000002192;00000000008;00000000051;00000014447;69;          0;00000000040;  00000000056;00000000016;00000000033;00000000006;00000000006;;000;         29.583;002;        161.833;012;        191.417;00000000014;        178.667;009;        301.583;010;        530.917;020;        542.083;008;  ;;;;      6.333;          1;      6.333;          1;    103.083;          3;    101.917;          3;     54.417;          2;     74.333;          1;00000000072;  00000000045;00000000040;      2,115.667;00000000072;  14;00000000061;  1,744.667;29;00000000010;    340.083;25;00000000006;    159.500;00000000004;    180.583;  00000000004;00000000010;00000000000;00000000019;00000000027;28;    215.917;         26;65;00000000005;00000000008;00000000005;00000000005;00000000000;00000000002;00000000003;00000000004;00000000007;00000000011;00000000009;00000000010;00000000002;00000000007;58;           35.333;00000000004;00000000001;          6;00000000109;00000000079;00000000032;00000000001;00000000038;     72.500;00000003146;00000000004;00000000051;00000000051;00000000006;00000000006;  00000000001;00000000001;00000000003;00000000002;00000000005;00000000001;00000000002;00000000001;00000000003;00000000001;00000000001;00000000000;         58;         58;1;         14;            5;74;00000000011;00000000005;75;00000000072;00000000063;45;00000000014;00000000004;40;00000000008;00000000001;47;00000000005;00000000000;43;00000000010;00000000002;7;          7;         37;31; 2.289-;      4;61;   .088;38;  .566-;55;.088;44;.910;15;-.567;67;
R;2015;250;012;;000;07867;Austin, Woody;51 02 23;RBC Heritage;Y ;.000;;999; CUT;075;111;073;120;000;000;000;000;000;000;000;000;00000000073;00000000148;  00000000002;999;       .289;999;00000000000;999;          5;999;         24;          4;999;          2;          1;              7;999;00000000005;00000000015;00000000317;40;00000001116;00000000004;00000000999;00000007364;999;          1;00000000022;  00000000028;00000000999;00000000999;00000000002;00000000002;;000;;000;        110.417;003;        110.417;00000000003;        155.500;006;        162.167;007;        339.583;008;        151.333;003;       65.667;          1;;;;;     65.667;          1;     54.250;          2;;;;;;;00000000036;  00000000015;00000000999;      1,206.917;00000000036;  999;00000000027;    919.000;999;00000000003;    119.917;999;00000000002;     54.250;00000000001;     65.667;  00000000002;00000000004;00000000001;00000000014;00000000021;999;    115.167;         18;999;00000000002;00000000005;00000000004;00000000004;00000000000;00000000000;00000000005;00000000008;00000000006;00000000006;00000000003;00000000004;00000000002;00000000003;999;           10.417;00000000003;00000000000;;00000000052;00000000026;00000000020;00000000000;00000000016;     36.500;00000001625;00000000002;00000000019;00000000019;00000000005;00000000005;  00000000004;00000000004;00000000002;00000000002;00000000005;00000000002;00000000001;00000000001;00000000001;00000000001;00000000001;00000000000;         28;         28;999;         10;            6;999;00000000012;00000000009;999;00000000038;00000000034;999;00000000006;00000000001;999;00000000003;00000000001;999;00000000001;00000000000;999;00000000004;00000000000;999;          2;         14;999;   .192;      2;999;   .765;999; 6.290-;999;.765;999;-3.829;999;-.177;999;
R;2015;250;012;;000;22371;Baddeley, Aaron;34 01 02;RBC Heritage;Y ;4.000;  12,272.00;066; T66;070;022;067;012;076;066;072;066;000;000;000;000;00000000067;00000000285;  00000000004;66;      2.567;66;00000000000;16;         16;29;         44;          8;28;          3;          1;             12;056;00000000014;00000000042;00000000331;8;00000002207;00000000008;00000000049;00000014902;36;          3;00000000031;  00000000056;00000000067;00000000069;00000000005;00000000007;;000;;000;        192.083;007;        192.083;00000000007;        146.667;007;        258.083;010;        590.250;016;        371.333;007;        8.417;          1;;;    113.917;          4;    122.333;          5;     72.583;          5;     91.333;          2;     66.917;          2;    243.500;          2;00000000072;  00000000042;00000000058;      2,609.000;00000000072;  68;00000000047;  1,558.417;70;00000000016;    596.667;30;00000000007;    213.417;00000000009;    383.250;  00000000007;00000000007;00000000001;00000000019;00000000030;54;    113.583;         24;12;00000000010;00000000014;00000000002;00000000003;00000000003;00000000007;00000000004;00000000007;00000000007;00000000011;00000000005;00000000005;00000000005;00000000006;7;           27.750;00000000006;00000000001;          9;00000000111;00000000072;00000000032;00000000003;00000000038;     75.250;00000003634;00000000004;00000000045;00000000044;00000000006;00000000004;  00000000004;00000000004;00000000005;00000000003;00000000008;00000000004;00000000003;00000000001;00000000004;00000000001;00000000002;00000000002;         55;         52;62;         22;           11;53;00000000020;00000000012;59;00000000077;00000000063;71;00000000009;00000000003;27;00000000011;00000000002;38;00000000004;00000000000;43;00000000010;00000000002;7;          7;         34;22; 2.008-;      4;58;  .656-;60; 3.566-;66;-.656;68;-.452;58;.719;9;
R;2015;250;012;;000;28259;Bae, Sangmoon;28 09 29;RBC Heritage;Y ;31.000;  25,370.00;037; T37;067;003;073;040;070;043;069;037;000;000;000;000;00000000067;00000000279;  00000000004;37;      2.567;37;00000000000;16;         14;44;         49;          9;39;;;              9;028;00000000013;00000000048;00000000305;114;00000002264;00000000008;00000000025;00000014986;27;          2;00000000035;  00000000056;00000000052;00000000045;00000000006;00000000010;;000;         38.333;002;         63.167;004;        101.500;00000000006;        118.750;009;        402.333;010;        736.417;021;        105.833;003;      116.250;          1;;;     30.167;          2;    146.417;          3;    191.417;          5;     39.500;          2;     74.833;          2;    343.000;          5;00000000072;  00000000048;00000000023;      2,520.500;00000000072;  63;00000000050;  1,469.000;35;00000000017;    795.167;66;00000000005;    231.917;00000000012;    563.250;  00000000007;00000000007;00000000001;00000000017;00000000024;27;    145.750;         22;41;00000000004;00000000005;00000000001;00000000001;00000000001;00000000003;00000000003;00000000006;00000000011;00000000013;00000000002;00000000002;00000000005;00000000006;7;           43.000;00000000006;00000000000;;00000000115;00000000086;00000000029;00000000002;00000000042;     87.250;00000002810;00000000004;00000000042;00000000041;00000000012;00000000011;  00000000009;00000000009;00000000004;00000000001;00000000001;00000000001;00000000002;00000000001;00000000003;00000000002;00000000001;00000000001;         63;         61;38;         11;            6;47;00000000016;00000000012;26;00000000074;00000000067;24;00000000010;00000000004;21;00000000011;00000000000;60;00000000006;00000000000;43;00000000014;00000000000;56;          4;         41;71; 1.846-;      4;55;   .597;20;  2.434;37;.597;10;.007;46;.466;18;
R;2015;250;012;;000;24846;Barnes, Ricky;34 02 13;RBC Heritage;Y ;31.000;  25,370.00;037; T37;069;009;072;048;070;054;068;037;000;000;000;000;00000000068;00000000279;  00000000004;37;      2.567;37;00000000000;16;         13;56;         51;          8;28;;;              8;020;00000000013;00000000044;00000000288;763;00000002113;00000000008;00000000072;00000014339;74;          0;00000000033;  00000000056;00000000059;00000000075;00000000002;00000000014;;000;         45.167;005;         53.500;004;         98.667;00000000009;         92.000;007;        243.750;010;        795.000;021;        402.750;007;  ;;;;    142.917;          3;    142.917;          3;;;    137.167;          4;    173.500;          3;    121.500;          3;00000000072;  00000000044;00000000048;      2,506.833;00000000072;  62;00000000054;  1,632.167;42;00000000013;    575.083;60;00000000001;     67.250;00000000012;    507.833;  00000000006;00000000008;00000000002;00000000021;00000000028;18;    236.083;         26;69;00000000007;00000000008;00000000001;00000000001;00000000001;00000000004;00000000010;00000000010;00000000007;00000000011;00000000003;00000000003;00000000004;00000000007;35;           63.417;00000000007;00000000001;          7;00000000110;00000000078;00000000033;00000000001;00000000038;     59.333;00000003050;00000000004;00000000051;00000000051;00000000005;00000000004;  00000000004;00000000003;00000000002;00000000001;00000000002;00000000001;00000000002;00000000001;00000000003;00000000003;00000000000;00000000000;         60;         58;40;          9;            6;18;00000000010;00000000006;59;00000000069;00000000064;12;00000000014;00000000004;40;00000000010;00000000002;32;00000000007;00000000000;43;00000000010;00000000001;24;          7;         41;38;  1.365;      4;37;  .556-;42;  2.434;37;-.556;64;.639;31;.184;34;
R;2015;250;012;;000;32334;Beljan, Charlie;30 06 09;RBC Heritage;Y ;1.327;  11,918.00;069; T69;069;009;072;048;074;071;071;069;000;000;000;000;00000000069;00000000286;  00000000004;69;      2.567;69;00000000000;16;         11;69;         48;         13;70;;;             13;064;00000000011;00000000039;00000000318;33;00000002267;00000000008;00000000024;00000015087;18;          6;00000000036;  00000000056;00000000042;00000000030;00000000005;00000000009;         21.417;002;;000;        185.667;008;        207.083;00000000010;        277.167;008;        317.500;012;        542.333;016;        425.333;007;  ;;     57.667;          1;     27.583;          1;     85.250;          2;     26.000;          2;    192.250;          4;    139.667;          3;     32.917;          1;00000000072;  00000000039;00000000069;      2,489.083;00000000072;  60;00000000054;  1,780.833;68;00000000012;    476.083;46;00000000005;    169.167;00000000007;    306.917;  00000000006;00000000008;00000000001;00000000022;00000000033;41;    255.333;         32;60;00000000006;00000000010;00000000004;00000000005;00000000000;00000000002;00000000003;00000000004;00000000009;00000000017;00000000010;00000000010;00000000000;00000000004;68;           32.083;00000000004;00000000000;;00000000111;00000000070;00000000036;00000000003;00000000036;     99.750;00000003115;00000000004;00000000043;00000000043;00000000010;00000000008;  00000000007;00000000007;00000000002;00000000001;00000000005;00000000002;00000000007;00000000003;00000000002;00000000001;00000000005;00000000004;         60;         58;40;         21;           11;52;00000000021;00000000013;55;00000000081;00000000069;60;00000000009;00000000003;27;00000000005;00000000000;60;00000000007;00000000000;43;00000000009;00000000000;56;          3;         30;70; 2.652-;      4;64;   .587;63; 4.566-;69;.587;11;-.717;66;-.348;56;
R;2015;250;012;;000;40026;Berger, Daniel;22 00 12;RBC Heritage;Y ;.950;  11,623.00;072; T72;072;055;068;040;075;071;072;072;000;000;000;000;00000000068;00000000287;  00000000004;72;      2.567;72;00000000001;5;          8;76;         51;         11;55;          1;;             12;056;00000000008;00000000044;00000000318;33;00000002363;00000000008;00000000002;00000015000;23;          7;00000000037;  00000000056;00000000032;00000000005;00000000004;00000000008;;000;         29.833;001;        134.250;007;        164.083;00000000008;        171.417;006;        480.667;015;        514.000;017;        408.667;007;       56.083;          1;      7.917;          1;     16.917;          1;     80.917;          3;    101.583;          3;     58.250;          2;;;    149.917;          2;00000000072;  00000000045;00000000040;      2,637.583;00000000071;  73;00000000053;  1,738.833;67;00000000010;    390.667;40;00000000004;     98.417;00000000006;    292.250;  00000000008;00000000006;00000000001;00000000017;00000000027;56;    241.917;         24;72;00000000004;00000000004;00000000000;00000000000;00000000001;00000000004;00000000002;00000000005;00000000009;00000000012;00000000005;00000000005;00000000001;00000000006;66;           38.250;00000000004;00000000001;         39;00000000115;00000000083;00000000029;00000000002;00000000042;     86.917;00000002259;00000000004;00000000052;00000000052;00000000009;00000000009;  00000000004;00000000002;00000000006;00000000005;00000000000;00000000000;00000000002;00000000001;00000000002;00000000000;00000000002;00000000001;         65;         63;37;         12;            7;44;00000000012;00000000008;46;00000000077;00000000070;22;00000000007;00000000000;72;00000000008;00000000001;47;00000000009;00000000000;43;00000000014;00000000000;56;          1;         38;76; 4.303-;      4;71;   .572;58; 5.566-;72;.572;12;-1.287;73;.399;21;
R;2015;250;012;;000;40058;Blair, Zac;24 07 30;RBC Heritage;Y ;24.000;  17,413.43;044; T44;070;022;069;029;071;043;070;044;000;000;000;000;00000000069;00000000280;  00000000004;44;      2.567;44;00000000000;16;         15;39;         46;         11;55;;;             11;050;00000000014;00000000042;00000000308;87;00000002167;00000000008;00000000062;00000014518;65;          1;00000000032;  00000000056;00000000062;00000000074;00000000004;00000000012;;000;         71.667;005;         51.833;003;        123.500;00000000008;        257.583;010;        273.083;009;        756.000;018;        233.000;004;  ;;     50.250;          1;     81.750;          2;    132.000;          3;      6.250;          1;     79.583;          2;     76.167;          4;    350.500;          6;00000000072;  00000000042;00000000058;      2,698.833;00000000072;  74;00000000049;  1,643.167;73;00000000016;    644.500;47;00000000004;    236.667;00000000012;    407.833;  00000000006;00000000008;00000000001;00000000021;00000000030;32;    185.583;         28;41;00000000006;00000000007;00000000001;00000000001;00000000001;00000000005;00000000006;00000000009;00000000010;00000000012;00000000004;00000000004;00000000005;00000000008;28;           60.250;00000000007;00000000001;         16;00000000107;00000000073;00000000037;00000000002;00000000034;     82.250;00000003573;00000000004;00000000039;00000000039;00000000008;00000000007;  00000000007;00000000006;00000000006;00000000006;00000000003;00000000002;00000000004;00000000003;00000000001;00000000000;00000000002;00000000002;         54;         52;49;         16;           13;3;00000000020;00000000017;7;00000000070;00000000065;10;00000000009;00000000004;9;00000000011;00000000001;55;00000000006;00000000000;43;00000000011;00000000001;27;          6;         37;41;  3.111;      4;22;  .792-;61;  1.434;44;-.792;72;-.024;47;.397;22;
R;2015;250;012;;000;27895;Blixt, Jonas;30 11 26;RBC Heritage;Y ;.000;;999; CUT;072;055;072;087;000;000;000;000;000;000;000;000;00000000072;00000000144;  00000000002;999;       .289;999;00000000000;999;          7;999;         21;          7;999;          1;;              8;999;00000000007;00000000021;00000000297;277;00000001132;00000000004;00000000999;00000007384;999;          0;00000000014;  00000000028;00000000999;00000000999;00000000004;00000000006;;000;;000;         44.250;003;         44.250;00000000003;        143.833;008;        152.750;005;        199.417;008;        101.833;001;  ;;;;     40.167;          1;     40.167;          1;     11.667;          1;    105.583;          4;     57.833;          1;     29.667;          1;00000000036;  00000000021;00000000999;        962.167;00000000035;  999;00000000025;    642.083;999;00000000008;    244.917;999;00000000003;     81.500;00000000005;    163.417;  00000000002;00000000004;00000000001;00000000007;00000000015;999;    101.833;         12;999;00000000001;00000000002;00000000001;00000000001;00000000000;00000000002;00000000000;00000000001;00000000007;00000000010;00000000000;00000000001;00000000003;00000000005;999;            8.917;00000000003;00000000000;;00000000054;00000000036;00000000018;00000000000;00000000018;     27.583;00000001985;00000000002;00000000023;00000000022;00000000004;00000000004;  00000000005;00000000003;00000000002;00000000001;00000000001;00000000000;00000000001;00000000000;00000000000;00000000000;00000000000;00000000000;         32;         29;999;          4;            1;999;00000000009;00000000004;999;00000000036;00000000030;999;00000000007;00000000003;999;00000000006;00000000002;999;00000000001;00000000000;999;00000000004;00000000001;999;          6;         18;999;  .225-;      2;999; 1.725-;999; 2.290-;999;-1.725;999;1.235;999;-.542;999;
