Tour;Tournament Year;Tournament Number;Permanent Tournament Number;Team ID; Team Number; Player Number;Player Name; Player Age (years, months,days);Event Name;Official Event(Y/N);FedExCup Points;Money;Finish Position(numeric);Finish Position(text);Round 1 Score;Round 1 Pos;Round 2 Score;Round 2 Pos;Round 3 Score;Round 3 Pos;Round 4 Score;Round 4 Pos;Round 5 Score;Round 5 Pos;Round 6 Score;Round 6 Pos;Lowest Round;Total Strokes;Total Rounds);Stroke Average (Rank);Scoring Avg(Total Adjustment);Scoring Avg(Total Adjustment - Rank);Eagles;Eagles (Rank);Birdies;Birdies (Rank);Pars;Bogeys;Bogeys (Rank);Doubles;Others;Total Holes Over Par; Bogey Avoidance Rank;Birdie or Better Conv %(# Birdies);Birdie or Better Conv %(# Greens Hit);Longest Drive;Longest Drive (Rank);Driving Distance(Total Distance);Driving Distance(Total Drives);Driving Distance (Rank);Driving Dist. - All Drives(Tot. Dist.);Driving Dist. - All Drives(Rank);Drives Over 300 Yards (# of Drives);Driving Acc. %(Fairways Hit);Driving Acc. %(Possible Fairways);Driving Accuracy Rank;Total Driving (Rank);Left Rough Tendency(Total Left Rough);Right Rough Tendency(Total Right Rough);App. 50-75 yds(ft);App. 50-75 yds(attempts);App. 75-100 yds(ft);App. 75-100 yds(attempts);App. 100-125 yds(ft);App. 100-125 yds(attempts);App. 50-125 Yards(ft);App.  50-125 Yards(attempts);Approaches  125-150 Yards(ft);Approaches   125-150 Yards(attempts);Approaches   150-175 Yards(ft);Approaches   150-175 Yards(attempts);Approaches   175-200 Yards(ft);Approaches   175-200 Yards(attempts);Approaches   >200 Yards(ft);Approaches   >200 Yards(attempts);App. 50-75 yds(ft) - Rough;App. 50-75 yds(attempts) - Rough;App. 75-100 yds(ft) - Rough;App. 75-100 yds(attempts) - Rough;App. 100-125 yds(ft) - Rough;App. 100-125 yds(attempts) - Rough;Approaches 50-125 Yards(ft) - Rough;Approaches 50-125 Yards(attempts) - Rough;Approaches 125-150 Yards(ft) - Rough;Approaches 125-150 Yards(attempts) - Rough;Approaches 150-175 Yards(ft) - Rough;Approaches 150-175 Yards(attempts) - Rough;Approaches 175-200 Yards(ft) - Rough;Approaches 175-200 Yards(attempts) - Rough;Approaches >200 Yards(ft) - Rough;Approaches   >200 Yards(attempts) - Rough;Total Holes Played;Total Greens in Regulation;GIR Rank;Total Distance(ft) Prox to Hole; # of Attempts Prox to Hole;Proximity to Hole (Rank);Fairway Prox(attempts);Fairway Prox(distance in ft);Fairway Prox (Rank);Rough Prox(attempts);Rough Prox(distance in ft);Rough Prox (Rank);Left Rough Prox(attempts);Left Rough Prox(distance in ft);Right Rough Prox(attempts);Right Rough Prox(distance in ft);Going for Green(attempts);Going for Green(non-attempts);Going for the Green(successes);Scrambling Par or Better;Scrambling Missed GIR;Scrambling (Rank);Scrambling Proximity (Total Distance);Scrambling Proximity (# of shots);Scrambling Proximity (rank);Scrambling from the Rough(successes);Scrambling from the Rough(attempts);Scrambling from the Fringe(successes);Scrambling from the Fringe(attempts);Scrambling   >30 Yards(successes); Scrambling   >30 Yards(attempts);Scrambling 20-30 Yards(successes); Scrambling   20-30 Yards(attempts);Scrambling 10-20 Yards(successes); Scrambling 10-20 Yards(attempts);Scrambling < 10 Yards(successes); Scrambling  < 10 Yards(attempts);Sand Save %(# Saves);Sand Save %(# Bunkers);Sand Save (Rank);Prox to Hole from Sand(Total Distance); Prox to Hole from Sand(# of Shots);Total Hole Outs;Longest Hole Out(yards);Overall Putting Avg(# of Putts); Putting Avg(GIR Putts);One-Putt %(# of One Putts);3-Putt Avoid(Total 3 Putts);Approach Putt Performance(attempts);Approach Putt Performance(ft));Avg Distance of Putts Made(Total Distance of Putts);Total Rounds Played;Putting 3'(attempts);Putting 3'(putts made);Putting   4'(attempts);Putting 4'(putts made);Putting 5'(attempts);Putting 5'(putts made);Putting 6'(attempts);Putting 6'(putts made);Putting 7'(attempts);Putting 7'(putts made);Putting 8'(attempts);Putting 8'(putts made);Putting 9'(attempts);Putting 9'(putts made);Putting 10'(attempts);Putting 10'(putts made);Putting Inside 5' (putts made);Putting Inside 5' (attempts);Putting Inside 5 Feet (Rank);Putting 5' - 10' (putts made);Putting 5' - 10' (attempts);Putting 5' - 10' (Rank);Putting 4'-8'(attempts);Putting 4'-8'(putts made);Putting 4' - 8' (Rank);Putting-Inside 10'(attempts);Putting-Inside 10'(putts made);Putting-Inside 10'(rank);Putting 10'-15'(attempts);Putting   10'-15'(putts made);Putting 10'-15'(rank);Putting 15-20'(attempts);Putting 15'-20'(putts made);Putting 15'-20'(rank);Putting 20'-25'(attempts);Putting 20'-25'(putts made);Putting 20'-25'(rank);Putting >25'(attempts);Putting >25'(putts made);Putting >25'(rank);Putting > 10' (putts made);Putting > 10' (attempts);Putting > 10' (rank);Total Putts Gained;Total Rounds Played(Putts Gained);Putts Gained Rank;TTL SG T2G;SG: T2G Rank;TTL SG Total;SG: Total Rank;OTT SG Avg.;OTT SG Rank;APP SG Avg.;APP SG Rank;ARG SG Avg.;ARG SG Rank;
R;2015;240;014;;000;28259;Bae, Sangmoon;28 09 22;Masters Tournament;Y ;36.000;  54,000.00;033; T33;074;054;071;033;072;036;071;033;000;000;000;000;00000000071;00000000288;  00000000004;33;- 1.275;33;00000000001;10;         10;51;         50;         10;16;          1;;             11;015;00000000010;00000000043;00000000314;48;00000002337;00000000008;00000000022;00000000000;;;00000000038;  00000000056;00000000023;00000000018;00000000000;00000000000;;000;;000;;000;;00000000000;;000;;000;;000;;000;  ;;;;;;;;;;;;;;;;00000000072;  00000000044;00000000044;;00000000000;  ;00000000000;;;00000000000;;;00000000000;;00000000000;;  00000000000;00000000000;00000000000;00000000017;00000000028;22;;;;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000004;00000000004;1;  ;00000000000;00000000000;;00000000116;00000000079;00000000026;00000000000;00000000000;;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;  00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;;;;;  ;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;;;;;;;;;;;;;;;;;
R;2015;240;014;;000;10944;Bjorn, Thomas;44 01 25;Masters Tournament;Y ;.000;;999; CUT;072;031;079;080;000;000;000;000;000;000;000;000;00000000072;00000000151;  00000000002;999;- 2.205;999;00000000000;999;          5;999;         22;          6;999;          3;;              9;999;00000000005;00000000020;00000000283;332;00000001069;00000000004;00000000999;00000000000;;;00000000022;  00000000028;00000000999;00000000999;00000000000;00000000000;;000;;000;;000;;00000000000;;000;;000;;000;;000;  ;;;;;;;;;;;;;;;;00000000036;  00000000020;00000000999;;00000000000;  ;00000000000;;;00000000000;;;00000000000;;00000000000;;  00000000000;00000000000;00000000000;00000000009;00000000016;999;;;;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000001;00000000001;999;  ;00000000000;00000000000;;00000000058;00000000038;00000000014;00000000002;00000000000;;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;  00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;;;;;  ;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;;;;;;;;;;;;;;;;;
R;2015;240;014;;000;27895;Blixt, Jonas;30 11 19;Masters Tournament;Y ;41.000;  68,000.00;028; T28;072;031;070;019;070;012;075;028;000;000;000;000;00000000070;00000000287;  00000000004;28;- 1.275;28;00000000000;33;         14;33;         46;         11;23;          1;;             12;017;00000000013;00000000044;00000000293;196;00000002269;00000000008;00000000041;00000000000;;;00000000035;  00000000056;00000000038;00000000049;00000000000;00000000000;;000;;000;;000;;00000000000;;000;;000;;000;;000;  ;;;;;;;;;;;;;;;;00000000072;  00000000044;00000000044;;00000000000;  ;00000000000;;;00000000000;;;00000000000;;00000000000;;  00000000000;00000000000;00000000000;00000000017;00000000028;22;;;;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000002;00000000003;7;  ;00000000000;00000000000;;00000000112;00000000078;00000000030;00000000002;00000000000;;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;  00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;;;;;  ;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;;;;;;;;;;;;;;;;;
R;2015;240;014;;000;33141;Bradley, Keegan;28 10 05;Masters Tournament;Y ;46.500;  92,833.00;022; T22;071;018;072;027;075;042;068;022;000;000;000;000;00000000068;00000000286;  00000000004;22;- 1.275;22;00000000000;33;         17;15;         41;         13;35;          1;;             14;034;00000000017;00000000047;00000000319;30;00000002367;00000000008;00000000011;00000000000;;;00000000040;  00000000056;00000000017;00000000006;00000000000;00000000000;;000;;000;;000;;00000000000;;000;;000;;000;;000;  ;;;;;;;;;;;;;;;;00000000072;  00000000047;00000000025;;00000000000;  ;00000000000;;;00000000000;;;00000000000;;00000000000;;  00000000000;00000000000;00000000000;00000000013;00000000025;38;;;;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000002;00000000007;47;  ;00000000000;00000000000;;00000000120;00000000084;00000000027;00000000003;00000000000;;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;  00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;;;;;  ;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;;;;;;;;;;;;;;;;;
R;2015;240;014;;000;20848;Cabrera, Angel;45 07 00;Masters Tournament;Y ;46.500;  92,833.00;022; T22;072;031;069;012;073;021;072;022;000;000;000;000;00000000069;00000000286;  00000000004;22;- 1.275;22;00000000001;10;         15;22;         42;         13;35;          1;;             14;034;00000000016;00000000046;00000000314;48;00000002382;00000000008;00000000006;00000000000;;;00000000029;  00000000056;00000000055;00000000035;00000000000;00000000000;;000;;000;;000;;00000000000;;000;;000;;000;;000;  ;;;;;;;;;;;;;;;;00000000072;  00000000046;00000000028;;00000000000;  ;00000000000;;;00000000000;;;00000000000;;00000000000;;  00000000000;00000000000;00000000000;00000000016;00000000026;18;;;;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000005;00000000008;13;  ;00000000000;00000000000;;00000000115;00000000084;00000000033;00000000004;00000000000;;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;  00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;;;;;  ;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;;;;;;;;;;;;;;;;;
R;2015;240;014;;000;25364;Casey, Paul;37 08 22;Masters Tournament;Y ;101.333; 335,000.00;006;  T6;069;008;068;003;074;010;068;006;000;000;000;000;00000000068;00000000279;  00000000004;6;- 1.275;6;00000000001;10;         14;33;         50;          7;2;;;              7;002;00000000014;00000000050;00000000311;65;00000002293;00000000008;00000000035;00000000000;;;00000000038;  00000000056;00000000023;00000000030;00000000000;00000000000;;000;;000;;000;;00000000000;;000;;000;;000;;000;  ;;;;;;;;;;;;;;;;00000000072;  00000000050;00000000011;;00000000000;  ;00000000000;;;00000000000;;;00000000000;;00000000000;;  00000000000;00000000000;00000000000;00000000018;00000000022;1;;;;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000005;00000000006;3;  ;00000000000;00000000000;;00000000116;00000000092;00000000029;00000000003;00000000000;;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;  00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;;;;;  ;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;;;;;;;;;;;;;;;;;
R;2015;240;014;;000;19825;Clarke, Darren;46 07 29;Masters Tournament;Y ;.000;  23,800.00;052; T52;074;054;071;033;077;053;072;052;000;000;000;000;00000000071;00000000294;  00000000004;52;- 1.275;52;00000000000;33;         14;33;         41;         14;44;          3;;             17;049;00000000014;00000000043;00000000301;118;00000002269;00000000008;00000000041;00000000000;;;00000000036;  00000000056;00000000030;00000000045;00000000000;00000000000;;000;;000;;000;;00000000000;;000;;000;;000;;000;  ;;;;;;;;;;;;;;;;00000000072;  00000000043;00000000049;;00000000000;  ;00000000000;;;00000000000;;;00000000000;;00000000000;;  00000000000;00000000000;00000000000;00000000013;00000000029;47;;;;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000003;00000000008;39;  ;00000000000;00000000000;;00000000122;00000000076;00000000027;00000000005;00000000000;;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;  00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;;;;;  ;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;;;;;;;;;;;;;;;;;
R;2015;240;014;;000;24494;Compton, Erik;35 05 01;Masters Tournament;Y ;20.000;  24,600.00;051;  51;073;041;072;033;074;046;074;051;000;000;000;000;00000000072;00000000293;  00000000004;51;- 1.275;51;00000000000;33;          9;53;         50;         12;29;          1;;             13;027;00000000009;00000000046;00000000318;33;00000002310;00000000008;00000000030;00000000000;;;00000000035;  00000000056;00000000038;00000000044;00000000000;00000000000;;000;;000;;000;;00000000000;;000;;000;;000;;000;  ;;;;;;;;;;;;;;;;00000000072;  00000000046;00000000028;;00000000000;  ;00000000000;;;00000000000;;;00000000000;;00000000000;;  00000000000;00000000000;00000000000;00000000019;00000000026;5;;;;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000004;00000000008;20;  ;00000000000;00000000000;;00000000124;00000000093;00000000026;00000000006;00000000000;;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;  00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;;;;;  ;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;;;;;;;;;;;;;;;;;
R;2015;240;014;;000;39997;Conners, Corey;23 03 06;Masters Tournament;Y ;.000;;999; CUT;080;092;069;073;000;000;000;000;000;000;000;000;00000000069;00000000149;  00000000002;999;- 2.205;999;00000000000;999;          7;999;         19;          8;999;          2;;             10;999;00000000007;00000000026;00000000286;298;00000001096;00000000004;00000000999;00000000000;;;00000000017;  00000000028;00000000999;00000000999;00000000000;00000000000;;000;;000;;000;;00000000000;;000;;000;;000;;000;  ;;;;;;;;;;;;;;;;00000000036;  00000000026;00000000999;;00000000000;  ;00000000000;;;00000000000;;;00000000000;;00000000000;;  00000000000;00000000000;00000000000;00000000001;00000000010;999;;;;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000002;999;  ;00000000000;00000000000;;00000000064;00000000047;00000000010;00000000002;00000000000;;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;  00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;;;;;  ;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;;;;;;;;;;;;;;;;;
R;2015;240;014;;000;01226;Couples, Fred;55 06 09;Masters Tournament;Y ;.000;;999; CUT;079;089;074;089;000;000;000;000;000;000;000;000;00000000074;00000000153;  00000000002;999;- 2.205;999;00000000000;999;          4;999;         20;         11;999;          1;;             12;999;00000000004;00000000017;00000000295;173;00000001132;00000000004;00000000999;00000000000;;;00000000020;  00000000028;00000000999;00000000999;00000000000;00000000000;;000;;000;;000;;00000000000;;000;;000;;000;;000;  ;;;;;;;;;;;;;;;;00000000036;  00000000017;00000000999;;00000000000;  ;00000000000;;;00000000000;;;00000000000;;00000000000;;  00000000000;00000000000;00000000000;00000000009;00000000019;999;;;;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000002;00000000005;999;  ;00000000000;00000000000;;00000000060;00000000034;00000000014;00000000002;00000000000;;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;  00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;;;;;  ;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;;;;;;;;;;;;;;;;;
