Tour;Tournament Year;Tournament Number;Permanent Tournament Number;Team ID; Team Number; Player Number;Player Name; Player Age (years, months,days);Event Name;Official Event(Y/N);FedExCup Points;Money;Finish Position(numeric);Finish Position(text);Round 1 Score;Round 1 Pos;Round 2 Score;Round 2 Pos;Round 3 Score;Round 3 Pos;Round 4 Score;Round 4 Pos;Round 5 Score;Round 5 Pos;Round 6 Score;Round 6 Pos;Lowest Round;Total Strokes;Total Rounds);Stroke Average (Rank);Scoring Avg(Total Adjustment);Scoring Avg(Total Adjustment - Rank);Eagles;Eagles (Rank);Birdies;Birdies (Rank);Pars;Bogeys;Bogeys (Rank);Doubles;Others;Total Holes Over Par; Bogey Avoidance Rank;Birdie or Better Conv %(# Birdies);Birdie or Better Conv %(# Greens Hit);Longest Drive;Longest Drive (Rank);Driving Distance(Total Distance);Driving Distance(Total Drives);Driving Distance (Rank);Driving Dist. - All Drives(Tot. Dist.);Driving Dist. - All Drives(Rank);Drives Over 300 Yards (# of Drives);Driving Acc. %(Fairways Hit);Driving Acc. %(Possible Fairways);Driving Accuracy Rank;Total Driving (Rank);Left Rough Tendency(Total Left Rough);Right Rough Tendency(Total Right Rough);App. 50-75 yds(ft);App. 50-75 yds(attempts);App. 75-100 yds(ft);App. 75-100 yds(attempts);App. 100-125 yds(ft);App. 100-125 yds(attempts);App. 50-125 Yards(ft);App.  50-125 Yards(attempts);Approaches  125-150 Yards(ft);Approaches   125-150 Yards(attempts);Approaches   150-175 Yards(ft);Approaches   150-175 Yards(attempts);Approaches   175-200 Yards(ft);Approaches   175-200 Yards(attempts);Approaches   >200 Yards(ft);Approaches   >200 Yards(attempts);App. 50-75 yds(ft) - Rough;App. 50-75 yds(attempts) - Rough;App. 75-100 yds(ft) - Rough;App. 75-100 yds(attempts) - Rough;App. 100-125 yds(ft) - Rough;App. 100-125 yds(attempts) - Rough;Approaches 50-125 Yards(ft) - Rough;Approaches 50-125 Yards(attempts) - Rough;Approaches 125-150 Yards(ft) - Rough;Approaches 125-150 Yards(attempts) - Rough;Approaches 150-175 Yards(ft) - Rough;Approaches 150-175 Yards(attempts) - Rough;Approaches 175-200 Yards(ft) - Rough;Approaches 175-200 Yards(attempts) - Rough;Approaches >200 Yards(ft) - Rough;Approaches   >200 Yards(attempts) - Rough;Total Holes Played;Total Greens in Regulation;GIR Rank;Total Distance(ft) Prox to Hole; # of Attempts Prox to Hole;Proximity to Hole (Rank);Fairway Prox(attempts);Fairway Prox(distance in ft);Fairway Prox (Rank);Rough Prox(attempts);Rough Prox(distance in ft);Rough Prox (Rank);Left Rough Prox(attempts);Left Rough Prox(distance in ft);Right Rough Prox(attempts);Right Rough Prox(distance in ft);Going for Green(attempts);Going for Green(non-attempts);Going for the Green(successes);Scrambling Par or Better;Scrambling Missed GIR;Scrambling (Rank);Scrambling Proximity (Total Distance);Scrambling Proximity (# of shots);Scrambling Proximity (rank);Scrambling from the Rough(successes);Scrambling from the Rough(attempts);Scrambling from the Fringe(successes);Scrambling from the Fringe(attempts);Scrambling   >30 Yards(successes); Scrambling   >30 Yards(attempts);Scrambling 20-30 Yards(successes); Scrambling   20-30 Yards(attempts);Scrambling 10-20 Yards(successes); Scrambling 10-20 Yards(attempts);Scrambling < 10 Yards(successes); Scrambling  < 10 Yards(attempts);Sand Save %(# Saves);Sand Save %(# Bunkers);Sand Save (Rank);Prox to Hole from Sand(Total Distance); Prox to Hole from Sand(# of Shots);Total Hole Outs;Longest Hole Out(yards);Overall Putting Avg(# of Putts); Putting Avg(GIR Putts);One-Putt %(# of One Putts);3-Putt Avoid(Total 3 Putts);Approach Putt Performance(attempts);Approach Putt Performance(ft));Avg Distance of Putts Made(Total Distance of Putts);Total Rounds Played;Putting 3'(attempts);Putting 3'(putts made);Putting   4'(attempts);Putting 4'(putts made);Putting 5'(attempts);Putting 5'(putts made);Putting 6'(attempts);Putting 6'(putts made);Putting 7'(attempts);Putting 7'(putts made);Putting 8'(attempts);Putting 8'(putts made);Putting 9'(attempts);Putting 9'(putts made);Putting 10'(attempts);Putting 10'(putts made);Putting Inside 5' (putts made);Putting Inside 5' (attempts);Putting Inside 5 Feet (Rank);Putting 5' - 10' (putts made);Putting 5' - 10' (attempts);Putting 5' - 10' (Rank);Putting 4'-8'(attempts);Putting 4'-8'(putts made);Putting 4' - 8' (Rank);Putting-Inside 10'(attempts);Putting-Inside 10'(putts made);Putting-Inside 10'(rank);Putting 10'-15'(attempts);Putting   10'-15'(putts made);Putting 10'-15'(rank);Putting 15-20'(attempts);Putting 15'-20'(putts made);Putting 15'-20'(rank);Putting 20'-25'(attempts);Putting 20'-25'(putts made);Putting 20'-25'(rank);Putting >25'(attempts);Putting >25'(putts made);Putting >25'(rank);Putting > 10' (putts made);Putting > 10' (attempts);Putting > 10' (rank);Total Putts Gained;Total Rounds Played(Putts Gained);Putts Gained Rank;TTL SG T2G;SG: T2G Rank;TTL SG Total;SG: Total Rank;OTT SG Avg.;OTT SG Rank;APP SG Avg.;APP SG Rank;ARG SG Avg.;ARG SG Rank;
R;2015;390;100;;000;24461;Aiken, Thomas;32 00 03;The Open Championship;Y ;.000;  21,848.40;080;  80;075;127;069;061;072;074;074;080;000;000;000;000;00000000069;00000000290;  00000000004;80;      2.247;80;00000000000;14;         10;77;         50;         12;67;;;             12;057;00000000010;00000000061;00000000333;104;00000002327;00000000008;00000000057;00000000000;;;00000000056;  00000000064;00000000001;00000000016;00000000000;00000000000;;000;;000;;000;;00000000000;;000;;000;;000;;000;  ;;;;;;;;;;;;;;;;00000000072;  00000000061;00000000005;;00000000000;  ;00000000000;;;00000000000;;;00000000000;;00000000000;;  00000000000;00000000000;00000000000;00000000005;00000000011;66;;;;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000001;00000000001;1;  ;00000000000;00000000000;;00000000137;00000000120;00000000013;00000000006;00000000000;;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;  00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;;;;;  ;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;;;;;;;;;;;;;;;;;
R;2015;390;100;;000;33948;An, Byeong Hun;23 10 02;The Open Championship;Y ;.000;;999; CUT;074;109;072;093;000;000;000;000;000;000;000;000;00000000072;00000000146;  00000000002;999;- .595;999;00000000000;999;          6;999;         23;          6;999;          1;;              7;999;00000000006;00000000026;00000000336;86;00000001186;00000000004;00000000999;00000000000;;;00000000024;  00000000032;00000000999;00000000999;00000000000;00000000000;;000;;000;;000;;00000000000;;000;;000;;000;;000;  ;;;;;;;;;;;;;;;;00000000036;  00000000026;00000000999;;00000000000;  ;00000000000;;;00000000000;;;00000000000;;00000000000;;  00000000000;00000000000;00000000000;00000000004;00000000010;999;;;;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;;  ;00000000000;00000000000;;00000000063;00000000049;00000000011;00000000001;00000000000;;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;  00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;;;;;  ;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;;;;;;;;;;;;;;;;;
R;2015;390;100;;000;30978;Aphibarnrat, Kiradech;25 11 26;The Open Championship;Y ;.000;;999; CUT;073;087;075;118;000;000;000;000;000;000;000;000;00000000073;00000000148;  00000000002;999;- .595;999;00000000000;999;          6;999;         21;          8;999;          1;;              9;999;00000000005;00000000026;00000000302;409;00000001147;00000000004;00000000999;00000000000;;;00000000016;  00000000032;00000000999;00000000999;00000000000;00000000000;;000;;000;;000;;00000000000;;000;;000;;000;;000;  ;;;;;;;;;;;;;;;;00000000036;  00000000026;00000000999;;00000000000;  ;00000000000;;;00000000000;;;00000000000;;00000000000;;  00000000000;00000000000;00000000000;00000000003;00000000010;999;;;;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000001;999;  ;00000000000;00000000000;;00000000065;00000000050;00000000007;00000000002;00000000000;;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;  00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;;;;;  ;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;;;;;;;;;;;;;;;;;
R;2015;390;100;;000;29891;Arnold, Scott;29 10 06;The Open Championship;Y ;.000;  43,479.88;040; T40;071;041;073;061;073;078;066;040;000;000;000;000;00000000066;00000000283;  00000000004;40;      2.247;40;00000000000;14;         14;59;         50;          7;12;          1;;              8;016;00000000014;00000000056;00000000335;93;00000002407;00000000008;00000000026;00000000000;;;00000000042;  00000000064;00000000073;00000000063;00000000000;00000000000;;000;;000;;000;;00000000000;;000;;000;;000;;000;  ;;;;;;;;;;;;;;;;00000000072;  00000000056;00000000031;;00000000000;  ;00000000000;;;00000000000;;;00000000000;;00000000000;;  00000000000;00000000000;00000000000;00000000011;00000000016;14;;;;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000001;45;  ;00000000000;00000000000;;00000000123;00000000102;00000000024;00000000003;00000000000;;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;  00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;;;;;  ;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;;;;;;;;;;;;;;;;;
R;2015;390;100;;000;48118;Balcombe, Alister;;The Open Championship;Y ;.000;;999; CUT;074;109;076;138;000;000;000;000;000;000;000;000;00000000074;00000000150;  00000000002;999;- .595;999;00000000000;999;          2;999;         28;          4;999;          2;;              6;999;00000000002;00000000026;00000000327;136;00000001188;00000000004;00000000999;00000000000;;;00000000023;  00000000032;00000000999;00000000999;00000000000;00000000000;;000;;000;;000;;00000000000;;000;;000;;000;;000;  ;;;;;;;;;;;;;;;;00000000036;  00000000026;00000000999;;00000000000;  ;00000000000;;;00000000000;;;00000000000;;00000000000;;  00000000000;00000000000;00000000000;00000000005;00000000010;999;;;;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000002;999;  ;00000000000;00000000000;;00000000068;00000000052;00000000007;00000000003;00000000000;;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;  00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;;;;;  ;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;;;;;;;;;;;;;;;;;
R;2015;390;100;;000;40026;Berger, Daniel;22 03 12;The Open Championship;Y ;.000;;999; CUT;073;087;076;127;000;000;000;000;000;000;000;000;00000000073;00000000149;  00000000002;999;- .595;999;00000000001;999;          9;999;         14;          9;999;          2;          1;             12;999;00000000010;00000000023;00000000356;21;00000001183;00000000004;00000000999;00000000000;;;00000000019;  00000000032;00000000999;00000000999;00000000000;00000000000;;000;;000;;000;;00000000000;;000;;000;;000;;000;  ;;;;;;;;;;;;;;;;00000000036;  00000000023;00000000999;;00000000000;  ;00000000000;;;00000000000;;;00000000000;;00000000000;;  00000000000;00000000000;00000000000;00000000003;00000000013;999;;;;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000002;999;  ;00000000000;00000000000;;00000000064;00000000039;00000000013;00000000005;00000000000;;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;  00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;;;;;  ;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;;;;;;;;;;;;;;;;;
R;2015;390;100;;000;10944;Bjorn, Thomas;44 05 01;The Open Championship;Y ;.000;;999; CUT;070;024;079;127;000;000;000;000;000;000;000;000;00000000070;00000000149;  00000000002;999;- .595;999;00000000000;999;          7;999;         19;          9;999;;          1;             10;999;00000000007;00000000023;00000000322;178;00000001178;00000000004;00000000999;00000000000;;;00000000021;  00000000032;00000000999;00000000999;00000000000;00000000000;;000;;000;;000;;00000000000;;000;;000;;000;;000;  ;;;;;;;;;;;;;;;;00000000036;  00000000023;00000000999;;00000000000;  ;00000000000;;;00000000000;;;00000000000;;00000000000;;  00000000000;00000000000;00000000000;00000000006;00000000013;999;;;;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000002;999;  ;00000000000;00000000000;;00000000062;00000000042;00000000013;00000000003;00000000000;;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;  00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;;;;;  ;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;;;;;;;;;;;;;;;;;
R;2015;390;100;;000;26418;Bland, Adam;32 10 23;The Open Championship;Y ;.000;;999; CUT;075;127;074;127;000;000;000;000;000;000;000;000;00000000074;00000000149;  00000000002;999;- .595;999;00000000000;999;          4;999;         25;          5;999;          2;;              7;999;00000000004;00000000026;00000000319;205;00000001145;00000000004;00000000999;00000000000;;;00000000022;  00000000032;00000000999;00000000999;00000000000;00000000000;;000;;000;;000;;00000000000;;000;;000;;000;;000;  ;;;;;;;;;;;;;;;;00000000036;  00000000026;00000000999;;00000000000;  ;00000000000;;;00000000000;;;00000000000;;00000000000;;  00000000000;00000000000;00000000000;00000000006;00000000010;999;;;;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;;  ;00000000000;00000000000;;00000000066;00000000052;00000000009;00000000003;00000000000;;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;  00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;;;;;  ;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;;;;;;;;;;;;;;;;;
R;2015;390;100;;000;27895;Blixt, Jonas;31 02 25;The Open Championship;Y ;.000;;999; CUT;075;127;071;093;000;000;000;000;000;000;000;000;00000000071;00000000146;  00000000002;999;- .595;999;00000000000;999;          3;999;         28;          5;999;;;              5;999;00000000003;00000000026;00000000328;127;00000001142;00000000004;00000000999;00000000000;;;00000000027;  00000000032;00000000999;00000000999;00000000000;00000000000;;000;;000;;000;;00000000000;;000;;000;;000;;000;  ;;;;;;;;;;;;;;;;00000000036;  00000000026;00000000999;;00000000000;  ;00000000000;;;00000000000;;;00000000000;;00000000000;;  00000000000;00000000000;00000000000;00000000007;00000000010;999;;;;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000001;00000000002;999;  ;00000000000;00000000000;;00000000066;00000000053;00000000008;00000000002;00000000000;;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;  00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;;;;;  ;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;;;;;;;;;;;;;;;;;
R;2015;390;100;;000;25274;Bowditch, Steven;32 01 11;The Open Championship;Y ;36.500;  63,074.77;030; T30;070;024;069;014;069;015;074;030;000;000;000;000;00000000069;00000000282;  00000000004;30;      2.247;30;00000000000;14;         17;27;         44;         11;55;;;             11;047;00000000015;00000000052;00000000370;5;00000002470;00000000008;00000000012;00000000000;;;00000000046;  00000000064;00000000045;00000000015;00000000000;00000000000;;000;;000;;000;;00000000000;;000;;000;;000;;000;  ;;;;;;;;;;;;;;;;00000000072;  00000000052;00000000067;;00000000000;  ;00000000000;;;00000000000;;;00000000000;;00000000000;;  00000000000;00000000000;00000000000;00000000012;00000000020;35;;;;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;;  ;00000000000;00000000000;;00000000123;00000000098;00000000021;00000000004;00000000000;;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;  00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;;;;;  ;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;00000000000;00000000000;;;;;;;;;;;;;;;;;;
