Tour;Tournament Year;Tournament Number;Permanent Tournament Number;Team ID; Team Number; Player Number;Player Name; Player Age (years, months,days);Event Name;Official Event(Y/N);FedExCup Points;Money;Finish Position(numeric);Finish Position(text);Round 1 Score;Round 1 Pos;Round 2 Score;Round 2 Pos;Round 3 Score;Round 3 Pos;Round 4 Score;Round 4 Pos;Round 5 Score;Round 5 Pos;Round 6 Score;Round 6 Pos;Lowest Round;Total Strokes;Total Rounds);Stroke Average (Rank);Scoring Avg(Total Adjustment);Scoring Avg(Total Adjustment - Rank);Eagles;Eagles (Rank);Birdies;Birdies (Rank);Pars;Bogeys;Bogeys (Rank);Doubles;Others;Total Holes Over Par; Bogey Avoidance Rank;Birdie or Better Conv %(# Birdies);Birdie or Better Conv %(# Greens Hit);Longest Drive;Longest Drive (Rank);Driving Distance(Total Distance);Driving Distance(Total Drives);Driving Distance (Rank);Driving Dist. - All Drives(Tot. Dist.);Driving Dist. - All Drives(Rank);Drives Over 300 Yards (# of Drives);Driving Acc. %(Fairways Hit);Driving Acc. %(Possible Fairways);Driving Accuracy Rank;Total Driving (Rank);Left Rough Tendency(Total Left Rough);Right Rough Tendency(Total Right Rough);App. 50-75 yds(ft);App. 50-75 yds(attempts);App. 75-100 yds(ft);App. 75-100 yds(attempts);App. 100-125 yds(ft);App. 100-125 yds(attempts);App. 50-125 Yards(ft);App.  50-125 Yards(attempts);Approaches  125-150 Yards(ft);Approaches   125-150 Yards(attempts);Approaches   150-175 Yards(ft);Approaches   150-175 Yards(attempts);Approaches   175-200 Yards(ft);Approaches   175-200 Yards(attempts);Approaches   >200 Yards(ft);Approaches   >200 Yards(attempts);App. 50-75 yds(ft) - Rough;App. 50-75 yds(attempts) - Rough;App. 75-100 yds(ft) - Rough;App. 75-100 yds(attempts) - Rough;App. 100-125 yds(ft) - Rough;App. 100-125 yds(attempts) - Rough;Approaches 50-125 Yards(ft) - Rough;Approaches 50-125 Yards(attempts) - Rough;Approaches 125-150 Yards(ft) - Rough;Approaches 125-150 Yards(attempts) - Rough;Approaches 150-175 Yards(ft) - Rough;Approaches 150-175 Yards(attempts) - Rough;Approaches 175-200 Yards(ft) - Rough;Approaches 175-200 Yards(attempts) - Rough;Approaches >200 Yards(ft) - Rough;Approaches   >200 Yards(attempts) - Rough;Total Holes Played;Total Greens in Regulation;GIR Rank;Total Distance(ft) Prox to Hole; # of Attempts Prox to Hole;Proximity to Hole (Rank);Fairway Prox(attempts);Fairway Prox(distance in ft);Fairway Prox (Rank);Rough Prox(attempts);Rough Prox(distance in ft);Rough Prox (Rank);Left Rough Prox(attempts);Left Rough Prox(distance in ft);Right Rough Prox(attempts);Right Rough Prox(distance in ft);Going for Green(attempts);Going for Green(non-attempts);Going for the Green(successes);Scrambling Par or Better;Scrambling Missed GIR;Scrambling (Rank);Scrambling Proximity (Total Distance);Scrambling Proximity (# of shots);Scrambling Proximity (rank);Scrambling from the Rough(successes);Scrambling from the Rough(attempts);Scrambling from the Fringe(successes);Scrambling from the Fringe(attempts);Scrambling   >30 Yards(successes); Scrambling   >30 Yards(attempts);Scrambling 20-30 Yards(successes); Scrambling   20-30 Yards(attempts);Scrambling 10-20 Yards(successes); Scrambling 10-20 Yards(attempts);Scrambling < 10 Yards(successes); Scrambling  < 10 Yards(attempts);Sand Save %(# Saves);Sand Save %(# Bunkers);Sand Save (Rank);Prox to Hole from Sand(Total Distance); Prox to Hole from Sand(# of Shots);Total Hole Outs;Longest Hole Out(yards);Overall Putting Avg(# of Putts); Putting Avg(GIR Putts);One-Putt %(# of One Putts);3-Putt Avoid(Total 3 Putts);Approach Putt Performance(attempts);Approach Putt Performance(ft));Avg Distance of Putts Made(Total Distance of Putts);Total Rounds Played;Putting 3'(attempts);Putting 3'(putts made);Putting   4'(attempts);Putting 4'(putts made);Putting 5'(attempts);Putting 5'(putts made);Putting 6'(attempts);Putting 6'(putts made);Putting 7'(attempts);Putting 7'(putts made);Putting 8'(attempts);Putting 8'(putts made);Putting 9'(attempts);Putting 9'(putts made);Putting 10'(attempts);Putting 10'(putts made);Putting Inside 5' (putts made);Putting Inside 5' (attempts);Putting Inside 5 Feet (Rank);Putting 5' - 10' (putts made);Putting 5' - 10' (attempts);Putting 5' - 10' (Rank);Putting 4'-8'(attempts);Putting 4'-8'(putts made);Putting 4' - 8' (Rank);Putting-Inside 10'(attempts);Putting-Inside 10'(putts made);Putting-Inside 10'(rank);Putting 10'-15'(attempts);Putting   10'-15'(putts made);Putting 10'-15'(rank);Putting 15-20'(attempts);Putting 15'-20'(putts made);Putting 15'-20'(rank);Putting 20'-25'(attempts);Putting 20'-25'(putts made);Putting 20'-25'(rank);Putting >25'(attempts);Putting >25'(putts made);Putting >25'(rank);Putting > 10' (putts made);Putting > 10' (attempts);Putting > 10' (rank);Total Putts Gained;Total Rounds Played(Putts Gained);Putts Gained Rank;TTL SG T2G;SG: T2G Rank;TTL SG Total;SG: Total Rank;OTT SG Avg.;OTT SG Rank;APP SG Avg.;APP SG Rank;ARG SG Avg.;ARG SG Rank;
R;2015;350;034;;000;23778;Adamonis, Brad;42 05 12;Travelers Championship;Y ;.000;;999; CUT;072;122;074;144;000;000;000;000;000;000;000;000;00000000072;00000000146;  00000000002;999;       .866;999;00000000000;999;          6;999;         22;          5;999;          2;          1;              8;999;00000000006;00000000026;00000000325;201;00000001108;00000000004;00000000999;00000007703;999;          3;00000000016;  00000000028;00000000999;00000000999;00000000005;00000000005;         16.333;001;         34.917;002;         29.917;002;         81.167;00000000005;        153.667;008;        129.333;004;        194.000;005;        165.500;005;       30.500;          1;;;;;     30.500;          1;     70.083;          3;    100.333;          2;;;     32.167;          1;00000000036;  00000000026;00000000999;      1,054.917;00000000036;  999;00000000027;    723.667;999;00000000007;    233.083;999;00000000003;    102.000;00000000004;    131.083;  00000000003;00000000004;00000000001;00000000004;00000000010;999;     42.833;          7;999;00000000001;00000000001;00000000001;00000000001;00000000000;00000000002;00000000000;00000000000;00000000003;00000000006;00000000001;00000000001;00000000001;00000000001;999;            4.083;00000000001;00000000000;;00000000066;00000000050;00000000009;00000000002;00000000027;     50.583;00000001596;00000000002;00000000030;00000000028;00000000002;00000000002;  00000000001;00000000001;00000000004;00000000002;00000000000;00000000000;00000000000;00000000000;00000000002;00000000000;00000000002;00000000000;         33;         31;999;          8;            2;999;00000000005;00000000003;999;00000000041;00000000033;999;00000000008;00000000001;999;00000000006;00000000000;999;00000000002;00000000001;999;00000000009;00000000001;999;          3;         25;999; 4.812-;      2;999;  .920-;999; 6.865-;999;-.920;999;-.294;999;.188;999;
R;2015;350;034;;000;29910;Adams, Blake;39 10 01;Travelers Championship;Y ;.000;;999; CUT;072;122;068;089;000;000;000;000;000;000;000;000;00000000068;00000000140;  00000000002;999;       .866;999;00000000000;999;          8;999;         21;          6;999;          1;;              7;999;00000000008;00000000022;00000000318;368;00000001142;00000000004;00000000999;00000007947;999;          7;00000000019;  00000000028;00000000999;00000000999;00000000002;00000000005;         11.583;001;         15.917;001;         45.250;002;         72.750;00000000004;        212.000;008;        208.417;006;         62.083;002;        257.667;006;       39.000;          1;;;     41.250;          2;     80.250;          3;;;    149.167;          2;    138.083;          2;;;00000000036;  00000000022;00000000999;      1,511.417;00000000036;  999;00000000026;    812.917;999;00000000007;    367.500;999;00000000002;    151.167;00000000005;    216.333;  00000000006;00000000001;00000000001;00000000007;00000000014;999;    185.833;         12;999;00000000000;00000000001;00000000001;00000000001;00000000002;00000000004;00000000000;00000000001;00000000004;00000000007;00000000001;00000000002;00000000000;00000000003;999;           72.917;00000000003;00000000000;;00000000058;00000000037;00000000015;00000000001;00000000021;     37.500;00000002421;00000000002;00000000021;00000000021;00000000003;00000000002;  00000000001;00000000001;00000000002;00000000001;00000000000;00000000000;00000000002;00000000001;00000000003;00000000002;00000000001;00000000001;         25;         24;999;          8;            5;999;00000000005;00000000003;999;00000000033;00000000029;999;00000000006;00000000003;999;00000000006;00000000003;999;00000000001;00000000000;999;00000000012;00000000001;999;          7;         25;999;  4.615;      2;999;   .226;999;  .865-;999;.226;999;-1.173;999;-1.794;999;
R;2015;350;034;;000;20771;Alker, Steven;43 11 00;Travelers Championship;Y ;9.500;  13,888.00;060; T60;070;094;068;059;068;049;071;060;000;000;000;000;00000000068;00000000277;  00000000004;60;      2.934;60;00000000001;3;         13;56;         47;         10;52;          1;;             11;057;00000000014;00000000052;00000000327;168;00000002202;00000000008;00000000063;00000015329;61;          5;00000000040;  00000000056;00000000028;00000000058;00000000009;00000000005;         69.333;003;         32.000;004;        104.917;006;        206.250;00000000013;        168.917;010;        362.250;012;        215.750;004;        667.500;014;       56.083;          1;;;     59.250;          1;    115.333;          2;    136.917;          5;    274.167;          5;     13.667;          1;;;00000000072;  00000000052;00000000023;      2,605.583;00000000072;  49;00000000053;  1,620.667;42;00000000013;    540.083;36;00000000007;    294.667;00000000006;    245.417;  00000000005;00000000008;00000000001;00000000009;00000000020;67;    141.167;         18;40;00000000003;00000000006;00000000002;00000000002;00000000000;00000000004;00000000004;00000000006;00000000003;00000000008;00000000002;00000000002;00000000000;00000000002;63;            6.833;00000000001;00000000000;;00000000119;00000000090;00000000025;00000000000;00000000047;     86.667;00000002946;00000000004;00000000049;00000000049;00000000010;00000000010;  00000000004;00000000003;00000000000;00000000000;00000000003;00000000001;00000000001;00000000001;00000000003;00000000001;00000000002;00000000001;         63;         62;19;          9;            4;66;00000000008;00000000005;63;00000000072;00000000066;21;00000000017;00000000003;63;00000000009;00000000002;31;00000000005;00000000001;22;00000000016;00000000000;40;          6;         47;53; 1.837-;      4;61;   .239;37;   .066;60;.239;39;.343;33;-.106;45;
R;2015;350;034;;000;10885;Allenby, Robert;43 11 16;Travelers Championship;Y ;.000;;999; CUT;070;094;073;128;000;000;000;000;000;000;000;000;00000000070;00000000143;  00000000002;999;       .866;999;00000000000;999;          5;999;         27;          2;999;          1;          1;              4;999;00000000004;00000000023;00000000309;697;00000001141;00000000004;00000000999;00000007781;999;          3;00000000016;  00000000028;00000000999;00000000999;00000000007;00000000002;;000;         36.833;003;         36.333;003;         73.167;00000000006;        171.750;007;        102.167;003;        170.500;005;        189.917;004;  ;;     19.167;          1;     38.667;          1;     57.833;          2;;;     73.833;          2;    116.917;          2;     55.250;          1;00000000036;  00000000023;00000000999;      1,206.500;00000000036;  999;00000000025;    707.500;999;00000000007;    303.833;999;00000000005;    248.000;00000000002;     55.833;  00000000004;00000000003;00000000001;00000000009;00000000013;999;     65.750;         11;999;00000000001;00000000001;00000000001;00000000001;00000000001;00000000002;00000000001;00000000001;00000000002;00000000003;00000000005;00000000006;00000000001;00000000002;999;           20.333;00000000002;00000000001;         11;00000000059;00000000043;00000000011;00000000000;00000000024;     43.333;00000001448;00000000002;00000000022;00000000022;00000000005;00000000004;  00000000003;00000000002;00000000001;00000000001;00000000002;00000000001;00000000002;00000000001;00000000002;00000000001;00000000003;00000000001;         30;         28;999;         10;            5;999;00000000008;00000000005;999;00000000040;00000000033;999;00000000002;00000000001;999;00000000010;00000000001;999;00000000002;00000000000;999;00000000005;00000000000;999;          2;         19;999; 1.738-;      2;999;  .195-;999; 3.865-;999;-.195;999;-.718;999;-.150;999;
R;2015;350;034;;000;33120;Anderson, Mark;29 04 14;Travelers Championship;Y ;54.000; 102,400.00;015; T15;067;027;071;059;065;025;068;015;000;000;000;000;00000000065;00000000271;  00000000004;15;      2.934;15;00000000001;3;         15;40;         48;          8;32;;;              8;025;00000000016;00000000054;00000000321;299;00000002255;00000000008;00000000046;00000015379;55;          5;00000000031;  00000000056;00000000066;00000000068;00000000016;00000000006;          4.083;001;         90.333;004;         64.167;003;        158.583;00000000008;        161.000;007;        325.333;012;        140.250;006;        954.083;014;       17.750;          1;    104.833;          1;     16.500;          1;    139.083;          3;    182.000;          6;    205.250;          4;     90.667;          2;     55.083;          2;00000000072;  00000000054;00000000013;      2,798.917;00000000072;  67;00000000047;  1,739.250;69;00000000017;    672.083;29;00000000012;    535.833;00000000005;    136.250;  00000000009;00000000004;00000000001;00000000011;00000000018;44;    130.167;         17;37;00000000001;00000000004;00000000002;00000000003;00000000002;00000000002;00000000003;00000000005;00000000004;00000000007;00000000002;00000000003;00000000002;00000000003;14;           30.583;00000000003;00000000000;;00000000116;00000000093;00000000029;00000000001;00000000043;     91.083;00000003520;00000000004;00000000045;00000000045;00000000004;00000000004;  00000000006;00000000005;00000000005;00000000003;00000000002;00000000002;00000000001;00000000001;00000000004;00000000004;00000000004;00000000002;         55;         54;30;         16;           12;10;00000000014;00000000011;30;00000000071;00000000066;12;00000000011;00000000003;42;00000000005;00000000001;34;00000000004;00000000001;16;00000000025;00000000001;38;          6;         45;49;  3.427;      4;20;   .104;32;  6.066;15;.104;45;.752;20;-.197;50;
R;2015;350;034;;000;19803;Armour, Ryan;39 04 01;Travelers Championship;Y ;.000;;999; CUT;068;051;071;073;000;000;000;000;000;000;000;000;00000000068;00000000139;  00000000002;999;       .866;999;00000000000;999;          6;999;         25;          5;999;;;              5;999;00000000006;00000000026;00000000299;999;00000001101;00000000004;00000000999;00000007547;999;          0;00000000013;  00000000028;00000000999;00000000999;00000000008;00000000004;;000;         35.083;002;;000;         35.083;00000000002;        162.583;008;         72.250;003;         59.583;002;        280.750;007;  ;;     18.917;          1;     24.583;          1;     43.500;          2;     22.750;          1;    109.833;          2;    115.333;          3;    127.333;          2;00000000036;  00000000026;00000000999;      1,298.417;00000000036;  999;00000000022;    610.250;999;00000000010;    418.750;999;00000000006;    221.583;00000000004;    197.167;  00000000004;00000000003;00000000001;00000000007;00000000010;999;     46.333;          9;999;00000000001;00000000001;00000000002;00000000002;00000000000;00000000001;00000000004;00000000004;00000000002;00000000004;00000000001;00000000001;00000000002;00000000003;999;           41.750;00000000003;00000000000;;00000000062;00000000049;00000000012;00000000002;00000000024;     51.583;00000001272;00000000002;00000000026;00000000026;00000000005;00000000004;  00000000002;00000000002;00000000001;00000000001;00000000002;00000000000;00000000002;00000000000;00000000001;00000000001;00000000000;00000000000;         33;         32;999;          6;            2;999;00000000007;00000000003;999;00000000039;00000000034;999;00000000002;00000000001;999;00000000005;00000000001;999;00000000004;00000000000;999;00000000012;00000000000;999;          2;         23;999; 2.549-;      2;999; 1.058-;999;   .135;999;-1.058;999;1.618;999;.782;999;
R;2015;350;034;;000;23048;Axley, Eric;41 02 06;Travelers Championship;Y ;.970;  12,736.00;071; T71;068;051;070;059;070;067;073;071;000;000;000;000;00000000068;00000000281;  00000000004;71;      2.934;71;00000000000;21;         11;68;         49;         12;67;;;             12;064;00000000011;00000000048;00000000316;407;00000002232;00000000008;00000000052;00000015436;49;          6;00000000033;  00000000056;00000000064;00000000070;00000000007;00000000006;         27.417;002;         20.250;002;         70.417;005;        118.083;00000000009;        200.917;011;        277.417;011;        249.250;006;        562.917;011;       78.833;          1;;;;;     78.833;          1;    238.833;          6;    143.667;          3;     46.083;          1;    171.917;          2;00000000072;  00000000048;00000000056;      2,839.167;00000000072;  70;00000000048;  1,408.583;28;00000000013;    679.333;61;00000000007;    360.750;00000000006;    318.583;  00000000007;00000000006;00000000000;00000000014;00000000024;52;    296.083;         21;71;00000000002;00000000004;00000000003;00000000003;00000000001;00000000006;00000000002;00000000003;00000000006;00000000009;00000000005;00000000006;00000000003;00000000006;30;           66.417;00000000006;00000000000;;00000000118;00000000087;00000000028;00000000002;00000000044;     98.417;00000003481;00000000004;00000000040;00000000040;00000000010;00000000010;  00000000005;00000000003;00000000006;00000000006;00000000003;00000000002;00000000002;00000000002;00000000001;00000000000;00000000004;00000000003;         55;         53;54;         16;           13;5;00000000016;00000000013;18;00000000071;00000000066;12;00000000012;00000000003;48;00000000012;00000000002;43;00000000004;00000000000;46;00000000019;00000000001;29;          6;         47;53;  2.378;      4;26;  .532-;71; 3.934-;71;-.532;63;-.511;61;-.535;66;
R;2015;350;034;;000;22371;Baddeley, Aaron;34 03 11;Travelers Championship;Y ;20.500;  16,085.33;048; T48;068;051;066;016;068;015;073;048;000;000;000;000;00000000066;00000000275;  00000000004;48;      2.934;48;00000000001;3;         18;10;         39;         13;71;          1;;             14;070;00000000018;00000000043;00000000339;43;00000002334;00000000008;00000000024;00000015331;59;         11;00000000031;  00000000056;00000000066;00000000055;00000000008;00000000009;        104.750;002;         27.583;002;         82.500;005;        214.833;00000000009;        145.000;008;        512.167;013;        189.083;004;        841.333;013;  ;;     20.000;          1;;;     20.000;          1;    172.167;          4;    140.333;          3;    355.500;          5;    228.500;          2;00000000072;  00000000044;00000000070;      3,658.250;00000000072;  72;00000000047;  1,902.417;72;00000000015;    916.500;71;00000000005;    400.667;00000000010;    515.833;  00000000008;00000000005;00000000003;00000000014;00000000028;62;    285.083;         25;67;00000000005;00000000009;00000000001;00000000002;00000000001;00000000009;00000000006;00000000008;00000000005;00000000008;00000000002;00000000002;00000000004;00000000007;25;          114.083;00000000007;00000000001;         33;00000000112;00000000071;00000000030;00000000000;00000000041;     88.917;00000004740;00000000004;00000000036;00000000036;00000000004;00000000004;  00000000005;00000000005;00000000002;00000000001;00000000004;00000000002;00000000003;00000000003;00000000004;00000000002;00000000002;00000000002;         45;         45;1;         15;           10;29;00000000014;00000000011;30;00000000060;00000000055;21;00000000011;00000000009;2;00000000016;00000000007;6;00000000004;00000000000;46;00000000021;00000000000;40;         16;         52;2; 11.262;      4;1;  .837-;72;  2.066;48;-.837;68;-1.973;72;.511;16;
R;2015;350;034;;000;28259;Bae, Sangmoon;29 00 07;Travelers Championship;Y ;.000;;999; CUT;070;094;073;128;000;000;000;000;000;000;000;000;00000000070;00000000143;  00000000002;999;       .866;999;00000000000;999;          6;999;         21;          9;999;;;              9;999;00000000006;00000000022;00000000328;156;00000001160;00000000004;00000000999;00000007972;999;          8;00000000020;  00000000028;00000000999;00000000999;00000000003;00000000004;;000;         50.333;003;         74.333;003;        124.667;00000000006;         96.000;005;        220.917;005;         76.750;003;        393.083;007;       46.167;          1;;;     62.500;          1;    108.667;          2;     37.667;          1;;;    109.833;          3;;;00000000036;  00000000022;00000000999;      1,481.667;00000000036;  999;00000000026;    911.417;999;00000000006;    256.167;999;00000000002;     75.333;00000000004;    180.833;  00000000006;00000000001;00000000000;00000000009;00000000014;999;     67.250;         13;999;00000000003;00000000005;00000000000;00000000000;00000000000;00000000000;00000000002;00000000003;00000000007;00000000010;00000000000;00000000000;00000000003;00000000004;999;           10.083;00000000003;00000000000;;00000000060;00000000042;00000000016;00000000004;00000000020;     58.583;00000002101;00000000002;00000000022;00000000022;00000000004;00000000003;  00000000003;00000000001;00000000004;00000000001;00000000002;00000000001;00000000003;00000000003;00000000002;00000000000;00000000003;00000000001;         29;         26;999;         14;            6;999;00000000012;00000000006;999;00000000043;00000000032;999;00000000001;00000000001;999;00000000005;00000000001;999;00000000002;00000000000;999;00000000009;00000000002;999;          4;         17;999; 2.740-;      2;999;   .921;999; 3.865-;999;.921;999;-1.854;999;.371;999;
R;2015;350;034;;000;35545;Barber, Blayne;25 06 03;Travelers Championship;Y ;.000;;999; CUT;069;076;072;102;000;000;000;000;000;000;000;000;00000000069;00000000141;  00000000002;999;       .866;999;00000000000;999;          7;999;         22;          6;999;          1;;              7;999;00000000005;00000000021;00000000342;27;00000001164;00000000004;00000000999;00000007986;999;          6;00000000019;  00000000028;00000000999;00000000999;00000000005;00000000003;         32.833;002;         23.583;002;         65.833;003;        122.250;00000000007;        105.250;006;         94.000;005;        162.417;004;        246.917;005;       24.917;          1;;;;;     24.917;          1;     86.833;          2;    156.417;          3;;;    153.500;          1;00000000036;  00000000021;00000000999;      1,179.667;00000000035;  999;00000000027;    730.833;999;00000000007;    421.667;999;00000000004;    207.583;00000000003;    214.083;  00000000003;00000000004;00000000001;00000000009;00000000015;999;    104.750;         13;999;00000000005;00000000007;00000000002;00000000002;00000000001;00000000003;00000000002;00000000003;00000000002;00000000004;00000000004;00000000005;00000000000;00000000002;999;           20.167;00000000001;00000000002;          8;00000000057;00000000039;00000000013;00000000002;00000000021;     54.167;00000002044;00000000002;00000000023;00000000023;00000000003;00000000003;  00000000000;00000000000;00000000002;00000000000;00000000001;00000000001;00000000001;00000000000;00000000001;00000000000;00000000001;00000000000;         26;         26;999;          6;            1;999;00000000004;00000000001;999;00000000032;00000000027;999;00000000007;00000000002;999;00000000009;00000000004;999;00000000003;00000000001;999;00000000005;00000000000;999;          7;         24;999;  .911-;      2;999;   .512;999; 1.865-;999;.512;999;-1.092;999;.104;999;
