Tour;Tournament Year;Tournament Number;Permanent Tournament Number;Team ID; Team Number; Player Number;Player Name; Player Age (years, months,days);Event Name;Official Event(Y/N);FedExCup Points;Money;Finish Position(numeric);Finish Position(text);Round 1 Score;Round 1 Pos;Round 2 Score;Round 2 Pos;Round 3 Score;Round 3 Pos;Round 4 Score;Round 4 Pos;Round 5 Score;Round 5 Pos;Round 6 Score;Round 6 Pos;Lowest Round;Total Strokes;Total Rounds);Stroke Average (Rank);Scoring Avg(Total Adjustment);Scoring Avg(Total Adjustment - Rank);Eagles;Eagles (Rank);Birdies;Birdies (Rank);Pars;Bogeys;Bogeys (Rank);Doubles;Others;Total Holes Over Par; Bogey Avoidance Rank;Birdie or Better Conv %(# Birdies);Birdie or Better Conv %(# Greens Hit);Longest Drive;Longest Drive (Rank);Driving Distance(Total Distance);Driving Distance(Total Drives);Driving Distance (Rank);Driving Dist. - All Drives(Tot. Dist.);Driving Dist. - All Drives(Rank);Drives Over 300 Yards (# of Drives);Driving Acc. %(Fairways Hit);Driving Acc. %(Possible Fairways);Driving Accuracy Rank;Total Driving (Rank);Left Rough Tendency(Total Left Rough);Right Rough Tendency(Total Right Rough);App. 50-75 yds(ft);App. 50-75 yds(attempts);App. 75-100 yds(ft);App. 75-100 yds(attempts);App. 100-125 yds(ft);App. 100-125 yds(attempts);App. 50-125 Yards(ft);App.  50-125 Yards(attempts);Approaches  125-150 Yards(ft);Approaches   125-150 Yards(attempts);Approaches   150-175 Yards(ft);Approaches   150-175 Yards(attempts);Approaches   175-200 Yards(ft);Approaches   175-200 Yards(attempts);Approaches   >200 Yards(ft);Approaches   >200 Yards(attempts);App. 50-75 yds(ft) - Rough;App. 50-75 yds(attempts) - Rough;App. 75-100 yds(ft) - Rough;App. 75-100 yds(attempts) - Rough;App. 100-125 yds(ft) - Rough;App. 100-125 yds(attempts) - Rough;Approaches 50-125 Yards(ft) - Rough;Approaches 50-125 Yards(attempts) - Rough;Approaches 125-150 Yards(ft) - Rough;Approaches 125-150 Yards(attempts) - Rough;Approaches 150-175 Yards(ft) - Rough;Approaches 150-175 Yards(attempts) - Rough;Approaches 175-200 Yards(ft) - Rough;Approaches 175-200 Yards(attempts) - Rough;Approaches >200 Yards(ft) - Rough;Approaches   >200 Yards(attempts) - Rough;Total Holes Played;Total Greens in Regulation;GIR Rank;Total Distance(ft) Prox to Hole; # of Attempts Prox to Hole;Proximity to Hole (Rank);Fairway Prox(attempts);Fairway Prox(distance in ft);Fairway Prox (Rank);Rough Prox(attempts);Rough Prox(distance in ft);Rough Prox (Rank);Left Rough Prox(attempts);Left Rough Prox(distance in ft);Right Rough Prox(attempts);Right Rough Prox(distance in ft);Going for Green(attempts);Going for Green(non-attempts);Going for the Green(successes);Scrambling Par or Better;Scrambling Missed GIR;Scrambling (Rank);Scrambling Proximity (Total Distance);Scrambling Proximity (# of shots);Scrambling Proximity (rank);Scrambling from the Rough(successes);Scrambling from the Rough(attempts);Scrambling from the Fringe(successes);Scrambling from the Fringe(attempts);Scrambling   >30 Yards(successes); Scrambling   >30 Yards(attempts);Scrambling 20-30 Yards(successes); Scrambling   20-30 Yards(attempts);Scrambling 10-20 Yards(successes); Scrambling 10-20 Yards(attempts);Scrambling < 10 Yards(successes); Scrambling  < 10 Yards(attempts);Sand Save %(# Saves);Sand Save %(# Bunkers);Sand Save (Rank);Prox to Hole from Sand(Total Distance); Prox to Hole from Sand(# of Shots);Total Hole Outs;Longest Hole Out(yards);Overall Putting Avg(# of Putts); Putting Avg(GIR Putts);One-Putt %(# of One Putts);3-Putt Avoid(Total 3 Putts);Approach Putt Performance(attempts);Approach Putt Performance(ft));Avg Distance of Putts Made(Total Distance of Putts);Total Rounds Played;Putting 3'(attempts);Putting 3'(putts made);Putting   4'(attempts);Putting 4'(putts made);Putting 5'(attempts);Putting 5'(putts made);Putting 6'(attempts);Putting 6'(putts made);Putting 7'(attempts);Putting 7'(putts made);Putting 8'(attempts);Putting 8'(putts made);Putting 9'(attempts);Putting 9'(putts made);Putting 10'(attempts);Putting 10'(putts made);Putting Inside 5' (putts made);Putting Inside 5' (attempts);Putting Inside 5 Feet (Rank);Putting 5' - 10' (putts made);Putting 5' - 10' (attempts);Putting 5' - 10' (Rank);Putting 4'-8'(attempts);Putting 4'-8'(putts made);Putting 4' - 8' (Rank);Putting-Inside 10'(attempts);Putting-Inside 10'(putts made);Putting-Inside 10'(rank);Putting 10'-15'(attempts);Putting   10'-15'(putts made);Putting 10'-15'(rank);Putting 15-20'(attempts);Putting 15'-20'(putts made);Putting 15'-20'(rank);Putting 20'-25'(attempts);Putting 20'-25'(putts made);Putting 20'-25'(rank);Putting >25'(attempts);Putting >25'(putts made);Putting >25'(rank);Putting > 10' (putts made);Putting > 10' (attempts);Putting > 10' (rank);Total Putts Gained;Total Rounds Played(Putts Gained);Putts Gained Rank;TTL SG T2G;SG: T2G Rank;TTL SG Total;SG: Total Rank;OTT SG Avg.;OTT SG Rank;APP SG Avg.;APP SG Rank;ARG SG Avg.;ARG SG Rank;
R;2015;440;033;;000;33948;An, Byeong Hun;23 10 30;PGA Championship;Y ;.000;;999; CUT;075;086;074;100;000;000;000;000;000;000;000;000;00000000074;00000000149;  00000000002;999;- 3.078;999;00000000000;999;          6;999;         22;          5;999;          3;;              8;999;00000000004;00000000020;00000000339;107;00000001218;00000000004;00000000999;00000008214;999;          9;00000000016;  00000000028;00000000999;00000000999;00000000005;00000000003;         51.500;002;         97.250;003;         64.500;002;        213.250;00000000007;        162.917;005;         30.083;002;         73.667;002;        553.250;010;  ;;     13.583;          1;;;     13.583;          1;    112.000;          3;;;    158.000;          2;;;00000000036;  00000000020;00000000999;      1,612.667;00000000036;  999;00000000026;  1,033.167;999;00000000007;    303.000;999;00000000004;    131.417;00000000003;    171.583;  00000000006;00000000004;00000000000;00000000009;00000000016;999;     86.583;         14;999;00000000004;00000000006;00000000003;00000000003;00000000001;00000000003;00000000001;00000000005;00000000004;00000000005;00000000003;00000000003;00000000000;00000000001;999;            8.000;00000000001;00000000001;         13;00000000058;00000000037;00000000013;00000000003;00000000021;     49.000;00000000967;00000000002;00000000028;00000000028;00000000002;00000000001;  00000000002;00000000000;00000000003;00000000002;00000000002;00000000001;00000000003;00000000001;00000000001;00000000000;00000000002;00000000001;         32;         29;999;         11;            5;999;00000000010;00000000004;999;00000000043;00000000034;999;00000000005;00000000000;999;00000000000;00000000000;;00000000005;00000000000;999;00000000005;00000000000;999;;         15;999; 6.830-;      2;999;   .768;999; 1.918-;999;.768;999;-.632;999;2.321;999;
R;2015;440;033;;000;30978;Aphibarnrat, Kiradech;26 00 24;PGA Championship;Y ;.000;  18,200.00;068; T68;072;039;072;050;073;062;075;068;000;000;000;000;00000000072;00000000292;  00000000004;68;- 1.428;68;00000000000;27;         13;59;         42;         17;77;;;             17;071;00000000012;00000000038;00000000339;107;00000002349;00000000008;00000000036;00000016231;27;         19;00000000029;  00000000056;00000000070;00000000069;00000000010;00000000008;          7.833;001;         34.667;002;        115.500;005;        158.000;00000000008;        118.583;005;        126.833;004;        192.917;006;      1,105.917;021;  ;;     44.417;          3;    170.333;          3;    214.750;          6;     95.583;          2;    167.583;          3;;;    351.250;          5;00000000072;  00000000038;00000000074;      3,333.667;00000000072;  71;00000000044;  1,702.250;64;00000000018;    907.667;47;00000000009;    442.667;00000000009;    465.000;  00000000014;00000000006;00000000002;00000000018;00000000034;52;    375.333;         30;50;00000000001;00000000007;00000000008;00000000009;00000000002;00000000006;00000000003;00000000008;00000000006;00000000013;00000000007;00000000007;00000000005;00000000010;8;           38.583;00000000008;00000000001;         22;00000000109;00000000067;00000000034;00000000001;00000000037;    101.167;00000003545;00000000004;00000000039;00000000039;00000000008;00000000008;  00000000006;00000000005;00000000004;00000000003;00000000007;00000000005;00000000003;00000000001;00000000005;00000000003;00000000001;00000000001;         53;         52;32;         20;           13;37;00000000020;00000000014;56;00000000073;00000000065;43;00000000012;00000000003;58;00000000006;00000000002;15;00000000002;00000000000;55;00000000016;00000000001;34;          6;         36;42;   .051;      4;49;  .148-;67; 2.568-;68;-.148;56;-.172;61;-.335;66;
R;2015;440;033;;000;28259;Bae, Sangmoon;29 01 26;PGA Championship;Y ;7.000;  19,400.00;064;  64;071;024;072;037;072;052;075;064;000;000;000;000;00000000071;00000000290;  00000000004;64;- 1.428;64;00000000001;7;         14;49;         42;         12;50;          3;;             15;062;00000000015;00000000045;00000000327;260;00000002310;00000000008;00000000047;00000016066;44;         16;00000000037;  00000000056;00000000023;00000000032;00000000004;00000000009;;000;         45.833;004;        204.583;007;        250.417;00000000011;        249.417;007;        189.833;007;         31.000;002;      1,384.333;023;       69.833;          3;     39.333;          2;     57.500;          2;    166.667;          7;     47.917;          1;;;     22.667;          1;    472.833;          5;00000000072;  00000000045;00000000049;      3,300.583;00000000072;  70;00000000051;  2,119.167;72;00000000014;    710.083;49;00000000005;    217.000;00000000009;    493.083;  00000000013;00000000007;00000000002;00000000012;00000000027;73;    298.417;         23;58;00000000002;00000000010;00000000008;00000000009;00000000000;00000000007;00000000002;00000000005;00000000005;00000000010;00000000005;00000000005;00000000003;00000000008;40;           53.167;00000000004;00000000000;;00000000114;00000000076;00000000030;00000000000;00000000042;    104.750;00000004357;00000000004;00000000040;00000000040;00000000009;00000000009;  00000000007;00000000007;00000000004;00000000003;00000000003;00000000002;00000000002;00000000000;00000000002;00000000000;00000000004;00000000002;         56;         56;1;         15;            7;71;00000000016;00000000012;39;00000000071;00000000063;47;00000000011;00000000003;55;00000000006;00000000001;38;00000000006;00000000003;1;00000000020;00000000002;10;          9;         43;20;  2.245;      4;33;   .370;69;  .568-;64;.370;32;.116;54;-1.189;75;
R;2015;440;033;;000;23614;Beem, Rich;44 11 23;PGA Championship;Y ;.000;;999; CUT;076;102;078;136;000;000;000;000;000;000;000;000;00000000076;00000000154;  00000000002;999;- 3.078;999;00000000000;999;          3;999;         22;          9;999;          2;;             11;999;00000000002;00000000016;00000000318;492;00000001046;00000000004;00000000999;00000007433;999;          1;00000000018;  00000000028;00000000999;00000000999;00000000004;00000000003;         13.500;002;         94.833;004;         84.333;004;        192.667;00000000010;        122.167;005;         53.000;001;        153.417;004;        584.000;011;        6.750;          1;;;     80.417;          2;     87.167;          3;     61.167;          1;;;;;;;00000000036;  00000000016;00000000999;      1,270.500;00000000036;  999;00000000032;  1,122.167;999;00000000004;    148.333;999;00000000002;     43.167;00000000002;    105.167;  00000000000;00000000010;00000000000;00000000012;00000000020;999;    169.750;         16;999;00000000003;00000000007;00000000003;00000000003;00000000003;00000000007;00000000002;00000000002;00000000005;00000000009;00000000002;00000000002;00000000000;00000000001;999;  ;00000000000;00000000000;;00000000059;00000000033;00000000014;00000000003;00000000021;     45.917;00000001625;00000000002;00000000025;00000000025;00000000002;00000000002;  00000000002;00000000001;00000000002;00000000002;00000000002;00000000000;00000000005;00000000001;00000000001;00000000001;00000000002;00000000001;         29;         28;999;         12;            5;999;00000000011;00000000004;999;00000000041;00000000033;999;00000000007;00000000000;999;00000000005;00000000001;999;00000000001;00000000000;999;00000000005;00000000001;999;          2;         18;999; 3.959-;      2;999; 1.413-;999; 6.918-;999;-1.413;999;-.621;999;.555;999;
R;2015;440;033;;000;40026;Berger, Daniel;22 04 09;PGA Championship;Y ;.000;;999; CUT;074;071;074;090;000;000;000;000;000;000;000;000;00000000074;00000000148;  00000000002;999;- 3.078;999;00000000000;999;          8;999;         18;          8;999;          2;;             10;999;00000000008;00000000023;00000000321;394;00000001213;00000000004;00000000999;00000007890;999;          8;00000000017;  00000000028;00000000999;00000000999;00000000002;00000000003;;000;         45.250;003;         80.500;004;        125.750;00000000007;         35.500;002;         98.833;004;         99.417;003;        673.833;011;  ;;    118.000;          4;     33.083;          2;    151.083;          6;;;;;;;;;00000000036;  00000000023;00000000999;      1,445.583;00000000036;  999;00000000027;  1,033.333;999;00000000006;    151.083;999;00000000003;     85.917;00000000003;     65.167;  00000000004;00000000006;00000000000;00000000005;00000000013;999;    154.083;          9;999;00000000004;00000000009;00000000001;00000000002;00000000002;00000000005;00000000000;00000000001;00000000002;00000000006;00000000001;00000000001;00000000000;00000000002;999;           32.833;00000000002;00000000000;;00000000059;00000000040;00000000015;00000000002;00000000021;     55.833;00000001744;00000000002;00000000024;00000000024;00000000003;00000000002;  00000000001;00000000001;00000000002;00000000002;00000000001;00000000000;00000000003;00000000002;00000000000;00000000000;00000000001;00000000001;         28;         27;999;          7;            5;999;00000000007;00000000005;999;00000000035;00000000032;999;00000000008;00000000002;999;00000000005;00000000001;999;00000000005;00000000001;999;00000000006;00000000000;999;          4;         24;999;  .501-;      2;999;  .551-;999;  .918-;999;-.551;999;.387;999;-.044;999;
R;2015;440;033;;000;10944;Bjorn, Thomas;44 05 29;PGA Championship;Y ;.000;  25,750.00;048; T48;069;011;075;050;069;036;074;048;000;000;000;000;00000000069;00000000287;  00000000004;48;- 1.428;48;00000000000;27;         16;33;         42;         13;62;          1;;             14;058;00000000015;00000000042;00000000321;394;00000002241;00000000008;00000000069;00000015517;69;          9;00000000030;  00000000056;00000000065;00000000075;00000000009;00000000010;         25.000;001;         95.333;006;        121.167;006;        241.500;00000000013;         93.167;007;         32.750;002;        100.000;004;      1,204.333;021;       39.167;          2;      9.833;          1;    143.000;          5;    192.000;          8;    233.000;          4;    141.167;          3;    234.000;          3;    119.667;          2;00000000072;  00000000042;00000000064;      2,936.833;00000000072;  48;00000000047;  1,671.750;48;00000000020;    919.833;31;00000000011;    350.083;00000000009;    569.750;  00000000005;00000000015;00000000000;00000000018;00000000030;32;    218.000;         27;14;00000000003;00000000007;00000000008;00000000008;00000000002;00000000007;00000000004;00000000007;00000000006;00000000009;00000000006;00000000007;00000000001;00000000005;60;           30.250;00000000004;00000000001;         29;00000000110;00000000071;00000000035;00000000003;00000000036;     91.167;00000003050;00000000004;00000000043;00000000043;00000000011;00000000011;  00000000005;00000000004;00000000001;00000000000;00000000005;00000000004;00000000003;00000000002;00000000002;00000000001;00000000005;00000000001;         59;         58;23;         16;            8;65;00000000014;00000000010;53;00000000075;00000000066;52;00000000012;00000000003;58;00000000006;00000000002;15;00000000002;00000000000;55;00000000015;00000000000;46;          5;         35;56; 1.519-;      4;63; 1.001-;36;  2.432;48;-1.001;76;1.142;11;.847;15;
R;2015;440;033;;000;24507;Bohn, Jason;42 03 23;PGA Championship;Y ;31.500;  39,200.00;037; T37;074;071;071;061;066;024;074;037;000;000;000;000;00000000066;00000000285;  00000000004;37;- 1.428;37;00000000000;27;         14;49;         47;         11;36;;;             11;026;00000000013;00000000047;00000000311;797;00000002201;00000000008;00000000076;00000015386;74;          4;00000000038;  00000000056;00000000016;00000000057;00000000005;00000000007;        135.667;007;        114.917;007;        167.833;007;        418.417;00000000021;        148.583;006;        160.750;005;        139.583;006;        771.500;021;       48.667;          3;     50.833;          1;     93.000;          3;    192.500;          7;     12.583;          2;;;;;     48.750;          1;00000000072;  00000000047;00000000036;      2,005.500;00000000072;  1;00000000059;  1,638.833;1;00000000010;    253.833;1;00000000007;    167.583;00000000003;     86.250;  00000000004;00000000016;00000000001;00000000015;00000000025;32;    191.750;         19;32;00000000006;00000000008;00000000002;00000000002;00000000002;00000000006;00000000003;00000000003;00000000008;00000000012;00000000002;00000000004;00000000003;00000000007;26;           80.250;00000000005;00000000001;         12;00000000114;00000000083;00000000029;00000000001;00000000042;     82.333;00000003490;00000000004;00000000045;00000000045;00000000006;00000000006;  00000000002;00000000002;00000000003;00000000002;00000000003;00000000002;00000000006;00000000002;00000000001;00000000001;00000000003;00000000003;         53;         53;1;         16;           10;48;00000000014;00000000008;70;00000000069;00000000063;22;00000000014;00000000005;33;00000000010;00000000002;31;00000000009;00000000001;53;00000000012;00000000000;46;          8;         45;39;  1.026;      4;42;  .666-;38;  4.432;37;-.666;72;.861;21;.657;25;
R;2015;440;033;;000;25274;Bowditch, Steven;32 02 08;PGA Championship;Y ;.000;;999; CUT;074;071;075;100;000;000;000;000;000;000;000;000;00000000074;00000000149;  00000000002;999;- 3.078;999;00000000001;999;          4;999;         21;          9;999;          1;;             10;999;00000000004;00000000022;00000000336;142;00000001173;00000000004;00000000999;00000008063;999;         11;00000000011;  00000000028;00000000999;00000000999;00000000010;00000000003;         10.000;002;          9.250;001;         25.667;002;         44.917;00000000005;        119.833;004;         30.917;001;         37.167;001;        460.833;009;       30.167;          1;;;     87.917;          4;    118.083;          5;     84.083;          2;;;    135.583;          3;;;00000000036;  00000000023;00000000999;      1,317.667;00000000035;  999;00000000020;    693.667;999;00000000010;    337.750;999;00000000008;    289.417;00000000002;     48.333;  00000000002;00000000008;00000000000;00000000004;00000000013;999;    111.167;         10;999;00000000003;00000000005;00000000001;00000000001;00000000000;00000000002;00000000002;00000000003;00000000001;00000000006;00000000001;00000000001;00000000000;00000000003;999;           21.167;00000000001;00000000001;         60;00000000059;00000000041;00000000012;00000000001;00000000023;     46.167;00000001760;00000000002;00000000022;00000000022;00000000005;00000000005;  00000000001;00000000000;00000000001;00000000001;00000000004;00000000001;00000000001;00000000001;00000000000;00000000000;00000000004;00000000001;         28;         27;999;         10;            4;999;00000000007;00000000003;999;00000000038;00000000031;999;00000000006;00000000003;999;00000000002;00000000000;999;00000000002;00000000000;999;00000000011;00000000001;999;          4;         21;999;  .652-;      2;999;  .770-;999; 1.918-;999;-.770;999;.189;999;-.051;999;
R;2015;440;033;;000;33141;Bradley, Keegan;29 02 09;PGA Championship;Y ;9.000;  20,200.00;061; T61;076;102;070;070;072;064;071;061;000;000;000;000;00000000070;00000000289;  00000000004;61;- 1.428;61;00000000000;27;         18;21;         37;         15;72;          2;;             17;071;00000000017;00000000047;00000000360;13;00000002395;00000000008;00000000015;00000016625;11;         27;00000000027;  00000000056;00000000076;00000000055;00000000009;00000000012;         28.583;003;        115.250;005;        126.083;005;        269.917;00000000013;        183.500;007;         86.917;005;        230.333;009;        561.000;012;       65.167;          3;     71.500;          2;     72.833;          4;    209.500;          9;    103.167;          2;      2.500;          1;     85.833;          2;    169.083;          2;00000000072;  00000000047;00000000036;      2,325.750;00000000070;  4;00000000046;  1,331.667;4;00000000017;    594.333;6;00000000009;    261.667;00000000008;    332.667;  00000000008;00000000012;00000000003;00000000010;00000000025;74;    142.083;         16;20;00000000004;00000000011;00000000004;00000000004;00000000001;00000000007;00000000001;00000000003;00000000004;00000000008;00000000004;00000000004;00000000001;00000000002;8;           10.917;00000000002;00000000000;;00000000115;00000000082;00000000029;00000000002;00000000042;    109.583;00000003793;00000000004;00000000043;00000000042;00000000007;00000000007;  00000000003;00000000002;00000000005;00000000004;00000000007;00000000004;00000000002;00000000002;00000000003;00000000001;00000000004;00000000001;         53;         51;62;         21;           12;57;00000000017;00000000012;55;00000000074;00000000063;68;00000000009;00000000005;8;00000000007;00000000001;46;00000000009;00000000002;21;00000000016;00000000000;46;          8;         41;28;  .321-;      4;53;  .478-;58;   .432;61;-.478;68;.148;53;.518;28;
R;2015;440;033;;000;01132;Brooks, Mark;54 04 22;PGA Championship;Y ;.000;;999; CUT;084;154;078;149;000;000;000;000;000;000;000;000;00000000078;00000000162;  00000000002;999;- 3.078;999;00000000000;999;          1;999;         22;          9;999;          2;          2;             13;999;00000000001;00000000012;00000000285;999;00000001004;00000000004;00000000999;00000007063;999;          0;00000000016;  00000000028;00000000999;00000000999;00000000007;00000000004;;000;        170.000;005;         97.167;003;        267.167;00000000008;         94.417;004;         76.750;002;        136.833;003;        575.667;011;  ;;    109.583;          2;     42.750;          1;    152.333;          3;     99.417;          2;    112.750;          1;;;;;00000000036;  00000000012;00000000999;      1,541.250;00000000036;  999;00000000028;  1,150.833;999;00000000006;    364.500;999;00000000004;    173.917;00000000002;    190.583;  00000000002;00000000008;00000000000;00000000012;00000000024;999;    166.667;         19;999;00000000005;00000000009;00000000004;00000000004;00000000000;00000000005;00000000006;00000000008;00000000003;00000000006;00000000003;00000000004;00000000002;00000000004;999;           25.917;00000000004;00000000000;;00000000057;00000000024;00000000016;00000000001;00000000020;     32.500;00000001229;00000000002;00000000024;00000000023;00000000005;00000000004;  00000000004;00000000003;00000000005;00000000004;00000000000;00000000000;00000000002;00000000000;00000000001;00000000000;00000000001;00000000001;         33;         30;999;          9;            5;999;00000000011;00000000007;999;00000000042;00000000035;999;00000000004;00000000001;999;00000000002;00000000000;999;00000000001;00000000000;999;00000000008;00000000000;999;          1;         15;999; 2.634-;      2;999; 1.799-;999;14.918-;999;-1.799;999;-5.240;999;.897;999;
